Date,Item,Size,Description,Cost,Pick up or Ship,Instagram likes
2/20,coasters,"8@ 4x4""","blue, green, black",80,P,17
3/11,canvas,"8x12""","Blue, purple pour with turtle graphic",25,S,20
3/18,canvas,"5x7""","dark blue + green, turtle graphic",25,S,16
4/16,canvas,"10x20""","aqua, green, orange",40,S,25
4/16,coasters,"4 @ 4x4""","light blue, shiny blue, aqua",40,S,17
4/16,canvas,"2 @ 5x7""","Seaside colors - sand, aqua, gold + gold turtle graphic",40,S,8
5/16,canvas,"24x24""","navy, coral, gold",120,P,15
5/16,coasters,"4 @ 4x4""","Black, white, silver",40,S,13
5/25,coasters,"4 @ 4x4""","blue, white, aqua + turles",60,S,27
5/27,coasters,"4 @ 4x4""","Seaside colors - sand, aqua, gold + gold turtle graphic",60,S,17
6/1,Canvas,"10x10""","Purple, orange, red, rose gold",30,P,27
6/1,Canvas,"10x10""","Black, white, orange color shift",30,P,27
6/1,Canvas,"8X8""","Dark blue, light blue, gray, white",20,P,27
6/1,Canvas,"8x10""","Green, blue, purple, black, white",20,P,21
6/1,Canvas,"36x48""","Aubrey Hepburn center, galaxy gold, blue, magenta background",150,P,20
6/17,Canvas,12x12',"blue, purple, forest green, black, silver",50,P,30
6/23,Canvas,"2 @ 10x20""","Neons: yellow, green, blue, purple",60,S,40
7/9,coasters,"12 @ 4x4""","Blacklight colors - blue, green, purple",150,P,21
7/10,wooden tray,"4x12""","Trippy mushroom on blue, green, white pour",40,S,19
7/15,Canvas,"24x36""","blue, purple, orange color shift, black, white; graphic in gold",200,P,40
7/23,coasters,"4 @ 4x4""","Magical mushroom graphics w/ green, blue, red, purple",60,S,23
7/30,Coasters,"4 @ 4x4""","Clemson colors: orange, purple, silver",40,P,18
7/30,Coasters,"4 @ 4x4""","Black, cs orange, cs blue, purple",40,P,15
8/3,Canvas,"12x16""","Galaxy in orange, yellow, pink, green, purple",40,S,44
8/4,Coasters,"4 @ 4x4""","Navy, gold",40,S,33
8/4,Coasters,"4 @ 4x4""","navy, gold, coral",40,S,16
8/18,Coasters,"4 @ 4x4""","Ocean colors - blue, white, silver",40,S,22
8/18,coasters,"4 @ 4x4""","Bahamas colors - teal, golden yellow, black",40,S,20
8/20,Canvas,"16x24""",Bjork outline + turquiose/neon orange/ne yellow/ne pink,400,S,27
8/20,coasters,"16 @ 4x4""",turquiose/neon orange/ne yellow/ne pink,160,S,29
8/25,coasters,"4 @ 4x4""","Seaside colors - sand, aqua, gold",40,S,16
9/10,coasters,"4 @ 4x4""","Bahamas colors - teal, golden yellow, black",40,S,21
9/16,coasters,"4 @ 4x4""","Ocean colors - blue, white, silver",40,S,22
9/19,coasters,"4 @ 4x4""","Autumn - reg, orange, gold, touch of green",40,S,23
9/23,coasters,"4 @ 4x4""","Black, white, silver",40,S,16
9/23,coasters,"4 @ 4x4""","Blue, purple, green",40,S,32
10/1,coasters,"4 @ 4x4""","Orange, blue, green",40,P,22
10/1,coasters,"4 @ 4x4""","Orange, blue, gold, green",40,P,22
10/4,coasters,"4 @ 4x4""","Dark blue, dark purple, silver",40,P,18
10/4,coasters,"4 @ 4x4""","Dark blue, aqua, purple, silver",40,P,18
10/5,coasters,"16 @ 4x4""","Neon Pink, Neon Purple, black, glitter",160,S,15
10/8,coasters,"8 @ 4x4""","Camoflauge - brown, green, black, touch of gold",80,P,13
10/9,coasters,"4 @ 4x4""",UF colors - blue and orange,40,S,16
10/9,coasters,"4 @ 4x4""","Furman colors - purple, white, silver",40,S,17
10/15,coasters,"8 @ 4x4""","Halloween colors - orange, black, shimmer",80,S,9
10/17,coasters,"4 @ 4x4""","Sands - gold, white, pale peach, light tan",40,S,18
10/18,coasters,"6 @ 4x4""",Turqoise oceans + lettering,60,S,17
10/18,coasters,"4 @ 4x4""",Regular oceans,40,S,18
10/20,coasters,"4 @ 4x4""","Black, white, red",40,P,20
10/20,coasters,"4 @ 4x4""",Blue & purple; mounted on wood backing,60,P,17
11/10,Canvas,"2 @ 5x7""","Seaside colors - sand, aqua, gold + gold turtle graphic",40,S,23
11/26,canvas,"5x7""","purple, pink, white + whale graphic",25,S,16
12/6,Canvas,"6 @ 12x12""","2 Triptychs in black, brown, gold, orange, red",200,P,15
12/9,coasters,"4 @ 4x4""","clemson colors: orange, purple, silver",40,P,9
12/9,coasters,"4 @ 4x4""","Blues - navy, dark, light, shiny",40,S,13
