2022,District,January,February,March,April,May,June,July,July (holidays),August,September,October,November,December,December (holidays)
1,ALMIRANTE BROWN," $  1,214,215.00 "," $  837,994.80 "," $  5,100,665.90 "," $  4,868,817.45 "," $  10,341,158.10 "," $  9,356,285.90 "," $  4,924,361.00 "," $  832,995.00 "," $  9,848,722.00 "," $  9,356,285.90 "," $  9,848,722.00 "," $  10,341,158.10 "," $  4,924,361.00 "," $  429,030.00 "
2,AVELLANEDA," $  396,060.00 "," $  257,245.80 "," $  3,888,903.70 "," $  3,535,367.00 "," $  7,424,270.70 "," $  6,899,582.10 "," $  3,631,359.00 "," $  256,032.00 "," $  7,262,718.00 "," $  7,262,718.00 "," $  7,262,718.00 "," $  7,625,853.90 "," $  3,631,359.00 "," $  234,360.00 "
3,BERAZATEGUI," $  1,447,710.00 "," $  940,305.30 "," $  3,479,931.40 "," $  3,595,098.15 "," $  7,533,199.80 "," $  6,815,752.20 "," $  3,587,238.00 "," $  847,224.00 "," $  7,167,620.00 "," $  7,167,620.00 "," $  6,809,239.00 "," $  7,167,620.00 "," $  3,583,810.00 "," $  707,616.00 "
4,BERISSO," $  351,575.00 "," $  228,352.25 "," $  1,133,948.20 "," $  1,082,405.10 "," $  2,164,810.20 "," $  1,855,551.60 "," $  1,030,862.00 "," $  232,974.00 "," $  2,061,724.00 "," $  2,061,724.00 "," $  2,095,584.00 "," $  2,200,363.20 "," $  1,047,792.00 "," $  208,152.00 "
5,ENSENADA," $  139,605.00 "," $  90,675.15 "," $  869,412.50 "," $  926,723.70 "," $  1,765,188.00 "," $  1,676,928.60 "," $  882,594.00 "," $  78,030.00 "," $  1,765,188.00 "," $  1,765,188.00 "," $  1,765,188.00 "," $  1,853,447.40 "," $  882,594.00 "," $  99,036.00 "
6,ESTEBAN ECHEVERRIA," $  423,325.00 "," $  274,954.75 "," $  3,226,980.90 "," $  3,080,299.95 "," $  6,160,599.90 "," $  5,573,876.10 "," $  2,933,619.00 "," $  334,908.00 "," $  6,142,912.00 "," $  6,142,912.00 "," $  6,142,912.00 "," $  6,450,057.60 "," $  3,071,456.00 "," $  210,546.00 "
7,EZEIZA," $  905,690.00 "," $  588,256.70 "," $  2,610,945.70 "," $  2,373,587.00 "," $  4,984,532.70 "," $  4,509,815.30 "," $  2,373,587.00 "," $  519,624.00 "," $  4,747,174.00 "," $  4,747,174.00 "," $  4,747,174.00 "," $  4,984,532.70 "," $  2,373,587.00 "," $  453,474.00 "
8,FLORENCIO VARELA," $  1,555,950.00 "," $  1,010,608.50 "," $  5,812,934.60 "," $  5,548,710.30 "," $  11,097,420.60 "," $  9,512,074.80 "," $  5,284,486.00 "," $  914,886.00 "," $  10,568,972.00 "," $  10,568,972.00 "," $  10,568,972.00 "," $  11,097,420.60 "," $  5,284,486.00 "," $  965,034.00 "
9,GENERAL SAN MARTIN," $  707,865.00 "," $  444,317.25 "," $  3,493,238.10 "," $  3,427,904.55 "," $  6,855,809.10 "," $  6,202,874.90 "," $  3,264,671.00 "," $  251,815.00 "," $  6,202,874.90 "," $  6,529,342.00 "," $  6,529,342.00 "," $  6,520,722.00 "," $  3,260,361.00 "," $  193,914.00 "
10,HURLINGHAM," $  388,065.00 "," $  259,241.95 "," $  1,559,666.90 "," $  1,488,772.95 "," $  2,977,545.90 "," $  2,995,053.60 "," $  1,576,344.00 "," $  243,398.00 "," $  2,995,053.60 "," $  3,152,688.00 "," $  3,152,688.00 "," $  3,310,322.40 "," $  1,576,344.00 "," $  226,296.00 "
11,ITUZAINGO," $  71,135.00 "," $  46,203.05 "," $  1,108,472.20 "," $  1,058,087.10 "," $  2,116,174.20 "," $  1,914,633.80 "," $  1,007,702.00 "," $  18,900.00 "," $  2,015,404.00 "," $  2,015,404.00 "," $  1,914,633.80 "," $  2,116,174.20 "," $  1,007,702.00 "," $  27,720.00 "
12,JOSE C PAZ," $  707,660.00 "," $  459,633.80 "," $  3,350,897.00 "," $  3,198,583.50 "," $  6,838,843.20 "," $  6,187,524.80 "," $  3,256,592.00 "," $  430,416.00 "," $  6,513,184.00 "," $  6,513,184.00 "," $  6,513,184.00 "," $  6,838,843.20 "," $  3,256,592.00 "," $  497,952.00 "
13,LA MATANZA," $  2,875,945.00 "," $  1,867,961.35 "," $  15,716,644.90 "," $  15,002,251.95 "," $  30,004,503.90 "," $  29,292,431.10 "," $  15,417,069.00 "," $  1,536,456.60 "," $  30,834,138.00 "," $  30,834,138.00 "," $  30,834,138.00 "," $  32,375,844.90 "," $  15,417,069.00 "," $  1,744,722.00 "
14,LA PLATA," $  567,440.00 "," $  368,559.20 "," $  6,449,119.60 "," $  6,438,549.60 "," $  12,877,099.20 "," $  11,886,629.90 "," $  6,256,121.00 "," $  190,386.00 "," $  12,512,242.00 "," $  12,512,242.00 "," $  12,512,242.00 "," $  13,137,854.10 "," $  6,256,121.00 "," $  272,916.00 "
15,LANUS," $  157,850.00 "," $  102,525.50 "," $  3,614,578.00 "," $  3,844,212.75 "," $  7,688,425.50 "," $  7,071,102.70 "," $  3,721,633.00 "," $  60,858.00 "," $  7,443,266.00 "," $  7,071,102.70 "," $  7,095,042.70 "," $  7,841,889.30 "," $  3,734,233.00 "," $  96,768.00 "
