Jewlery Type,Color(s),Pattern,Total Made,Price Listed,Sold,Time To Create
Bracelet,Red,Daisy Chain,2,$15.00,2,1 hr
Bracelet,Orange,Daisy Chain,3,$15.00,2,1 hr
Bracelet,Yellow,Daisy Chain,2,$15.00,1,1 hr
Bracelet,Lime Green,Daisy Chain,2,$15.00,2,1 hr
Bracelet,Green ,Daisy Chain,3,$15.00,2,1 hr
Bracelet,Dark Green,Daisy Chain,2,$15.00,1,1 hr
Bracelet,Blue,Daisy Chain,2,$15.00,1,1 hr
Bracelet,Dark Blue,Daisy Chain,3,$15.00,1,1 hr
Bracelet,Pink,Daisy Chain,2,$15.00,2,1.5 hrs
Bracelet,Red and Orange,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Red and Yellow,Daisy Chain,1,$15.00,0,1.5 hrs
Bracelet,Red and Green ,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Red and Blue,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Red and Pink,Daisy Chain,1,$15.00,0,1.5 hrs
Bracelet,Orange and Yellow,Daisy Chain,1,$15.00,0,1.5 hrs
Bracelet,Orange and Green,Daisy Chain,1,$15.00,0,1.5 hrs
Bracelet,Orange and Blue,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Orange and Pink,Daisy Chain,1,$15.00,0,1.5 hrs
Bracelet,Yellow and Green,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Yellow and Blue,Daisy Chain,1,$15.00,0,1.5 hrs
Bracelet,Yellow and Pink,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Green and Blue,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Green and Pink,Daisy Chain,1,$15.00,1,1.5 hrs
Bracelet,Blue and Pink,,1,$15.00,1,1.5 hrs
,,,,,,
Bracelet,Red,Peyote Stitch,2,$35.00,0,2 hrs
Bracelet,Dark Red,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Bright Red,Peyote Stitch,1,$35.00,0,2 hrs
Bracelet,Blood Red- Shiny,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Red- Shiny,Peyote Stitch,2,$35.00,1,2 hrs
Bracelet,Dark Red- Shiny,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Orange,Peyote Stitch,2,$35.00,2,2 hrs
Bracelet,Tangerine,Peyote Stitch,1,$35.00,0,2 hrs
Bracelet,Pale Yellow,Peyote Stitch,1,$35.00,0,2 hrs
Bracelet,Yellow,Peyote Stitch,2,$35.00,1,2 hrs
Bracelet,Light Green,Peyote Stitch,1,$35.00,0,2 hrs
Bracelet,Green,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Dark Green,Peyote Stitch,1,$35.00,0,2 hrs
Bracelet,Blue,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Dark Blue- Shiny,Peyote Stitch,2,$35.00,2,2 hrs
Bracelet,Light Blue- Shiny,Peyote Stitch,2,$35.00,1,2 hrs
Bracelet,Turquoise,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Magenta,Peyote Stitch,1,$35.00,0,2 hrs
Bracelet,Pale Pink,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Pearl Pink,Peyote Stitch,1,$35.00,0,2 hrs
Bracelet,Dark Pink,Peyote Stitch,1,$35.00,1,2 hrs 
Bracelet,Brown Mix,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Brown Ombre,Peyote Stitch,1,$35.00,1,2 hrs
Bracelet,Red and Orange,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Red and Yellow,Peyote Stitch,1,$35.00,1,2.25 hrs
Bracelet,Red and Green,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Red and Blue,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Red and Pink,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Orange and Yellow,Peyote Stitch,1,$35.00,1,2.25 hrs
Bracelet,Orange and Green,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Orange and Blue,Peyote Stitch,1,$35.00,1,2.25 hrs
Bracelet,Orange and Pink,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Yellow and Green,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Yellow and Blue,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Yellow and Pink,Peyote Stitch,1,$35.00,1,2.25 hrs
Bracelet,Green and Blue,Peyote Stitch,1,$35.00,0,2.25 hrs
Bracelet,Green and Pink,Peyote Stitch,1,$35.00,1,2.25 hrs
Bracelet,Blue and Pink,Peyote Stitch,1,$35.00,1,2.25 hrs
,,,,,,
Earrings,Magenta,Butterfly,1,$25.00,0,2 hrs
Earrings,Yellow and Orange,Daisy Chain,1,$25.00,1,2 hrs
Earrings,Blue and Pink,Butterfly,1,$25.00,0,2hrs
