Company,Payment_Month,Series,Invoice,UUID,En NOI,CFDI issue date,Payment date,RFC Issuer,RFC Receiver,Recipient Name,CFDI withheld ISR,Subsidy Caused CFDI,Subsidy Delivered CFDI,Total CFDI Payment,Total NOI Payment,Difference,Payroll No.,Payroll Date,CFDI NOI Status
5,January,PAYROLL,3718,0286CCB3-0FA4-40BE-9B53-4DE0D904339A,,13/01/2022 08:35:03 a. m.,13/01/2022,,,,428,0,0,0.00,"4,510.65",,1,15/01/2022,Stamping
5,January,PAYROLL,3719,0CB7E2FD-B9C3-4A8B-AC30-DF1BA9171064,,13/01/2022 08:35:04 a. m.,13/01/2022,,,,957.3,0,0,0.00,"6,652.58",,1,15/01/2022,Stamping
5,January,PAYROLL,3720,6ED469E3-CF93-4106-A5A8-59271BFADC37,,13/01/2022 08:35:04 a. m.,13/01/2022,,,,16398.09,0,0,0.00,"43,505.91",,1,15/01/2022,Stamping
5,January,PAYROLL,3721,5E0FC41F-BA36-44A5-A641-9049D112512F,,13/01/2022 08:35:04 a. m.,13/01/2022,,,,6734.71,0,0,0.00,"22,810.25",,1,15/01/2022,Stamping
5,January,PAYROLL,3722,CEFB0479-0F48-43EB-82C0-C93508DDCD87,,13/01/2022 08:35:04 a. m.,13/01/2022,,,,6734.71,0,0,0.00,"22,811.40",,1,15/01/2022,Stamping
5,January,PAYROLL,3723,A81BB8A5-4ECF-4808-8501-0AE0DF3244F9,,13/01/2022 08:35:05 a. m.,13/01/2022,,,,8255.57,0,0,0.00,"26,301.36",,1,15/01/2022,Stamping
5,January,PAYROLL,3724,11DD7C81-649D-45BF-809F-912D71AA9257,,13/01/2022 08:35:05 a. m.,13/01/2022,,,,7038.9,0,0,0.00,"23,493.98",,1,15/01/2022,Stamping
5,January,PAYROLL,3725,E3FC5994-1A89-4DE2-BED8-65046ED605F8,,13/01/2022 08:35:05 a. m.,13/01/2022,,,,8255.57,0,0,0.00,"26,301.36",,1,15/01/2022,Stamping
5,January,PAYROLL,3726,DE7983E3-FA95-4145-980D-969BA33FBC57,,13/01/2022 08:35:05 a. m.,13/01/2022,,,,9460.8,0,0,0.00,"29,113.56",,1,15/01/2022,Stamping
5,January,PAYROLL,3727,BB088EA4-3F61-4319-BCF5-61C28ABFCC41,,13/01/2022 08:35:29 a. m.,13/01/2022,,,,7495.14,0,0,0.00,"24,527.03",,1,15/01/2022,Refused
5,January,PAYROLL,3728,F83750AF-D190-44B0-81D0-74325F5FB65F,,13/01/2022 08:35:29 a. m.,13/01/2022,,,,7495.14,0,0,0.00,"22,180.31",,1,15/01/2022,Stamping
5,January,PAYROLL,3729,687FB415-1B1A-4DF1-809A-393CB1F8AAE9,,13/01/2022 08:35:30 a. m.,13/01/2022,,,,2661.37,0,0,0.00,"9,733.66",,1,15/01/2022,Stamping
5,January,PAYROLL,3730,4F602E28-87F5-41AE-942F-E71F1A1AF85C,,13/01/2022 08:35:30 a. m.,13/01/2022,,,,428,0,0,0.00,"3,453.88",,1,15/01/2022,Stamping
5,January,PAYROLL,3731,2D5C10D7-2C16-46DC-9FCD-3F7117608F07,,13/01/2022 08:35:30 a. m.,13/01/2022,,,,1878.21,0,0,0.00,"6,492.58",,1,15/01/2022,Stamping
5,January,PAYROLL,3732,64D4B89C-9443-4A8E-986F-B9C25D7FA091,,13/01/2022 08:35:30 a. m.,13/01/2022,,,,2148.94,0,0,0.00,"10,650.80",,1,15/01/2022,Stamping
5,January,PAYROLL,3733,5ED3A5C3-9C0C-4EAC-BFF8-C1CDF4DA2D91,,13/01/2022 08:35:30 a. m.,13/01/2022,,,,2564.94,0,0,0.00,"12,216.29",,1,15/01/2022,Stamping
5,January,PAYROLL,3734,3CA1E48A-2EAF-4C08-AB5F-98ADADE09150,,13/01/2022 08:35:31 a. m.,13/01/2022,,,,1228.52,0,0,0.00,"7,634.34",,1,15/01/2022,Stamping
5,January,PAYROLL,3735,80A2631F-954E-4F4B-9016-9F0C8D89593A,,13/01/2022 08:35:31 a. m.,13/01/2022,,,,1228.52,0,0,0.00,"7,619.37",,1,15/01/2022,Stamping
5,January,PAYROLL,3736,012956BB-0F90-4C35-8646-CF07963926A1,,13/01/2022 08:35:31 a. m.,13/01/2022,,,,2219.51,0,0,0.00,"11,133.56",,1,15/01/2022,Stamping
5,January,PAYROLL,3737,3DF6A9B1-2852-40C5-A770-F9AE483C9B7D,,13/01/2022 08:35:31 a. m.,13/01/2022,,,,427.98,0,0,0.00,"4,497.50",,1,15/01/2022,Stamping
5,January,PAYROLL,3738,CD2507C0-72AA-4041-9F4D-00EE921B6174,,13/01/2022 08:35:31 a. m.,13/01/2022,,,,1096.57,0,0,0.00,"7,183.61",,1,15/01/2022,Stamping
5,January,PAYROLL,3739,48C78651-EDFF-43C7-9C2D-F8CABAF9128E,,13/01/2022 08:35:31 a. m.,13/01/2022,,,,2327.7,0,0,0.00,"11,491.67",,1,15/01/2022,Stamping
5,January,PAYROLL,3740,8471D749-8414-4F72-8B3E-B86D8F450FE6,,13/01/2022 08:35:32 a. m.,13/01/2022,,,,795.4,0,0,0.00,"6,111.28",,1,15/01/2022,Stamping
5,January,PAYROLL,3741,128C1FA3-2083-4178-B174-E026C4D8D5B8,,13/01/2022 08:35:32 a. m.,13/01/2022,,,,1328.97,0,0,0.00,"8,029.53",,1,15/01/2022,Stamping
5,January,PAYROLL,3742,5D38BC48-869B-4DF3-BA6A-816EC9BFF50A,,13/01/2022 08:35:32 a. m.,13/01/2022,,,,1228.52,0,0,0.00,"7,625.47",,1,15/01/2022,Stamping
5,January,PAYROLL,3743,A2E8350B-B5F4-420A-8407-F995A04D106E,,13/01/2022 08:35:32 a. m.,13/01/2022,,,,1661.64,0,0,0.00,"9,182.67",,1,15/01/2022,Stamping
5,January,PAYROLL,3744,E1CB9E92-B16E-4FD1-A87B-2B46050C3BF8,,13/01/2022 08:35:32 a. m.,13/01/2022,,,,3518.81,0,0,0.00,"13,920.42",,1,15/01/2022,Stamping
5,January,PAYROLL,3745,CC1C3F02-DBAB-43D6-8F68-88AA7A0B84F5,,13/01/2022 08:35:32 a. m.,13/01/2022,,,,1256.98,0,0,0.00,"7,744.44",,1,15/01/2022,Stamping
