inflation adjustment affects,account code,alternative account code,account name,disabling date ,enabled,enablement date,account ID,ID information,assets,credit,debits,liability ,net loss,net income,credit balance,opening credit balance,debit balance,opening debit balance,usual balance,account type,use accounting assistants,use additional unit
No,1.01.01.01.001,,central cash,,Yes,,362,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},-18000.00,18000.00,0.00,0.00,0.00,0.00,18000.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.01.002,,dollar cash,,Yes,,363,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.001,,City bank current account,,Yes,,364,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.002,,French bank current account,,Yes,,365,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.003,,Superviello bank,,Yes,,366,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.004,,Santander bank current account,,Yes,,367,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.005,,transfer current account,,Yes,,368,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.006,,Galicia Rural bank ,,Yes,,369,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.007,,Securities to deposit,,Yes,,370,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
No,1.01.01.02.008,,Rural card,,Yes,,371,{FAE63E72-EDBC-4424-BF36-F3BF29F84009},0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,debtor,non-monetary,No,No
