Date,Category,Company,Order #,Inv. Bought,QTY Sold,Description,Income,Expense,Tax Category
10/31/2022,Fees,Etsy,2652098760,,,Processing Fee,,$0.74,Commissions/Fees
10/31/2022,Fees,Etsy,2652098760,,,Transaction Fee,,$0.97,Commissions/Fees
10/31/2022,Sales Tax,Etsy,2652098760,,,Sales Tax,,$1.42,Taxes
10/31/2022,Order,Etsy,2652098760,,,Pair of Red and White Owls,$16.37,,
11/1/2022,Fees,Etsy,,,,Listing Fees,,$1.40,Commissions/Fees
11/5/2022,Order,Etsy,2652561445,,,Lilac and Aqua Horse,$58.67,,
11/5/2022,Sales Tax,Etsy,2652561445,,,Sales Tax,,$3.32,Taxes
11/5/2022,Fees,Etsy,2652561445,,,Transaction Fee,,$3.25,Commissions/Fees
11/5/2022,Fees,Etsy,2652561445,,,Processing Fee,,$2.01,Commissions/Fees
11/5/2022,Fees,Etsy,2652561445,,,Transaction Fee Shipping,,$0.35,Commissions/Fees
11/5/2022,Fees,Etsy,2652561445,,,Shipping Fee,,$4.01,Commissions/Fees
11/26/2022,Fees,Etsy,2687166783,,,Processing Fee,,$2.00,Commissions/Fees
11/26/2022,Sales Tax,Etsy,2687166783,,,Sales Tax,,$3.30,Taxes
11/26/2022,Order,Etsy,2687166783,,,Tan Horse with Purple Mane,$58.25,,
11/26/2022,Fees,Etsy,2687166783,,,Transaction Fee,,$3.57,Commissions/Fees
11/26/2022,Refund,Etsy,2687166783,,,Partial Refund for Local Pickup,,$5.30,Commissions/Fees
11/26/2022,Sales Tax,Etsy,2687166783,,,Refund to Buyer for Sales Tax,$0.30,,
11/26/2022,Credit,Etsy,2687166783,,,Partial Processing Fee Credit Due to Refund,$0.16,,
11/26/2022,Credit,Etsy,2687166783,,,Partial Transaction Fee Credit Due to Refund,$0.32,,
11/29/2022,Advertising,Etsy,,,,Etsy Ads,,$1.00,Advertising
11/29/2022,Order,Etsy,2697933558,,,Brown Horse with Sage Green Mane,$58.25,,
11/29/2022,Fees,Etsy,2697933558,,,Processing Fee,,$2.00,Commissions/Fees
11/29/2022,Fees,Etsy,2697933558,,,Transaction Fee,,$3.57,Commissions/Fees
11/29/2022,Sales Tax,Etsy,2697933558,,,Sales Tax,,$3.30,Taxes
11/29/2022,Fees,Etsy,2697933558,,,Shipping Fee,,$4.06,Commissions/Fees
11/30/2022,Advertising,Etsy,,,,Etsy Ads,,$1.00,Advertising
12/1/2022,Advertising,Etsy,,,,Etsy Ads,,$1.00,Advertising
12/2/2022,Advertising,Etsy,,,,Etsy Ads,,$1.00,Advertising
12/2/2022,Sales Tax,Etsy,2699774199,,,Sales Tax,,$4.80,Taxes
12/2/2022,Fees,Etsy,2699774199,,,Transaction Fee,,$3.57,Commissions/Fees
12/2/2022,Order,Etsy,2699774199,,,Light Blue Horse and Red Angel Ornament,$84.74,,
12/2/2022,Fees,Etsy,2699774199,,,Processing Fee,,$2.79,Commissions/Fees
12/2/2022,Fees,Etsy,2699774199,,,Transaction Fee,,$1.62,Commissions/Fees
12/2/2022,Credit,Etsy,2699774199,,,Refund to Buyer for Sales Tax,$0.60,,
12/2/2022,Refund,Etsy,2699774199,,,Partial Refund for Local Pickup,,$10.60,Commissions/Fees
12/2/2022,Credit,Etsy,2699774199,,,Partial Processing Fee Credit Due to Refund,$0.32,,
12/2/2022,Credit,Etsy,2699774199,,,Partial Transaction Fee Credit Due to Refund,$0.32,,
12/2/2022,Credit,Etsy,2699774199,,,Partial Transaction Fee Credit Due to Refund,$0.32,,
12/3/2022,Advertising,Etsy,,,,Etsy Ads,,$0.67,Advertising
12/4/2022,Fees,Etsy,,,,Listing Fees,,$0.20,Commissions/Fees
12/4/2022,Sales Tax,Etsy,2709966730,,,Sales Tax,,$5.40,Taxes
12/4/2022,Fees,Etsy,2709966730,,,Transaction Fee,,$5.85,Commissions/Fees
12/4/2022,Order,Etsy,2709966730,,,Two Flannel Keepsake Horses,$95.40,,
12/4/2022,Fees,Etsy,2709966730,,,Processing Fee,,$3.11,Commissions/Fees
12/14/2022,Supplies,Felt on the Fly,,,,6 Pieces of Wool Felt,,$28.20,Supplies
12/29/2022,Fees,Etsy,,,,Listing Fees,,$0.60,Commissions/Fees
1/23/2023,Publishing,Bowker,,,,10 ISBN numbers,,$295.00,
2/1/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
3/23/2023,Publishing,Lightning Source,,,,Hardcover Upload - REFUNDED ($49),,,
3/27/2023,Supplies,Lightning Source,,,,(1) Hardcover Print Proof - REFUNDED ($16.69),,,
4/1/2023,Fees,Etsy,,,,Listing Fees,,$0.80,
4/6/2023,Publishing,Lightning Source,,,,Hardcover Update Cover/Interior - REFUNDED ($50),,,
4/7/2023,Supplies,Lightning Source,,,,(1) Hardcover Print Proof - REFUNDED ($16.69),,,
4/7/2023,Publishing,Lightning Source,,,,Paperback Upload,,$49.00,
4/11/2023,Publishing,Lightning Source,,1,,(1) Paperback Print Proof,,$12.18,
4/15/2023,Order,Etsy,2857090767,,,Blue Horse with Burnt Orange Accents,$58.25,,
4/15/2023,Fees,Etsy,2857090767,,,Processing Fee,,$2.00,
4/15/2023,Sales Tax,Etsy,2857090767,,,Sales Tax,,$3.30,
4/15/2023,Fees,Etsy,2857090767,,,Transaction Fee,,$3.57,
4/15/2023,Advertising,Etsy,2857090767,,,Offsite Ads Fee,,$8.24,
4/17/2023,Supplies,Lightning Source,,,,(50) Paperback Copies (SPK-10585214-1) REFUNDED,,,
4/17/2023,Fees,Etsy,2857090767,,,Shipping Fee,,$4.24,
4/19/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/24/2023,Supplies,Mailers USA,,,,"(100) paper padded mailers, 10.5"" by 15""",,$38.15,
4/25/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/25/2023,Order,Etsy,2866792657,,1,(1) Book,$15.88,,
4/25/2023,Fees,Etsy,2866792657,,,Processing Fee,,$0.73,
4/25/2023,Sales Tax,Etsy,2866792657,,,Sales Tax,,$0.90,
4/25/2023,Fees,Etsy,2866792657,,,Transaction Fee,,$0.97,
4/26/2023,Supplies,Lightning Source,,50,,(50) Paperback Copies (SPK-10612957),,$259.10,
4/26/2023,Supplies,Papermart,,,,(340) 9 by 12 cardboard inserts,,$71.02,
4/26/2023,Fees,Etsy,,,,Listing Fees,,$0.60,
4/26/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/26/2023,Fees,Etsy,2871993878,,,Processing Fee,,$2.19,
4/26/2023,Order,Etsy,2871993878,,4,(4) Books,$64.59,,
4/26/2023,Sales Tax,Etsy,2871993878,,,Sales Tax,,$4.65,
4/26/2023,Fees,Etsy,2871993878,,,Transaction Fee,,$3.90,
4/26/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/26/2023,Order,Etsy,2872444630,,1,(1) Book,$15.88,,
4/26/2023,Fees,Etsy,2872444630,,,Processing Fee,,$0.73,
4/26/2023,Sales Tax,Etsy,2872444630,,,Sales Tax,,$0.90,
4/26/2023,Fees,Etsy,2872444630,,,Transaction Fee,,$0.97,
4/26/2023,Fees,Etsy,,,,Listing Fees,,$0.80,
4/26/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/26/2023,Sales Tax,Etsy,2872492640,,,Sales Tax,,$6.89,
4/26/2023,Fees,Etsy,2872492640,,,Transaction Fee,,$4.87,
4/26/2023,Order,Etsy,2872492640,,5,(5) Books,$81.81,,
4/26/2023,Fees,Etsy,2872492640,,,Processing Fee,,$2.70,
4/27/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/27/2023,Sales Tax,Etsy,2873000610,,,Sales Tax,,$1.20,
4/27/2023,Fees,Etsy,2873000610,,,Transaction Fees,,$0.97,
4/27/2023,Order,Etsy,2873000610,,1,(1) Book,$16.18,,
4/27/2023,Fees,Etsy,2873000610,,,Processing Fee,,$0.74,
4/27/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/27/2023,Order,Etsy,2869449397,,1,(1) Book,$16.29,,
4/27/2023,Sales Tax,Etsy,2869449397,,,Sales Tax,,$1.31,
4/27/2023,Fees,Etsy,2869449397,,,Processing Fee,,$0.74,
4/27/2023,Fees,Etsy,2869449397,,,Transaction Fee,,$0.97,
4/28/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/28/2023,Order,Etsy,2870211209,,1,(1) Book,$15.88,,
4/28/2023,Fees,Etsy,2870211209,,,Processing Fee,,$0.73,
4/28/2023,Sales Tax,Etsy,2870211209,,,Sales Tax,,$0.90,
4/28/2023,Fees,Etsy,2870211209,,,Transaction Fee,,$0.97,
4/28/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
4/28/2023,Order,Etsy,2870780995,,1,(1) Book,$16.29,,
4/28/2023,Fees,Etsy,2870780995,,,Processing Fee,,$0.74,
4/28/2023,Fees,Etsy,2870780995,,,Transaction Fee,,$0.97,
4/28/2023,Sales Tax,Etsy,2870780995,,,Sales Tax,,$1.31,
5/1/2023,Supplies,Amazon,,,,4 Sharpie Pens,,$4.51,
5/1/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/1/2023,Order,Etsy,2873431039,,1,(1) Book,$16.03,,
5/1/2023,Fees,Etsy,2873431039,,,Processing Fee,,$0.73,
5/1/2023,Sales Tax,Etsy,2873431039,,,Sales Tax,,$1.05,
5/1/2023,Fees,Etsy,2873431039,,,Transaction Fee,,$0.97,
5/1/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/1/2023,Order,Etsy,2877965108,,1,(1) Book,$15.88,,
5/1/2023,Fees,Etsy,2877965108,,,Processing Fee,,$0.73,
5/1/2023,Sales Tax,Etsy,2877965108,,,Sales Tax,,$0.90,
5/1/2023,Fees,Etsy,2877965108,,,Transaction Fee,,$0.97,
5/2/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/2/2023,Order,Etsy,2875423095,,1,(1) Book,$16.29,,
5/2/2023,Fees,Etsy,2875423095,,,Processing Fee,,$0.74,
5/2/2023,Sales Tax,Etsy,2875423095,,,Sales Tax,,$1.31,
5/2/2023,Fees,Etsy,2875423095,,,Transaction Fee,,$0.97,
5/2/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/2/2023,Order,Etsy,2875708445,,1,(1) Book,$16.18,,
5/2/2023,Fees,Etsy,2875708445,,,Processing Fee,,$0.74,
5/2/2023,Sales Tax,Etsy,2875708445,,,Sales Tax,,$1.20,
5/2/2023,Fees,Etsy,2875708445,,,Transaction Fee,,$0.97,
5/4/2023,Books,Lightning Source,,,,(100) Paperback Copies (SPK-10638961) REFUNDED,,,
5/4/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/4/2023,Order,Etsy,2877651931,,1,(1) Book,$15.95,,
5/4/2023,Fees,Etsy,2877651931,,,Processing Fee,,$0.73,
5/4/2023,Sales Tax,Etsy,2877651931,,,Sales Tax,,$0.97,
5/4/2023,Fees,Etsy,2877651931,,,Transaction Fee,,$0.97,
5/5/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/5/2023,Order,Etsy,2878568735,,1,(1) Book,$16.44,,
5/5/2023,Fees,Etsy,2878568735,,,Processing Fee,,$0.74,
5/5/2023,Sales Tax,Etsy,2878568735,,,Sales Tax,,$1.46,
5/5/2023,Fees,Etsy,2878568735,,,Transaction Fee,,$0.97,
5/6/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/6/2023,Order,Etsy,2883905706,,1,(1) Book,$16.40,,
5/6/2023,Fees,Etsy,2883905706,,,Processing Fee,,$0.74,
5/6/2023,Sales Tax,Etsy,2883905706,,,Sales Tax,,$1.42,
5/6/2023,Fees,Etsy,2883905706,,,Transaction Fee,,$0.97,
5/8/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/8/2023,Order,Etsy,2886101038,,1,(1) Book,$15.88,,
5/8/2023,Fees,Etsy,2886101038,,,Processing Fee,,$0.73,
5/8/2023,Sales Tax,Etsy,2886101038,,,Sales Tax,,$0.90,
5/8/2023,Fees,Etsy,2886101038,,,Transaction Fee,,$0.97,
5/9/2023,Fees,Etsy,,,,Listing Fees,,$0.60,
5/9/2023,Order,Etsy,2887854620,,3,(3) Book,$49.56,,
5/9/2023,Fees,Etsy,2887854620,,,Processing Fee,,$1.74,
5/9/2023,Sales Tax,Etsy,2887854620,,,Sales Tax,,$4.61,
5/9/2023,Fees,Etsy,2887854620,,,Transaction Fee,,$2.92,
5/11/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/11/2023,Order,Etsy,2884575065,,1,(1) Book,$15.88,,
5/11/2023,Fees,Etsy,2884575065,,,Processing Fee,,$0.73,
5/11/2023,Sales Tax,Etsy,2884575065,,,Sales Tax,,$0.90,
5/11/2023,Fees,Etsy,2884575065,,,Transaction Fee,,$0.97,
5/11/2023,Fees,Etsy,,,,Listing Fees,,$0.20,
5/11/2023,Order,Etsy,2885012289,,1,(1) Book,$16.25,,
5/11/2023,Fees,Etsy,2885012289,,,Processing Fee,,$0.74,
