Date hour,General Band T0 kWh,General Band T0 kVARh,Band Section T1 kWh,Band Section T1 kVARh,Band Section T2 kWh,Band Section T2 kVARh,Band Section T3 kWh,Band Section T3 kVARh,Band Section T4 kWh,Band Section T4 kVARh,Band Section T5 kWh,Band Section T5 kVARh,Band Section T6 kWh,Band Section T6 kVARh
01/11/23 00:02:28,3853056.880,2397431.080,427767.620,267207.400,2450678.700,1496352.620,974568.500,633830.240,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:07:28,3853059.660,2397432.020,427767.620,267207.400,2450678.700,1496352.620,974571.280,633831.180,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:12:28,3853062.440,2397432.920,427767.620,267207.400,2450678.700,1496352.620,974574.060,633832.080,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:17:28,3853065.200,2397433.840,427767.620,267207.400,2450678.700,1496352.620,974576.820,633833.000,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:22:32,3853068.220,2397434.840,427767.620,267207.400,2450678.700,1496352.620,974579.840,633834.000,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:27:31,3853070.820,2397436.000,427767.620,267207.400,2450678.700,1496352.620,974582.440,633835.160,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:32:31,3853073.500,2397436.960,427767.620,267207.400,2450678.700,1496352.620,974585.120,633836.120,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:37:31,3853076.060,2397438.100,427767.620,267207.400,2450678.700,1496352.620,974587.680,633837.260,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:42:31,3853078.440,2397439.520,427767.620,267207.400,2450678.700,1496352.620,974590.060,633838.680,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:47:34,3853080.780,2397440.980,427767.620,267207.400,2450678.700,1496352.620,974592.400,633840.140,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:52:33,3853083.560,2397442.400,427767.620,267207.400,2450678.700,1496352.620,974595.180,633841.560,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 00:57:33,3853086.180,2397443.360,427767.620,267207.400,2450678.700,1496352.620,974597.800,633842.520,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:02:38,3853088.780,2397444.360,427767.620,267207.400,2450678.700,1496352.620,974600.400,633843.520,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:07:36,3853091.340,2397445.600,427767.620,267207.400,2450678.700,1496352.620,974602.960,633844.760,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:12:36,3853093.880,2397447.640,427767.620,267207.400,2450678.700,1496352.620,974605.500,633846.800,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:35:17,3853107.060,2397457.820,427767.620,267207.400,2450678.700,1496352.620,974618.680,633856.980,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:37:36,3853108.440,2397459.100,427767.620,267207.400,2450678.700,1496352.620,974620.060,633858.260,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:42:36,3853111.580,2397461.180,427767.620,267207.400,2450678.700,1496352.620,974623.200,633860.340,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:47:36,3853113.940,2397462.820,427767.620,267207.400,2450678.700,1496352.620,974625.560,633861.980,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:52:36,3853116.000,2397464.560,427767.620,267207.400,2450678.700,1496352.620,974627.620,633863.720,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 01:57:39,3853118.400,2397466.640,427767.620,267207.400,2450678.700,1496352.620,974630.020,633865.800,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:02:38,3853120.480,2397468.440,427767.620,267207.400,2450678.700,1496352.620,974632.100,633867.600,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:07:38,3853122.820,2397470.560,427767.620,267207.400,2450678.700,1496352.620,974634.440,633869.720,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:12:38,3853124.940,2397472.460,427767.620,267207.400,2450678.700,1496352.620,974636.560,633871.620,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:17:39,3853126.960,2397474.180,427767.620,267207.400,2450678.700,1496352.620,974638.580,633873.340,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:22:39,3853129.300,2397476.160,427767.620,267207.400,2450678.700,1496352.620,974640.920,633875.320,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:27:39,3853131.360,2397477.900,427767.620,267207.400,2450678.700,1496352.620,974642.980,633877.060,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:32:39,3853133.420,2397479.660,427767.620,267207.400,2450678.700,1496352.620,974645.040,633878.820,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:37:44,3853135.840,2397481.800,427767.620,267207.400,2450678.700,1496352.620,974647.460,633880.960,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:42:43,3853137.940,2397483.700,427767.620,267207.400,2450678.700,1496352.620,974649.560,633882.860,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:47:43,3853140.080,2397485.620,427767.620,267207.400,2450678.700,1496352.620,974651.700,633884.780,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:52:43,3853142.460,2397487.720,427767.620,267207.400,2450678.700,1496352.620,974654.080,633886.880,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 02:57:43,3853144.300,2397489.220,427767.620,267207.400,2450678.700,1496352.620,974655.920,633888.380,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:02:44,3853146.180,2397490.800,427767.620,267207.400,2450678.700,1496352.620,974657.800,633889.960,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:07:43,3853148.400,2397492.800,427767.620,267207.400,2450678.700,1496352.620,974660.020,633891.960,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:12:43,3853150.720,2397494.800,427767.620,267207.400,2450678.700,1496352.620,974662.340,633893.960,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:17:46,3853153.260,2397496.820,427767.620,267207.400,2450678.700,1496352.620,974664.880,633895.980,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:22:46,3853155.160,2397498.420,427767.620,267207.400,2450678.700,1496352.620,974666.780,633897.580,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:27:46,3853157.420,2397500.320,427767.620,267207.400,2450678.700,1496352.620,974669.040,633899.480,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:32:46,3853159.280,2397501.840,427767.620,267207.400,2450678.700,1496352.620,974670.900,633901.000,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:37:50,3853161.720,2397503.920,427767.620,267207.400,2450678.700,1496352.620,974673.340,633903.080,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:42:50,3853163.640,2397505.600,427767.620,267207.400,2450678.700,1496352.620,974675.260,633904.760,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:47:50,3853165.780,2397507.480,427767.620,267207.400,2450678.700,1496352.620,974677.400,633906.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:52:50,3853167.740,2397509.080,427767.620,267207.400,2450678.700,1496352.620,974679.360,633908.240,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 03:57:50,3853169.880,2397510.820,427767.620,267207.400,2450678.700,1496352.620,974681.500,633909.980,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:02:50,3853172.000,2397512.560,427767.620,267207.400,2450678.700,1496352.620,974683.620,633911.720,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:07:50,3853173.880,2397514.100,427767.620,267207.400,2450678.700,1496352.620,974685.500,633913.260,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:12:50,3853176.100,2397515.960,427767.620,267207.400,2450678.700,1496352.620,974687.720,633915.120,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:17:53,3853177.960,2397517.480,427767.620,267207.400,2450678.700,1496352.620,974689.580,633916.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:22:53,3853180.300,2397519.400,427767.620,267207.400,2450678.700,1496352.620,974691.920,633918.560,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:27:53,3853182.120,2397520.880,427767.620,267207.400,2450678.700,1496352.620,974693.740,633920.040,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:32:53,3853184.380,2397522.720,427767.620,267207.400,2450678.700,1496352.620,974696.000,633921.880,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:37:56,3853186.260,2397524.240,427767.620,267207.400,2450678.700,1496352.620,974697.880,633923.400,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:42:56,3853188.380,2397525.980,427767.620,267207.400,2450678.700,1496352.620,974700.000,633925.140,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:47:57,3853190.460,2397527.640,427767.620,267207.400,2450678.700,1496352.620,974702.080,633926.800,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:52:58,3853192.220,2397529.120,427767.620,267207.400,2450678.700,1496352.620,974703.840,633928.280,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 04:58:01,3853194.280,2397530.880,427767.620,267207.400,2450678.700,1496352.620,974705.900,633930.040,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:03:00,3853195.960,2397532.320,427767.620,267207.400,2450679.700,1496353.460,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:08:00,3853198.180,2397534.220,427767.620,267207.400,2450681.920,1496355.360,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:13:00,3853199.900,2397535.660,427767.620,267207.400,2450683.640,1496356.800,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:18:02,3853201.900,2397537.360,427767.620,267207.400,2450685.640,1496358.500,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:23:02,3853203.820,2397539.080,427767.620,267207.400,2450687.560,1496360.220,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:28:02,3853205.820,2397540.920,427767.620,267207.400,2450689.560,1496362.060,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:33:02,3853207.980,2397542.820,427767.620,267207.400,2450691.720,1496363.960,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:38:06,3853209.700,2397544.260,427767.620,267207.400,2450693.440,1496365.400,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:43:06,3853211.800,2397546.060,427767.620,267207.400,2450695.540,1496367.200,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:48:06,3853213.480,2397547.460,427767.620,267207.400,2450697.220,1496368.600,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:53:06,3853215.640,2397549.280,427767.620,267207.400,2450699.380,1496370.420,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 05:58:09,3853217.460,2397550.820,427767.620,267207.400,2450701.200,1496371.960,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:03:09,3853219.280,2397552.340,427767.620,267207.400,2450703.020,1496373.480,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:08:09,3853221.260,2397553.980,427767.620,267207.400,2450705.000,1496375.120,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:13:09,3853223.000,2397555.420,427767.620,267207.400,2450706.740,1496376.560,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:18:11,3853225.200,2397557.280,427767.620,267207.400,2450708.940,1496378.420,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:23:11,3853226.880,2397558.720,427767.620,267207.400,2450710.620,1496379.860,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:28:11,3853229.020,2397560.560,427767.620,267207.400,2450712.760,1496381.700,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:33:11,3853230.680,2397562.000,427767.620,267207.400,2450714.420,1496383.140,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:38:16,3853232.940,2397563.940,427767.620,267207.400,2450716.680,1496385.080,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:43:16,3853234.680,2397565.440,427767.620,267207.400,2450718.420,1496386.580,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:48:16,3853236.720,2397567.180,427767.620,267207.400,2450720.460,1496388.320,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:53:16,3853238.440,2397568.620,427767.620,267207.400,2450722.180,1496389.760,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 06:58:19,3853240.380,2397570.300,427767.620,267207.400,2450724.120,1496391.440,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
01/11/23 07:03:18,3853242.280,2397572.000,427767.620,267207.400,2450726.020,1496393.140,974706.580,633930.640,0.000,0.000,0.000,0.000,0.000,0.000
