DATE, AMOUNT, TYPE, KIND, DETAILS, CODE
1/3/2017,-$60.28,Utility,ADT,DEBIT PURCHASE,10027
1/3/2017,-$108.00,Labor,gallery sitting,CHECK   15252,10010
1/3/2017,-$100.00,Building,Labor- Paint facade,WITHDRAWAL,10004
1/3/2017,-$140.00,Building,Labor- Paint facade,WITHDRAWAL,10004
1/3/2017,-$400.00,Building,Labor- Paint facade,WITHDRAWAL,10004
1/3/2017,-$416.50,Art Fair,NADA Shipping PS - Nada Shipping,CHECK   15251,10001
1/3/2017,-$146.81,Production,PIG Arron Brothers ,DEBIT PURCHASE,10016
1/4/2017,-$8.08,Meal,Artist PIG,DEBIT PURCHASE,10012
1/4/2017,-$239.00,Storage,Whittier,DEBIT PURCHASE,10017
1/4/2017,-$80.00,ER,ER,WITHDRAWAL,10005
1/4/2017,-$29.16,HHA Office,Google App ,DEBIT PURCHASE,10013
1/4/2017,-$136.10,Art Fair,MACO Travel,DEBIT PURCHASE,10001
1/4/2017,-$166.60,Art Fair,MACO Travel,DEBIT PURCHASE,10001
1/4/2017,-$296.20,Travel,Plane NY,DEBIT PURCHASE,10026
1/4/2017,-$135.80,Opening ,SA Wine for gallery,DEBIT PURCHASE,10014
1/5/2017,-$26.19,Meal,Artist EMZ,OTHER DECREASE,10012
1/5/2017,-$5.59,Exhibition,Refferal,DEBIT PURCHASE,10006
1/5/2017,-$85.06,Production,PIG Fames ,OTHER DECREASE,10016
1/6/2017,-$26.08,Building,Anawalt,DEBIT PURCHASE,10004
1/6/2017,-$133.25,HHA Office,Costco,DEBIT PIN PURCHASE,10013
1/6/2017,-$225.00,Labor,gallery sitting,CHECK   15250,10010
1/6/2017,-$146.81,Production,PIG Arron Brothers ,DEBIT PURCHASE,10016
1/6/2017,-$190.86,Exhibition,TO Best Buy - Speakers,DEBIT PIN PURCHASE,10006
1/6/2017,"$109,000.00",SALE,TO,INCOMING WIRE,10024
1/9/2017,-$6.92,HHA Office,Amazon,DEBIT PURCHASE,10013
1/9/2017,-$21.25,HHA Office,Amazon,DEBIT PURCHASE,10013
1/9/2017,-$21.26,HHA Office,Amazon,DEBIT PURCHASE,10013
1/9/2017,-$109.00,HHA Office,Art Binder,DEBIT PURCHASE,10013
1/9/2017,-$15.00,Bank Fee,Bank Fee,ACH Electronic Debit,10003
1/9/2017,-$75.00,Labor,gallery sitting,CHECK   15253,10010
1/9/2017,-$1.00,HHA Misc.,Parking,DEBIT PURCHASE,10020
1/9/2017,-$121.79,Utility,phone,DEBIT PURCHASE,10027
1/10/2017,-$6.85,HHA Office,Amazon,DEBIT PURCHASE,10013
1/10/2017,$591.41,HHA Office,Apple,OTHER ADDITION,10013
1/10/2017,-$437.91,HHA Office,Apple,DEBIT PURCHASE,10013
1/10/2017,-$998.36,HHA Office,Apple,DEBIT PURCHASE,10013
1/10/2017,-$1.00,HHA Office,Apple app,DEBIT PURCHASE,10013
1/10/2017,-$4.75,Meal,Artist JAK,DEBIT PURCHASE,10012
1/10/2017,-$13.00,Meal,Artist JAK,DEBIT PURCHASE,10012
1/10/2017,-$21.50,Meal,Artist JAK,DEBIT PURCHASE,10012
1/10/2017,-$126.30,Utility,LADWP,OTHER DECREASE,10027
1/10/2017,-$150.13,Utility,phone,DEBIT PURCHASE,10027
1/10/2017,-$69.98,Exhibition,TO Amazon,DEBIT PURCHASE,10006
1/11/2017,-$14.25,Meal,Artist JAK,DEBIT PURCHASE,10012
1/11/2017,-$6.00,Meal,Client CS,DEBIT PURCHASE,10013
1/11/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE,10013
1/11/2017,-$30.76,LA Transport,gas,DEBIT PURCHASE,10009
1/12/2017,-$0.99,HHA Office,Apple app,DEBIT PURCHASE,10013
1/12/2017,-$74.45,Meal,Artist EMZ,HHA Office,10012
1/12/2017,"-$3,750.00",Labor,CS,CHECK   15260,10010
1/12/2017,-$23.81,Meal,HHA Office,OTHER DECREASE,10013
1/13/2017,-$7.02,Meal,Artist EMZ,DEBIT PURCHASE,10012
1/13/2017,-$19.03,Meal,Client CS,DEBIT PURCHASE,10013
1/17/2017,"-$4,985.00",RENT,Holllywood,CHECK   15264,10017
1/17/2017,"-$2,475.00",Artist Payment,Paul Gellman,CHECK   15255,10002
1/17/2017,"-$2,500.00",Artist Payment,Paul Gellman,CHECK   15254,10002
1/17/2017,-$250.00,Artist Payment,Paul Gelman,CHECK   15256,10002
1/17/2017,"-$2,000.00",Labor,PR Jeff Murko,CHECK   15258,10010
1/17/2017,-$200.00,Exhibition,TO Materials delivery,Citibank ATM Withdrawal,10006
1/17/2017,-$36.51,HHA Office,Walgreens,DEBIT PURCHASE,10013
1/18/2017,-$13.72,HHA Office,Amazon,DEBIT PURCHASE,10013
1/18/2017,-$239.00,Storage,Whittier,DEBIT PURCHASE,10017
1/18/2017,-$105.00,HHA Office,Mailchimp,DEBIT PURCHASE,10013
1/18/2017,-$18.21,Research,Sirius,DEBIT PURCHASE,10018
1/18/2017,-$70.85,Opening ,TO test dinner,DEBIT PURCHASE,10014
1/18/2017,"-$42,000.00",Artist Payment,TO,CHECK   15257,10002
1/18/2017,-$20.00,Travel,Travel,DEBIT PURCHASE,10026
1/18/2017,-$23.00,Travel,Travel,DEBIT PURCHASE,10026
1/19/2017,$859.16,HHA Office,Apple,DEBIT RETURN,10013
1/19/2017,"-$9,288.00",Sales Tax,IRS,OTHER DECREASE,10025
1/19/2017,-$18.17,HHA Office,Stamps,DEBIT PURCHASE,10013
1/19/2017,-$150.00,Photography,TO Photography ,CHECK   15262,10015
1/19/2017,-$270.00,Photography,TO Photography ,CHECK   15263,10015
1/20/2017,-$9.80,Meal,Artist JAK,DEBIT PURCHASE,10012
1/20/2017,-$77.51,Meal,Artist TO,DEBIT PURCHASE,10012
1/20/2017,-$127.79,Meal,Artist TO,DEBIT PURCHASE,10012
1/20/2017,-$300.00,Travel ,Taxis,Citibank ATM Withdrawal,10026
1/20/2017,-$69.14,Travel,Travel,OTHER DECREASE,10026
1/20/2017,-$20.00,Travel,Travel ,DEBIT PURCHASE,10026
1/23/2017,-$32.61,Meal,Artist CF,OTHER DECREASE,10012
1/23/2017,-$217.91,Meal,Artist JAK,DEBIT PURCHASE,10012
1/24/2017,-$2.99,HHA office,Apple app,DEBIT PURCHASE,10013
1/24/2017,-$5.97,HHA office,Apple app,DEBIT PURCHASE,10013
1/24/2017,-$484.00,Labor,HL,CHECK   15243,10010
1/24/2017,-$528.00,Labor,HL,CHECK   15261,10010
1/24/2017,-$142.88,Utility,Internet,DEBIT PURCHASE,10027
1/25/2017,-$84.09,Insurance,Insurance,OTHER DECREASE,10008
1/26/2017,-$4.33,Building,Anawalt,DEBIT PURCHASE,10004
1/27/2017,-$1.22,HHA office,Internet,DEBIT PURCHASE,10013
1/27/2017,-$20.00,Art Fair,MACO Travel,DEBIT PURCHASE,10001
1/30/2017,-$12.43,Meal,Artist BOC,DEBIT PURCHASE,10012
1/30/2017,-$200.00,ER,Y,NONCITIBANK ATM WITHDRAWAL,10005
1/30/2017,-$500.00,ER,Y,CHECK   15259,10005
1/30/2017,-$87.11,uber,uber,OTHER DECREASE,10026
1/30/2017,-$81.63,Meal,Writer,DEBIT PURCHASE,10013
1/31/2017,-$60.28,Utility,ADT,DEBIT PURCHASE,10027
1/31/2017,-$11.43,Meal,Artist BOC,DEBIT PURCHASE,10012
1/31/2017,-$11.99,Research,netflix,DEBIT PURCHASE,10018
1/31/2017,-$8.14,HHA Misc. ,Parking,DEBIT PURCHASE,10020
1/31/2017,-$7.53,Meal,HHA Office,DEBIT PURCHASE,10013
1/31/2017,-$16.31,Opening ,SA Wine for gallery,DEBIT PURCHASE,10014
1/31/2017,$855.00,Exhibition,TO Air bnb return,DEBIT RETURN,10006
1/31/2017,-$943.00,Exhibition,TO Airbnb,DEBIT PURCHASE                Jan 28 7690,10006
1/31/2017,"-$1,061.00",Exhibition,TO Airbnb,DEBIT PURCHASE                Jan 29 7690,10006
1/31/2017,-$985.08,Exhibition,TO Amazon,DEBIT PURCHASE                Jan 27 7690,10006
1/31/2017,"-$2,398.00",Exhibition,TO Amazon,DEBIT PURCHASE                Jan 27 7690,10006
1/31/2017,-$200.06,Exhibition,TO Anawalt,DEBIT PURCHASE                Jan 29 0895,10006
2/1/2017,-$1.99,HHA Office,Apple app,DEBIT PURCHASE                Jan 29 7690,10013
2/1/2017,-$2.99,HHA Office,Apple app,DEBIT PURCHASE                Jan 29 7690,10013
2/1/2017,-$226.21,Labor,CS EDD,OTHER DECREASE,10010
2/1/2017,"-$1,512.00",Labor,SJ,CHECK   15269,10010
2/1/2017,-$38.79,Exhibition,TO Anawalt,DEBIT PURCHASE                Jan 30 0895,10006
2/1/2017,-$443.25,Exhibition,TO Anawalt,DEBIT PURCHASE                Jan 30 0895,10006
2/1/2017,-$30.44,Exhibition,TO Restaurant,DEBIT PURCHASE                Jan 29 7690,10006
2/1/2017,-$93.15,Exhibition,TO Restaurant,DEBIT PURCHASE                Jan 31 7690,10006
