Area,Category,ID,Position,Qty,Amount,Tax,Total Amount
Building,100 staffing fees,101,Operational Supervisor,0,$ -,0,$ -
Building,100 staffing fees,102,Accounting assistant,0,$ -,0,$ -
Building,100 staffing fees,106,Electrician,0,$ -,0,$ -
Building,100 staffing fees,109,Uniforms,0,$ -,0,$ -
Common area,100 staffing fees,101,Resident Manager,1,"$20,000.00","3,200.00","$23,200.00"
Common area,100 staffing fees,102,Accounting assistant,1,"$10,000.00","1,600.00","$11,600.00"
Common area,100 staffing fees,103,Administrative Assistant,0,$ -,0,$ -
Common area,100 staffing fees,104,Kids Room,0,$ -,0,$ -
Common area,100 staffing fees,105,Mainless Chief,1,"$12,000.00","1,920.00","$13,920.00"
Common area,100 staffing fees,106,Electrician,,"$9,000.00","1,440.00",
Common area,100 staffing fees,107,Plumber,,$ -,0,$ -
Common area,100 staffing fees,108,Night officer,1,$ -,0,"$10,440.00"
Common area,100 staffing fees,109,Uniforms,2,$333.30,53.33,$773.26
Building,200 subcontracted services,202,Receptionists,2,"$12,500.00","$4,000.00","$29,000.00"
Building,200 subcontracted services,205,Cleaning,2,"$8,200.00","$2,624.00","$19,024.00"
Building,200 subcontracted services,206,Gardening,,$ -,$ -,$ -
Building,200 subcontracted services,207,Internet Service,126,10,$201.60,"$1,461.60"
Common area,200 subcontracted services,201,Security boss,1,"$15,000.00","$2,400.00","$17,400.00"
Common area,200 subcontracted services,202,Receptionists,,$ -,$ -,$ -
Common area,200 subcontracted services,203,Security,2,"$13,000.00","$2,080.00","$30,160.00"
Common area,200 subcontracted services,204,Monitor,,$ -,$ -,$ -
Common area,200 subcontracted services,205,Cleaning,4,"$8,200.00","$1,312.00","$38,048.00"
Common area,200 subcontracted services,206,Gardening,3,"$7,500.00","$1,200.00","$26,100.00"
Common area,200 subcontracted services,207,Internet Service,0,10,$ -,$ -
Building,300 Various maintenance subcontracts,301,Garbage collection,1,"$1,000.00",160,"$1,160.00"
Building,300 Various maintenance subcontracts,302,Fumigation and control,1,"$1,500.00",$ -,"$1,500.00"
Building,300 Various maintenance subcontracts,303,CISTERN CLEANING,0,$875.00,$ -,$ -
Building,300 Various maintenance subcontracts,304,Glass cleaning,0,$ -,,$ -
Common area,300 Various maintenance subcontracts,301,Garbage collection,1,"$1,000.00",160,"$1,160.00"
Common area,300 Various maintenance subcontracts,302,Fumigation and control,1,"$5,000.00",800,"$5,000.00"
Common area,300 Various maintenance subcontracts,303,CISTERN CLEANING,1,$375.00,60,$ -
Common area,300 Various maintenance subcontracts,304,Glass cleaning,1,"$7,500.00","1,200.00",$ -
Building,500 maintenance subcontracts equipment,501,Emergency plant,1,$666.67,$ -,$666.67
Building,500 maintenance subcontracts equipment,502,DILE load,1,$700.00,,$700.00
