Date,Branch,Branc Description,Operational code,Reference,Concept,Amount ARS,Account
16/04/2020,150,San Salvador De Jujuy,2030,3675,Effective Deposit Online,"4.300,00",
30/04/2020,362,Rosario Echesortu,2030,9150,Effective Deposit Online,700,24145
30/04/2020,362,Rosario Echesortu,2030,9150,Effective Deposit Online,700,24145
4/05/2020,0,Central House,4805,1263896,Immediate Transfers,"14.300,00",24543
4/05/2020,704,Plaza Cabral Corrientes Capital,2030,213,Effective Deposit Online,"6.600,00",22799
5/05/2020,457,Mercedes Corrientes,2030,8721,Effective Deposit Online,"4.500,00",24540
6/05/2020,704,Plaza Cabral Corrientes Capital,2030,5056,Effective Deposit Online,10,22799
6/05/2020,457,Mercedes Corrientes,2030,9076,Effective Deposit Online,310,24540
6/05/2020,0,Central House,4805,85578888,Immediate Transfers,"20.000,00",24840
6/05/2020,246,Jesus Maria - Cordoba,2030,706,Effective Deposit Online,"7.440,00",22930
6/05/2020,0,Central House,4805,764497,Immediate Transfers,"44.645,00",24762
6/05/2020,69,Tucuman,1257,11202515,Credit Trans By Online Banking,890,24048
6/05/2020,0,Central House,2767,39251816,Credin Credit,"2.278,00",20122
6/05/2020,0,Central House,4805,86148194,Immediate Transfers,"1.260,00",22351
6/05/2020,0,Central House,4805,92198640,Immediate Transfers,"2.900,00",24842
6/05/2020,0,Central House,4805,12191017,Immediate Transfers,"15.650,00",24838
6/05/2020,0,Central House,4805,60190955,Immediate Transfers,"3.674,00",24545
6/05/2020,69,Tucuman,1430,14390367,Ctas Mobile Banking Transfer,"6.970,00",24544
6/05/2020,0,Central House,4805,753600,Immediate Transfers,"4.549,00",24778
6/05/2020,264,Catamarca,2030,2565,Effective Deposit Online,"4.100,00",24643
6/05/2020,548,Curuzu Cuatia Corrientes,2030,1080,Effective Deposit Online,"14.000,00",24777
6/05/2020,0,Central House,4805,904252,Immediate Transfers,"5.700,00",
6/05/2020,265,Rio Tercero - Cordoba,2030,95,Effective Deposit Online,"11.100,00",23977
6/05/2020,225,Tucuman - Sur,2030,1922,Effective Deposit Online,"4.200,00",24767
6/05/2020,0,Central House,4805,302496,Immediate Transfers,497,24236
6/05/2020,0,Central House,4805,5310,Immediate Transfers,"5.945,00",23629
7/05/2020,69,Tucuman,1253,15177550,Credit Trans Online Banking Emp,"15.361,00",24833
8/05/2020,0,Central House,4805,72716055,Immediate Transfers,930,23827
8/05/2020,0,Central House,4805,20122156,Immediate Transfers,"2.508,00",24647
8/05/2020,0,Central House,4805,3536,Immediate Transfers,"8.483,00",24222
8/05/2020,0,Central House,4805,9060,Immediate Transfers,"1.000,00",24248
8/05/2020,245,Salta - Tres Cerritos,2030,8378,Effective Deposit Online,"6.800,00",23470
8/05/2020,245,Salta - Tres Cerritos,2030,7409,Effective Deposit Online,"1.000,00",23470
8/05/2020,701,San Martin Tucuman,2030,2700,Effective Deposit Online,"3.620,00",24648
8/05/2020,0,Central House,4805,2217,Immediate Transfers,"4.592,00",24398
8/05/2020,0,Central House,4805,9037,Immediate Transfers,"5.238,00",24593
8/05/2020,0,Central House,4805,686,Immediate Transfers,"655,37",24761
8/05/2020,69,Tucuman,1257,12560450,Credit Trans By Online Banking,"4.632,00",23257
8/05/2020,327,Tartagal,2030,422,Effective Deposit Online,"37.000,00",24647
8/05/2020,0,Central House,4805,925860,Immediate Transfers,"12.897,00",24593
8/05/2020,0,Central House,4805,81635784,Immediate Transfers,"1.720,00",19589
8/05/2020,165,Salta,2030,5998,Effective Deposit Online,"3.220,00",23264
8/05/2020,0,Central House,4805,19,Immediate Transfers,"5.702,00",24842
8/05/2020,0,Central House,4805,64176701,Immediate Transfers,"13.355,00",24778
8/05/2020,448,San Antonio De Areco,2030,8236,Effective Deposit Online,"10.000,00",24840
8/05/2020,150,San Salvador De Jujuy,2030,1128,Effective Deposit Online,"9.500,00",24594
8/05/2020,225,Tucuman - Sur,2030,2489,Effective Deposit Online,"3.200,00",24399
8/05/2020,0,Central House,4805,7571,Immediate Transfers,"4.678,00",24236
8/05/2020,476,Puerto Olivos,2030,916,Effective Deposit Online,"34.000,00",24762
8/05/2020,0,Central House,4805,74773264,Immediate Transfers,"40.000,00",24762
8/05/2020,0,Central House,4805,95223700,Immediate Transfers,"47.000,00",24820
8/05/2020,69,Tucuman,1430,20340928,Ctas Mobile Banking Transfer,"11.304,00",24777
8/05/2020,0,Central House,4805,7263,Immediate Transfers,"6.750,00",24287
8/05/2020,0,Central House,4805,9828,Immediate Transfers,"3.737,00",24838
8/05/2020,0,Central House,4805,6039,Immediate Transfers,"7.722,00",23842
8/05/2020,511,Av. Cordoba,2030,2622,Effective Deposit Online,"4.000,00",24374
8/05/2020,57,Gaona,2030,165,Effective Deposit Online,"1.310,00",24229
8/05/2020,57,Gaona,2030,165,Effective Deposit Online,"1.310,00",24229
9/05/2020,69,Tucuman,1257,17371605,Credit Trans By Online Banking,"2.800,00",24828
11/05/2020,165,Salta,2030,6223,Effective Deposit Online,"12.900,00",24761
11/05/2020,165,Salta,2030,3329,Effective Deposit Online,20,24761
11/05/2020,0,Central House,4805,795863,Immediate Transfers,"3.200,00",24538
11/05/2020,0,Central House,4805,81300,Immediate Transfers,"12,14",24285
11/05/2020,0,Central House,4805,65006,Immediate Transfers,"1.214,00",24285
11/05/2020,0,Central House,2767,28544155,Credin Credit,"1.365,00",22887
11/05/2020,90,San Fernando,2030,1413,Effective Deposit Online,"2.710,00",24286
11/05/2020,548,Curuzu Cuatia Corrientes,2030,3323,Effective Deposit Online,"6.070,00",24644
11/05/2020,280,San Isidro - Tomkinson,2030,695,Effective Deposit Online,"3.000,00",24436
11/05/2020,280,San Isidro - Tomkinson,2030,697,Effective Deposit Online,"2.000,00",24436
