Sale Date,Day of Week,Item Name,Repeat Customer Y/N,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Ship State,Ship Country,Order ID,,,,,,,,,,,,,,,,,,
12/3/2021,Friday,Milk Chocolate Toffee,,1,15,,,0,0,5,0,15,USD,IA,United States,2287883132,,,,,,,,,,,,,,,,,,
12/8/2021,Wednesday,Milk Chocolate Toffee,,4,15,,,0,40,0,0,60,USD,MO,United States,2298981856,,,,,,,,,,,,,,,,,,
12/8/2021,Wednesday,S'mores Bars,,4,20,,,0,0,0,0,80,USD,MO,United States,2298981856,,,,,,,,,,,,,,,,,,
12/13/2021,Monday,S'mores Bars,,1,20,,,0,0,5,0,20,USD,TX,United States,2308814044,,,,,,,,,,,,,,,,,,
12/15/2021,Wednesday,Milk Chocolate Toffee,Y,1,15,,,0,0,5,0,15,USD,MA,United States,2311338353,,,,,,,,,,,,,,,,,,
12/17/2021,Friday,M&M with White Chocolate Bars,Y,1,20,,,0,0,5,0,20,USD,MA,United States,2315764864,,,,,,,,,,,,,,,,,,
12/20/2021,Monday,Milk Chocolate Toffee,,1,15,,,0,0,5,0,15,USD,PA,United States,2317885599,,,,,,,,,,,,,,,,,,
12/25/2021,Saturday,M&M with White Chocolate Bars,,1,20,,,0,0,5,0,20,USD,TX,United States,2323003203,,,,,,,,,,,,,,,,,,
12/31/2021,Friday,Caramel Pecan Bars,,1,20,,,0,0,5,0,20,USD,GA,United States,2329406886,,,,,,,,,,,,,,,,,,
1/3/2022,Monday,M&M with White Chocolate Bars,Y,1,20,,,0,0,5,0,20,USD,MA,United States,2332499609,,,,,,,,,,,,,,,,,,
1/8/2022,Saturday,Caramel Pecan Bars,,1,20,,,0,0,0,0,20,USD,VA,United States,2338369226,,,,,,,,,,,,,,,,,,
1/8/2022,Saturday,Dried Cranberries and White Chocolate Bars,,1,20,,,0,10,0,0,20,USD,VA,United States,2338369226,,,,,,,,,,,,,,,,,,
1/13/2022,Thursday,S'mores Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,CO,United States,2343697910,,,,,,,,,,,,,,,,,,
1/15/2022,Saturday,S'mores Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,FL,United States,2346978609,,,,,,,,,,,,,,,,,,
1/16/2022,Sunday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,NV,United States,2346584914,,,,,,,,,,,,,,,,,,
1/16/2022,Sunday,S'mores Bars,,1,20,FAMILY5;FREESHIP,FAMILY5 - ;FREESHIP - % off shipping,5,5,0,0,20,USD,NJ,United States,2346986228,,,,,,,,,,,,,,,,,,
1/16/2022,Sunday,S'mores Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,PA,United States,2347073850,,,,,,,,,,,,,,,,,,
1/17/2022,Monday,S'mores Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,WA,United States,2348777541,,,,,,,,,,,,,,,,,,
1/18/2022,Tueday,M&M with White Chocolate Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,DE,United States,2348573590,,,,,,,,,,,,,,,,,,
1/18/2022,Tuesday,S'mores Bars,Y,2,20,FREESHIP,FREESHIP - % off shipping,0,10,0,0,40,USD,AZ,United States,2349366069,,,,,,,,,,,,,,,,,,
1/19/2022,Wednesday,Caramel Pecan Bars,,1,20,FREESHIP;FAVORITE5,FREESHIP - % off shipping;FAVORITE5 - ,5,5,0,0,20,USD,CO,United States,2349741104,,,,,,,,,,,,,,,,,,
1/19/2022,Wednesday,S'mores Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,MI,United States,2350107736,,,,,,,,,,,,,,,,,,
1/22/2022,Saturday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,VT,United States,2353663494,,,,,,,,,,,,,,,,,,
1/22/2022,Saturday,S'mores Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,IL,United States,2353644906,,,,,,,,,,,,,,,,,,
1/22/2022,Saturday,S'mores Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,CA,United States,2354153191,,,,,,,,,,,,,,,,,,
1/23/2022,Sunday,S'mores Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,FL,United States,2355123202,,,,,,,,,,,,,,,,,,
1/24/2022,Monday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,IN,United States,2355755123,,,,,,,,,,,,,,,,,,
1/25/2022,Tuesday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,CA,United States,2357662727,,,,,,,,,,,,,,,,,,
1/26/2022,Wednesday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,IL,United States,2358344939,,,,,,,,,,,,,,,,,,
1/27/2022,Thursday,Milk Chocolate Toffee,,1,15,FREESHIP,FREESHIP - % off shipping,0,5,0,0,15,USD,NC,United States,2359786609,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,Caramel Pecan Bars,,1,20,FREESHIP;FREESHIP,FREESHIP - % off shipping;FREESHIP - % off shipping,0,10,0,0,20,USD,NY,United States,2360529046,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,Caramel Pecan Bars,,1,20,FREESHIP;FREESHIP,FREESHIP - % off shipping;FREESHIP - % off shipping,0,0,0,0,20,USD,IL,United States,2360571187,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,TX,United States,2360641471,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,M&M with White Chocolate Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,MA,United States,2360690687,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,Milk Chocolate Toffee,,1,15,FREESHIP;FREESHIP,FREESHIP - % off shipping;FREESHIP - % off shipping,0,10,0,0,15,USD,IL,United States,2360571187,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,S'mores Bars,,1,20,FREESHIP;FREESHIP,FREESHIP - % off shipping;FREESHIP - % off shipping,0,0,0,0,20,USD,NY,United States,2360529046,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,S'mores Bars,Y,1,20,FREESHIP;THANKYOU,FREESHIP - % off shipping;THANKYOU - ,5,5,0,0,20,USD,CA,United States,2360963300,,,,,,,,,,,,,,,,,,
1/28/2022,Friday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,MA,United States,2360535629,,,,,,,,,,,,,,,,,,
1/29/2022,Saturday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,KS,United States,2361988037,,,,,,,,,,,,,,,,,,
1/29/2022,Saturday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,CT,United States,2361882320,,,,,,,,,,,,,,,,,,
1/29/2022,Saturday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,CA,United States,2361940598,,,,,,,,,,,,,,,,,,
1/29/2022,Saturday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,TX,United States,2361997412,,,,,,,,,,,,,,,,,,
1/30/2022,Sunday,S'mores Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,TX,United States,2362251375,,,,,,,,,,,,,,,,,,
1/30/2022,Sunday,S'mores Bars,,2,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,40,USD,TX,United States,2363369766,,,,,,,,,,,,,,,,,,
1/30/2022,Sunday,S'mores Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,FL,United States,2363282646,,,,,,,,,,,,,,,,,,
1/31/2022,Monday,M&M with White Chocolate Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,MA,United States,2363908349,,,,,,,,,,,,,,,,,,
1/31/2022,Monday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,FL,United States,2364643780,,,,,,,,,,,,,,,,,,
1/31/2022,Monday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,MO,United States,2364227846,,,,,,,,,,,,,,,,,,
2/1/2022,Tuesday,Dried Cranberries and White Chocolate Bars,Y,1,20,FREESHIP;FREESHIP;FREESHIP,FREESHIP - % off shipping;FREESHIP - % off shipping;FREESHIP - % off shipping,0,10,0,0,20,USD,OR,United States,2365725602,,,,,,,,,,,,,,,,,,
2/1/2022,Tuesday,M&M with White Chocolate Bars,Y,1,20,FREESHIP;FREESHIP;FREESHIP,FREESHIP - % off shipping;FREESHIP - % off shipping;FREESHIP - % off shipping,0,0,0,0,20,USD,OR,United States,2365725602,,,,,,,,,,,,,,,,,,
2/1/2022,Tuesday,S'mores Bars,Y,1,20,FREESHIP;FREESHIP;FREESHIP,FREESHIP - % off shipping;FREESHIP - % off shipping;FREESHIP - % off shipping,0,0,0,0,20,USD,OR,United States,2365725602,,,,,,,,,,,,,,,,,,
2/1/2022,Tuesday,S'mores Bars,Y,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,TN,United States,2365204508,,,,,,,,,,,,,,,,,,
2/1/2022,Tuesday,White Chocolate Toffee,,1,15,,,0,0,0,0,15,USD,MD,United States,2365331084,,,,,,,,,,,,,,,,,,
2/2/2022,Wednesday,Caramel Pecan Bars,Y,1,20,FREESHIP;THANKYOU,FREESHIP - % off shipping;THANKYOU - ,5,5,0,0,20,USD,TX,United States,2366605346,,,,,,,,,,,,,,,,,,
2/2/2022,Wednesday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,CA,United States,2367056390,,,,,,,,,,,,,,,,,,
2/2/2022,Wednesday,Caramel Pecan Bars,,1,20,FREESHIP,FREESHIP - % off shipping,0,5,0,0,20,USD,MI,United States,2366612551,,,,,,,,,,,,,,,,,,
