Date,Section,Cash,Number,ServiceType,Period,Account,Zone,Plan_A,Plan_B,Others_Cost,Total,VAT,VAT Amount,Bill_Total,Payments_on_account,Billing Code,Billing_Code_Period
7/6/2022,3,4,75235,2,202206,1307,4,1,1700,100,1800,"21,0",378,2178,0,72234702392162,20220617
2/8/2023,3,4,107320,1,202308,44,2,2,4450,250,4700,"21,0",987,5687,0,73314579412954,20230812
5/2/2018,3,4,327,1,201802,144,4,1,565,365,930,"21,0","195,3","1125,3",930,68064417637135,20180215
1/4/2019,3,4,7122,5,201904,797,4,1,600,0,600,"21,0",126,726,0,69134587405502,20190411
4/2/2019,3,4,5351,4,201902,375,2,1,565,0,565,"21,0","118,65","683,65",0,69054113505074,20190214
4/4/2019,3,4,7211,1,201904,480,2,1,600,0,600,"21,0",126,726,0,69144679505215,20190414
5/4/2018,3,4,725,5,201804,186,2,1,565,0,565,"21,0","118,65","683,65",0,68144719539897,20180415
2/3/2021,3,4,39203,2,202103,795,1,1,1100,0,1100,"21,0",231,1331,0,71094488138566,20210312
9/4/2019,3,4,7244,1,201904,899,1,18,1235,0,1235,"21,0","259,35","1494,35",0,69154785743432,20190419
1/3/2023,3,4,94754,5,202303,2085,1,18,4650,250,4900,"21,0",1029,5929,0,73094962226085,20230311
5/5/2020,3,4,21671,1,202005,940,4,1,750,0,750,"21,0","157,5","907,5",0,70184674568324,20200515
2/8/2023,3,4,107447,5,202308,684,2,18,6020,250,6270,"21,0","1316,7","7586,7",0,73314579412954,20230812
2/7/2022,3,4,75382,3,202207,1030,1,163,3850,100,3950,"21,0","829,5","4779,5",0,72274779541046,20220712
3/5/2019,3,4,7319,1,201905,480,2,1,600,0,600,"21,0",126,726,0,69184517733539,20190513
2/5/2018,3,4,899,3,201805,105,1,10,865,0,865,"21,0","181,65","1046,65",0,68184353319897,20180512
2/5/2018,3,4,915,2,201805,111,1,1,565,0,565,"21,0","118,65","683,65",0,68184353319897,20180512
2/5/2018,3,4,937,4,201805,144,4,1,565,0,565,"21,0","118,65","683,65",0,68184353319897,20180512
2/5/2018,3,4,975,2,201805,186,2,1,565,0,565,"21,0","118,65","683,65",0,68184353319897,20180512
2/7/2022,3,4,76045,1,202207,1881,2,1,1870,100,1970,"21,0","413,7","2383,7",0,72274779656884,20220712
1/7/2021,3,4,47870,2,202107,567,1,1,1100,0,1100,"21,0",231,1331,0,71264656716621,20210711
2/7/2022,3,4,76987,4,202207,1564,4,18,3430,100,3530,"21,0","741,3","4271,3",0,72274779804019,20220712
3/5/2022,3,4,70928,5,202205,377,2,1,1700,100,1800,"21,0",378,2178,0,72184896592497,20220513
5/6/2018,3,4,1179,1,201806,105,1,10,865,0,865,"21,0","181,65","1046,65",0,68234160099338,20180615
5/6/2018,3,4,1186,4,201806,111,1,1,565,0,565,"21,0","118,65","683,65",0,68234160099338,20180615
5/6/2018,3,4,1213,5,201806,144,4,1,565,0,565,"21,0","118,65","683,65",0,68234160099338,20180615
2/8/2023,3,4,107592,3,202308,1382,2,1,3200,250,3450,"21,0","724,5","4174,5",0,73314579412954,20230812
2/8/2023,3,4,107604,4,202308,1442,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
2/8/2023,3,4,107605,2,202308,1443,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
2/8/2023,3,4,107606,3,202308,1444,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
2/8/2023,3,4,107607,1,202308,1445,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
2/8/2023,3,4,107608,5,202308,1446,2,1,3200,250,3450,"21,0","724,5","4174,5",3450,73314579412954,20230812
