Board Code,Blueprint Description,Number of Sheets,Draftsman Hours,Draftsman Cost,Total Draftsman,Engineer Hours,Engineer Cost,Total Engineer,Management Hours,Management Cost,Total Management,Final
TK0910,Panels in Kiosk 0910 (500 kV),,,,,,,,,,,
,SACA5 board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,SACA5 board supply,2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
,TCL5 local control board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,SY5 timing board supply,2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
,"Supply of auxiliary relay boards (RXC5, RXSE5 and RXT5)",3,90,$300.00,"$27,000.00",60,$500.00,"$30,000.00",15,$650.00,"$9,750.00","$66,750.00"
,Supply of RC5 cable distribution board,2,60,$300.00,"$18,000.00",40,$500.00,"$20,000.00",10,$650.00,"$6,500.00","$44,500.00"
,Supply of automatic voltage regulation board (RAT5),1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
TK0105,Panels in Kiosk 0105 (132 kV),,,,,,,,,,,
,SACA1 board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,SACC1 board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,TC1 local control board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
,Supply of auxiliary relay board and cable distributor,4,120,$300.00,"$36,000.00",80,$500.00,"$40,000.00",20,$650.00,"$13,000.00","$89,000.00"
,Supply of commercial measuring board fields 01 and 03 (SMEC),1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
TK0610,Panels in Kiosk 0610 (132 kV),,,,,,,,,,,
,SACA1 board supply,1,30,$300.00,"$9,000.00",20,$500.00,"$10,000.00",5,$650.00,"$3,250.00","$22,250.00"
