Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem name,Lineitem price,Billing Zip,Billing Province,Billing Country,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Cancelled at,Payment Method,Vendor,Id,Billing Province Name,Shipping Province Name
#1178,paid,2023-11-26 16:32:49 -0600,fulfilled,2023-11-27 16:28:52 -0600,no,MXN,560,0,0,560,,140,Valle de chipinque,2023-11-26 16:16:26 -0600,Crema Saffiano - iPhone 15,700,66250,NL,MX,,,,,,PayPal Express Checkout,Bold21,5522598363296,Nuevo León,
#1177,paid,2023-11-25 03:43:44 -0600,fulfilled,2023-11-26 22:22:12 -0600,no,MXN,480,100,66.21,580,,120,Envio Estandar 2-5 dias habiles,2023-11-25 03:43:44 -0600,Black Saffiano - iPhone 12 Pro Max,600,80013,SIN,MX,Culiacan,80013,SIN,MX,,Checkout Mercado Pago,Bold21,5518813790368,Sinaloa,Sinaloa
#1176,partially_paid,2023-11-26 22:20:24 -0600,fulfilled,2023-11-23 14:08:35 -0600,no,MXN,1040,135,143.45,1175,LORDBOLD21,260,Envio Express 1-2 dias habiles,2023-11-20 17:04:12 -0600,Rose Gold Saffiano - Iphone 13,650,97113,YUC,MX,Merida,97113,YUC,MX,,Checkout Mercado Pago + manual,Bold21,5508167270560,Yucatán,Yucatán
#1176,,,,,,,,,,,,,,2023-11-20 17:04:12 -0600,Red Saffiano - iPhone 13 pro,650,,,,,,,,,,Bold21,,,
#1175,paid,2023-11-16 12:15:18 -0600,fulfilled,2023-11-17 15:16:26 -0600,no,MXN,700,100,0,800,,0,Envio Estandar 2-5 dias habiles,2023-11-16 12:15:17 -0600,Black Saffiano - iPhone 15 pro,700,89138,TAMPS,MX,Tampico,89138,TAMPS,MX,,Checkout Mercado Pago,Bold21,5499798225056,Tamaulipas,Tamaulipas
#1174,paid,2023-11-15 23:44:57 -0600,fulfilled,2023-11-23 16:59:40 -0600,no,MXN,480,0,66.21,480,LORDBOLD21,120,Valle de chipinque,2023-11-15 23:42:04 -0600,Black Saffiano - iPhone 12/12 pro,600,67300,NL,MX,,,,,,Checkout Mercado Pago,Bold21,5498833666208,Nuevo León,
#1173,paid,2023-11-08 16:30:28 -0600,fulfilled,2023-11-09 10:57:10 -0600,no,MXN,650,135,89.66,785,,0,Envio Express 1-2 dias habiles,2023-11-08 16:30:28 -0600,Black Saffiano - Iphone 14 pro,650,66430,NL,MX,San Nicolas de los garza,66430,NL,MX,,Checkout Mercado Pago,Bold21,5485781647520,Nuevo León,Nuevo León
#1172,paid,2023-11-05 19:58:52 -0600,fulfilled,2023-11-06 18:33:59 -0600,yes,MXN,600,100,82.76,700,,0,Envio Estandar 2-5 dias habiles,2023-11-05 00:08:46 -0600,Black Saffiano - iPhone 12/12 pro,600,91640,VER,MX,EMILIANO ZAPATA,91640,VER,MX,,PayPal Express Checkout,Bold21,5479737295008,Veracruz,Veracruz
#1171,paid,2023-11-05 19:57:42 -0600,fulfilled,2023-11-07 13:55:52 -0600,yes,MXN,1300,100,179.31,1400,,0,Envio Estandar 2-5 dias habiles,2023-11-03 14:33:16 -0600,Military Green Saffiano - iPhone 13 pro Max,650,83180,SON,MX,hermosillo,83180,SON,MX,,PayPal Express Checkout,Bold21,5477188173984,Sonora,Sonora
#1171,,,,,,,,,,,,,,2023-11-03 14:33:16 -0600,Black Saffiano - Iphone 13 pro max,650,,,,,,,,,,Bold21,,,
#1170,paid,2023-10-15 04:44:35 -0600,fulfilled,2023-10-16 19:45:37 -0600,no,MXN,1250,100,89.66,1250,Envio850,100,Envio Estandar 2-5 dias habiles,2023-10-15 04:44:35 -0600,Porta Pasaporte - Navy Blue,600,66270,NL,MX,Monterrey,66270,NL,MX,,Checkout Mercado Pago,Bold21,5447685800096,Nuevo León,Nuevo León
#1170,,,,,,,,,,,,,,2023-10-15 04:44:35 -0600,Military Green Saffiano - iPhone 13 pro,650,,,,,,,,,,Bold21,,,
#1169,paid,2023-09-29 23:34:17 -0600,fulfilled,2023-10-02 17:30:46 -0600,yes,MXN,650,100,89.66,750,,0,Envio Estandar 2-5 dias habiles,2023-09-29 23:34:16 -0600,Crema Saffiano - Iphone 14 pro max,650,82127,SIN,MX,MazatlÁn,82127,SIN,MX,,Checkout Mercado Pago,Bold21,5422181482656,Sinaloa,Sinaloa
