Transaction_ID,Date,Book_Title,Author ,Quantity,Unit_Price,Customer_ID,Customer_Age,Customer_Gender
T1234-001,1/2/2023,Death Comes for the Archbishop,Willa Cather,1,$9.24 ,C001,18,Male
T1234-002,1/3/2023,The Adventures of Augie March,Saul Bellow,1,$15.25 ,C002,18,Female
T1234-003,1/4/2023,Deliverance,James Dickey,2,$20.00 ,C003,24,Male
T1234-004,1/5/2023,Ironweed,William Kennedy,1,$18.46 ,C004,32,Male
T1234-005,1/6/2023,The Great Gatsby,F. Scott Fitzgerald,1,$25.22 ,C005,28,Male
T1234-006,1/7/2023,Ragtime,E.L. Doctorow,3,$9.24 ,C006,31,Male
T1234-007,1/8/2023,Scoop,Evelyn Waugh,1,$17.82 ,C007,45,Female
T1234-008,1/9/2023,Appointment in Samarra,John O’Hara,1,$36.92 ,C008,45,Male
T1234-009,1/10/2023,A Handful of Dust,Evelyn Waugh,1,$18.46 ,C009,23,Female
T1234-010,1/11/2023,A Room With a View,E.M. Forster,1,$9.24 ,C010,23,Male
T1234-011,1/12/2023,An American Tragedy,Theodore Dreiser,1,$17.82 ,C011,22,Female
T1234-012,1/13/2023,The Sheltering Sky,Paul Bowles,1,$36.00 ,C012,19,Female
T1234-013,1/14/2023,Light in August,William Faulkner,1,$18.46 ,C013,40,Female
T1234-014,1/15/2023,Native Son,Richard Wright,1,$17.82 ,C014,20,Male
T1234-015,1/16/2023,The Naked and the Dead,Norman Mailer,1,$9.24 ,C015,29,Female
T1234-016,1/17/2023,The Age of Innocence,Edith Wharton,1,$9.24 ,C016,30,Female
T1234-017,1/18/2023,The House of Mirth,Edith Wharton,1,$15.25 ,C017,24,Female
T1234-018,1/19/2023,Parade's End (series),Ford Madox Ford,1,$20.00 ,C018,25,Female
T1234-019,1/20/2023,The Maltese Falcon,Dashiell Hammett,1,$18.46 ,C019,26,Female
T1234-020,1/21/2023,Brave New World,Aldous Huxley,5,$25.22 ,C020,46,Female
T1234-021,1/22/2023,Howards End,E.M. Forster,2,$9.24 ,C021,18,Female
T1234-022,1/23/2023,The Heart is a Lonely Hunter,Carson McCullers,1,$17.82 ,C022,12,Female
T1234-023,1/24/2023,A Clockwork Orange,Anthony Burgess,2,$36.92 ,C023,54,Female
T1234-024,1/25/2023,Go Tell It on the Mountain,James Baldwin,1,$18.46 ,C024,32,Male
T1234-025,1/26/2023,A Dance to the Music of Time (series),Anthony Powell,1,$9.24 ,C025,29,Male
T1234-026,1/27/2023,Catch-22,Joseph Heller,1,$17.82 ,C026,39,Female
T1234-027,1/28/2023,The Heart of the Matter,Graham Greene,1,$36.00 ,C027,44,Female
T1234-028,1/29/2023,Brideshead Revisited,Evelyn Waugh,1,$18.46 ,C028,43,Female
T1234-029,1/30/2023,Midnight's Children,Salman Rushdie,1,$17.82 ,C029,23,Male
T1234-030,1/31/2023,Slaughterhouse-Five,Kurt Vonnegut,1,$9.24 ,C030,23,Female
T1234-031,2/1/2023,Darkness at Noon,Arthur Koestler,1,$25.22 ,C031,28,Male
T1234-032,2/2/2023,The Magus,John Fowles,1,$9.24 ,C032,21,Female
