Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Average Sales per Order Item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average Selling Price - B2B,Sessions - Total,Order Item Session Percentage,Order Item Session Percentage - B2B,Average Offer Count
4/13/22,$59.90,$0.00,2,0,2,0,$29.95,$0.00,1,0,$29.95,$0.00,77,2.60%,0.00%,803
4/14/22,$89.85,$0.00,3,0,3,0,$29.95,$0.00,1,0,$29.95,$0.00,97,3.09%,0.00%,913
4/15/22,$29.95,$0.00,1,0,1,0,$29.95,$0.00,1,0,$29.95,$0.00,128,0.78%,0.00%,847
4/16/22,$59.90,$29.95,2,1,2,1,$29.95,$29.95,1,1,$29.95,$29.95,94,2.13%,1.06%,841
4/17/22,$29.95,$0.00,1,0,1,0,$29.95,$0.00,1,0,$29.95,$0.00,116,0.86%,0.00%,852
4/18/22,$59.90,$0.00,2,0,2,0,$29.95,$0.00,1,0,$29.95,$0.00,111,1.80%,0.00%,"1,389"
4/19/22,$99.85,$0.00,3,0,3,0,$33.28,$0.00,1,0,$33.28,$0.00,98,3.06%,0.00%,"1,347"
4/20/22,$99.85,$0.00,3,0,3,0,$33.28,$0.00,1,0,$33.28,$0.00,97,3.09%,0.00%,"1,501"
4/21/22,$119.80,$0.00,4,0,4,0,$29.95,$0.00,1,0,$29.95,$0.00,91,4.40%,0.00%,"1,790"
4/22/22,$29.95,$0.00,1,0,1,0,$29.95,$0.00,1,0,$29.95,$0.00,125,0.80%,0.00%,"1,768"
4/23/22,$89.85,$0.00,3,0,3,0,$29.95,$0.00,1,0,$29.95,$0.00,123,2.44%,0.00%,"1,891"
4/24/22,$119.80,$0.00,4,0,4,0,$29.95,$0.00,1,0,$29.95,$0.00,223,1.79%,0.00%,"1,850"
4/25/22,$89.85,$0.00,3,0,3,0,$29.95,$0.00,1,0,$29.95,$0.00,164,1.83%,0.00%,"1,850"
