Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
HOTUSDT,6f5621d8,2023-01-10 18:22:54,10,Close Long,Limit,Trade,195500,0.001692,0.001692,0.0001,0.0330786,ceb20373
HOTUSDT,b113ecfc,2023-01-10 18:20:35,10,Open Long,Market,Trade,194200,0.001675,Market,0.0006,0.195171,56fc4dd8
HOTUSDT,b113ecfc,2023-01-10 18:20:35,10,Open Long,Market,Trade,1300,0.001675,Market,0.0006,0.0013065,a096bc6e
DYDXUSDT,7084be83,2023-01-10 12:47:16,10,Close Long,Market,Trade,125.7,1.380,Market,0.0006,0.1040796,9207275b
DYDXUSDT,7084be83,2023-01-10 12:47:16,10,Close Long,Market,Trade,177.1,1.380,Market,0.0006,0.1466388,9a084216
DYDXUSDT,6cd8bd23,2023-01-10 11:33:12,10,Open Long,Market,Trade,302.8,1.420,Market,0.0006,0.2579856,907992c2
LUNA2USDT,e8b6e474,2023-01-10 09:52:25,10,Close Long,Limit,Trade,245.4,1.6440,1.6440,0.0001,0.04034376,cfd2b220
LUNA2USDT,9fe42627,2023-01-10 09:51:14,10,Open Long,Market,Trade,240.3,1.6280,Market,0.0006,0.23472504,9393abb9
LUNA2USDT,9fe42627,2023-01-10 09:51:14,10,Open Long,Market,Trade,5.1,1.6280,Market,0.0006,0.00498168,87077f22
RENUSDT,2029f38c,2023-01-10 07:34:17,10,Close Long,Limit,Trade,5165.7,0.07270,0.07270,0.0001,0.03755464,b27a814a
RENUSDT,083b1514,2023-01-10 07:33:59,10,Open Long,Market,Trade,5165.7,0.07200,Market,0.0006,0.22315824,32262782
LDOUSDT,fc2ac2cf,2023-01-10 05:47:21,10,Close Long,Limit,Trade,166.8,2.0950,2.0950,0.0001,0.0349446,64f06591
LDOUSDT,fe8e134c,2023-01-10 05:36:01,10,Open Long,Market,Trade,166.8,2.0745,Market,0.0006,0.20761596,8e779b1c
WAVESUSDT,48a0eb46,2023-01-10 00:10:47,10,Close Long,Limit,Trade,195.9,1.6650,1.6650,0.0001,0.03261735,eff4a195
WAVESUSDT,302e367b,2023-01-10 00:09:52,10,Open Long,Market,Trade,195.9,1.6500,Market,0.0006,0.193941,1fc2dc62
LUNA2USDT,150499fa,2023-01-09 17:04:17,10,Close Long,Limit,Trade,171.3,1.7990,1.7990,0.0001,0.03081687,d2fc5850
LUNA2USDT,3a5279a6,2023-01-09 17:03:55,10,Open Long,Market,Trade,109.8,1.7810,Market,0.0006,0.11733228,72c0ddd2
LUNA2USDT,3a5279a6,2023-01-09 17:03:55,10,Open Long,Market,Trade,61.5,1.7810,Market,0.0006,0.0657189,60d768b8
GALUSDT,b38d2be7,2023-01-09 16:41:19,10,Close Long,Limit,Trade,208.18,1.3550,1.3550,0.0001,0.02820839,2ec26711
GALUSDT,f6211bae,2023-01-09 16:38:26,10,Open Long,Market,Trade,208.18,1.3400,Market,0.0006,0.16737672,e8b2a835
ANKRUSDT,89d06423,2023-01-09 14:25:44,10,Close Long,Limit,Trade,12717,0.02065,0.02065,0.0001,0.02626061,ffefe7e2
ANKRUSDT,d9d718f5,2023-01-09 14:23:56,10,Open Long,Market,Trade,12717,0.02045,Market,0.0006,0.15603759,42f73ec7
GALAUSDT,8e32dafe,2023-01-09 13:55:56,10,Close Long,Limit,Trade,6030,0.04054,0.04054,0.0001,0.02444562,54b41830
GALAUSDT,6e427c09,2023-01-09 13:48:23,10,Open Long,Market,Trade,6030,0.04014,Market,0.0006,0.14522652,fb35c0ed
