Storehouse,Storage location,Product Code,Product Name,Model,Brand,Batch number,Inventory
Temp Warehouse,,P11855,IC,NTR4171PT1G,ON,2110/2122/2123,288000
Temp Warehouse,,P19526,IC,NUD3160LT1G,ON,2033/2035/2039,207000
Temp Warehouse,,P45451,Diode (TVS tube),PESD5V0S1UB,NXP,2111,174000
Temp Warehouse,,P29246,IC,CAT25040VI-GT3,ON,2105/2107,168000
Temp Warehouse,,P41910,IC,TLP127(TPL.U.F),TOSHIBA,2048/2052/2053/2101,114000
Temp Warehouse,,P01418,IC,LM2902DR2G,ON,1916,97500
Temp Warehouse,,P23369,IC,SN74LVC2G14DBVR,TI,2122/2123,93000
Temp Warehouse,,P07052,IC,SN74HC14DR,TI,2118,92000
Temp Warehouse,,P28770,IC,MBR230LSFT1G,Onsemi,2037,82799
Temp Warehouse,,P19526,IC,NUD3160LT1G,ON,2103/2107/2108,78000
Temp Warehouse,,P00279,IC,SMLJ60S6,MCC,2050/2120/2125,66000
Temp Warehouse,,P36376,IC,TMP101NA/3K,TI,2049/2110/2113,60000
Temp Warehouse,,P25704,IC,TLP127,TOSHIBA,2113/2114/2115,60000
Temp Warehouse,,P45078,IC,TPS5432DDAR,TI,2002/2005/2023,57500
Temp Warehouse,,P39524,IC,ERJ-1TRSJR15U,Panasonic,2017,56000
Temp Warehouse,,P10265,IC,"BZX84J-C4V7,115",NXP,1744+,53480
Temp Warehouse,,P44396,,RC0201FR-0710RL,YAGEO,2042,50000
Temp Warehouse,,P19526,IC,NUD3160LT1G,ON,2110/2048,48000
Temp Warehouse,,P25529,IC,SN74HC595D,TI,2028,47500
Temp Warehouse,,P44887,IC,MOCD217R2M,ON,2009/2011/2013/2021,40825
Temp Warehouse,,P00287,IC,AM26C31IDR,TI,2121/2123/2124,40000
Temp Warehouse,,P41720,IC,LM317LIDRG4,TI,2005/2010,37500
Temp Warehouse,,P25704,IC,TLP127,TOSHIBA,2052/2103/2104,31000
Temp Warehouse,,P47631,IC,LSF0102DCUR,TI,2121,30000
Temp Warehouse,,P23009,IC,74HC595PW,NXP,2102/2104,30000
Temp Warehouse,,P04752,IC,BAV23S,NXP,1903+,30000
Temp Warehouse,,P42935,IC,74LVCH162245ADGG,NXP,2114/2117,29171
Temp Warehouse,,P46289,IC,LSF0102DCUR,TI,21+,27000
Temp Warehouse,,P44466,Zener diode,MMSZ5V1T1G,ON,2037,27000
Temp Warehouse,,P47810,IC,1SMB5953BT3G,Onseml,2115/2119/2121,26500
Temp Warehouse,,P36154,IC,TCA0372DWR2G,On,2103/2104,25475
Temp Warehouse,,P28729,IC,IRF7103TRPBF,INFINEON,2052/2053/2047/2101/2104,24000
Temp Warehouse,,P36154,IC,TCA0372DWR2G,On,2104/2105,23000
Temp Warehouse,,P33863,IC,ATL431AIDBZR,TI,2037/2042,21497
Temp Warehouse,,P34242,IC,UA78L05AIPK,TI,2118,20500
Temp Warehouse,,P17488,IC,TB62209FG,TOSHIBA,2018/2019/2020/2021/2023/2024,20000
Temp Warehouse,,P48361,IC,IR4427STRPBF,INFINEON,2115/2118,20000
Temp Warehouse,,P43449,IC,TPS54160DGQR,TI,2107/2109,20000
