key          type,client,type,doc code,doc type,doc number,Num.,application date,expiration date,charges,bonus,balance,coin
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,E5069,1,18/May/201,18/May/2017,570.72,0.00,570.72,USD
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,E5169,1,05/Jun/2017,05/Jun/2017,570.72,0.00,570.72,USD
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,E8318,1,12/Oct/2018,12/Oct/2018,"1,141.44",570.72,570.72,USD
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,EE0013191,1,06/Abr/2021,06/May/2021,487.20,0.00,487.20,USD
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,EE0013192,1,06/Abr/2021,06/May/2021,487.20,0.00,487.20,USD
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,EE0013193,1,06/Abr/2021,06/May/2021,487.20,0.00,487.20,USD
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,EE0013194,1,06/Abr/2021,06/May/2021,487.20,0.00,487.20,USD
3,AUTOPISTAS DE CUOTA SA DE CV,Matrix,1,Bill,EE0013195,1,06/Abr/2021,06/May/2021,487.20,0.00,487.20,USD
4,AUTOVIAS CONCESIONADAS MEXIQUENSES SA DE CV,Matrix,1,Bill,E3765,1,15/Sep/2016,15/Sep/2016,285.36,0.00,285.36,USD
4,AUTOVIAS CONCESIONADAS MEXIQUENSES SA DE CV,Matrix,1,Bill,E5332,1,06/Jul/2017,06/Jul/2017,"1,325.88",0.00,"1,325.88",USD
5,AXTEL SAB DE CV,Matrix,1,Bill,EE0013323,1,16/Abr/2021,16/May/2021,"12,989.68",0.00,"12,989.68",USD
5,AXTEL SAB DE CV,Matrix,1,Bill,EE0013324,1,16/Abr/2021,16/May/2021,"2,714.40",0.00,"2,714.40",USD
