Campaign Name,Day,Status,Nivel de la entrega,Campaign Name,Configuration,Campaign Type,Results,Reach,Impressions,Cost per Result,Total amount Spent (MXN),Begining of report,End of report
Traffic | Inquilino | Pte Morena,2021-10-15,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,150,3376,3622.00,0.65,98.08,15/10,15/10
Traffic | Inquilino | Coyoacan,2021-10-15,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,218,4633,4804.00,0.45,97.24,15/10,15/10
Traffic | Inquilino | Niños Heroes,2021-10-15,active,campaign,Traffic | Inquilino | Niños Heroes,8 days after clicking,Clicks on link,68,3024,3372.00,0.74,50.1,15/10,15/10
Whatsapp | Inquilino | Depas,2021-10-15,active,campaign,Whatsapp | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,3,780,876.00,15.57,46.72,15/10,15/10
Messenger | Inquilino | Depas,2021-10-15,active,campaign,Messenger | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,3,819,924.00,16.76,50.28,15/10,15/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-15,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,151,2264,2306.00,0.33,50.38,15/10,15/10
Traffic | Inquilino | Olivar,2021-10-15,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,207,3181,3274.00,0.24,50.01,15/10,15/10
Traffic | Inquilino | Balbuena,2021-10-15,active,campaign,Traffic | Inquilino | Balbuena,7 days after clicking or 1 day after visualization,Clicks on link,233,1660,1897.00,0.21,48.29,15/10,15/10
Experimento contenidos 6oct,2021-10-15,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,120,1254,1276.00,0.07,7.85,15/10,15/10
Whatsapp | Inquilino | Balbuena,2021-10-15,active,campaign,Whatsapp | Inquilino | Balbuena,7 days after clicking or 1 day after visualization,Started conversations,1,702,780.00,49.33,49.33,15/10,15/10
Lead generation | Propietarios | CDMX,2021-10-15,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,16,6375,7222.00,62.18,994.88,15/10,15/10
Messenger | Inquilino | Balbuena,2021-10-15,active,campaign,Messenger | Inquilino | Balbuena,7 days after clicking or 1 day after visualization,Started conversations,2,765,854.00,24.38,48.76,15/10,15/10
Traffic | Inquilino | Santa Fe,2021-10-15,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,98,1014,1072.00,0.51,49.79,15/10,15/10
Traffic | Inquilino | Nonoalco,2021-10-15,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,96,1642,1746.00,0.52,50.35,15/10,15/10
Traffic | Inquilino | Coyoacan,2021-10-14,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,229,5033,5256.00,0.44,100.68,14/10,14/10
Whatsapp | Inquilino | Balbuena,2021-10-14,active,campaign,Whatsapp | Inquilino | Balbuena,7 days after clicking or 1 day after visualization,Started conversations,1,665,713.00,47.94,47.94,14/10,14/10
Traffic | Inquilino | Balbuena,2021-10-14,active,campaign,Traffic | Inquilino | Balbuena,7 days after clicking or 1 day after visualization,Clicks on link,312,1418,1504.00,0.10,32.64,14/10,14/10
Lead generation | Propietarios | CDMX,2021-10-14,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,7,6553,7606.00,142.18,995.24,14/10,14/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-14,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,162,2383,2424.00,0.32,51.52,14/10,14/10
Messenger | Inquilino | Balbuena,2021-10-14,active,campaign,Messenger | Inquilino | Balbuena,7 days after clicking or 1 day after visualization,Started conversations,1,603,658.00,50.34,50.34,14/10,14/10
Messenger | Inquilino | Depas,2021-10-14,active,campaign,Messenger | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,3,902,1041.00,16.56,49.68,14/10,14/10
Traffic | Inquilino | Santa Fe,2021-10-14,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,105,1088,1204.00,0.47,49.21,14/10,14/10
Traffic | Inquilino | Niños Heroes,2021-10-14,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,98,3310,3726.00,0.51,50.09,14/10,14/10
Experimento contenidos 6oct,2021-10-14,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,590,7341,7754.00,0.08,49.47,14/10,14/10
Traffic | Inquilino | Olivar,2021-10-14,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,217,3457,3581.00,0.23,50.21,14/10,14/10
Traffic | Inquilino | Nonoalco,2021-10-14,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,94,1739,1856.00,0.54,50.71,14/10,14/10
Traffic | Inquilino | Pte Morena,2021-10-14,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,152,3737,4030.00,0.67,101.18,14/10,14/10
Whatsapp | Inquilino | Depas,2021-10-14,active,campaign,Whatsapp | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,6,822,930.00,7.86,47.15,14/10,14/10
Whatsapp | Inquilino | Depas,2021-10-13,active,campaign,Whatsapp | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,15,761,866.00,3.31,49.72,13/10,13/10
Lead generation | Propietarios | CDMX,2021-10-13,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,9,6076,7298.00,110.64,995.8,13/10,13/10
Traffic | Inquilino | Santa Fe,2021-10-13,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,103,1195,1308.00,0.48,49.73,13/10,13/10
Traffic | Inquilino | Coyoacan,2021-10-13,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,227,5155,5292.00,0.45,101.42,13/10,13/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-13,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,140,2553,2598.00,0.36,50.5,13/10,13/10
Traffic | Inquilino | Pte Morena,2021-10-13,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,186,3837,4190.00,0.55,101.44,13/10,13/10
Messenger | Inquilino | Depas,2021-10-13,active,campaign,Messenger | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,2,734,867.00,25.19,50.37,13/10,13/10
Traffic | Inquilino | Niños Heroes,2021-10-13,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,101,3400,3837.00,0.50,50.35,13/10,13/10
Traffic | Inquilino | Olivar,2021-10-13,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,229,3497,3612.00,0.22,50.69,13/10,13/10
Traffic | Inquilino | Nonoalco,2021-10-13,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,98,1795,1900.00,0.52,51.21,13/10,13/10
Experimento contenidos 6oct,2021-10-13,inactive,campaign,Experimento contenidos 6oct,7 days after clicking or 1 day after visualization,AD Recall,590,7381,7875.00,0.08,50.09,13/10,13/10
Traffic | Inquilino | Olivar,2021-10-12,active,campaign,Traffic | Inquilino | Olivar,7 days after clicking or 1 day after visualization,Clicks on link,211,3384,3485.00,0.24,50.7,12/10,12/10
Traffic | Inquilino | Coyoacan,2021-10-12,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,287,5182,5407.00,0.34,96.63,12/10,12/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-12,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,222,2997,3057.00,0.22,49.66,12/10,12/10
Traffic | Inquilino | Nonoalco,2021-10-12,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,152,1785,1877.00,0.32,48.63,12/10,12/10
Traffic | Inquilino | Santa Fe,2021-10-12,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,121,1256,1362.00,0.41,50.07,12/10,12/10
Traffic | Inquilino | Niños Heroes,2021-10-12,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,80,3881,4351.00,0.63,50.23,12/10,12/10
Traffic | Inquilino | Pte Morena,2021-10-12,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,237,4160,4506.00,0.41,98.2,12/10,12/10
Whatsapp | Inquilino | Depas,2021-10-12,active,campaign,Whatsapp | Inquilino | Depas,7 days after clicking or 1 day after visualization,Started conversations,1,591,653.00,37.58,37.58,12/10,12/10
