Payment Date,Date Impacted,Details, Card Amount,Clasification,Payment Plan,Card,Bank
15-ago,14-ago,Liq. N° 00050232 - Lote N° 0113 1 Venta Tj. Débito,"  6.900,00 ",Débito,No aplica,CABAL,GALICIA
22-ago,18-ago,Liq. N° 00036460 - Lote N° 0119 1 Venta en 3 pagos - Plan Cuotas,"  72.450,00 ",Crédito,Plan 3 pagos,CABAL,GALICIA
15-ago,15-ago,Arancel,"  55,20 ",Arancel,No aplica,CABAL,GALICIA
15-ago,15-ago,Deduc.Impositivas,"  253,09 ",Impuesto,No aplica,CABAL,GALICIA
22-ago,22-ago,Arancel,"  1.304,10 ",Arancel,No aplica,CABAL,GALICIA
22-ago,22-ago,Serv.Costos Financieros,"  12.219,20 ",Costos Financieros,No aplica,CABAL,GALICIA
22-ago,22-ago,Deduc.Impositivas,"  4.345,97 ",Impuesto,No aplica,CABAL,GALICIA
22-ago,22-ago,Serv.Cobro Anticipado,"  333,70 ",Cobro Anticipado,No aplica,CABAL,GALICIA
1-ago,31-jul,Liq. N° 00050590 - Lote N° 0087 1 Venta en 1 pago,"  8.000,00 ",Crédito,Plan 1 pago,MASTERCARD,GALICIA
1-ago,31-jul,Liq. N° 00050590 - Lote N° 0088 1 Venta en 1 pago,"  16.200,00 ",Crédito,Plan 1 pago,MASTERCARD,GALICIA
2-ago,1-ago,Liq. N° 00038671 - Lote N° 0090 1 Venta en 3 pagos - Plan Cuotas,"  10.350,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
3-ago,2-ago,Liq. N° 00039948 - Lote N° 0093  1 Venta en 3 pagos - Plan Cuotas,"  20.200,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
4-ago,3-ago,Liq. N° 00037470 - Lote N° 0095 1 Venta en 1 pago,"  13.000,00 ",Crédito,Plan 1 pago,MASTERCARD,GALICIA
8-ago,7-ago,Liq. N° 00051750 - Lote N° 0100 1 Venta en 3 pagos - Plan Cuotas,"  27.600,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
8-ago,7-ago,Liq. N° 00051752 - Lote N° 0098 2 Ventas Tj.Débito,"  61.100,00 ",Débito,No aplica,MASTERCARD,GALICIA
8-ago,7-ago,Liq. N° 00051752 - Lote N° 0099 1 Venta Tj. Débito,"  16.000,00 ",Débito,No aplica,MASTERCARD,GALICIA
8-ago,7-ago,Liq. N° 00051752 - Lote N° 0101 1 Venta Tj. Débito,"  9.500,00 ",Débito,No aplica,MASTERCARD,GALICIA
8-ago,7-ago,Liq. N° 00051753 - Lote N° 0098 2 Ventas en 1 pago,"  12.200,00 ",Crédito,Plan 1 pago,MASTERCARD,GALICIA
8-ago,7-ago,Liq. N° 00051753 - Lote N° 0100 2 Ventas en 1 pago,"  7.300,00 ",Crédito,Plan 1 pago,MASTERCARD,GALICIA
8-ago,7-ago,Liq. N° 00051754 - Lote N° 0099 1 Venta en 3 pagos - Plan Cuotas,"  32.890,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
14-ago,11-ago,Liq. N° 00039454 - Lote N° 0109 2 Ventas en 3 pagos - Plan Cuotas,"  64.880,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
15-ago,14-ago,Liq. N° 00050233 - Lote N° 0110 1 Venta en 3 pagos - Plan Cuotas,"  9.200,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
15-ago,14-ago,Liq. N° 00050233 - Lote N° 0112 1 Venta en 3 pagos - Plan Cuotas,"  15.525,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
16-ago,15-ago,Liq. N° 00037432 - Lote N° 0114 1 Venta en 3 pagos - Plan Cuotas,"  11.270,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
17-ago,16-ago,Liq. N° 00038733 - Lote N° 0116 1 Venta en 3 pagos - Plan Cuotas,"  15.755,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
18-ago,17-ago,Liq. N° 00035341 - Lote N° 01171 Venta en 3 pagos - Plan Cuotas,"  14.050,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
23-ago,22-ago,Liq. N° 00052345 - Lote N° 0122 1 Venta en 3 pagos - Plan Cuotas,"  35.715,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
23-ago,22-ago,Liq. N° 00052345 - Lote N° 0124 2 Ventas en 3 pagos - Plan Cuotas,"  62.000,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
24-ago,23-ago,Liq. N° 00036175 - Lote N° 0126 1 Venta en 3 pagos - Plan Cuotas,"  53.475,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
24-ago,23-ago,Liq. N° 00036177 - Lote N° 0127 1 Venta Tj. Débito,"  34.000,00 ",Débito,No aplica,MASTERCARD,GALICIA
25-ago,24-ago,Liq. N° 00036989 - Lote N° 0128 1 Venta Tj. Débito,"  33.000,00 ",Débito,No aplica,MASTERCARD,GALICIA
25-ago,24-ago,Liq. N° 00036989 - Lote N° 0129 1 Venta Tj. Débito,"  11.500,00 ",Débito,No aplica,MASTERCARD,GALICIA
28-ago,25-ago,Liq. N° 00035311 - Lote N° 0130 1 Venta en 3 pagos - Plan Cuotas,"  22.800,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
28-ago,25-ago,Liq. N° 00035311 - Lote N° 0131 1 Venta en 3 pagos - Plan Cuotas,"  20.125,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
28-ago,25-ago,Liq. N° 00035313 - Lote N° 0130 2 Ventas en 1 pago,"  43.000,00 ",Crédito,Plan 1 pago,MASTERCARD,GALICIA
29-ago,28-ago,Liq. N° 00049408 - Lote N° 0134 1 Venta en 3 pagos - Plan Cuotas,"  30.000,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
29-ago,28-ago,Liq. N° 00049408 - Lote N° 0135 1 Venta en 3 pagos - Plan Cuotas,"  16.800,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
29-ago,28-ago,Liq. N° 00049410 - Lote N° 0133 1 Venta Tj. Débito,"  12.500,00 ",Débito,No aplica,MASTERCARD,GALICIA
29-ago,28-ago,Liq. N° 00049411 - Lote N° 0133 1 Venta en 3 pagos - Plan Cuotas,"  44.850,00 ",Crédito,Plan 3 pagos,MASTERCARD,GALICIA
31-ago,30-ago,Liq. N° 00033679 - Lote N° 0138 1 Venta Tj. Débito,"  28.000,00 ",Débito,No aplica,MASTERCARD,GALICIA
1-ago,1-ago,Arancel,"  435,60 ",Arancel,No aplica,MASTERCARD,GALICIA
1-ago,1-ago,Serv.Costos Financieros,"  1.842,92 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
1-ago,1-ago,Deduc.Impositivas,"  1.393,82 ",Impuesto,No aplica,MASTERCARD,GALICIA
2-ago,2-ago,Arancel,"  186,30 ",Arancel,No aplica,MASTERCARD,GALICIA
2-ago,2-ago,Serv.Costos Financieros,"  1.979,35 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
2-ago,2-ago,Deduc.Impositivas,"  891,72 ",Impuesto,No aplica,MASTERCARD,GALICIA
2-ago,2-ago,Serv.Cobro Anticipado,"  46,34 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
3-ago,3-ago,Arancel,"  363,60 ",Arancel,No aplica,MASTERCARD,GALICIA
3-ago,3-ago,Serv.Costos Financieros,"  3.570,78 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
3-ago,3-ago,Deduc.Impositivas,"  1.177,62 ",Impuesto,No aplica,MASTERCARD,GALICIA
3-ago,3-ago,Serv.Cobro Anticipado,"  92,11 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
4-ago,4-ago,Arancel,"  234,00 ",Arancel,No aplica,MASTERCARD,GALICIA
4-ago,4-ago,Serv.Costos Financieros,"  1.228,99 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
4-ago,4-ago,Deduc.Impositivas,"  762,22 ",Impuesto,No aplica,MASTERCARD,GALICIA
8-ago,8-ago,Arancel,"  2.132,62 ",Arancel,No aplica,MASTERCARD,GALICIA
8-ago,8-ago,Serv.Costos Financieros,"  12.789,86 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
8-ago,8-ago,Servicio PAYWAY,"  1.368,78 ",Servicio PAYWAY,No aplica,MASTERCARD,GALICIA
8-ago,8-ago,Deduc.Impositivas,"  9.076,44 ",Impuesto,No aplica,MASTERCARD,GALICIA
8-ago,8-ago,Serv.Cobro Anticipado,"  273,13 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
14-ago,14-ago,Arancel,"  1.167,84 ",Arancel,No aplica,MASTERCARD,GALICIA
14-ago,14-ago,Serv.Costos Financieros,"  11.119,10 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
14-ago,14-ago,Deduc.Impositivas,"  3.912,85 ",Impuesto,No aplica,MASTERCARD,GALICIA
14-ago,14-ago,Serv.Cobro Anticipado,"  297,83 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
15-ago,15-ago,Arancel,"  445,05 ",Arancel,No aplica,MASTERCARD,GALICIA
15-ago,15-ago,Serv.Costos Financieros,"  4.370,65 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
15-ago,15-ago,Deduc.Impositivas,"  1.506,94 ",Impuesto,No aplica,MASTERCARD,GALICIA
15-ago,15-ago,Serv.Cobro Anticipado,"  112,74 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
16-ago,16-ago,Arancel,"  202,86 ",Arancel,No aplica,MASTERCARD,GALICIA
16-ago,16-ago,Serv.Costos Financieros,"  1.992,20 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
16-ago,16-ago,Deduc.Impositivas,"  657,02 ",Impuesto,No aplica,MASTERCARD,GALICIA
16-ago,16-ago,Serv.Cobro Anticipado,"  51,39 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
17-ago,17-ago,Arancel,"  283,59 ",Arancel,No aplica,MASTERCARD,GALICIA
17-ago,17-ago,Serv.Costos Financieros,"  2.785,03 ",Costos Financieros,No aplica,MASTERCARD,GALICIA
17-ago,17-ago,Deduc.Impositivas,"  918,47 ",Impuesto,No aplica,MASTERCARD,GALICIA
17-ago,17-ago,Serv.Cobro Anticipado,"  71,84 ",Cobro Anticipado,No aplica,MASTERCARD,GALICIA
18-ago,18-ago,Arancel,"  252,90 ",Arancel,No aplica,MASTERCARD,GALICIA
