Date,Year,Segment,Total,Cost of Sales,Data Cost,Cost Per Lead,Call Cost,Prospects Goals,Interviews Goals
1/1/22,2022,M - Savings plan,1813629,13142,1339920,360,473709,909,500
1/1/22,2022,N - Savings plan,840609,17513,693331,554,147278,71,71
1/1/22,2022,T - Savings plan,2137771,13792,1708026,463,429745,3407,1533
1/1/22,2022,A - Savings plan,1729991,11457,1396599,454,333391,86,86
1/1/22,2022,R  - Savings plan,733731,19309,600741,580,132990,3175,1333
1/1/22,2022,R - Savings plan,1094193,19196,915407,569,178786,114,114
1/1/22,2022,Mt - 0km,59866,14967,3080,59,56786,1111,467
1/1/22,2022,N - 0km,45932,22966,1236,19,44696,29,29
1/1/22,2022,T - 0km,47902,11975,1740,33,46162,915,467
1/1/22,2022,Av - 0km,68211,8526,2265,47,65946,57,57
1/1/22,2022,R- 0km,17296,17296,1909,111,15387,1616,533
1/1/22,2022,N - 0km,30233,30233,3488,218,26745,71,71
1/1/22,2022,Multibrand,2565,2565,,200,2565,3429,1200
1/1/22,2022,A - Used Car Sales,333495,12352,187682,195,145813,900,450
2/1/22,2022,Mt - Savings plan,1561340,15613,1155247,434,406093,71,71
2/1/22,2022,N - Savings plan,863810,16612,647320,547,216490,3467,1387
2/1/22,2022,T - Savings plan,1559752,11554,1150878,483,408874,71,71
2/1/22,2022,Av - Savings plan,1464900,13820,1173311,517,291589,2873,1207
2/1/22,2022,R- Savings plan,558474,14320,381388,514,177086,57,57
2/1/22,2022,N - Savings plan,758559,15171,606506,653,152053,1000,420
2/1/22,2022,Mt - 0km,58476,58476,993,17,57483,29,29
2/1/22,2022,N - 0km,39299,39299,2213,17,37086,933,420
2/1/22,2022,T - 0km,68034,17009,1279,19,66755,43,43
2/1/22,2022,Av - 0km,75466,15093,830,19,74636,1455,480
2/1/22,2022,R- 0km,16826,16826,600,19,16225,57,57
2/1/22,2022,N - 0km,28472,9491,6220,311,22252,3105,1087
2/1/22,2022,Multibrand,20397,20397,,,20397,1000,450
2/1/22,2022,A - Used Car Sales,343962,12284,190981,229,152980,71,71
3/1/22,2022,Mt - Savings plan,1643146,15075,1247897,515,395250,3429,1200
3/1/22,2022,N - Savings plan,803818,28708,626427,623,177392,71,71
3/1/22,2022,T - Savings plan,1505906,10039,1127595,541,378311,2857,1000
3/1/22,2022,Av - Savings plan,1767172,17157,1439679,558,327493,57,57
3/1/22,2022,R- Savings plan,649080,14752,434516,433,214564,952,400
3/1/22,2022,N - Savings plan,1118679,27285,967167,900,151512,29,29
3/1/22,2022,Mt - 0km,44649,14883,1830,55,42819,1167,525
3/1/22,2022,N - 0km,43904,43904,4849,55,39054,43,43
3/1/22,2022,T - 0km,54310,27155,3962,55,50347,1616,533
3/1/22,2022,Av - 0km,82943,10368,1540,55,81403,57,57
3/1/22,2022,R- 0km,22184,22184,539,55,21645,2476,867
3/1/22,2022,N - 0km,32679,32679,4917,443,27762,926,417
3/1/22,2022,Multibrand,59287,4561,,,59287,71,71
3/1/22,2022,A - Used Car Sales,370243,12767,237082,328,133162,3429,1200
4/1/22,2022,Mt - Savings plan,1758577,29806,1273352,554,485225,71,71
4/1/22,2022,N - Savings plan,982495,46785,777412,689,205083,2705,947
4/1/22,2022,T - Savings plan,1856901,16729,1375813,654,481087,57,57
4/1/22,2022,Av - Savings plan,2040993,39250,1667470,668,373522,952,400
4/1/22,2022,R- Savings plan,1106774,42568,812448,651,294326,143,143
4/1/22,2022,N - Savings plan,938010,78167,760705,680,177305,933,420
4/1/22,2022,Mt - 0km,38860,38860,2217,55,36643,43,43
4/1/22,2022,N - 0km,35852,35852,6301,55,29551,1556,513
4/1/22,2022,T - 0km,38391,38391,3521,55,34870,71,71
4/1/22,2022,Av - 0km,52541,26270,1713,55,50827,2857,1000
4/1/22,2022,R- 0km,31384,10461,651,55,30733,1437,417
4/1/22,2022,N - 0km,35840,35840,380,55,35461,71,71
4/1/22,2022,Multibrand,,,,,,2933,733
4/1/22,2022,A - Used Car Sales,731829,40657,561025,563,170804,14,14
5/1/22,2022,Mt - Savings plan,2058018,33194,1485594,554,572424,2630,947
5/1/22,2022,N - Savings plan,875082,32410,678366,669,196716,14,14
