Scheduled Date,Application Date,SAP Module,AREA (hectares),Lot,Trademark,Active Ingredient,Measurement Unit,Acceptable Harvest Date,Dose per cylinder,Dose per hectare,Application Objective,Type of Application,Number of Cylinders,Volume Liters per Hectare
11/1/2022,11/1/2022,M09,9.38,T VII,CROPS DETER ,Fatty Acids-Potassium Soap,L,02/11/22,0.06,1020,Powder,Mechanized,159.46,3400
11/1/2022,11/1/2022,M08,17.94,T I-III,CROPS DETER ,Fatty Acids-Potassium Soap,L,02/11/22,0.06,1020,Powder,Mechanized,305,3400
11/1/2022,11/1/2022,M07,7.89,T III,CROPS DETER ,Fatty Acids-Potassium Soap,L,02/11/22,0.06,1020,Powder,Mechanized,134.13,3400
11/1/2022,11/1/2022,M06,34.04,T IV-V-VI,CROPS DETER ,Fatty Acids-Potassium Soap,L,02/11/22,0.06,1020,Powder,Mechanized,578.7,3400
11/2/2022,11/2/2022,M06,33.36,T III-II-L168-169-171-173-170A,CROPS DETER ,Fatty Acids-Potassium Soap,L,03/11/22,0.06,1020,Powder,Mechanized,567.1,3400
11/2/2022,11/2/2022,M07,43.42,T I-II-IV-V-VI,CROPS DETER ,Fatty Acids-Potassium Soap,L,03/11/22,0.06,900,Powder,Mechanized,738.1,3400
11/3/2022,11/3/2022,M10,69.59,T I-II-III-IV-V-VI-VII-VIII,CROPS DETER ,Fatty Acids-Potassium Soap,L,04/11/22,0.06,1140,Powder,Mechanized,1043.9,3000
11/10/2022,11/10/2022,M08,29.16,T I-V-VI-L257-260-263,ETOXAZOL 11SC,Etoxazol ,L,11/11/22,0.1,1900,Brown Spider,Mechanized,554,3800
11/10/2022,11/10/2022,M08,29.16,T I-V-VI-L257-260-263,CROPS DETER ,Fatty Acids-Potassium Soap,L,11/11/22,0.06,1140,Powder,Mechanized,554,3800
11/10/2022,11/10/2022,M08,3.99,L 265-267,CROPS DETER ,Fatty Acids-Potassium Soap,L,11/11/22,0.06,1140,Powder,Mechanized,75.81,3800
11/10/2022,11/10/2022,M09,50.5,T I-II-IV-V-VI-VII-L225-228C1-228C2-229,ETOXAZOL 11SC,Etoxazol,L,11/11/22,0.1,1900,Brown Spider,Mechanized,959.5,3800
11/10/2022,11/10/2022,M09,50.5,T I-II-IV-V-VI-VII-L225-228C1-228C2-229,CROPS DETER ,Fatty Acids-Potassium Soap,L,11/11/22,0.06,1140,Powder,Mechanized,959.5,3800
11/10/2022,11/10/2022,M09,2.65,L 228A1-228A2-228B,ETOXAZOL 11SC,Etoxazol ,L,11/11/22,0.1,1900,Brown Spider,Mechanized,50.35,3800
11/10/2022,11/10/2022,M09,2.65,L 228A1-228A2-228B,CROPS COVER PLUS,TRI SILOXANE ETOXILATE,L,11/11/22,0.02,380,Adjuvant,Mechanized,50.35,3800
11/11/2022,11/11/2022,M08,9.04,T III,ETOXAZOL 11SC,Etoxazol ,L,12/11/22,0.1,1900,Brown Spider,Mechanized,171.78,3800
11/11/2022,11/11/2022,M08,9.04,T III,CROPS DETER ,Fatty Acids-Potassium Soap,L,12/11/22,0.02,380,Powder,Mechanized,171.78,3800
11/11/2022,11/11/2022,M06,23.13,T V-VI,ETOXAZOL 11SC,Etoxazol ,L,12/11/22,0.1,1900,Brown Spider,Mechanized,439.5,3800
