Item,Date,Month,Year,Payment_method,Operation_number,,,Bill_number,Article,Description,Colour,Quantity,Price,Total,Shipping_income,Shipping_outcome,Comision,Extras,CMV,Net_gain,Shipping_method,Province,CP,Status
7,5/5/2022,5,2022,MP,5458501949,,,1401,3500,Nidito p/breaming pillow,Caritas winter,1,2350,2350,"467,99","467,99",718,0,1062,1632,Particular,Buenos Aires,1886,Shipping of $ 575.25 x 2 to solve the change
1,13/5/2022,5,2022,TR,200000363358820,,,1400,14124,Nordic case 2 Tusor,Lead.,1,9500,9500,1100,"1597,64",0,0,6975,"9002,36",Mail,Buenos Aires,7600,Delivered
2,13/5/2022,5,2022,TR,200000363358822,,,1400,1314,Cunita padded c/chichonera,Hazelnut.,1,4200,4200,0,0,0,0,2857,4200,Mail,Tucumán,4000,Manager 16-5
3,13/5/2022,5,2022,TR,200000363358824,,,1400,3008N,Pillow 45 * 45 Bee nest,Hazelnut.,2,1400,2800,0,0,0,0,2076,2800,Mail,Tucumán,4000,They are in the chat with the client the prints
8,16/5/2022,5,2022,MP,200000363357884,,,1401,3500,Nidito p/breaming pillow,Calls,1,1850,1850,"964,99","964,99","300,5","126,67",1062,"1422,83",Particular,Santa Fe,3001,Paid
9,17/5/2022,5,2022,MP,200000363357885,,,1402,2000,Plaza sheets,Caritas winter,1,5250,5250,0,"479,99",735,0,3151,"4035,01",Particular,Caba,1430,Paid
4,18/5/2022,5,2022,EF,200000363358748,,,2238,14124,Nordic case 2 Tusor,Natural.,1,9700,9700,0,0,0,0,6975,9700,Mail,Tucumán,4000,In stock
5,18/5/2022,5,2022,TR,200000363358825,,,2268,3110N,Cover 55 * 80 Bee nest,Terracotta.,2,1600,3200,0,0,0,0,2274,3200,Mail,Tucumán,4000,It depends on payment form
6,18/5/2022,5,2022,TR,200000363358827,,,2269,5613,2 seat bee nest foot,Terracotta.,1,5100,5100,0,0,0,0,3660,5100,Mail,Tucumán,4000,It depends on payment form
10,24/5/2022,5,2022,MP,200000363357894,,,1403,3500,Nidito p/breaming pillow,Nordic rabbit,1,2350,2350,"794,99","794,99",718,0,1062,1632,Particular,Buenos Aires,1611,It does not say address
11,25/5/2022,5,2022,MP,200000363357897,,,1404,8500,Thread candle,Natural,1,4490,4490,0,"507,49","583,7",0,1800,"3398,81",Particular,Cordoba,5008,Paid
13,28/5/2022,5,2022,MP,200000363357886,,,1405,8500,Nordic candle,Natural,1,2390,2390,0,0,"370,7",0,1172,"2019,3",Particular,Cordoba,1602,Go for Buspack
23,30/5/2022,5,2022,MP,200000363357907,,,1408,1314T,Padded cunita tusor c/ch,Natural,1,4800,4800,0,0,0,0,3075,4800,Mail,Misiones,3334,Beige stripes
14,30/5/2022,5,2022,MP,200000363357881,,,1406,1014,Gabardina/Pique Square,Caritas,1,6990,6990,0,"779,99","978,6",0,4286,"5231,41",Particular,Caba,1405,Go for Buspack
21,30/5/2022,5,2022,MP,200000363357887,,,1407,8500,Nordic candle,Natural,1,2390,2390,0,0,"370,7",0,1172,"2019,3",Particular,Corrientes,3340,Go for Buspack
20,30/5/2022,5,2022,EF,200000363358831,,,2271,1124T,2 Squares Tusor,Cigar,1,8140,8140,0,0,0,0,7803,8140,Withdrawal,Tucumán,4000,In stock
16,30/5/2022,5,2022,EF,200000363358826,,,2268,1114,1/2 Gabardina/Pique Square,Ocher acorn,1,5900,5900,0,0,0,0,5646,5900,Withdrawal,Tucumán,4000,It depends on payment form
17,30/5/2022,5,2022,EF,200000363358828,,,2269,1114,1/2 Gabardina/Pique Square,Calls,1,5900,5900,0,0,0,0,5646,5900,Withdrawal,Tucumán,4000,It depends on payment form
12,30/5/2022,5,2022,EF,200000363358829,,,2270,1124T,2 Squares Tusor,Hazelnut,1,9500,9500,0,0,0,0,7803,9500,Mail,Tucumán,4000,It depends on payment form
18,30/5/2022,5,2022,EF,200000363358830,,,2270,1114,1/2 Gabardina/Pique Square,Charleston,2,5900,11800,0,0,0,0,11292,11800,Withdrawal,Tucumán,4000,It depends on payment form
15,30/5/2022,5,2022,EF,200000363358749,,,2239,1114,1/2 Gabardina/Pique Square,Acorn Aqua,1,5900,5900,0,0,0,0,5646,5900,Withdrawal,Buenos Aires,1727,Paid
19,30/5/2022,5,2022,EF,200000363358750,,,2239,1114,1/2 Gabardina/Pique Square,Blue Star,2,5900,11800,0,0,0,0,11292,11800,Withdrawal,Buenos Aires,1727,Paid
24,30/5/2022,5,2022,MP,200000363357888,,,1409,8500,Nordic candle,Natural,2,2390,4780,"466,99","466,99","741,4","215,1",2344,"3823,5",Particular,Santa Fe,2000,Retention imposed by Santa Fe taxes
22,30/5/2022,5,2022,MP,200000363357906,,,1408,1014T,Plain Plaza Tusor,Natural,1,6800,6800,550,"200,66","291,6",0,4867,"6857,74",Mail,Cordoba,5014,Shipping of $ 575.25 x 2 to solve the change
25,31/5/2022,5,2022,MP,200000363357912,,,1410,8500,Nordic candle,Natural,1,2390,2390,"834,99","834,99","370,7",0,1172,"2019,3",Particular,Buenos Aires,6640,Iibb withholding of Santa Fe
26,31/5/2022,5,2022,MP,200000363357914,,,1411,8500,Nordic candle,Natural,1,2390,2390,"607,49","607,49","370,7",0,1172,"2019,3",Particular,Buenos Aires,1650,Iibb withholding of Santa Fe
27,1/6/2022,6,2022,MP,200000363357916,,,1412,8500,Nordic candle,Natural,1,2390,2390,"1639,99","1639,99","370,7",0,1172,"2019,3",Particular,Chubut,9005,Extra by Chubut taxes
28,1/6/2022,6,2022,MP,200000363357918,,,1413,1114,1/2 Gabardina/Pique Square,Caritas winter,1,10490,10490,0,"889,99","1468,6",0,5646,"8131,41",Particular,Buenos Aires,1604,Iibb withholding of Santa Fe
30,1/6/2022,6,2022,MP,200000363357882,,,1414,2000,Plaza sheets,Acorn Aqua,1,5250,5250,0,"479,99",735,0,3151,"4035,01",Particular,Caba,1425,Iibb withholding of Santa Fe
29,1/6/2022,6,2022,TR,200000363358833,,,1413,1114,1/2 Gabardina/Pique Square,Caritas winter,1,10490,10490,0,"489,11",0,0,5646,"10000,89",Mail,Buenos Aires,1604,Retention imposed by Santa Fe taxes
32,2/6/2022,6,2022,EF,200000363358751,,,2240,5613,2 seat bee nest foot,Lead,7,5361,37527,0,0,0,0,23289,37527,Withdrawal,Tucumán,4000,In charge
