COD_STORE_SIMPLE,COD_PROD,COST_REAL,COST_SALES,COST_GIFT,COST_DISCARD,COST_TEST,COST_THEORETICAL,TIME,INEFFICIENCY,SPARE
PD_001,9000813,27.431222,22.81539138,0.79128525,2.110094,4.220188,29.93695863,3/4/2021,-2.505736625,-2.505736625
MT_001,2000801,77.8589252,58.08511856,0.48811024,21.354753,24.405512,104.3334938,3/4/2021,-26.4745686,-26.4745686
SB_013,2000106,19.39754978,24.28979333,0.47914395,0.4791569758,0.3400453992,25.58813965,3/4/2021,-6.190589875,-6.190589875
SB_013,2001696,12.69085871,13.40826428,0.4363393444,0.4437617097,0.2958372939,14.58420263,3/4/2021,-1.893343913,-1.893343913
SB_013,1001409,32.0029144,39.31955094,0.4223605218,0.4648319796,1.136380758,41.3431242,3/4/2021,-9.340209799,-9.340209799
MT_001,1000065,122.8023098,136.3406215,1.170734898,0.6937143879,2.70003,140.9051007,3/4/2021,-18.10279097,-18.10279097
PD_012,1002157,69.34111222,76.23802327,0.44640201,0.59520268,0.654722948,77.93435091,3/5/2021,-8.593238692,-8.593238692
SB_013,1001409,16.94257773,17.73324123,0.6536475,0.522918,0.522918,19.43272473,3/5/2021,-2.490147008,-2.490147008
SB_013,2001908,48.60707734,55.64755872,0.64312872,7.1082648,2.06478168,65.46373392,3/5/2021,-16.85665658,-16.85665658
MT_001,1000065,177.1101461,225.8218803,2.59069511,0.2084485641,1.24068511,229.8617091,3/5/2021,-52.75156299,-52.75156299
MT_001,2000078,1104.569641,1092.756629,9.72941587,10.58949742,2.1303088,1115.205851,3/6/2021,-10.63620977,-10.63620977
MT_001,2003227,458.3242625,476.8735123,3.326480738,0.7704781417,3.326493458,484.2969646,3/6/2021,-25.97270215,-25.97270215
SB_013,1001409,22.21568153,21.07891535,0.26148475,0.4648419796,3.660743,25.46598508,3/6/2021,-3.250303556,-3.250303556
SB_013,2001908,33.64572531,30.34546892,1.760138744,0.473882388,2.724827531,35.30431759,3/6/2021,-1.658592278,-1.658592278
MT_001,2000850,28.85612479,19.29058225,0.3491570028,2.320260372,8.474376,30.43437562,3/6/2021,-1.578250837,-1.578250837
MT_001,2000960,227.7542591,226.4330796,5.576384002,0.02603848172,0,232.0355021,3/6/2021,-4.281242908,-4.281242908
MT_001,2000850,7.186686537,13.65159493,0.02916294062,4.52532564,0,18.20608351,3/7/2021,-11.01939697,-11.01939697
MT_001,2000960,90.55346682,91.09816679,0.6534888288,0.4056455309,0,92.15730115,3/7/2021,-1.603834326,-1.603834326
MT_001,2000960,112.5546983,144.780872,1.935561499,2.146762715,0,148.8631962,3/7/2021,-36.3084979,-36.3084979
MT_001,2000078,573.0558468,575.9121962,0.588151731,5.516633763,0,582.0169817,3/7/2021,-8.961134857,-8.961134857
SB_013,2001688,11.8086612,10.16290777,0.3619551469,7.8724408,0,18.39730372,3/7/2021,-6.588642517,-6.588642517
MT_001,2000078,279.7512375,293.0285661,0.9165413274,5.52514976,0,299.4702572,3/7/2021,-19.71901971,-19.71901971
MT_001,1000666,109.9794788,102.249722,3.981181582,8.1635679,0,114.3944715,3/8/2021,-4.414992651,-4.414992651
MT_001,1000065,87.2367833,98.32116485,0.05242898836,2.565019,0,100.9386128,3/8/2021,-13.70182954,-13.70182954
PD_012,1002090,16.92530126,17.38610624,0.577176172,1.13095331,0,19.09423572,3/8/2021,-2.168934458,-2.168934458
MT_001,2000873,13.56020284,11.149506,0.301338,7.533436,0,18.98428,3/8/2021,-5.42407716,-5.42407716
SB_013,2000106,6.229206869,9.237686512,0.2395861288,0.2395861288,0,9.71685877,3/8/2021,-3.487651901,-3.487651901
SB_013,2001696,6.626651374,6.897000925,0.3012117,0.154467384,0,7.352680009,3/9/2021,-0.7260286348,-0.7260286348
SB_013,1002238,11.46642384,13.66237269,0.6072165639,0.303608282,0,14.57319753,3/9/2021,-3.106773691,-3.106773691
MT_001,2000960,108.312975,108.2739462,1.411926205,0.1254257096,0,109.8112981,3/9/2021,-1.49832315,-1.49832315
MT_001,2000078,509.7983439,516.5675183,6.221201775,0.317747346,0,523.1064675,3/9/2021,-13.30812352,-13.30812352
SB_013,1002238,17.7868626,25.75602069,0.6060240162,0.9090302288,0,27.27107493,3/9/2021,-9.484212329,-9.484212329
SB_013,2001696,12.04806092,12.67366221,0.3012008,0.4634203302,0,13.43828334,3/10/2021,-1.390222412,-1.390222412
MT_001,2000960,70.52825543,123.7571989,2.260701459,0.01198580371,0,126.0298862,3/10/2021,-55.50163073,-55.50163073
MT_001,2000078,223.673574,354.6547253,0.42557856,5.010970767,0,360.0912746,3/10/2021,-136.4177006,-136.4177006
MT_001,2003227,239.1275055,283.8357168,0.8316313406,0.8316278756,0,285.498976,3/10/2021,-46.37147048,-46.37147048
MT_001,1002256,23.58690302,31.9563098,0.01280320661,0.209600082,0,32.17871309,3/10/2021,-8.591810066,-8.591810066
SB_013,1001409,5.647438219,12.8248693,-0.130735875,0.2351153976,0,12.92924882,3/11/2021,-7.281810599,-7.281810599
MT_001,2000960,66.73787966,122.7073924,1.152497087,0.3672562119,0,124.2271457,3/11/2021,-57.48926601,-57.48926601
MT_001,2000078,446.6322351,458.9572074,7.294413951,0.33118968,0,466.582811,3/11/2021,-19.95057592,-19.95057592
MT_001,1002256,0.2831165573,36.53160822,0.2804562279,0.1967989537,0,37.00886341,3/11/2021,-36.72574685,-36.72574685
MT_001,2000850,14.40416858,13.89703683,0.2884231579,4.283150483,0,18.46861047,3/11/2021,-4.064441886,-4.064441886
MT_001,1000065,74.17162181,72.93351796,1.288895111,0.06291362095,0,74.2853267,3/11/2021,-0.1137048843,-0.1137048843
MT_001,2000413,38.25626709,37.91049736,0.32759883,0.43680216,0,38.67489835,3/11/2021,-0.4186312649,-0.4186312649
MT_001,2000873,15.14206272,14.233544,1.21136,1.21136392,0,16.65626792,3/12/2021,-1.5142052,-1.5142052
MT_001,2000960,72.69119078,101.021408,3.08064696,2.2575859,0,106.3596409,3/12/2021,-33.66845012,-33.66845012
MT_001,2000078,497.3545706,505.2699175,5.905650789,1.848383919,0,513.0239522,3/12/2021,-15.66938159,-15.66938159
MT_001,2000960,7.958683511,77.2208702,1.305660103,0.009846027246,0,78.53637633,3/12/2021,-70.57769282,-70.57769282
MT_001,2000733,-0.1024216115,0.09882138382,0.0007784276,0,0,0.09959981142,3/12/2021,-0.2020214229,-0.2020214229
MT_001,2000901,0,8.2,0.4,0,0,8.6,3/12/2021,-8.6,-8.6
MT_001,1000065,156.8199087,174.2369487,2.087631851,0,0,176.3245805,3/12/2021,-19.50467183,-19.50467183
MT_001,2000801,74.67521002,119.3425625,1.2202716,0,0,120.5628341,3/1/2022,-45.88762406,-45.88762406
MT_001,2000055,35.2135911,56.68720962,1.63520797,0,0,58.32241759,3/1/2022,-23.10882649,-23.10882649
MT_001,2000078,558.3326975,585.2972659,20.60525642,0,0,605.9025223,3/1/2022,-47.56982477,-47.56982477
MT_001,2002008,0,0.0082,0.0001,0,0,0.0083,3/1/2022,-0.0083,-0.0083
MT_001,2003227,412.7753117,427.1207575,8.416079882,0,0,435.5368374,3/1/2022,-22.76152566,-22.76152566
MT_001,3401372,0,38.3569525,0.8803235,0,0,39.237276,3/1/2022,-39.237276,-39.237276
MT_001,2000413,18.67313844,38.27449566,0.21839928,0,0,38.49289494,3/2/2022,-19.8197565,-19.8197565
MT_001,2003227,-89.73365405,235.3845092,3.015853317,0,0,238.4003625,3/2/2022,-328.1340165,-328.1340165
MT_001,1000286,-3.62255,86.03374398,4.668329469,0,0,90.70207345,3/2/2022,-94.32462345,-94.32462345
MT_001,1001857,175.0551403,212.3149402,0.523203408,0,0,212.8381436,3/2/2022,-37.78300331,-37.78300331
MT_001,2000413,20.47553828,25.15300518,0.16380387,0,0,25.31680905,3/2/2022,-4.84127077,-4.84127077
MT_001,3401047,178.2,320.1,1.98,0,0,322.08,3/2/2022,-143.88,-143.88
MT_001,2004918,124,124.62,0.62,0,0,125.24,3/3/2022,-1.24,-1.24
MT_001,3401372,25.15243125,52.19071125,1.2576075,0,0,53.44831875,3/3/2022,-28.2958875,-28.2958875
MT_001,2000901,0,1.8,0.2,0,0,2,3/3/2022,-2,-2
MT_001,2000408,22.19726273,38.12902213,0.03559939,0,0,38.16462152,3/3/2022,-15.9673588,-15.9673588
MT_001,2000055,19.7475624,19.89694905,1.07551076,0,0,20.97245981,3/3/2022,-1.224897412,-1.224897412
MT_001,2000078,122.3176083,174.897484,4.616376552,0,0,179.5138606,3/4/2022,-57.19625234,-57.19625234
MT_001,2003227,344.7077817,355.0365112,0.6243322207,0,0,355.6608434,3/4/2022,-10.95306171,-10.95306171
MT_001,3401047,99,105.6,3.3,0,0,108.9,3/4/2022,-9.9,-9.9
MT_001,3401372,32.698705,42.256788,2.38952075,0,0,44.64630875,3/4/2022,-11.94760375,-11.94760375
MT_001,2000901,0,7.8,0.2,0,0,8,3/4/2022,-8,-8
MT_001,1000065,150.7199656,206.5013614,0.742489,0,0,207.2438504,3/5/2022,-56.52388481,-56.52388481
MT_001,2002008,0,0.0083,0.0003,0,0,0.0086,3/5/2022,-0.0086,-0.0086
MT_001,3401372,115.70357,127.9027508,75.961909,0,0,203.8646598,3/5/2022,-88.16108975,-88.16108975
MT_001,2000901,0,9.6,0.2,0,0,9.8,3/5/2022,-9.8,-9.8
MT_001,3401047,91.74,130.02,0.66,0,0,130.68,3/5/2022,-38.94,-38.94
MT_001,3401161,0,0.1,0.02,0,0,0.12,3/5/2022,-0.12,-0.12
MT_001,2004918,97.65,111.91,0.62,0,0,112.53,3/5/2022,-14.88,-14.88
MT_001,3401372,44.771272,46.028892,0.251524,0,0,46.280416,3/6/2022,-1.509144,-1.509144
MT_001,2000901,0,13.9,0.2,0,0,14.1,3/6/2022,-14.1,-14.1
MT_001,2002008,0,0.009,0.0001,0,0,0.0091,3/6/2022,-0.0091,-0.0091
MT_001,1000666,81.55774131,80.29740445,2.008295292,0,0,82.30569974,3/6/2022,-0.7479584352,-0.7479584352
MT_001,3401047,159.06,175.56,3.96,0,0,179.52,3/6/2022,-20.46,-20.46
MT_001,3401372,45.27441,47.91541725,1.38338475,0,0,49.298802,3/6/2022,-4.024392,-4.024392
MT_001,1002256,26.79430121,33.36083538,0.5286584295,0,0,33.88949381,3/7/2022,-7.095192598,-7.095192598
MT_001,2001395,0,0.82,0.82,0,0,1.64,3/7/2022,-1.64,-1.64
MT_001,2000801,90.40992152,91.39531576,1.47809136,0,0,92.87340712,3/7/2022,-2.4634856,-2.4634856
MT_001,2004918,76.57,131.44,0.31,0,0,131.75,3/7/2022,-55.18,-55.18
MT_001,2000047,13.8379305,25.03714316,6.259287477,0,0,31.29643064,3/7/2022,-17.45850014,-17.45850014
MT_001,2000078,531.5079174,561.7404588,2.54338752,0,0,564.2838463,3/7/2022,-32.77592892,-32.77592892
MT_001,2002008,0,0.0082,0.0001,0,0,0.0083,3/8/2022,-0.0083,-0.0083
MT_001,3401372,67.909995,268.8732765,0.503037,0,0,269.3763135,3/8/2022,-201.4663185,-201.4663185
MT_001,2000801,80.4496108,88.231104,0.9803456,0,0,89.2114496,3/8/2022,-8.7618388,-8.7618388
MT_001,2000047,94.505712,131.4488656,6.259471077,0,0,137.7083367,3/8/2022,-43.2026247,-43.2026247
MT_001,3401372,21.12768,62.75424,0.37728,0,0,63.13152,3/8/2022,-42.00384,-42.00384
MT_001,2000901,0,3.5,0.2,0,0,3.7,3/8/2022,-3.7,-3.7
MT_001,2000408,40.20788578,42.06331143,0.7591325926,0,0,42.82244402,3/8/2022,-2.614558241,-2.614558241
MT_001,2004918,89.9,98.58,1.24,0,0,99.82,3/9/2022,-9.92,-9.92
MT_001,3401372,25.1525,52.9460125,0.6288125,0,0,53.574825,3/9/2022,-28.422325,-28.422325
MT_001,2001395,0,3.28,0.41,0,0,3.69,3/9/2022,-3.69,-3.69
MT_001,2002008,0,0.0069,0.0001,0,0,0.007,3/9/2022,-0.007,-0.007
