UPC,Description,Stock,Code,Model,Walmart Cost
'0056389000018,FIRST AID KIT,3,56389000018,1,$70.00
'0056389000032,FIRST AID KIT,5,56389000032,3,$170.00
'0056389000506,SOAP FOR CAMP,7,56389000506,50,$72.00
'0056389001114,MOSQUITO REPELLENT BARS,18,56389001114,111,$48.00
'0056389001152,COMPACT HAMMOCK MADE OF POLYESTER,47,56389001152,115,$433.00
'0056389001183,ORGANIZED BAG,55,56389001183,118,$230.00
'0056389001244,SINGLE CAPUCHON,6,56389001244,124,$109.00
'0056389001404,BAG FOR BAG,33,56389001404,140,$667.00
'0056389001701,FIELD LUXURY TOWEL,25,56389001701,170,$171.00
'0056389001749,MINI MOSQUETON,14,56389001749,174,$41.00
'0056389001787,MINI MOSQUETON,11,56389001787,178,$41.00
'0056389001800,FAST RELEASE BUCKLES,25,56389001800,180,$46.00
'0056389001817,ROPE TO WEAR CLOTHES,2,56389001817,181,$50.00
'0056389001824,CORDON OF A NYLON UTILITY,9,56389001824,182,$89.00
'0056389001947,STORE REPAIR GAME,11,56389001947,194,$97.00
'0056389002258,CYALUMEN FOR CHILDREN WITHOUT HEAT,3,56389002258,225,$118.00
'0056389002289,LABORATORY FOR CHILDREN,6,56389002289,228,$259.00
'0056389002302,BUTTERFLY NETWORK FOR CHILDREN,6,56389002302,230,$211.00
'0056389002326,POND FOR CHILDREN,6,56389002326,232,$125.00
'0056389002357,BINOCULAR FOR CHILDREN,6,56389002357,235,$191.00
'0056389002364,BIRD CALL,4,56389002364,236,$140.00
'0056389002395,LANTERN FOR CHILDREN,3,56389002395,239,$120.00
'0056389002418,LUP FOR CHILDREN,5,56389002418,241,$83.00
'0056389002425,PONCHO FOR CHILDREN,3,56389002425,242,$30.50
'0056389003026,SLEEPING ROPES,4,56389003026,302,$52.00
'0056389003552,ANODIZED ALUMINUM MOSQUETON,1,56389003552,355,$89.50
'0056389004337,CLOTHING ROPE,2,56389004337,433,$129.00
'0056389004481,LED WITCH,11,56389004481,448,$191.00
'0056389004504,FOOD HEATER,6,56389004504,450,$145.00
'0056389004665,SIX FUNCTIONS,9,56389004665,466,$273.00
'0056389005129,ELASTIC CORD,8,56389005129,512,$67.00
'0056389005136,ELASTIC CORD,4,56389005136,513,$52.00
'0056389005143,ELASTIC CORD,15,56389005143,514,$55.00
'0056389005150,ELASTIC CORD,1,56389005150,515,$59.00
'0056389005167,ELASTIC MINI,5,56389005167,516,$57.00
'0056389005204,AFFEITE MACHIN COVER,2,56389005204,520,$35.00
'0056389005266,LIGHTER STONE,44,56389005266,526,$32.00
'0056389005273,TABLECLOTH TWEEZERS,12,56389005273,527,$70.00
'0056389005464,PLOSE BOX,6,56389005464,546,$149.00
'0056389005624,SIERRA LA ULTIMA SIERRA DE POCKET,5,56389005624,562,$219.00
'0056389005631,MOSQUITO NET,11,56389005631,563,$319.00
'0056389005723,CORDON WITH BOTTLES,10,56389005723,572,$46.00
'0056389006225,TOILET PAPER,2,56389006225,622,$73.00
'0056389006508,CAMPISMO MIRROR,3,56389006508,650,$90.00
'0056389006553,FOLDING CUP,2,56389006553,655,$79.50
'0056389006577,TOOTHBUG SUPPORT,8,56389006577,657,$54.00
'0056389006607,TABLECLOTH AND TWEEZERS,9,56389006607,660,$191.00
'0056389006805,TABLECLOTH PESOS,6,56389006805,680,$113.00
'0056389007017,POLYPROPENE CORD,25,56389007017,701,$61.00
'0056389007024,CAMPISMO OPEN,5,56389007024,702,$55.00
'0056389007031,HOUSE REPAIR KIT,11,56389007031,703,$149.00
'0056389007055,STRETCHING LINKS,4,56389007055,705,$59.00
'0056389007062,CAMPISM WASHERS,4,56389007062,706,$50.00
'0056389007116,NYLON REPAIR TAPE,5,56389007116,711,$39.00
'0056389007123,VINYL REPAIR TAPE,6,56389007123,712,$43.00
'0056389007154,STAKE REMOVER,8,56389007154,715,$44.00
'0056389007253,CAMPISM LIGHTER,1,56389007253,725,$100.00
'0056389007444,SANDWICHES GRILL,2,56389007444,744,$389.00
'0056389007512,ELASTIC A POLYPROPYLEN STRAP,6,56389007512,751,$77.00
'0056389007529,POLYPROPILEN STRAP,6,56389007529,752,$81.00
'0056389007536,ELASTIC A POLYPROPYLEN STRAP,14,56389007536,753,$89.00
'0056389007567,RED MAGNETIC BEAR,2,56389007563,756,$70.00
'0056389007581,YELLOW MAGNETIC CAMPANA,3,56389007581,758,$70.00
'0056389008151,RECHARGEABLE AIR PUMP IS CONNECTED,10,56389008151,815,$349.00
'0056389008199,BELLOWING PUMP,10,56389008199,819,$389.00
'0056389008229,LARGE FOOT BOMB OF THE BELLOWS,9,56389008229,822,$513.00
'0056389008243,DOUBLE ACTION PUMP,13,56389008243,824,$609.00
'0056389008298,DISPOSABLE LIGHTER,20,56389008298,829,$100.00
'0056389008427,MICRO LANTERN,5,56389008427,842,$239.00
'0056389008601,PLASTIC REPAIR KIT,6,56389008601,860,$56.50
'0056389009028,LIGHT LIGHT,6,56389009028,902,$215.00
'0056389009035,HILELLA SUPPORT,1,56389009035,903,$92.00
'0056389009363,SALAROS FOR CAMPING,2,56389009363,936,$45.50
'0056389010000,ALUMINUM STAKES,12,56389010000,1000,$100.00
'0056389010055,FINTAL F START TOOL,9,56389010055,1005,$114.00
'0056389010123,EGG SUPPORT,7,56389010123,1012,$50.00
'0056389010253,ACAMPA FIRST TIME GUIDE,5,56389010253,1025,$50.00
'0056389011106,LIGHT AND DRY BAG,4,56389011106,1110,$299.00
'0056389011120,LIGHT AND DRY BAG,4,56389011120,1112,$403.00
0056389011168,COMPRESSION BAG,1,56389011168,1116,$489.00
'0056389011182,COMPRESSION BAG,1,56389011182,1118,$549.00
'0056389011236,COMPRESSION BAG,11,56389011236,1123,$609.00
'0056389011304,CAMP GRILL,16,56389011304,1130,$759.00
'0056389011601,AX INDISPENSABLE TOOL TORQUE,15,56389011601,1160,$495.00
'0056389012059,FOLDING WATER CONTAINER,3,56389012059,1205,$297.00
'0056389012103,SET OF DISHES,9,56389012103,1210,$745.00
'0056389012196,TRASH CAN,2,56389012196,1219,$350.00
'0056389012356,THE BACKPACKER,8,56389012356,1235,$123.00
'0056389013056,NYLON UTENSILS,2,56389013056,1305,$140.00
'0056389013407,STAINLESS STEEL COFFEE MAKER,0,56389013407,1340,"$1,049.00"
'0056389013421,STAINLESS STEEL COFFEE MAKER,1,56389013421,1342,"$1,365.00"
'0056389013506,WATERPROOF BAG,2,56389013506,1350,$273.00
'0056389013520,WATERPROOF BAG,6,56389013520,1352,$409.50
'0056389013544,WATERPROOF BAG,4,56389013544,1354,$543.00
'0056389013605,GENERAL UTILITY CORDON,2,56389013605,1360,$61.00
'0056389013650,GENERAL UTILITY CORDON,1,56389013650,1365,$123.00
'0056389014398,LIGHT DESIGN UMBRELLA,14,56389014398,1439,$280.00
'0056389014503,NYLON CORD,17,56389014503,1450,$129.00
'0056389014527,NYLON CORD,5,56389014527,1452,$129.00
'0056389014541,NYLON CORD,2,56389014541,1454,$129.00
'0056389014565,NYLON CORD,1,56389014565,1456,$129.00
'0056389014701,ADHESIVE SIGNAL LIGHT,6,56389014701,1470,$100.00
'0056389014800,ADHESIVE SIGNAL LIGHT,6,56389014800,1480,$72.00
'0056389015302,COMBINATION PADLOCK,6,56389015302,1530,$365.00
'0056389015609,PORTABLE CHARGER,6,56389015609,1560,$700.00
'0056389015777,EXTENSIBLE FIRE POKER,6,56389015777,1577,$205.00
'0056389016095,STEEL STAKES,4,56389016095,1609,$51.00
'0056389016309,2 MM HIGH VISIVILITY CORD,2,56389016309,1630,$193.00
'0056389016521,TEST STORAGE BAG D,1,56389016521,1652,$97.00
'0056389016545,TEST STORAGE BAG D,9,56389016545,1654,$109.00
'0056389016606,FOUR DIVISI PIC NIC PLATE,6,56389016606,1660,$108.00
'0056389076006,FOLDING SCISSORS CAMPISM,2,56389076006,7600,$68.00
'0056389076051,REUSABLE PLASTIC BOTTLES,8,56389076051,7605,$109.00
'0056389076068,POLYPROPERE STRAP,4,56389076068,7606,$50.00
'0056389076082,POLYPROPERE STRAP,6,56389076082,7608,$55.00
'0056389076105,POLYPROPERE STRAP,1,56389076105,7610,$63.50
'0056389076204,GERMICIDES TABLETS,8,56389076204,7620,$205.00
'0056389076402,ANTIATING PLATE,4,56389076402,7640,$685.00
'0056389079205,CAMPISMO TABLECLOTH,10,56389079205,7920,$100.00
'0056389079458,SHARPSTONE,12,56389079458,7945,$133.00
'0056389080454,SAFETY CORDON CAMPISMO,14,56389080454,8045,$27.00
'0056389080461,ALUMINUM CAMPING STAKES,11,56389080461,8046,$83.00
'0056389080485,BRUJULA FOR CAMPING,11,56389080485,8048,$149.00
'0056389081000,FUNNEL FOR CAMPING,3,56389081000,8100,$50.00
'0056389081253,RELIEF AGAINST CAMPISMO BITES,1,56389081253,8125,$127.00
'0056389081505,PATCHES FOR CAMPISM,6,56389081505,8150,$55.00
'0056389081604,BRUJULA FOR CAMPING,6,56389081604,8160,$91.00
'0056389081628,BRUJULA MAP CAMPISMO,3,56389081628,8162,$133.00
'0056389081642,LENZATICA BRUJULA CAMPISMO,5,56389081642,8164,$143.00
'0056389082052,CEAMISM COSTURA KIT,3,56389082052,8205,$41.00
'0056389082106,NYLON BAG FOR CAMPING,12,56389082106,8210,$159.00
'0056389082120,STUFF BAG 12P DIA X 22P,8,56389082120,8212,$176.00
'0056389082144,STUFF BAG 14P DIA X 30P,6,56389082144,8214,$225.00
'0056389082304,BAG GENERAL CAMPISMO,5,56389082304,8230,$185.00
'0056389082335,CAMPISMO BAG SET,9,56389082335,8233,$97.00
'0056389082687,BRUJULA FOR BALL -TYPE CAMPING,4,56389082687,8268,$55.00
'0056389082953,COGLAN CAMPISM,7,56389082953,8295,$54.00
'0056389083042,SIERRA FOR COGLANS CAMPISM,7,56389083042,8304,$91.00
'0056389083097,CAMPISMO PLASTIC CUP,6,56389083097,8309,$91.00
'0056389083103,CAMPISM STAKES,6,56389083103,8310,$62.00
'0056389083196,NYLON CAMPISMO MESH BAG,1,56389083196,8319,$77.00
'0056389083264,CAMPISMO STEEL STAKES,1,56389083264,8326,$84.00
'0056389083431,BAG FOR CAMPING,2,56389083431,8343,$123.00
'0056389083509,CAMPISMO AIR MATTRESS,4,56389083509,8350,$200.00
'0056389084001,SIERRA FOR CAMPING,15,56389084001,8400,$255.00
'0056389084025,BOIL FOR CAMPISM,11,56389084025,8402,$35.00
'0056389084087,CAMPISM SHOVEL,4,56389084087,8408,$47.50
'0056389084155,WATER RESISTANCE BAG,2,56389084155,8415,$71.00
'0056389084162,WATER RESISTANCE BAG,2,56389084162,8416,$91.00
'0056389084247,24P NON -SLIP STRAP,0,56389084247,8424,$95.00
'0056389084483,48P NON -SLIP STRAP,1,56389084483,8448,$117.00
'0056389084605,60P NON -SLIP STRAP,1,56389084605,8460,$125.00
'0056389085015,ACRYLIC MIRROR CAMPISM,4,56389085015,8501,$73.00
'0056389085053,FLEXIBLE CAMPISM LANTERN,11,56389085053,8505,$58.00
'0056389085091,CAMPISMO CANDLES,3,56389085091,8509,$73.00
'0056389085121,CAMPISMO,3,56389085121,8512,$96.00
'0056389085251,PLASTIC BOTTLES CAMPISM,6,56389085251,8525,$159.00
'0056389085442,MANTA THERMAL CAMPISM,5,56389085442,8544,$441.00
'0056389085558,JUMBO CAMPING PAN,4,56389085558,8555,$110.00
'0056389085664,AIR PROTECTOR FOR CAMPISM,5,56389085664,8556,$190.00
'0056389086104,BOTTLE FOR CAMPING,6,56389086104,8610,$55.00
'0056389086234,CAMPISMO PROTECTION MESH,6,56389086234,8623,$69.00
'0056389086470,YESCA TO START FIRE,4,56389086470,8647,$195.00
'0056389086494,REPLACEMENT YESCA CAMPISMO,2,56389086494,8649,$100.00
'0056389086524,BRUJULA FOR CAMPING,11,56389086524,8652,$89.00
