CATEGORY,ITEM_NUMBER,ARTICLE_DESCRIPTION,LISTED_PRICE,BONUS,PRICE_WITHOUT_VAT,REQUIRED_QTY,TOTAL,DELIVERED_QTY,DIFFERENCE_QTY,DIFFERENCE_$
Others,234467,NYLON PLUG PER UNIT 8mm,0.1688888889,0.28,0.1216,110,13.376,110,0,0
Others,257231,FIXER GOLD WOODEN SCREW5 x 45,0.8577777778,0.28,0.6176,100,61.76,100,0,0
Others,257225,FIXER GOLD WOODEN SCREW5 x 50,0.9322222222,0.28,0.6712,10,6.712,10,0,0
Others,122296,PLASTIC COIL COUPLING 19mm CT,1.768888889,0.28,1.2736,1,1.2736,1,0,0
Others,122593,PLASTIC COIL COUPLING H 19mm,2.571111111,0.28,1.8512,2,3.7024,2,0,0
IPS Installation,500282,"IPS  COUPLING HH 3/4""",2.935555556,0.28,2.1136,3,6.3408,3,0,0
BRICKS,16207,COMMON BRICK X UNIT,3.124444444,0.28,2.2496,1100,2474.56,1500,-400,-899.84
IPS Installation,500064,IPS  COUPLING HH 20mm F-F,3.694444444,0.28,2.66,16,42.56,16,0,0
IPS Installation,500247,"IPS  ELBOW 90º HH 3/4""",4.303333333,0.28,3.0984,1,3.0984,1,0,0
IPS Installation,500256,"IPS  ELBOW 90º MH 3/4""",4.458888889,0.28,3.2104,1,3.2104,1,0,0
IPS Installation,500577,IPS  CAP  40,4.81,0.28,3.4632,18,62.3376,18,0,0
IPS Installation,500022,IPS ELBOW 90º HH 20mm F-F,4.967777778,0.28,3.5768,25,89.42,25,0,0
Others,278944,CLAMP.15-18-21-25-30......1015,5.505555556,0.28,3.964,2,7.928,2,0,0
IPS Installation,500065,IPS  COUPLING HH 25mm F-F,6.558888889,0.28,4.7224,45,212.508,45,0,0
IPS Installation,500538,IPS  ELBOW 45 MH 40 mm Std,6.668888889,0.28,4.8016,16,76.8256,16,0,0
IPS Installation,500032,IPS CAP H 25mm Fusión,6.801111111,0.28,4.8968,5,24.484,5,0,0
IPS Installation,500542,IPS  ELBOW 87º30' MH 40 mm Std,7.205555556,0.28,5.188,40,207.52,40,0,0
Others,256434,POP ALUMINUM RIVET X50 5x 8,7.912222222,0.28,5.6968,2,11.3936,2,0,0
Natural Gas Installation,37714,EPOXI PLUG M 13mm,7.985555556,0.28,5.7496,2,11.4992,2,0,0
IPS Installation,500023,IPS ELBOW 90º HH 25mm F-F,8.157777778,0.28,5.8736,140,822.304,140,0,0
IPS Installation,500353,"IPS  PVC FLANGE WITH GASKET 3/4""",8.303333333,0.28,5.9784,2,11.9568,2,0,0
IPS Installation,500546,IPS  ELBOW 45 HH 40 mm Std,8.528888889,0.28,6.1408,15,92.112,15,0,0
IPS Installation,500088,IPS  COUPLING MH 25x20mm F-F,8.565555556,0.28,6.1672,12,74.0064,12,0,0
Water Installation,118125,"H3 NIPPLE PVC PIPE FITTING 3/4"" x 20cm ...............5516",8.616666667,0.28,6.204,4,24.816,4,0,0
IPS Installation,500066,IPS  COUPLING HH 32mm F-F,9.118888889,0.28,6.5656,20,131.312,20,0,0
Water Installation,123299,"SALADILLO POLYETHYLENE PIPE K 6   3/4"" x METRO",9.176666667,0.28,6.6072,6,39.6432,6,0,0
IPS Installation,500550,IPS  ELBOW 87º30' HH 40 mm Std,9.221111111,0.28,6.6392,40,265.568,40,0,0
STYROFOAM,308012,SHEET STYROFOAM 1 x 1  10 mm,9.327777778,0.28,6.716,32,214.912,32,0,0
Others,381444,"REINFORCED WATER HOSE PIPE 3/4"" X 25 MTS",10.13666667,0.28,7.2984,50,364.92,50,0,0
IPS Installation,500559,IPS  REPAIR COUPLER 40 mm Std,10.34333333,0.28,7.4472,20,148.944,20,0,0
IPS Installation,500568,IPS  NET. COUPLING de red. MH 63-40 mm,10.80777778,0.28,7.7816,3,23.3448,3,0,0
IPS Installation,500057,IPS  TEE HHH 32mm F-F-F,11.13222222,0.28,8.0152,8,64.1216,8,0,0
Others,56228,OMEGA METAL U BRACKET 125 mm,11.17777778,0.28,8.048,5,40.24,5,0,0
BRICKS,379772,LOAD-BEARING CERAMIC BRICK 12X19X33,11.33333333,0.28,8.16,1434,11701.44,1584,-150,-1224
AGGREGATES,44013,FINE SAND IN BAG,11.42777778,0.28,8.228,20,164.56,20,0,0
IPS Installation,500579,IPS  CAP 63,11.83666667,0.28,8.5224,3,25.5672,3,0,0
IPS Installation,500047,IPS ELBOW 45º HH 25mm F-F,11.96222222,0.28,8.6128,20,172.256,20,0,0
IPS Installation,500024,IPS ELBOW 90º HH 32mm F-F,11.96222222,0.28,8.6128,40,344.512,40,0,0
IPS Installation,500056,IPS  TEE HHH 25mm F-F-F,12.37666667,0.28,8.9112,46,409.9152,46,0,0
IPS Installation,500090,IPS  COUPLING MH 32x25mm F-F,12.75111111,0.28,9.1808,24,220.3392,24,0,0
Others,76418,DIELECTRIC COUPLING (PILLARS),13.64666667,0.28,9.8256,1,9.8256,1,0,0
BRICKS,379773,LOAD-BEARING CERAMIC BRICK 18X19X33,14.63888889,0.28,10.54,5310,55967.4,5310,0,0
IPS Installation,500540,IPS   ELBOW 45 MH 63 mm Std,15.01444444,0.28,10.8104,15,162.156,15,0,0
IPS Installation,500561,IPS  REPAIR COUPLER 63 mm Std,15.01444444,0.28,10.8104,15,162.156,15,0,0
IPS Installation,500544,IPS  ELBOW 87º30' MH 63 mm Std,15.88111111,0.28,11.4344,20,228.688,20,0,0
Others,381113,EL GALGO PAINT BRUSH SERIES 1000 Nº7,15.88333333,0.28,11.436,2,22.872,2,0,0
IPS Installation,500625,IPS  SINGLE BRANCH 45º HH 40-40,17.46333333,0.28,12.5736,6,75.4416,6,0,0
IPS Installation,500548,IPS  ELBOW 45 HH 63 mm Std,17.82111111,0.28,12.8312,10,128.312,10,0,0
Sewage,127587,AW VENT CAP 63 H (4150,17.84888889,0.28,12.8512,3,38.5536,3,0,0
Others,37387,EPOXI ELBOW H-H  19mm,17.86666667,0.28,12.864,14,180.096,14,0,0
IPS Installation,500552,IPS  ELBOW 87º30' HH 63 mm Std,18.61222222,0.28,13.4008,10,134.008,10,0,0
Others,381114,EL GALGO PAINT BRUSH SERIES 1000 Nº10,18.81222222,0.28,13.5448,2,27.0896,2,0,0
Sewage,127577,AW ELBOW 45* H-H  63 mm .............2042,19.66111111,0.28,14.156,11,155.716,21,-10,-141.56
Others,188572,TRANSPARENT SEALING TAPE 48mm x 50mt,20.80222222,0.28,14.9776,1,14.9776,1,0,0
Others,72201,APPROVED VENTILATION GRILL 20 x 20 cm,20.93,0.28,15.0696,10,150.696,10,0,0
IPS Installation,500080,IPS  OVERTAKING MM 25mm F-F,22.04222222,0.28,15.8704,20,317.408,20,0,0
IPS Installation,500176,"IPS  COUPLING w/ins.H 20x3/8"" F-R",22.36777778,0.28,16.1048,12,193.2576,12,0,0
IPS Installation,500154,"IPS  ELBOW 90ºins.H 20x1/2""F-R",23.22555556,0.28,16.7224,8,133.7792,8,0,0
Others,180760,REDUCING EPOXI COUPLING 32x25,23.59555556,0.28,16.9888,3,50.9664,3,0,0
Others,381119,EL GALGO PROFESSIONAL BRUSH Nº10,23.63444444,0.28,17.0168,2,34.0336,2,0,0
Others,180425,REDUCING EPOXI COUPLING 32x19,24.26666667,0.28,17.472,4,69.888,4,0,0
IPS Installation,500177,"IPS  COUPLING w/ins.H 20x1/2"" F-R",24.51888889,0.28,17.6536,16,282.4576,16,0,0
