Date,Month,Year,Type,Concept,Description,Supplier,Target project,Check type,Point of sale,Number,Amount (without IVA),IIBB,IVA,TISSH,Accounting Total
14-nov,November,2019,Revenue,Aporte_Socios,PUSO DANI PARA ARREGLAR CAÑO DE AGUA CIUDAD JUDICIAL,Dani,Estructura de la empresa,X,,,$600.00,$ -,126,$ -,$726.00
14-nov,November,2019,Revenue,Aporte_Socios,"PUSO DANI PARA CLAVOS, TORNILLOS, PEGAMENTO, HOJA SIERRA",Dani,Estructura de la empresa,X,,,$750.00,$ -,157.5,$ -,$907.50
14-nov,November,2019,Expense,Compra_Materiales_Insumos,"CLAVOS, TORNILLOS, PEGAMENTO, HOJA SIERRA",Corralón-Ferretería,Ciudad Judicial - Reemplazo de membrana,X,,,$750.00,$ -,157.5,$ -,$907.50
14-nov,November,2019,Expense,Compra_Materiales_Insumos,"JUNTAS RAPIDAS PARA CAÑO 50MM, HOJA SIERRA, 1M DE TUBO DE 50MM",Corralón-Ferretería,Ciudad Judicial - Reemplazo de membrana,X,,,"$1,100.00",$ -,231,$ -,"$1,331.00"
15-nov,November,2019,Revenue,Aporte_Socios,PUSO RIKI PARA REPARACIÓN CAÑO DE AGUA CIUDAD JUDICIAL Y BIDONES DE AGUA PARA ALBAÑILES,Riki,Estructura de la empresa,X,,,$630.00,$ -,132.3,$ -,$762.30
15-nov,November,2019,Expense,Compra_Materiales_Insumos,GASTO EN CAÑO DE AGUA + BIDÓN DE AGUA PARA ALBAÑILES,Corralón-Ferretería,Ciudad Judicial - Reemplazo de membrana,X,,,$630.00,$ -,132.3,$ -,$762.30
19-nov,November,2019,Revenue,Aporte_Socios,DANI PAGO LAS 90 TUERCAS PARA LOS ANDAMIOS,Dani,Estructura de la empresa,X,,,$720.00,$ -,151.2,$ -,$871.20
19-nov,November,2019,Expense,Compra_Materiales_Insumos,90 TUERCAS PARA ANDAMIOS,Bulonera Vélez,Ciudad Judicial - Reemplazo de membrana,X,,,$720.00,$ -,151.2,$ -,$871.20
19-nov,November,2019,Revenue,Aporte_Socios,"PUSE PARA PAGAR LA MANO DE OBRA JUAN IBARRA, POR OBRA CIUDAD JUDICIAL",Piki,Estructura de la empresa,X,,,"$4,000.00",$ -,840,$ -,"$4,840.00"
19-nov,November,2019,Revenue,Aporte_Socios,"PUSO BONA PARA PAGAR LA MANO DE OBRA JUAN IBARRA, OBRA CIUDAD JUDICIAL",Bona,Estructura de la empresa,X,,,"$4,000.00",$ -,840,$ -,"$4,840.00"
19-nov,November,2019,Expense,Mano de obra,"ADELANTO PRIMERA QUINCENA JUAN IBARRA, OBRA CIUDAD JUDICIAL",Juan Ibarra Contratista,Ciudad Judicial - Reemplazo de membrana,X,,,"$8,000.00",$ -,1680,$ -,"$9,680.00"
22-nov,November,2019,Revenue,Aporte_Socios,PUSO DANI PARA GRASA PERCUTOR,Dani,Estructura de la empresa,X,,,$100.00,$ -,21,$ -,$121.00
22-nov,November,2019,Expense,Compra_Materiales_Insumos,GRASA PERCUTORES,Corralón-Ferretería,Ciudad Judicial - Reemplazo de membrana,X,,,$100.00,$ -,21,$ -,$121.00
23-nov,November,2019,Revenue,Aporte_Socios,DANI LE DEVOLVIÓ 2000 A LO QUE PUSO CHICHO,Dani,Estructura de la empresa,X,,,"$2,000.00",$ -,420,$ -,"$2,420.00"
23-nov,November,2019,Revenue,Aporte_Socios,PUSE 10 MIL PARA PAGAR MANO DE OBRA JUAN IBARRA PRIMERA QUINCENA OBRA CIUDAD JUDICIAL,Piki,Estructura de la empresa,X,,,"$10,000.00",$ -,2100,$ -,"$12,100.00"
23-nov,November,2019,Revenue,Aporte_Socios,CHICHO LE PRESTÓ AL GORDO PARA PAGAR MANO DE OBRA JUAN IBARRA OBRA CIUDAD JUDICIAL,Gordo,Estructura de la empresa,X,,,"$10,000.00",$ -,2100,$ -,"$12,100.00"
