,Transaction ID,Date,Product Type,Quantity,Unit Price,Total Amount,Unit Capital,Total Capital,Unit Profit,Total Profit,Notes
,2022CC016,"Friday, 7 January 2022",Ladies Tshirt,20,₱20.00,₱400.00,₱12.00,₱240.00,₱8.00,₱160.00,
,2022CC017,"Friday, 7 January 2022",Ladies Tshirt,5,₱20.00,₱100.00,₱12.00,₱60.00,₱8.00,₱40.00,
,2022CC018,"Friday, 7 January 2022",Cosmetics,2,₱70.00,₱140.00,₱35.00,₱70.00,₱35.00,₱70.00,
,2022CC019,"Friday, 7 January 2022",Customized Notepad,8,₱20.00,₱160.00,₱12.00,₱96.00,₱8.00,₱64.00,50 Pages
,2022CC020,"Saturday, 8 January 2022",Electronics (Cellphone),1,"₱4,000.00","₱4,000.00","₱2,300.00","₱2,300.00","₱1,700.00","₱1,700.00",
,2022CC021,"Saturday, 8 January 2022",Kid's Wear,50,₱25.00,"₱1,250.00",₱13.00,₱650.00,₱12.00,₱600.00,
,2022CC022,"Saturday, 8 January 2022",Customized Receipt,10,₱20.00,₱200.00,₱12.00,₱120.00,₱8.00,₱80.00,50 Pages
,2022CC023,"Saturday, 8 January 2022",Ladies Tshirt,32,₱20.00,₱640.00,₱12.00,₱384.00,₱8.00,₱256.00,
,2022CC024,"Saturday, 8 January 2022",Ladies Tshirt,16,₱20.00,₱320.00,₱12.00,₱192.00,₱8.00,₱128.00,
,2022CC025,"Monday, 10 January 2022",Electronics (Cellphone),1,"₱4,000.00","₱4,000.00","₱2,000.00","₱2,000.00","₱2,000.00","₱2,000.00",Iphone 6s+
,2022CC026,"Monday, 10 January 2022",Cosmetics,7,₱70.00,₱490.00,₱35.00,₱245.00,₱35.00,₱245.00,
,2022CC027,"Monday, 10 January 2022",Cosmetics,2,₱70.00,₱140.00,₱35.00,₱70.00,₱35.00,₱70.00,
,2022CC028,"Wednesday, 12 January 2022",Ladies Tshirt,12,₱20.00,₱240.00,₱12.00,₱144.00,₱8.00,₱96.00,
,2022CC029,"Wednesday, 12 January 2022",Customized Planner,2,₱100.00,₱200.00,₱47.00,₱94.00,₱53.00,₱106.00,100 Pages
,2022CC030,"Saturday, 15 January 2022",Cosmetics,3,₱70.00,₱210.00,₱35.00,₱105.00,₱35.00,₱105.00,
,2022CC031,"Saturday, 15 January 2022",Cosmetics,4,₱70.00,₱280.00,₱35.00,₱140.00,₱35.00,₱140.00,
,2022CC032,"Saturday, 15 January 2022",Kid's Wear,67,₱25.00,"₱1,675.00",₱13.00,₱871.00,₱12.00,₱804.00,
,2022CC033,"Saturday, 15 January 2022",Kid's Wear,15,₱25.00,₱375.00,₱13.00,₱195.00,₱12.00,₱180.00,
,2022CC034,"Tuesday, 18 January 2022",Customized Receipt,10,₱20.00,₱200.00,₱12.00,₱120.00,₱8.00,₱80.00,50 Pages
,2022CC035,"Tuesday, 18 January 2022",Ladies Tshirt,13,₱20.00,₱260.00,₱12.00,₱156.00,₱8.00,₱104.00,
,2022CC036,"Tuesday, 18 January 2022",Ladies Tshirt,9,₱20.00,₱180.00,₱12.00,₱108.00,₱8.00,₱72.00,
,2022CC037,"Tuesday, 18 January 2022",Electronics (Laptop),1,"₱6,000.00","₱6,000.00","₱4,500.00","₱4,500.00","₱1,500.00","₱1,500.00",HP Pavillion
,2022CC038,"Tuesday, 18 January 2022",Kid's Wear,21,₱25.00,₱525.00,₱13.00,₱273.00,₱12.00,₱252.00,
,2022CC039,"Thursday, 20 January 2022",Ladies Tshirt,19,₱20.00,₱380.00,₱12.00,₱228.00,₱8.00,₱152.00,
,2022CC040,"Thursday, 20 January 2022",Customized Receipt,10,₱20.00,₱200.00,₱12.00,₱120.00,₱8.00,₱80.00,50 Pages
,2022CC041,"Thursday, 20 January 2022",Cosmetics,3,₱70.00,₱210.00,₱35.00,₱105.00,₱35.00,₱105.00,
,2022CC042,"Thursday, 20 January 2022",Ladies Tshirt,6,₱20.00,₱120.00,₱12.00,₱72.00,₱8.00,₱48.00,
,2022CC043,"Thursday, 20 January 2022",Customized Receipt,5,₱20.00,₱100.00,₱12.00,₱60.00,₱8.00,₱40.00,50 Pages
,2022CC044,"Thursday, 20 January 2022",Customized Planner,1,₱100.00,₱100.00,₱47.00,₱47.00,₱53.00,₱53.00,100 Pages
,2022CC045,"Thursday, 20 January 2022",Customized Receipt,8,₱20.00,₱160.00,₱12.00,₱96.00,₱8.00,₱64.00,50 Pages
,2022CC046,"Friday, 21 January 2022",Kid's Wear,32,₱25.00,₱800.00,₱13.00,₱416.00,₱12.00,₱384.00,
,2022CC047,"Friday, 21 January 2022",Cosmetics,5,₱70.00,₱350.00,₱35.00,₱175.00,₱35.00,₱175.00,
,2022CC048,"Friday, 21 January 2022",Customized Receipt,10,₱20.00,₱200.00,₱12.00,₱120.00,₱8.00,₱80.00,50 Pages
,2022CC049,"Sunday, 23 January 2022",Ladies Tshirt,40,₱20.00,₱800.00,₱12.00,₱480.00,₱8.00,₱320.00,
,2022CC050,"Sunday, 23 January 2022",Customized Receipt,10,₱20.00,₱200.00,₱12.00,₱120.00,₱8.00,₱80.00,50 Pages
,2022CC051,"Sunday, 23 January 2022",Electronics (Cellphone),1,"₱3,500.00","₱3,500.00","₱1,500.00","₱1,500.00","₱2,000.00","₱2,000.00",Nokia G22
,2022CC052,"Sunday, 23 January 2022",Customized Receipt,5,₱20.00,₱100.00,₱12.00,₱60.00,₱8.00,₱40.00,50 Pages
,2022CC053,"Tuesday, 25 January 2022",Customized Receipt,5,₱20.00,₱100.00,₱12.00,₱60.00,₱8.00,₱40.00,50 Pages
