Animal status,National Dairy Registry,Date of birth,Animal ID,Rodeo Number,Milking 1,Milking 2,Milking 3,Production sum,Production avg,Production max
Milk production,0051-01,4/3/2021,724,2,"14,8","11,6","11,8","38,2","12,7","14,8"
Milk production,0051-01,3/5/2021,833,2,"11,8","7,2","11,8","30,8","10,3","11,8"
Milk production,0051-01,3/31/2021,840,2,"12,8","10,8","10,8","34,4","11,5","12,8"
Milk production,0051-01,2/16/2021,841,2,"15,8","10,8","12,6","39,2","13,1","15,8"
Milk production,0051-01,5/9/2021,845,1,17,"12,2",11,"40,2","13,4",17
Milk production,0051-01,1/29/2021,852,2,"14,6","10,6","14,6","39,8","13,3","14,6"
Milk production,0051-01,2/27/2021,875,3,"11,8","9,6","9,6",31,"10,3","11,8"
Milk production,0051-01,3/29/2021,882,3,"5,2",4,"3,8",13,"4,3","5,2"
Milk production,0051-01,4/13/2021,885,2,"9,8",7,8,"24,8","8,3","9,8"
Milk production,0051-01,7/13/2021,889,2,"16,2","13,6","13,8","43,6","14,5","16,2"
Milk production,0051-01,12/6/2020,890,2,12,"7,2",9,"28,2","9,4",12
Milk production,0051-01,8/12/2021,893,2,20,"15,2","18,2","53,4","17,8",20
Milk production,0051-01,3/8/2021,895,2,16,10,10,36,"12,0",16
Milk production,0051-01,1/29/2021,906,2,"16,8","11,4","10,8",39,"13,0","16,8"
Milk production,0051-01,4/13/2021,912,2,9,9,"9,2","27,2","9,1","9,2"
Milk production,0051-01,3/1/2021,914,2,"16,2",11,"12,2","39,4","13,1","16,2"
Milk production,0051-01,5/14/2021,926,1,"16,8","12,2",12,41,"13,7","16,8"
Milk production,0051-01,7/12/2021,927,2,17,"12,2",13,"42,2","14,1",17
Milk production,0051-01,5/17/2021,929,2,15,"9,2","13,8",38,"12,7",15
Milk production,0051-01,4/16/2021,930,2,"17,2",11,"12,8",41,"13,7","17,2"
Milk production,0051-01,3/30/2021,933,1,"12,2","8,6",9,"29,8","9,9","12,2"
Milk production,0051-01,2/27/2021,936,2,"10,8","7,2",10,28,"9,3","10,8"
Milk production,0051-01,7/13/2021,937,1,13,9,"10,8","32,8","10,9",13
