Dairy 1 Don Florencio,,,,,,
General cow data,,Reproduction,Current Lactation,,,
Own registration of the animal,Group,Nº Lactation,Kg. milk,% fat,% protein,Total solids (Fat+Protein)
840,7,5,4921,4.44,3.35,384
845,1,6,7292,4.40,3.34,565
885,1,6,9516,4.28,3.29,721
893,7,6,2172,4.45,3.31,169
895,10,5,5169,4.35,3.31,396
906,7,5,8260,4.37,3.32,636
912,1,4,12388,4.32,3.30,945
926,1,4,8622,4.34,3.30,659
927,7,3,11034,4.32,3.29,841
930,10,4,2572,4.27,3.30,195
933,10,4,4427,4.38,3.27,339
934,10,6,2023,4.24,3.27,152
936,1,4,10348,4.36,3.31,795
937,1,4,4802,4.29,3.30,365
942,1,3,13945,4.30,3.30,1061
943,1,4,4761,4.29,3.30,362
956,10,3,814,4.56,3.35,64
960,1,3,4285,4.28,3.29,325
965,7,2,13662,4.30,3.30,1039
975,1,2,9155,4.38,3.32,706
976,1,2,9023,4.40,3.33,699
978,1,2,8785,4.38,3.32,677
979,1,2,11669,4.35,3.31,895
980,7,2,7882,4.28,3.29,597
984,1,2,5941,4.38,3.32,458
985,1,2,8677,4.39,3.32,670
986,1,2,2428,4.39,3.25,186
990,1,2,2251,4.24,3.27,169
991,1,2,3237,4.27,3.27,244
993,1,2,7511,4.27,3.29,568
1000,7,1,12693,4.32,3.29,967
1001,1,1,6758,4.33,3.30,516
1003,1,1,2468,4.33,3.27,188
1007,1,2,1084,4.64,3.33,87
1009,10,2,1710,4.23,3.28,129
1011,7,1,7797,4.28,3.29,591
1013,1,1,2363,4.25,3.28,178
1014,10,1,6325,4.30,3.30,481
1015,1,1,1483,4.63,3.28,117
1016,1,1,325,4.42,3.16,25
1017,1,1,2281,4.23,3.29,172
1018,1,1,1535,4.23,3.30,116
1019,1,1,1927,4.22,3.29,145
1022,1,1,2209,4.25,3.28,166
1023,1,1,1809,4.24,3.30,137
1024,1,1,2434,4.24,3.29,183
1276,1,1,940,4.59,3.23,74
1404,1,1,3527,4.37,3.29,270
1405,10,1,4220,4.38,3.30,325
1406,1,1,2535,4.32,3.26,192
1411,1,1,9705,4.35,3.31,744
1412,1,1,8362,4.28,3.29,634
1414,1,1,8747,4.28,3.29,663
1415,1,1,5622,4.31,3.29,428
1417,1,1,5895,4.27,3.29,446
1420,1,1,2006,4.30,3.24,152
1422,1,1,7424,4.30,3.29,564
1423,10,1,3639,4.35,3.30,279
1424,1,1,7180,4.36,3.31,551
1425,1,1,8869,4.34,3.30,679
1429,1,1,5858,4.30,3.29,445
1430,7,1,9628,4.28,3.29,730
1431,1,1,6156,4.32,3.29,469
1434,1,1,8142,4.28,3.29,617
1435,1,1,3513,4.44,3.26,271
1439,1,1,7239,4.28,3.29,549
1442,1,1,2804,4.33,3.27,214
1446,1,1,7675,4.34,3.30,588
1447,1,1,5734,4.30,3.29,436
1448,1,1,7502,4.28,3.29,568
1455,1,1,6516,4.26,3.29,492
1508,1,1,9971,4.28,3.29,756
1588,1,1,3134,4.31,3.27,238
1593,1,1,3114,4.35,3.28,238
1597,1,1,9212,4.38,3.32,710
1736,1,1,1535,4.30,3.14,114
1743,1,1,2879,4.37,3.27,220
1746,1,1,2847,4.35,3.28,217
1747,1,1,3239,4.40,3.29,249
1748,1,1,5594,4.31,3.29,426
1749,1,1,6508,4.26,3.29,492
1750,1,1,5598,4.28,3.29,424
1751,1,1,5641,4.35,3.30,432
1752,1,1,6144,4.26,3.29,464
1753,1,1,6588,4.28,3.29,499
1756,1,1,2947,4.37,3.28,226
1759,1,1,5940,4.30,3.29,452
1765,1,1,3232,4.36,3.28,247
1767,1,1,3579,4.38,3.29,275
1769,1,1,932,4.59,3.23,73
1771,1,1,5574,4.28,3.29,422
1772,1,1,5766,4.31,3.29,439
1775,1,1,6038,4.27,3.29,457
1780,1,1,2480,4.31,3.26,188
1785,1,1,2555,4.34,3.27,195
1786,1,1,1496,4.23,3.19,111
1789,1,1,3295,4.38,3.28,253
1790,1,1,3389,4.31,3.27,257
1792,1,1,3692,4.38,3.29,284
1793,1,1,2882,4.34,3.27,220
1795,1,1,6382,4.31,3.29,486
1798,1,1,6231,4.29,3.29,473
1804,1,1,4703,4.30,3.29,358
1806,1,1,4334,4.27,3.29,328
1807,1,1,362,4.45,3.01,27
1811,1,1,2190,4.31,3.26,166
1818,1,1,5524,4.29,3.29,419
1821,1,1,3095,4.35,3.28,236
1831,1,1,3022,4.27,3.30,229
1832,1,1,5612,4.32,3.29,428
1837,1,1,3179,4.32,3.27,241
1839,1,1,4654,4.39,3.30,359
1840,1,1,6806,4.35,3.30,521
1841,1,1,5096,4.27,3.29,386
1845,1,1,2414,4.38,3.26,185
1846,1,1,6871,4.35,3.30,526
1854,1,1,3318,4.38,3.28,254
1856,1,1,4941,4.26,3.29,374
1859,1,1,4918,4.29,3.29,373
1863,1,1,1893,4.27,3.19,141
1864,1,1,2811,4.33,3.27,214
1869,1,1,2556,4.35,3.27,195
1880,1,1,6141,4.32,3.29,468
1887,1,1,968,4.58,3.25,76
1888,1,1,2599,4.41,3.22,199
1898,1,1,2805,4.34,3.22,212
1901,1,1,3306,4.41,3.24,253
1904,1,1,1004,4.60,3.24,79
1907,1,1,2834,4.34,3.27,216
1908,1,1,5554,4.25,3.29,419
1909,1,1,1874,4.22,3.29,141
1921,1,1,829,4.60,3.20,65
1931,1,1,2613,4.31,3.26,198
1932,1,1,4553,4.41,3.31,352
1933,1,1,6088,4.30,3.29,463
1943,1,1,6514,4.30,3.29,495
1949,1,1,802,4.55,3.24,63
1956,1,1,858,4.59,3.22,67
1959,1,1,3495,4.43,3.26,269
1963,1,1,2540,4.27,3.31,193
1966,1,1,5407,4.30,3.29,411
1967,1,1,2364,4.31,3.26,179
1972,1,1,5498,4.31,3.29,419
1974,1,1,2864,4.34,3.27,218
1982,1,1,2926,4.27,3.30,222
1986,1,1,3264,4.38,3.28,250
1989,1,1,2988,4.29,3.27,226
1993,1,1,3446,4.43,3.25,265
1997,1,1,2587,4.35,3.26,197
1999,1,1,3290,4.39,3.28,253
2010,1,1,3194,4.36,3.28,245
2015,1,1,6320,4.35,3.30,484
2018,1,1,5757,4.31,3.29,438
2019,1,1,3642,4.26,3.29,275
2032,1,1,1773,4.32,3.23,134
2036,1,1,1602,4.60,3.31,127
2037,1,1,1577,4.62,3.29,125
2039,1,1,1023,4.59,3.25,80
2040,1,1,492,4.59,3.06,38
2065,1,1,2749,4.38,3.27,211
2073,1,1,3276,4.28,3.30,249
2079,1,1,673,4.57,3.18,52
2085,1,1,3079,4.33,3.28,235
2092,1,1,3329,4.38,3.28,256
2096,1,1,2817,4.35,3.28,215
2099,1,1,2475,4.30,3.26,187
2102,1,1,586,4.54,3.27,46
2112,1,1,695,4.70,3.32,56
2115,1,1,1204,4.60,3.35,96
2117,1,1,1111,4.58,3.28,87
2123,1,1,776,4.65,3.31,62
2134,1,1,2608,4.34,3.26,199
2144,1,1,1347,4.59,3.29,106
2155,1,1,998,4.58,3.24,78
2157,1,1,1354,4.61,3.28,107
2169,1,1,930,4.56,3.25,73
2174,1,1,1159,4.59,3.27,91
2184,1,1,796,4.55,3.23,62
2192,1,1,1053,4.59,3.25,83
2196,1,1,1222,4.60,3.27,96
2199,1,1,1579,4.60,3.30,125
2202,1,1,1632,4.31,3.25,124
2213,1,1,1429,4.60,3.29,113
2223,1,1,858,4.65,3.18,67
2227,1,1,810,4.57,3.31,64
2229,1,1,1689,4.61,3.30,134
2435,1,1,863,4.56,3.24,67
2443,1,1,1101,4.58,3.27,87
2451,1,1,960,4.58,3.33,76
2457,1,1,845,4.57,3.22,66
2466,1,1,628,4.54,3.28,49
2625,1,1,46,4.39,3.34,4
4554,1,1,261,4.75,3.34,21
4922,1,9,6479,4.43,3.35,505
5137,10,8,2372,4.25,3.27,179
5279,1,6,7334,4.30,3.30,558
5310,10,5,7142,4.40,3.34,553
5351,10,7,4941,4.26,3.29,374
5365,10,7,5614,4.29,3.29,427
5378,7,7,6271,4.33,3.30,479
5550,1,7,8401,4.26,3.29,635
5632,7,6,16102,4.30,3.29,1224
5681,1,6,2483,4.42,3.29,192
5711,1,5,11986,4.33,3.31,917
5719,1,6,7136,4.28,3.29,541
5765,1,6,5810,4.25,3.28,438
5779,7,4,13871,4.32,3.30,1058
5788,1,6,4349,4.28,3.30,330
5845,1,6,3095,4.29,3.28,235
5851,10,6,4806,4.42,3.33,373
5868,1,5,9836,4.37,3.32,757
5901,1,6,8379,4.30,3.30,638
5921,7,4,9750,4.35,3.31,748
5929,1,6,4306,4.28,3.30,327
5941,1,6,10393,4.28,3.29,788
6010,10,7,3218,4.35,3.30,247
6026,1,5,1326,4.51,3.36,105
6059,10,4,1726,4.26,3.33,131
6064,1,5,6796,4.28,3.30,515
6070,7,5,8233,4.28,3.29,624
6096,1,5,4007,4.28,3.29,304
6121,1,6,7793,4.39,3.33,602
6122,10,5,15038,4.30,3.29,1143
6123,1,6,10733,4.28,3.29,813
6155,7,6,8528,4.27,3.29,646
6165,7,5,10690,4.30,3.29,812
6171,1,5,14830,4.29,3.29,1126
6174,1,6,10025,4.34,3.31,768
6204,1,5,8763,4.26,3.29,663
6216,1,6,8435,4.32,3.29,644
6229,7,4,9326,4.37,3.32,718
6230,10,5,9815,4.28,3.29,744
6234,1,5,9416,4.37,3.32,725
6273,1,6,4093,4.28,3.30,311
6303,10,6,3881,4.26,3.29,293
6327,1,5,7673,4.35,3.30,588
6335,10,5,8395,4.31,3.30,640
6337,10,3,11142,4.29,3.30,847
6375,1,4,10389,4.37,3.32,799
6384,1,5,7393,4.39,3.33,571
6403,1,4,12148,4.35,3.31,932
6412,1,4,16895,4.29,3.29,1283
6425,7,6,2693,4.25,3.28,203
6439,7,4,10110,4.30,3.29,768
6444,7,4,12975,4.29,3.30,986
6468,1,5,8877,4.27,3.29,672
6469,1,5,5797,4.28,3.29,439
6474,1,5,7310,4.36,3.31,562
6477,1,5,10420,4.36,3.31,801
6502,10,5,5112,4.41,3.33,396
6520,7,4,13096,4.31,3.30,998
6532,1,5,11400,4.32,3.30,869
6537,1,4,8499,2.64,3.47,520
6540,1,4,6378,4.29,3.29,484
6541,1,5,9925,4.27,3.29,751
6545,1,5,8947,4.38,3.31,689
6550,1,5,8136,4.30,3.30,619
6556,1,5,3908,4.27,3.28,295
6561,1,5,10888,4.31,3.30,830
6570,1,5,10156,4.28,3.29,770
6581,7,5,253,4.45,3.16,19
6582,7,5,1627,4.27,3.31,124
6593,1,4,5798,2.50,3.05,322
6596,7,4,12370,4.33,3.30,945
6598,1,4,11215,4.27,3.29,849
6602,1,5,8107,4.27,3.29,614
6609,10,5,4131,4.31,3.30,315
6619,1,4,11622,4.29,3.30,883
6625,10,5,2234,4.48,3.24,173
6627,1,5,8891,4.36,3.31,683
6659,10,5,4135,4.28,3.29,314
6662,1,5,9265,4.36,3.32,712
6663,1,5,5629,4.30,3.28,427
