,,,,,,,,,,,,,,,,,
 Inventory List,,,,,,,,,,,,,,,,,
Item Description,Estimated value,Price Sold,What method of marketing was used?,How many days did it take to sell this item?,What was the condition of this item?,What was the method of payment?,Has the item been picked up?,What part of town was the item located?,Was delivery requested?,New or past client selling item?,New or past customer purchasing item?,What was the date the item was listed?,What was the date the item was sold?,Has the client been paid for the sale of their item?,What was the method of payment to client for payout?,What was the date of payout to the client?,Was this an online or in person sale?
Paladin leather couch,"$3,000 ","$1,500 ",Facebook Marketplace,7 days,Like New,credit card,yes,Ameila Island,no,past,new,11/10/2023,11/17/2023,yes,cashier's check,11/20/2023,Online sale
Paladin leather chair,"$1,500 ",$300 ,Facebook Marketplace,7 days,Like New,credit card,yes,Ameila Island,no,past,new,11/10/2023,11/17/2023,yes,cashier's check,11/20/2023,Online sale
Leather wingback chair,"$1,000 ",$250 ,Facebook Marketplace,7 days,Small knick on chair,credit card,yes,Ameila Island,no,past,new,11/10/2023,11/17/2023,yes,cashier's check,11/20/2023,Online sale
Vintage Lure Set,$150 ,$75 ,Facebook Marketplace,5 days,gentley used lures,Venmo,yes,Ponte Vedra,"yes, item was mailed",new,new,12/5/2023,12/10/2023,yes,Venmo,12/17/2023,Online sale
Vintage Christmas Musical Train Set,$75 ,$50 ,Facebook Marketplace,15 days,gently used,cash,yes,Ponte Vedra,no,new,new,12/5/2023,12/20/2023,yes,Venmo,12/21/2023,Online sale
"Craftsman Vise 6""",$100 ,$85 ,Facebook Marketplace,10 days,Like New,cash,yes,Ponte Vedra,no,new,new,12/5/2023,12/15/2023,yes,Venmo,12/21/2023,Online sale
Mikasa Bone China Set,$450 ,$225 ,Estate Sale,1 day,Like New,cash,yes,Mandarin,no,new,new,1/25/2023,1/26/2023,yes,cashier's check,1/31/2023,In person
Rosewood Flatware Chest,$400 ,$225 ,Estate Sale,1 day,Like New,cash,yes,Mandarin,no,new,new,1/25/2023,1/26/2023,yes,cashier's check,1/31/2023,In person
Pair of Cloisonne vases,$450 ,$300 ,Estate Sale,1 day,Like New,credit card,yes,Mandarin,no,new,new,1/25/2023,1/26/2023,yes,cashier's check,1/31/2023,In person
Rosewood Winged Cabinet,$450 ,$350 ,Estate Sale,1 day,Like New,credit card,yes,Mandarin,no,new,new,1/25/2023,1/26/2023,yes,cashier's check,1/31/2023,In person
Rosewood Trunk,$400 ,$250 ,Estate Sale,1 day,Like New,google pay,yes,Mandarin,no,new,new,1/25/2023,1/26/2023,yes,cashier's check,1/31/2023,In person
Carved Rosewood Trunk,$500 ,$350 ,Estate Sale,1 day,Like New,CashApp,yes,Mandarin,no,new,new,1/25/2023,1/26/2023,yes,cashier's check,1/31/2023,In person
Carved Tiki Bar Set,"$3,000 ","$2,250 ",Estate Sale,1 day,Gently Used,CashApp,yes,Fleming Island,no,new,new,6/24/2023,6/25/2023,yes,cashier's check,6/30/2023,In person
2 Large Decorative Vases,"$2,000 ","$1,500 ",Estate Sale,3 days,Like New,credit card,yes,Fleming Island,no,new,new,6/24/2023,6/27/2023,yes,cashier's check,6/30/2023,In person
Large Carved China Cabinet,"$2,500 ","$1,500 ",Estate Sale,3 days,Like New,cash,yes,Fleming Island,no,new,new,6/24/2023,6/27/2023,yes,cashier's check,6/30/2023,In person
Narro Wood Dining Set,"$2,500 ","$1,000 ",Estate Sale,3 days,Like New,cash,yes,Fleming Island,no,new,new,6/24/2023,6/27/2023,yes,cashier's check,6/30/2023,In person
Vintage Minolta Camera,$100 ,$80 ,Facebook Marketplace,10 days,Used,cash,yes,Ponte Vedra,no,past,new,12/2/2023,12/12/2023,yes,cash ,12/15/2023,Online sale
Nikon Camera Lens,$200 ,$150 ,Facebook Marketplace,8 days,Like New,cash,yes,Ponte Vedra,no,past,new,12/2/2023,12/10/2023,yes,cash ,12/15/2023,Online sale
Kids Pit Bike,$500 ,$500 ,Facebook Marketplace,30 days,Gently Used,CashApp,yes,Intracoastal,no,past,new,10/15/2023,11/15/2023,yes,cash,11/15/2023,Online sale
Honda Dirt Bike,"$4,000 ","$3,500 ",Facebook Marketplace,60 days,Gently Used,cash,yes,Intracoastal,no,past,new,9/5/2023,11/5/2023,yes,cash,11/15/2023,Online sale
Leather Top Desk,$750 ,$500 ,Facebook Marketplace,120 days,Gently Used,cash,yes,Intracoastal,no,new,new,7/1/2023,11/1/2023,yes,cashier's check,11/5/2023,Online sale
Satsuma Hand Painted Vase,$400 ,$300 ,Facebook Marketplace,125 days,Like New,cash,yes,Intracoastal,no,new,new,7/1/2023,11/5/2023,yes,cashier's check,11/5/2023,Online sale
Baker Furniture End Tables,"$1,500 ","$1,000 ",Facebook Marketplace,130 days,Gently Used,Venmo,yes,Intracoastal,no,new,new,7/1/2023,11/10/2023,yes,cashier's check,11/10/2023,Online sale
Baker Furniture Coffee Table,"$1,000 ",$750 ,Facebook Marketplace,130 days,small water stain,Venmo,yes,Intracoastal,no,new,new,7/1/2023,11/10/2023,yes,cashier's check,11/10/2023,Online sale
Sentry Gun Safe,$600 ,$600 ,Estate Sale,1 day,small rust on the bottom,cash,yes,Green Cove Springs,no,new,new,1/31/2023,2/1/2023,yes,cashier's check,2/7/2023,In person
Hamilton Pocket Watch,$500 ,$400 ,Estate Sale,1 day,Gently Used,cash,yes,Green Cove Springs,no,new,new,1/31/2023,2/1/2023,yes,cashier's check,2/7/2023,In person
Large Gold Framed Mirror,$500 ,$500 ,Estate Sale,2 days,Gently Used,credit card,yes,Green Cove Springs,no,new,new,1/31/2023,2/2/2023,yes,cashier's check,2/7/2023,In person
Concrete Pedestal,$400 ,$400 ,Estate Sale,2 days,Used,credit card,yes,Green Cove Springs,no,new,new,1/31/2023,2/2/2023,yes,cashier's check,2/7/2023,In person
Sliding Curio Cabinet,$400 ,$375 ,Estate Sale,3 days,used,credit card,yes,Green Cove Springs,no,new,new,1/31/2023,2/3/2023,yes,cashier's check,2/7/2023,In person
Snowman Christmas Village,$100 ,$90 ,Estate Sale,3 days,used,credit card,yes,Green Cove Springs,no,new,new,1/31/2023,2/3/2023,yes,cashier's check,2/7/2023,In person
Jaguar Misc Stone Statue,$150 ,$75 ,Estate Sale,3 days,Like New,google pay,yes,Green Cove Springs,no,new,new,1/31/2023,2/3/2023,yes,cashier's check,2/7/2023,In person
Porcelian Chandelier,$150 ,$75 ,Estate Sale,3 days,Used,cash,yes,Green Cove Springs,no,new,new,1/31/2023,2/3/2023,yes,cashier's check,2/7/2023,In person
Nikon Camera w/ Lens Attachements,"$2,000 ","$1,600 ",Facebook Marketplace,25 days,Like New,credit card,yes,Ponte Vedra,no,past,new,11/1/2023,11/25/2023,yes,cashier's check,11/26/2023,Online sale
Vintage Baby Crib,$75 ,$75 ,Facebook Marketplace,15 days,Gently Used,CashApp,yes,Ponte Vedra,no,new,new,12/1/2023,12/15/2023,yes,Venmo,12/17/2023,Online sale
Vintage Shoe Polish Kits,$75 ,$50 ,Facebook Marketplace,20 days,Like New,cash,yes,Ponte Vedra,no,new,new,12/1/2023,12/20/2023,yes,Venmo,12/21/2023,Online sale
Vintage Mannequin,$100 ,$75 ,Facebook Marketplace,20 days,Used,cash,yes,Ponte Vedra,no,new,new,12/1/2023,12/20/2023,yes,Venmo,12/21/2023,Online sale
Vintage Tool Lot,$150 ,$100 ,Facebook Marketplace,15 days,used,cash,yes,Ponte Vedra,no,new,new,12/1/2023,12/15/2023,yes,Venmo,12/17/2023,Online sale
Antique Singer Sewing Machine,$125 ,$100 ,Facebook Marketplace,5 days,used,cash,yes,Atlantic Beach,no,new,new,12/1/2023,12/5/2023,no,n/a,n/a,Online sale
