,Vases,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
AA2,Small rectangular vase,Vases,Grey,$670,50,$268.00,190,$804.00,64,51
AA3,Large rectangular vase,Vases,White gray,"$1,010",50,$404.00,230,"$1,212.00",97,49
AA4,Triangular vase,Vases,Pink,$670,50,$268.00,320,$804.00,29,61
AA5,Small rounded vase,Vases,Grey rose,$670,50,$268.00,140,$804.00,80,53
AA6,Large rounded vase,Vases,Pink/Gray/Nautal,"$1,010",50,$404.00,420,"$1,212.00",66,49
AA7,Peca vase,Vases,White,"$1,010",50,$404.00,200,"$1,212.00",42,42
AA8,Combined vase,Vases,Orange/aqua,$760,50,$304.00,490,$912.00,52,56
AA9,Small fanal vase,Vases,Grey rose,$590,50,$236.00,450,$708.00,98,65
AA10,Medium rounded fanal vase ,Vases,apple green/emerald/aqua,$670,30,$268.00,400,$804.00,60,68
AA11,Medium straight fanal vase ,Vases,apple green/emerald/aqua,$670,30,$268.00,200,$804.00,30,64
AA12,Bali vase,Vases,Transparent,$570,30,$228.00,350,$684.00,117,40
AA13,Retro vase,Vases,Coral/green/yellow,$670,30,$268.00,190,$804.00,48,49
AA14,Benito vase,Vases,White/Black/Natural/Red,$590,50,$236.00,370,$708.00,87,54
AA15,Jacinto vase,Vases,Black/Black/Natural/Red/Aqua,$760,50,$304.00,200,$912.00,123,64
AA16,Large Javinto vase,Vases,Black/Black/Natural/Red/Aqua,"$1,150",50,$460.00,460,"$1,380.00",105,45
AA17,Small Roco vase,Vases,Black/Black/Natural/Aqua,$590,50,$236.00,360,$708.00,93,42
AA18,Medium Roco vase,Vases,Black/Black/Natural/Aqua,$760,50,$304.00,360,$912.00,35,46
AA19,Big Roco Florero,Vases,White/Black/Aqua,"$1,010",50,$404.00,130,"$1,212.00",122,64
AA20,Kenzo vase,Vases,White/Black/Red,"$1,180",50,$472.00,460,"$1,416.00",78,66
AA21,Moon vase,Vases,White/Black/Red,"$1,340",50,$536.00,310,"$1,608.00",83,59
AA22,Cylinder vase,Vases,Black White,$840,50,$336.00,110,"$1,008.00",96,44
,Candles,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
BB4,Rays candles,Candles,Lavender/raspberry/peach,$500,10,$200.00,270,$600.00,55,69
BB5,Soy candles,Candles,Jasmine/Coco/Orchidieas/Papaya Melon/Limon/Vanilla,$840,10,$336.00,210,"$1,008.00",69,66
BB6,Wood cover candles,Candles,Gardenia Coco/Lavander Honey/Rosa Peonia,$590,10,$236.00,240,$708.00,73,56
BB7,Canned candles,Candles,Gardenia Coco/Lavander Honey/Pink Peonia/Vanilla Caramelo,$760,10,$304.00,300,$912.00,89,54
BB8,Mini candles,Candles,Gardenia Coco/Lavander Honey/Pink Peonia/Vanilla Caramelo,$250,10,$100.00,400,$300.00,35,42
BB9,Glass fanal with candle,Candles,Red,$390,10,$156.00,310,$468.00,98,50
,Decorative objects,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
