Seller,ORDERDATE,%Delivery effectiveness,Rejected Boxes,%Break,Breaks,WEIGHTXBOX,UNITWEIGHT,SALESBOXES,ASSIGNEDBOXES,SHIPPEDBOXES,ORDEREDBOXES
6,6/5/2023,0.40%,5.4975,0.22%,3,4586.099,638,1353.1275,1358.625,1358.625,1361.625
13,6/5/2023,2.72%,24.1575,2.31%,21,5861.864,847,865.1925,889.35,889.35,910.35
19,6/5/2023,3.04%,29.385,0.62%,6.0375,5015.186,787,938.025,967.41,967.41,973.4475
25,6/5/2023,6.90%,40.815,14.52%,100.53,4904.253,739,551.07,591.885,591.885,692.415
33,6/5/2023,1.13%,10.0275,4.40%,40.935,4953.2192,789,878.64,888.6675,888.6675,929.6025
38,6/5/2023,0.37%,12.9975,1.51%,54.36,4663.2992,773,3529.515,3547.0125,3542.5125,3601.3725
111,6/5/2023,0.77%,9.8775,2.55%,33.45,9412.3022,1209,1268.2575,1278.135,1278.135,1311.585
130,6/5/2023,0.96%,9.375,0.79%,7.8,6466.95,836,970.26,979.635,979.635,987.435
132,6/5/2023,0.60%,5.5575,1.85%,17.4675,7104.464,923,923.6625,929.22,929.22,946.6875
136,6/5/2023,1.27%,8.25,8.76%,62.1525,5893.7492,783,639.18,647.43,647.43,709.5825
152,6/5/2023,2.38%,23.535,0.87%,8.6625,8080.688,1034,964.575,988.11,988.11,996.7725
167,6/5/2023,1.22%,13.8825,2.60%,30.2775,8531.3704,1050,1120.1325,1134.015,1134.015,1164.2925
417,6/5/2023,0.07%,15,1.52%,341.25,1479.431,223,22167,22182,22182,22523.25
428,6/5/2023,9.61%,38.985,0.55%,2.25,2692.104,467,366.81,405.795,405.795,408.045
429,6/5/2023,11.89%,59.58,0.15%,0.75,3753.792,580,441.6525,501.2325,501.2325,501.9825
431,6/5/2023,5.43%,25.2675,2.86%,13.6875,3219.176,546,440.1675,465.435,465.435,479.1225
475,6/5/2023,0.90%,84.75,0.17%,15.75,872.626,125,9294.75,9379.5,9379.5,9395.25
519,6/5/2023,3.84%,486.75,6.53%,901.5,3741.1542,548,12176.25,12911.25,12663,13812.75
520,6/5/2023,13.50%,81.33,6.26%,40.6875,5204.909,732,520.905,609.735,602.235,650.4225
525,6/5/2023,4.63%,34.5,14.46%,128.6775,5423.455,771,711.15,761.4525,745.65,890.13
596,6/5/2023,4.88%,45.6,0.40%,3.75,7736.045,974,888.6,934.2,934.2,937.95
633,6/5/2023,0.10%,0.8025,8.20%,68.79,7277.935,970,769.335,770.1375,770.1375,838.9275
