PERIOD,W OR P,TITLE NAME,TITLE #,PERF SOURCE,COUNTRY OF PERFORMANCE,SHOW NAME,EPISODE NAME,SHOW #,USE CODE,TIMING,MY %,PERF COUNT,BONUS LEVEL,ROYALTY AMOUNT,WITHHOLD,PERF PERIOD,HITS SONG OR TV NET SUPER USAGE BONUS,STANDARDS OR TV NET THEME BONUS
20232,W,BLOCK STEADY V4,48110489,COMM RADIO,UNITED STATES,,,0,SD,0:00,100,1,,0.09,,20232,0,0
20232,W,THUNDER CLAPPER V1,51069642,A&E,UNITED STATES,WWE S MOST WANTED TREASURES,BRET HITMAN HART,2323890013,BI,0:40,34,5,,7.69,,20232,0,0
20232,W,THUNDER CLAPPER V5,51069660,A&E,UNITED STATES,WWE S MOST WANTED TREASURES,BRET HITMAN HART,2323890013,BI,0:02,34,5,,0.39,,20232,0,0
20232,W,ZOMBIE HOUSE FLIPPING A A-CUES,0,A&E,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,DALLAS DAVIS,2052270048,BI,0:19,100,2,,6.04,,20232,0,0
20232,W,ZOMBIE HOUSE FLIPPING A A-CUES,0,A&E,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,DALLAS IVANDELL,2052270040,BI,0:26,100,2,,6.78,,20232,0,0
20232,W,ZOMBIE HOUSE FLIPPING A A-CUES,0,A&E,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,PECOS,2052270016,BI,0:16,100,3,,6.49,,20232,0,0
20232,W,LARGE TREASURE FINDER V1,51069349,A&E,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,TAMPA JEAN,2052270036,BI,0:18,100,2,,3.86,,20232,0,0
20232,W,ZOMBIE HOUSE FLIPPING A A-CUES,0,A&E,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,TAMPA JEAN,2052270036,BI,0:06,100,2,,1.28,,20232,0,0
20232,W,ZOMBIE HOUSE FLIPPING A A-CUES,0,A&E,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,TAMPA LARKIN,2052270046,BI,0:13,100,5,,9.36,,20232,0,0
20232,W,ZOMBIE HOUSE FLIPPING A A-CUES,0,A&E,UNITED STATES,ZOMBIE HOUSE FLIPPING A AND E VERSION,TAMPA SPRING HILL,2052270047,BI,0:26,100,5,,18.47,,20232,0,0
20232,W,NITE SEARCHER V1,48578302,ENTERTAINMENT,UNITED STATES,CELEBRITY GAME FACE,WHAM BAM THANK YOU FAM,2228310021,BI,0:15,34,1,,0.12,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 01 2023,2404260179,BI,17:03,100,5,,28.5,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 02 2023,2404260180,BI,9:41,100,5,,6.02,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 03 2023,2404260181,BI,7:15,100,5,,3.57,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 04 2023,2404260182,BI,8:34,100,4,,5.62,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 05 2023,2404260183,BI,18:24,100,5,,7.24,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 06 2023,2404260184,BI,6:14,100,5,,2.44,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 08 2023,2404260186,BI,9:34,100,3,,7.2,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 09 2023,2404260187,BI,7:28,100,5,,54.8,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 10 2023,2404260188,BI,4:00,100,5,,1.83,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 12 2023,2404260190,BI,4:13,100,5,,4.02,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 13 2023,2404260191,BI,4:23,100,5,,5.74,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 14 2023,2404260192,BI,1:43,100,4,,1.25,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 15 2023,2404260193,BI,8:08,100,6,,4.81,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 16 2023,2404260194,BI,0:22,100,4,,1.84,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 16 2023,2404260194,T,1:08,100,4,,27.41,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 17 2023,2404260162,BI,7:24,100,5,,4.36,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 18 2023,2404260163,BI,5:37,100,5,,7.73,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 19 2023,2404260164,BI,4:41,100,5,,2.91,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 20 2023,2404260165,BI,12:34,100,5,,9.06,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 21 2023,2404260166,BI,8:41,100,3,,3.41,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 22 2023,2404260167,BI,4:33,100,3,,1.94,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 23 2023,2404260168,BI,6:38,100,5,,9.35,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 25 2023,2404260169,BI,3:25,100,5,,2.23,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 26 2023,2404260170,BI,3:13,100,5,,2.02,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 27 2023,2404260171,BI,5:07,100,5,,4.03,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 28 2023,2404260195,BI,10:07,100,3,,8.61,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 29 2023,2404260196,BI,11:41,100,2,,29.48,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 30 2023,2404260197,BI,5:46,100,4,,5.68,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,April 30 2023,2404260197,T,0:47,100,4,,4.18,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,January 28 2023,2404260244,BI,0:43,100,2,,0.07,,20231,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 01 2023,2404260176,BI,3:13,100,5,,2.96,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 02 2023,2404260230,BI,11:40,100,4,,5.72,,20232,0,0
20232,W,LAST FLIGHT OUT V1,58017188,FOX SPORTS,UNITED STATES,PUNTO FINAL,June 03 2023,2404260231,BI,4:10,100,4,,5.74,,20232,0,0
