Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Listing ID,Date Paid,Date Shipped,Ship City,Ship State,Ship Zipcode,Ship Country,Order ID,Variations,Order Type,Listings Type,Payment Type,InPerson Discount,InPerson Location,VAT Paid by Buyer,SKU
12/10/2023,"Christmas Joy Wine Bottle decor, Christmas centerpiece made from wine bottles for Christmas decorations, Holiday decor",1,45,,,0,0,7.35,0,45,USD,570876121,12/10/2023,12/11/2023,Montclair,NJ,7042,United States,3132988601,Style:With spray decor,online,listing,online_cc,,,0,
11/15/2023,"Christmas Joy Wine Bottle decor, Christmas centerpiece made from wine bottles for Christmas decorations, Holiday decor",1,35,,,0,0,17.54,0,35,USD,570876121,11/15/2023,11/15/2023,Cabot,AR,72023,United States,3089364534,Style:W/O spray decor,online,listing,online_cc,,,0,
11/3/2023,"Red and Green Christmas Hair Bow, Christmas Hair Bows, Christmas Hair Accessories,  Christmas Hairbow, Girls Holiday Hair",2,5,,,0,0,3.81,0,10,USD,563928243,11/3/2023,11/8/2023,Newburgh,IN,47630,United States,3072814260,,online,listing,online_cc,,,0,
3/9/2023,"Build Your Own Slime Kit with Orange Slime, Slime Kit for Kids, Slime kit DIY, Slime kit, Slime and Candy, Fidget Toy set",1,8,,,0,0,4.81,0,8,USD,1297325621,3/9/2023,3/13/2023,FOREST,VA,24551-4575,United States,2818611503,"Add In 1:Charms,Add In 2:Confetti",online,listing,online_cc,,,0,
2/5/2023,"Valentines Slime Kit, Pink Mystery Slime Box, Slime Kit for Kids, Slime kit DIY, Slime kit, Slime and Candy, Slime Box, Slime Kit Cheap",2,15,,,0,0,11.7,0,30,USD,1381899618,2/5/2023,2/6/2023,Hackettstown,NJ,7840,United States,2783898827,,online,listing,online_cc,,,0,
12/7/2022,"Christmas Joy Wine Bottle decor, Christmas centerpiece made from wine bottles for Christmas decorations, Holiday decor",1,45,,,0,0,20.81,0,45,USD,570876121,12/7/2022,12/8/2022,Big Spring,TX,79720,United States,2716802754,Style:With spray decor,online,listing,online_cc,,,0,
10/27/2022,"Merry Christmas Wine Bottle, Wine Bottle Christmas Decoration, Wine Bottle Decor, Christmas Wine Bottles, Christmas for Wine Lover",1,10,,,0,0,8.27,0,10,USD,571170245,10/27/2022,11/2/2022,Groveport,OH,43125,United States,2648193922,,online,listing,online_cc,,,0,
10/15/2022,"Halloween Slime Mystery Box with Orange Slime, Slime Kit for Kids, Slime kit DIY, Slime kit, Slime and Candy, Slime Box, Slime Kit Cheap",1,15,,,0,0,5.74,0,15,USD,1303707442,10/15/2022,10/17/2022,Telford ,PA,18969,United States,2628697701,,online,listing,online_cc,,,0,
10/5/2022,"Halloween Wine Glass, Fall Wine Glass, Wine Glass with Glitter, Wine Glass with Stem, Mom Halloween Wine Glass,",3,12,,,0,0,24.13,0,36,USD,849364706,10/5/2022,10/10/2022,Westford,MA,01886-1216,United States,2622450134,,online,listing,online_cc,,,0,
9/28/2022,"Witches Halloween Wine Glass, Glitter Wine Glass, Fall Wine Glass, Custom Wine Glasses, Wine Lover Gift",1,12,,,0,0,9.94,0,12,USD,849364706,9/28/2022,10/3/2022,Prosper,TX,75078-2603,United States,2611242389,,online,listing,online_cc,,,0,
9/18/2022,"Witches Halloween Wine Glass, Glitter Wine Glass, Fall Wine Glass, Custom Wine Glasses, Wine Lover Gift",2,12,,,0,0,21.74,0,24,USD,849364706,9/18/2022,9/21/2022,Los Angeles ,CA,90034,United States,2603281480,,online,listing,online_cc,,,0,
9/2/2022,"Witches Halloween Wine Glass, Glitter Wine Glass, Fall Wine Glass, Custom Wine Glasses, Wine Lover Gift",1,12,,,0,0,12.66,0,12,USD,849364706,9/2/2022,9/8/2022,Hollister,CA,95023-4486,United States,2583311619,,online,listing,online_cc,,,0,
7/14/2022,"HOCUS SCOTUS, Abortion Rights shirt. Women's Rights, My Body My Choice Custom T-Shirt, Pro Choice Tshirt, Feminist Shirt",1,15,,,0,0,4.15,0,15,USD,1258925167,7/14/2022,7/18/2022,Lakeside,CA,92040,United States,2532760601,Size:XXL,online,listing,online_cc,,,0,
7/1/2022,"HOCUS SCOTUS, Abortion Rights shirt. Women's Rights, My Body My Choice Custom T-Shirt, Pro Choice Tshirt, Feminist Shirt",1,15,,,0,0,3.87,0,15,USD,1258925167,7/1/2022,7/4/2022,Appleton,WI,54914-1102,United States,2520653579,Size:Medium,online,listing,online_cc,,,0,
4/4/2022,"Autism Awareness pin with ribbon, Autism Support gift for parents or teachers, Autism Pride, Autism Puzzle Piece, Autism Pin",5,6,,,0,0,4.98,0,30,USD,680441272,4/4/2022,4/5/2022,ROSEVILLE,CA,95747,United States,2433424557,,online,listing,online_cc,,,0,
4/1/2022,"Autism Awareness pin with ribbon, Autism Support gift for parents or teachers, Autism Pride, Autism Puzzle Piece, Autism Pin",1,6,,,0,0,8.12,0,6,USD,680441272,4/1/2022,4/5/2022,West Park,FL,33023-3052,United States,2429034580,,online,listing,online_cc,,,0,
3/23/2022,"Autism Awareness pin with ribbon, Autism Support gift for parents or teachers, Autism Pride, Autism Puzzle Piece, Autism Pin",1,6,,,0,0,3.37,0,6,USD,680441272,3/23/2022,3/24/2022,Douglaston,NY,11362,United States,2420052601,,online,listing,online_cc,,,0,
3/22/2022,"Autism Awareness pin with ribbon, Autism Support gift for parents or teachers, Autism Pride, Autism Puzzle Piece, Autism Pin",1,6,,,0,0,3.42,0,6,USD,680441272,3/22/2022,3/24/2022,FLORENCE,SC,29501,United States,2418360978,,online,listing,online_cc,,,0,
3/12/2022,"Autism Awareness pin with ribbon, Autism Support gift for parents or teachers, Autism Pride, Autism Puzzle Piece, Autism Pin",3,5,,,0,0,3.81,0,15,USD,680441272,3/12/2022,3/13/2022,Roseboro,NC,28382,United States,2408284123,,online,listing,online_cc,,,0,
3/11/2022,"Autism Awareness pin with ribbon, Autism Support gift for parents or teachers, Autism Pride, Autism Puzzle Piece, Autism Pin",1,5,,,0,0,3.86,0,5,USD,680441272,3/11/2022,3/13/2022,McFarland,CA,93250,United States,2406531541,,online,listing,online_cc,,,0,
3/9/2022,"Autism Awareness pin with ribbon, Autism Support gift for parents or teachers, Autism Pride, Autism Puzzle Piece, Autism Pin",1,5,,,0,0,3.48,0,5,USD,680441272,3/9/2022,3/13/2022,Springfield,IL,62703,United States,2405167024,,online,listing,online_cc,,,0,
2/8/2022,"St Patrick's Day bow with Shamrocks, St. Patrick's Day Toddler Girl, St Patrick's Day kids gift, Boutique hair bow, St Patricks Hair Clips",2,5,,,0,0,3.99,0,10,USD,572861288,2/8/2022,2/10/2022,Fredericksburg,TX,78624,United States,2372900897,Color:Green,online,listing,online_cc,,,0,
1/21/2022,"St Patrick's Day bow with Shamrocks, St. Patrick's Day Toddler Girl, St Patrick's Day kids gift, Boutique hair bow, St Patricks Hair Clips",1,5,,,0,0,4.34,0,5,USD,572861288,1/21/2022,1/24/2022,Whitestone,NY,11357,United States,2352943155,Color:Green,online,listing,online_cc,,,0,
1/21/2022,Red and Green Plaid Hair Bow for Christmas,1,4,,,0,0,0,0,4,USD,557473504,1/21/2022,1/24/2022,Whitestone,NY,11357,United States,2352943155,,online,listing,online_cc,,,0,
1/21/2022,Drexel University Hair Bow,1,5,,,0,0,0,0,5,USD,557474658,1/21/2022,1/24/2022,Whitestone,NY,11357,United States,2352943155,,online,listing,online_cc,,,0,
12/8/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,19,,,0,0,9.46,0,19,USD,756966197,12/8/2021,12/11/2021,Grove City,OH,43123,United States,2297477301,"Peronalized:Personalized,Personalization:Logan Ray",online,listing,online_cc,,,0,
12/6/2021,Baby it's cold outside porch sign holiday decor,1,20,,,0,0,9.6,0,20,USD,557468198,12/6/2021,12/11/2021,Sun Prairie,WI,53590,United States,2294085942,,online,listing,online_cc,,,0,
12/5/2021,Animal Crossing Pins and Magnets for Gamer Gifts,1,12,,,0,0,3.42,0,12,USD,808534694,12/5/2021,12/7/2021,Inverness,FL,34453,United States,2291253828,"Character:Full Set,Style:Magnet",online,listing,online_cc,,,0,
11/30/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,19,,,0,0,8.83,0,19,USD,756966197,11/30/2021,11/30/2021,Oakdale,PA,15071,United States,2282373130,"Peronalized:Personalized,Personalization:Love, Avery & Rilyn",online,listing,online_cc,,,0,
11/30/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,18,,,0,0,15.55,0,18,USD,756966197,11/30/2021,12/2/2021,LAWTON,OK,73505,United States,2281570088,"Peronalized:Not Personalized,Personalization:Not requested on this item.",online,listing,online_cc,,,0,
11/28/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,19,,,0,0,8.35,0,19,USD,756966197,11/28/2021,11/30/2021,BETHLEHEM,PA,18015,United States,2275699940,"Peronalized:Personalized,Personalization:The Walter Family",online,listing,online_cc,,,0,
11/21/2021,"Joy Wine Bottles, Christmas centerpiece made from upcycled wine bottles for Christmas decoration, Holiday decor for Christmas gift",1,40,,,0,0,8.88,0,40,USD,570876121,11/21/2021,11/23/2021,Greensburg,PA,15601,United States,2259676685,Style:With spray decor,online,listing,online_cc,,,0,
11/19/2021,"Travel Picture Frame, Travel Photo Frame, Travel Wall Decor, Travel Wall Quote, Travel Photo Sign, Travel Lover, Travel Gifts, Travel Signs",1,20,Oct-21,OCT2021 - % off,4,0,8.49,0,20,USD,557467506,11/19/2021,11/23/2021,Parma,OH,44134,United States,2260270626,,online,listing,online_cc,,,0,
11/13/2021,"Easter Hair Bow for Easter Egg Fillers, Easter Hairbows for Easter Basket Stuffers, Easter Hair Accessories, Easter Hair Clip",1,5,Oct-21,OCT2021 - % off,1,0,3.52,0,5,USD,677705902,11/13/2021,11/13/2021,Houston,TX,77084,United States,2247573983,,online,listing,online_cc,,,0,
11/7/2021,"Glitter Wine Glass for Unicorn Party Favors, Unicorn Gift, Unicorn Face, Custom Wine Glasses, Wine Lover Gift, Unicorn Cup, Unicorn Head",1,12,Oct-21,OCT2021 - % off,2.4,0,8.04,0,12,USD,611315547,11/7/2021,11/12/2021,Dumfries,VA,22025,United States,2240257733,Style:Unicorn,online,listing,online_cc,,,0,
10/31/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,18,Oct-21,OCT2021 - % off,3.6,0,11.18,0,18,USD,756966197,10/31/2021,11/3/2021,Kennesaw,GA,30152,United States,2231293968,"Peronalized:Not Personalized,Personalization:Not requested on this item.",online,listing,online_cc,,,0,
10/24/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,18,Oct-21,OCT2021 - % off,3.6,0,9.46,0,18,USD,756966197,10/24/2021,10/27/2021,garner,NC,27529,United States,2223127252,"Peronalized:Not Personalized,Personalization:Not requested on this item.",online,listing,online_cc,,,0,
10/18/2021,"Santa Cookie Plate and Milk Glass, Christmas Cookie Plate, Carrots for Reindeer Plate, Plate and Glass set, Santa Treats on Christmas Eve",1,19,,,0,0,8.83,0,19,USD,756966197,10/18/2021,10/20/2021,Vestal,NY,13850,United States,2217853937,"Peronalized:Personalized,Personalization:EVAN",online,listing,online_cc,,,0,
9/26/2021,"Travel Picture Frame, Travel Photo Frame, Travel Wall Decor, Travel Wall Quote, Travel Photo Sign, Travel Lover, Travel Gifts, Travel Signs",1,20,,,0,0,8.85,0,20,USD,557467506,9/26/2021,9/28/2021,Mokena,IL,60448,United States,2191451644,,online,listing,online_cc,,,0,
9/26/2021,"Unicorn Witch Shirt, Unicorn Halloween Party, Halloween Unicorn shirt for girls, Unicorn Baby Outfit, Unicorn Halloween Shirts, Baby Witch",1,15,,,0,0,0,0,15,USD,626844290,9/26/2021,9/28/2021,West Jordan,UT,84088,United States,2191177802,"Kids' clothing size:6 month US kids&#039; numeric,Color:White",online,listing,online_cc,,,0,
8/21/2021,"Philadelphia Eagles Hair Bow, Philadelphia Eagles Bow, Eagles Football, Philadelphia Eagles Tailgate, Philadelphia Eagles Baby Girl",1,5,,,0,0,3.01,0,5,USD,560065431,8/21/2021,8/23/2021,NORTH WALES,PA,19454,United States,2155037113,Style:Eagles Logo,online,listing,online_cc,,,0,
8/21/2021,"Merry Christmas Wine Bottle, Wine Bottle Christmas Decoration, Wine Bottle Decor, Christmas Wine Bottles, Christmas for Wine Lover",1,10,,,0,0,7.79,0,10,USD,571170245,8/21/2021,8/24/2021,WELCOME,MD,20693,United States,2151841102,,online,listing,online_cc,,,0,
8/19/2021,Steelers hair bow for Pittsburgh fans,1,5,,,0,0,3.12,0,5,USD,570098530,8/19/2021,8/23/2021,Clearwater,FL,33756,United States,2150254866,,online,listing,online_cc,,,0,
8/16/2021,RESERVED FOR BARBARA Drexel University Hair Bow,1,5,,,0,0,0,0,5,USD,1054983148,8/16/2021,8/16/2021,Romeoville,IL,60446-4313,United States,2150272729,,online,listing,online_cc,,,0,
7/24/2021,"Philadelphia Sports Teams Hair Bows, Philadelphia Flyers Bow, Philadelphia Eagles Bow, Philadelphia Phillies Bow, Philadelphia Sixers Bow",1,20,,,0,0,3.5,0,20,USD,676774474,7/24/2021,7/29/2021,Essington,PA,19029,United States,2122787278,,online,listing,online_cc,,,0,
7/23/2021,"Custom T-Shirt, You design the shirt, Personalized shirt, Custom heat transfer vinyl shirt,",4,20,SHIPSFREE,SHIPSFREE - % off shipping,0,8.08,0,0,80,USD,847320287,7/23/2021,8/2/2021,Telford,PA,18969-1918,United States,2125011227,Kids' clothing size:X-Small US kids&#039; numeric,online,listing,online_cc,,,0,
