Material,Texto breve de material,UMB,Precio,por,Moneda,Valor UNI
10000001,AJI AMARILLO PASTA BOL KG,KG,"100,700",100,CLP," $  1,007 "
10000002,AJI CACHO CABRA KG,KG,"23,500",1,CLP," $  23,500 "
10000003,AJI CACHO CABRA BANDEJA,UN,"4,502",1,CLP," $  4,502 "
10000004,NO USAR AJI CACHO CABRA KG,KG,"460,000",100,CLP," $  4,600 "
10000005,AJI COLOR ALMIFRUT KG 1,KG,"123,462",100,CLP," $  1,235 "
10000006,AJI COLOR KG,KG,"2,001",1,CLP," $  2,001 "
10000012,AJI JALAPEÑO TABASCO BT 60 ML,BOT,"1,360",1,CLP," $  1,360 "
10000015,AJI JALAPEÑO RODAJAS TR 220 GR,UN,"226,682",100,CLP," $  2,267 "
10000016,AJI PASTA KG,BOL,920,1,CLP, $  920 
10000017,AJI PASTA JB BOLSA 1 KG,BOL,864,1,CLP, $  864 
10000020,ANIS ESTRELLA BOLSA 1 KG,BOL,"10,000",1,CLP," $  10,000 "
10000022,AZAFRAN ALPAJ CJ 1 GR,CJ,"3,200",1,CLP," $  3,200 "
10000023,AZAFRAN ESPAÑOL SB,UN,"1,952",1,CLP," $  1,952 "
10000025,AZAFRAN 1 GR,UN,"310,763",100,CLP," $  3,108 "
10000030,CANELA ENTERA ALMIFRUT BOLSA 250 GR,BOL,"259,900",100,CLP," $  2,599 "
10000031,CANELA MOLIDA ALMIFRUT BS 250 GR,BOL,"2,165",1,CLP," $  2,165 "
10000032,CANELA MOLIDA BOLSA 1 KG,BOL,"3,872",1,CLP," $  3,872 "
10000035,CANELA POLVO GUTLAND BOLSA 1 KG,BOL,"4,377",1,CLP," $  4,377 "
10000036,CANELA POLVO KG,KG,"664,037",100,CLP," $  6,640 "
10000039,CANELA RAMA KG,KG,"1,569,448",100,CLP," $  15,694 "
10000040,CANELA RAMA SURCO KG,KG,"7,245",1,CLP," $  7,245 "
10000041,CANELA SURCO SB 20 GR,UN,137,1,CLP, $  137 
10000042,CARDAMOMO ENTERO KG,KG,"6,678",1,CLP," $  6,678 "
10000053,CURRY ROJO PASTA KG,KG,"450,000",100,CLP," $  4,500 "
10000060,ENELDO KG,KG,"7,627",1,CLP," $  7,627 "
10000061,ENELDO MOLIDO BOLSA 1 KG,BOL,"2,791",1,CLP," $  2,791 "
10000063,JENGIBRE MOLIDO BOLSA 1 KG,BOL,"6,007",1,CLP," $  6,007 "
10000064,JENGIBRE MOLIDO SURCO SB,UN,"4,038",1,CLP," $  4,038 "
10000065,JENGIBRE PAPA ENTERA BJA 100 GR,UN,903,1,CLP, $  903 
10000067,NUEZ MOSCADA ENTERA KG,BOL,"16,323",1,CLP," $  16,323 "
10000070,PAPRIKA KG,BOL,"740,000",100,CLP," $  7,400 "
10000071,PAPRIKA PIMENTON GOURMET CJ 100 GR,CJ,"311,300",100,CLP," $  3,113 "
10000072,PIMENTON MOLIDO SURCO 1 KG,KG,"2,500",1,CLP," $  2,500 "
10000073,PIMIENTA BLANCA ENTERA KG,BOL,"5,583",1,CLP," $  5,583 "
10000075,PIMIENTA BCO ENTERA SURCO BS 1 KG,BOL,"4,408",1,CLP," $  4,408 "
10000076,PIMIENTA BLANCA MOLIDA KG,BOL,"8,150",1,CLP," $  8,150 "
10000078,PIMIENTA CAYENA KG,KG,"3,831",1,CLP," $  3,831 "
10000080,PIMIENTA JAMAICA BOLSA 1 KG,KG,"684,296",100,CLP," $  6,843 "
10000081,PIMIENTA NEGRA ENTERA KG,KG,"6,332",1,CLP," $  6,332 "
10000083,PIMIENTA NGRO ENTERA SURCO BS 1 KG,BOL,"4,150",1,CLP," $  4,150 "
10000084,PIMIENTA NEGRA MOLIDA KG,BOL,"989,918",100,CLP," $  9,899 "
10000085,PIMIENTA NGRO MOLIDA KG 1,KG,"4,874",1,CLP," $  4,874 "
10000089,PIMIENTA ROJA FCO 55 GR,UN,"3,500",1,CLP," $  3,500 "
10000090,PIMIENTA ROSADA 250 GR,UN,"2,200",1,CLP," $  2,200 "
10000094,SAL APIO KG 1,KG,"403,333",100,CLP," $  4,033 "
10000096,SAL FINA MESA KG,KG,"23,234",100,CLP, $  232 
10000097,SAL FINA MESA LOBOS BOLSA 1 KG,BOL,203,1,CLP, $  203 
10000099,SAL MARINA KG,KG,312,1,CLP, $  312 
10000103,SAL ROCA KG,KG,"7,200",100,CLP, $  72 
10000105,SAL SACHET S/LOGO ENJOY 1 GR CJ 2000 UN,CJ,"3,000",1,CLP," $  3,000 "
10000108,ACEITE MARAVILLA CAMILO FERRON BD 20 LT,BID,"21,700",1,CLP," $  21,700 "
10000111,ACEITE MARAVILLA MARAVITTA BD 10 LT,BID,"13,443",1,CLP," $  13,443 "
10000112,NO USARACEI MARAVILLA MIRAFLORES BD 5 LT,BID,"4,112",1,CLP," $  4,112 "
10000130,ACEITE OLIVA EXTRAVIRGEN BT 500 ML,BOT,"1,716",1,CLP," $  1,716 "
10000131,ACEITE OLIVA EXTRAVIRGEN BD 5 LT,UN,"17,037",1,CLP," $  17,037 "
10000154,ACEITE SESAMO LLEKUNKEE BT 1 LT,BOT,"16,200",1,CLP," $  16,200 "
