Lot expenses - La Francisca neighborhood.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LOT NUMBER,CODE,PH,AREA M2,% FROM TOTAL,% FROM LOTS,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
EX 1,15 (MZ.79),A,406.33,1.125%,1.583%,$ 283.52,$ 231.39,$ 193.11,$ 197.17,$ 212.22,$ 208.00,$ 231.05,$ 417.06,$ 429.50,$ 473.03,$ 297.37,$ 269.42
EX 1,15 (MZ.79),B,349.75,0.968%,1.363%,$ 244.04,$ 199.17,$ 166.22,$ 169.72,$ 182.67,$ 179.04,$ 198.88,$ 358.98,$ 369.69,$ 407.16,$ 255.97,$ 231.90
EX 1,15 (MZ.79),C,349.37,0.967%,1.361%,$ 243.77,$ 198.95,$ 166.04,$ 169.53,$ 182.47,$ 178.84,$ 198.66,$ 358.59,$ 369.29,$ 406.72,$ 255.69,$ 231.65
EX 1,15 (MZ.79),D,527.38,1.460%,2.055%,$ 367.98,$ 300.32,$ 250.64,$ 255.91,$ 275.44,$ 269.96,$ 299.88,$ 541.30,$ 557.45,$ 613.95,$ 385.97,$ 349.68
EX 1,15 (MZ.79),E,500.37,1.385%,1.949%,$ 349.13,$ 284.94,$ 237.80,$ 242.81,$ 261.34,$ 256.14,$ 284.52,$ 513.58,$ 528.90,$ 582.50,$ 366.20,$ 331.77
EX 1,15 (MZ.79),Common space,459.72,1.273%,0.000%,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00
EX 2,8 (MZ.79),A,473.48,1.311%,1.845%,$ 330.37,$ 269.63,$ 225.02,$ 229.76,$ 247.29,$ 242.37,$ 269.23,$ 485.98,$ 500.48,$ 551.20,$ 346.52,$ 313.94
EX 2,8 (MZ.79),B,468.09,1.296%,1.824%,$ 326.61,$ 266.56,$ 222.46,$ 227.14,$ 244.48,$ 239.61,$ 266.17,$ 480.45,$ 494.78,$ 544.92,$ 342.57,$ 310.37
EX 2,8 (MZ.79),C,626.48,1.735%,2.441%,$ 437.13,$ 356.75,$ 297.73,$ 304.00,$ 327.20,$ 320.69,$ 356.23,$ 643.02,$ 662.20,$ 729.31,$ 458.49,$ 415.39
EX 2,8 (MZ.79),D,519.13,1.437%,2.023%,$ 362.22,$ 295.62,$ 246.72,$ 251.91,$ 271.14,$ 265.74,$ 295.19,$ 532.83,$ 548.73,$ 604.34,$ 379.93,$ 344.21
EX 2,8 (MZ.79),E,505.33,1.399%,1.969%,$ 352.59,$ 287.76,$ 240.16,$ 245.21,$ 263.93,$ 258.68,$ 287.34,$ 518.67,$ 534.14,$ 588.28,$ 369.83,$ 335.06
EX 2,8 (MZ.79),Common space,445.35,1.233%,0.000%,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00
EX 3,9 (MZ.79),A,370.31,1.025%,1.443%,$ 258.38,$ 210.88,$ 175.99,$ 179.69,$ 193.41,$ 189.56,$ 210.57,$ 380.08,$ 391.42,$ 431.09,$ 271.01,$ 245.53
EX 3,9 (MZ.79),B,370.10,1.025%,1.442%,$ 258.24,$ 210.76,$ 175.89,$ 179.59,$ 193.30,$ 189.45,$ 210.45,$ 379.87,$ 391.20,$ 430.85,$ 270.86,$ 245.39
EX 3,9 (MZ.79),C,414.67,1.148%,1.616%,$ 289.34,$ 236.14,$ 197.07,$ 201.22,$ 216.58,$ 212.27,$ 235.79,$ 425.62,$ 438.31,$ 482.74,$ 303.48,$ 274.95
EX 3,9 (MZ.79),D,772.32,2.138%,3.009%,$ 538.89,$ 439.80,$ 367.05,$ 374.77,$ 403.37,$ 395.35,$ 439.16,$ 792.71,$ 816.36,$ 899.09,$ 565.23,$ 512.09
EX 3,9 (MZ.79),E,674.60,1.868%,2.628%,$ 470.70,$ 384.15,$ 320.60,$ 327.35,$ 352.34,$ 345.32,$ 383.59,$ 692.41,$ 713.06,$ 785.33,$ 493.71,$ 447.29
EX 3,9 (MZ.79),Common space,1328.04,3.677%,0.000%,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00,$ 0.00
EX 4,4 (FR.II),A,638.25,1.767%,2.487%,$ 445.34,$ 363.46,$ 303.33,$ 309.71,$ 333.35,$ 326.72,$ 362.92,$ 655.10,$ 674.64,$ 743.02,$ 467.11,$ 423.19
EX 4,4 (FR.II),B,823.20,2.279%,3.207%,$ 574.39,$ 468.78,$ 391.23,$ 399.46,$ 429.95,$ 421.39,$ 468.09,$ 844.93,$ 870.14,$ 958.32,$ 602.46,$ 545.82
EX 4,4 (FR.II),C,475.73,1.317%,1.853%,$ 331.94,$ 270.91,$ 226.09,$ 230.85,$ 248.47,$ 243.52,$ 270.51,$ 488.29,$ 502.85,$ 553.82,$ 348.17,$ 315.43
EX 4,4 (FR.II),D,504.52,1.397%,1.966%,$ 352.03,$ 287.30,$ 239.77,$ 244.82,$ 263.50,$ 258.26,$ 286.88,$ 517.84,$ 533.29,$ 587.33,$ 369.24,$ 334.52
EX 5,3 (FR.II),A,482.97,1.337%,1.882%,$ 336.99,$ 275.03,$ 229.53,$ 234.36,$ 252.25,$ 247.23,$ 274.63,$ 495.72,$ 510.51,$ 562.25,$ 353.46,$ 320.23
EX 5,3 (FR.II),B,480.44,1.330%,1.872%,$ 335.23,$ 273.59,$ 228.33,$ 233.13,$ 250.93,$ 245.93,$ 273.19,$ 493.12,$ 507.83,$ 559.30,$ 351.61,$ 318.56
EX 5,3 (FR.II),C,471.90,1.307%,1.839%,$ 329.27,$ 268.73,$ 224.27,$ 228.99,$ 246.47,$ 241.56,$ 268.33,$ 484.36,$ 498.81,$ 549.36,$ 345.36,$ 312.89
EX 5,3 (FR.II),D,463.36,1.283%,1.805%,$ 323.31,$ 263.86,$ 220.21,$ 224.85,$ 242.01,$ 237.19,$ 263.48,$ 475.59,$ 489.78,$ 539.42,$ 339.11,$ 307.23
EX 6,2 (FR.II),A,456.20,1.263%,1.777%,$ 318.31,$ 259.79,$ 216.81,$ 221.37,$ 238.27,$ 233.53,$ 259.41,$ 468.24,$ 482.21,$ 531.08,$ 333.87,$ 302.48
EX 6,2 (FR.II),B,464.22,1.285%,1.809%,$ 323.91,$ 264.35,$ 220.62,$ 225.26,$ 242.46,$ 237.63,$ 263.97,$ 476.47,$ 490.69,$ 540.42,$ 339.74,$ 307.80
EX 6,2 (FR.II),C,488.89,1.354%,1.905%,$ 341.12,$ 278.40,$ 232.35,$ 237.24,$ 255.34,$ 250.26,$ 277.99,$ 501.80,$ 516.77,$ 569.14,$ 357.80,$ 324.16
EX 6,2 (FR.II),D,507.41,1.405%,1.977%,$ 354.04,$ 288.95,$ 241.15,$ 246.22,$ 265.01,$ 259.74,$ 288.52,$ 520.80,$ 536.34,$ 590.70,$ 371.35,$ 336.44
EX 7,1 (FR.II),A,791.62,2.192%,3.084%,$ 552.35,$ 450.79,$ 376.22,$ 384.14,$ 413.45,$ 405.23,$ 450.13,$ 812.52,$ 836.76,$ 921.56,$ 579.35,$ 524.88
