name,brand,month,qty,price_unit,total_sales
ALLENDE (QRO),SAM,December,203,3621.8639503842364,735238.381928
ALLENDE (QRO),SAM,November,170,3777.7559301775145,644905.407372
ALLENDE (QRO),SAM,August,143,4211.859734223776,602295.941994
ALLENDE (QRO),SAM,May,128,4558.176030625,583446.53192
CORREGIDORA 2 (QRO),SAM,April,128,4416.036296757813,565252.6459850001
LEON CENTRO (LEON),SAM,December,172,3021.677869534884,519728.59356
ALLENDE (QRO),SAM,September,127,4084.8785588188975,518779.57697
ALLENDE (QRO),SAM,October,143,3588.0053561818186,513084.765934
CORREGIDORA 2 (QRO),SAM,July,120,4241.142930175,508937.151621
ALLENDE (QRO),SAM,July,119,4226.196308386555,502917.360698
CORREGIDORA 2 (QRO),SAM,December,117,4231.021511888889,495029.516891
ALLENDE (QRO),SAM,April,114,4251.588449403509,484681.083232
CORREGIDORA 2 (QRO),SAM,May,107,4286.787181663552,458686.228438
ALLENDE (QRO),SAM,June,105,4343.498292653846,454222.960367
LEON CENTRO (LEON),SAM,August,119,3772.24882002521,448897.609583
ALLENDE (QRO),SAM,January,118,3693.914497694915,435881.910728
CORREGIDORA 2 (QRO),SAM,June,93,4504.644758225807,418931.962515
LEON CENTRO (LEON),SAM,July,88,4617.086747488636,406303.633779
HIDALGO (CELAYA),SAM,August,94,4293.866088085107,403623.41228
ALLENDE (QRO),MOTO,December,110,3589.21266146789,393895.7301
LEON CENTRO (LEON),SAM,November,104,3648.841634615385,379479.53
CORREGIDORA 2 (QRO),SAM,November,88,4205.458381704546,370080.33759
CORREGIDORA 2 (QRO),SAM,August,83,4430.12199739759,367700.12578400003
CORREGIDORA 2 (QRO),SAM,September,88,4097.004611965909,360536.405853
LEON CENTRO (LEON),SAM,September,87,4101.396579425287,356821.50241
CORREGIDORA 2 (QRO),SAM,October,86,4113.43386833721,353755.312677
HIDALGO (CELAYA),SAM,December,91,3779.0656218021977,343894.971584
LEON CENTRO (LEON),SAM,October,92,3702.0005266630437,340584.048453
ALLENDE (QRO),MOTO,January,111,2994.1056464504504,332345.726756
CORREGIDORA 2 (QRO),SAM,January,72,4600.4321358472225,331231.113781
HIDALGO (CELAYA),SAM,July,77,4150.505382233767,319588.914432
LEON CENTRO (LEON),SAM,April,73,4243.586486589042,309781.81352100003
ALLENDE (QRO),XIAOMI,December,120,2555.1966755299145,304989.911037
HIDALGO (CELAYA),SAM,September,81,3685.8146416419754,298550.985973
CORREGIDORA 4 (QRO),SAM,May,65,4576.233785569231,297455.196062
LEON CENTRO (LEON),SAM,June,65,4571.421149030769,297142.374687
LEON CENTRO (LEON),SAM,May,69,4235.143618188406,292224.909655
HIDALGO (CELAYA),SAM,June,68,4248.636760867646,288907.299739
CORREGIDORA 4 (QRO),SAM,July,67,4296.874774402985,287890.609885
HIDALGO (CELAYA),SAM,May,64,4326.99365334375,276927.593814
HIDALGO (CELAYA),SAM,November,81,3414.6359361481486,276585.510828
ALLENDE (QRO),HONOR,December,73,3741.5447556712334,273132.767164
CORREGIDORA 4 (QRO),SAM,April,66,4108.725260969697,271175.867224
CORREGIDORA 2 (QRO),MOTO,December,75,3552.76796996,266457.597747
ALLENDE (QRO),MOTO,May,58,4592.642053931034,266373.239128
ALLENDE (QRO),MOTO,November,65,4044.0058502615384,262860.380267
LEON CENTRO (LEON),MOTO,December,79,3323.002649101266,262517.209279
PLAZA PATIO (QRO),SAM,December,67,3910.347998984849,260064.864485
CORREGIDORA 4 (QRO),SAM,June,58,4426.012523051724,256708.726337
LEON CENTRO (LEON),MOTO,October,57,4419.798945508772,251928.53989400002
LEON CENTRO (LEON),MOTO,July,56,4466.196420107143,250106.999526
ALLENDE (QRO),MOTO,September,56,4448.015738660714,249088.881365
GUERRERO (QRO),SAM,September,56,4289.488574910714,240211.360195
LEON CENTRO (LEON),MOTO,August,52,4543.2379502307695,236248.37341200002
LEON CENTRO (LEON),MOTO,April,55,4323.055336722223,235857.918183
PLAZA PATIO (QRO),XIAOMI,December,73,3281.272596057143,235548.566552
ALAMEDA (QRO),SAM,December,65,3612.149191492308,234789.697447
PARQUE (QRO),SAM,June,53,4360.229147660378,231092.144826
ALLENDE (QRO),SAM,March,53,4335.80610209434,229797.723411
CORREGIDORA 3 (QRO),SAM,July,53,4317.942367981132,228850.945503
CORREGIDORA 4 (QRO),SAM,August,54,4212.471297925927,227473.450088
ALAMEDA (QRO),SAM,April,43,5273.635693651163,226766.334827
ALAMEDA (QRO),HONOR,October,56,4041.6737004642855,226333.727226
CORREGIDORA 3 (QRO),SAM,May,46,4842.652958195652,222762.036077
CORREGIDORA 2 (QRO),MOTO,June,53,4164.187435377358,220701.934075
CORREGIDORA 2 (QRO),MOTO,July,49,4494.271625020833,218137.968001
HIDALGO (CELAYA),SAM,April,53,4081.78392745283,216334.548155
LEON CENTRO (LEON),MOTO,May,44,4795.7480655909085,211012.91488599998
HIDALGO (CELAYA),MOTO,November,51,4134.312066294117,210849.915381
CORREGIDORA 2 (QRO),MOTO,April,50,4216.74172428,210837.086214
PARQUE (QRO),SAM,May,49,4264.496612,208960.333988
ALLENDE (QRO),MOTO,April,50,4170.55215392,208527.607696
ALLENDE (QRO),MOTO,July,45,4605.6709994,207255.194973
HIDALGO (CELAYA),SAM,October,53,3902.848861207547,206850.989644
CORREGIDORA 4 (QRO),SAM,September,44,4687.619526522728,206255.259167
ALLENDE (QRO),MOTO,August,52,3941.4466569423075,204955.226161
ALLENDE (QRO),MOTO,October,46,4413.175281043478,203006.062928
GUERRERO (QRO),SAM,August,44,4585.738738159091,201772.504479
CORREGIDORA 2 (QRO),MOTO,September,47,4266.234332999999,200513.013651
ALLENDE (QRO),MOTO,February,74,2693.827867108108,199343.262166
CORREGIDORA 3 (QRO),SAM,November,50,3974.4848413399995,198724.24206699998
LEON CENTRO (LEON),SAM,January,54,3643.773729185185,196763.781376
ALLENDE (QRO),XIAOMI,October,62,3198.525446868852,196747.122259
GUERRERO (QRO),SAM,December,50,3862.60586626,193130.293313
PLAZA PATIO (QRO),SAM,July,39,4937.247267794872,192552.643444
LEON CENTRO (LEON),MOTO,November,53,3613.3851652075473,191509.413756
ALLENDE (QRO),SAM,February,48,4043.498017478261,190481.948804
PARQUE (QRO),SAM,July,46,4129.551716586956,189959.378963
ALLENDE (QRO),MOTO,June,40,4710.605646725,188424.22586900002
MADERO (LEON),SAM,December,64,2935.535339484375,187874.261727
ALLENDE (QRO),SAM,February,53,3526.3664916415096,186897.424057
ALAMEDA (QRO),SAM,July,37,4973.55671008108,184021.59827299998
CORREGIDORA 2 (QRO),SAM,January,41,4480.257623365854,183690.562558
PARQUE (QRO),SAM,December,45,4073.1176283777777,183290.293277
MADERO (LEON),SAM,September,49,3739.4648908979593,183233.779654
MADERO (LEON),SAM,August,49,3728.9251935306124,182717.334483
ALAMEDA (QRO),SAM,August,36,5061.927365833333,182229.38517
ALAMEDA (QRO),MOTO,December,49,3713.8647150204083,181979.371036
ALLENDE (QRO),XIAOMI,November,63,2887.8802955396827,181936.458619
CORREGIDORA 2 (QRO),HONOR,November,41,4408.307215951219,180740.59585399998
GUERRERO (QRO),SAM,November,44,4094.3593808181818,180151.812756
VIA ALTA SUR (LEON),SAM,August,34,5267.902951235294,179108.700342
LEON CENTRO (LEON),MOTO,January,60,2981.89686185,178913.811711
