Client ID,Referral (Y/N),Source,Zip code,Grade Level,Date,Tuition Paid,Materials Expense
#00220,N,FP,90024,7,8/11/2023,$100.00,
#00121,Y,00220,90024,7,8/14/2023,$50.00,
#00121,Y,00220,91316,7,8/14/2023,$50.00,
#00220,N,FP,90024,7,8/18/2023,$100.00,
#00121,Y,00220,91316,7,8/20/2023,$25.00,
#00220,N,FP,90024,7,8/25/2023,$100.00,
#00121,Y,00220,91316,7,8/27/2023,$25.00,
#00121,Y,00220,90024,7,8/28/2023,$60.00,$25.00
#00223,Y,Thumbtack,91607,11,8/28/2023,$900.00,
#00323,N,Google search,91506,10,8/28/2023,$900.00,
#00220,N,FP,90024,7,9/1/2023,$100.00,
#00121,Y,00220,90024,7,9/3/2023,$60.00,
#00121,Y,Nextdoor,91316,7,9/4/2023,$60.00,
#00221,Y,00220,90064,5,9/7/2023,$975.00,
#00220,N,FP,90024,7,9/8/2023,$100.00,
#00121,Y,00220,90024,7,9/10/2023,$60.00,
#00121,Y,00220,91316,7,9/10/2023,$60.00,
#00320,N,00420,90077,10,9/11/2023,$875.00,
#00423,Y,00220,91311,8,9/12/2023,$65.00,
#00220,N,FP,90024,7,9/15/2023,$100.00,$17.27
#00121,Y,00220,91316,7,9/17/2023,$60.00,
#00121,Y,00220,90024,7,9/17/2023,$60.00,
#00423,Y,00220,91311,8,9/17/2023,$180.00,
#00220,N,FP,90024,7,9/23/2023,$100.00,
#00323,N,Google search,91506,10,9/23/2023,$900.00,$3.18
#00121,Y,00220,91316,7,9/25/2023,$60.00,
#00121,Y,00220,90024,7,9/26/2023,$60.00,
#00222,N,00221,90064,5,9/27/2023,$550.00,
#00220,N,FP,90024,7,9/29/2023,$100.00,
#00121,Y,00220,90024,7,10/1/2023,$60.00,
#00121,Y,00220,91316,7,10/1/2023,$60.00,
#00221,Y,00220,90064,5,10/5/2023,$975.00,
#00220,N,FP,90024,7,10/6/2023,$50.00,
#00121,Y,00220,91316,7,10/8/2023,$30.00,
#00121,Y,00220,90024,7,10/8/2023,$30.00,
#00423,Y,00220,91311,8,10/9/2023,$180.00,
#00220,N,FP,90024,7,10/13/2023,$100.00,
#00121,Y,00220,91316,7,10/15/2023,$60.00,
#00121,Y,00220,90024,7,10/15/2023,$60.00,
#00220,N,FP,90024,7,10/19/2023,$120.00,
#00121,Y,00220,91316,7,10/23/2023,$60.00,
#00121,Y,00220,90024,7,10/23/2023,$60.00,
#00220,N,FP,90024,7,10/27/2023,$100.00,
#00121,Y,00220,91316,7,10/29/2023,$60.00,
#00121,Y,00220,90024,7,10/29/2023,$60.00,
#00323,N,Google search,91506,10,10/30/2023,$900.00,$2.78
#00220,N,FP,90024,7,11/4/2023,$100.00,
#00121,Y,00220,91316,7,11/6/2023,$60.00,
#00121,Y,00220,90024,7,11/6/2023,$60.00,
#00221,Y,00220,90064,5,11/6/2023,$975.00,
#00223,Y,Thumbtack,91607,11,11/8/2023,"$1,000.00",
#00220,N,FP,90024,7,11/10/2023,$100.00,
#00121,Y,00220,91316,7,11/12/2023,$60.00,
#00121,Y,00220,90024,7,11/12/2023,$60.00,
#00420,N,Google search,90077,12,11/12/2023,$50.00,
#00420,N,Google search,90077,12,11/14/2023,$50.00,
#00320,N,00420,90077,10,11/15/2023,$875.00,$8.12
#00220,N,FP,90024,7,11/17/2023,$100.00,
#00220,N,FP,90024,7,11/24/2023,$100.00,
#00121,Y,00220,91316,7,11/26/2023,$60.00,
#00121,Y,00220,90024,7,11/26/2023,$60.00,
#00323,N,Google search,91506,10,11/29/2023,$900.00,
#00220,N,FP,90024,7,12/1/2023,$100.00,
#00121,Y,00220,91316,7,12/3/2023,$60.00,
#00121,Y,00220,90024,7,12/4/2023,$60.00,
#00220,N,FP,90024,7,12/8/2023,$100.00,
#00221,Y,00220,90064,5,12/8/2023,$975.00,$12.86
#00121,Y,00220,90024,7,12/10/2023,$60.00,
#00121,Y,00220,91316,7,12/10/2023,$60.00,
#00220,N,FP,90024,7,12/17/2023,$50.00,
