Fragrance Name, Cost,Paid in Full / Credit,20%,25%,30%,35%,40%,Competitiion (Liverpool), Price,Margin,Sales paid in Full,GMV,Profit
212  EDT 100 ML  DAMA," $ 1,007.00 ", Paid in Full," $ 1,208.40 "," $ 1,258.75 "," $ 1,309.10 "," $ 1,359.45 "," $ 1,409.80 "," $ 1,440.00 "," $ 1,280.00 ",27%,1," $ 1,280.00 ", $ 273.00 
212 SEXY  EDP 100 ML DAMA," $ 1,007.00 ", Paid in Full," $ 1,208.40 "," $ 1,258.75 "," $ 1,309.10 "," $ 1,359.45 "," $ 1,409.80 "," $ 1,440.00 "," $ 1,280.00 ",27%,0, $ -   , $ -   
212 VIP EDP 80 ML   DAMA," $ 1,007.00 ", Paid in Full," $ 1,208.40 "," $ 1,258.75 "," $ 1,309.10 "," $ 1,359.45 "," $ 1,409.80 "," $ 1,440.00"," $ 1,280.00 ",27%,0, $ -   , $ -   
212 VIP ROSE EDP 100 ML  DAMA," $ 1,058.00 ", Paid in Full," $ 1,269.60 "," $ 1,322.50 "," $ 1,375.40 "," $ 1,428.30 "," $ 1,481.20 "," $ 1,440.00"," $ 1,300.00 ",23%,0, $ -   , $ -   
TRIO   360 30 ML+PURPLE 30 ML+360 RED 30 ML  DAMA, $ 485.00 , Paid in Full, $ 582.00 , $ 606.25 , $ 630.50 , $ 654.75 , $ 679.00 ,, $ 770.00 ,59%,0, $ -   , $ -   
360  COLLECTION 100 ML EDP SPRAY   DAMA                        NEW, $ 586.00 , Paid in Full, $ 703.20 , $ 732.50 , $ 761.80 , $ 791.10 , $ 820.40 ,, $ 770.00 ,31%,0, $ -   , $ -   
360 100 ML   DAMA, $ 497.00 , Paid in Full, $ 596.40 , $ 621.25 , $ 646.10 , $ 670.95 , $ 695.80 , $ 900.00 , $ 770.00 ,55%,0, $ -   , $ -   
360 CORAL 100 ML   DAMA, $ 574.00 , Paid in Full, $ 688.80 , $ 717.50 , $ 746.20 , $ 774.90 , $ 803.60 , $ 950.00 , $ 800.00 ,39%,0, $ -   , $ -   
360 RED 100 ML DAMA, $ 453.00 , Paid in Full, $ 543.60 , $ 566.25 , $ 588.90 , $ 611.55 , $ 634.20 ,, $ 770.00 ,70%,0, $ -   , $ -   
360  WHITE 100 ML DAMA, $ 446.00 , Paid in Full, $ 535.20 , $ 557.50 , $ 579.80 , $ 602.10 , $ 624.40 ,, $ 770.00 ,73%,0, $ -   , $ -   
360 PINK 100ML EDP  DAMA, $ 459.00 , Paid in Full, $ 550.80 , $ 573.75 , $ 596.70 , $ 619.65 , $ 642.60 , $ 950.00 , $ 790.00 ,72%,0, $ -   , $ -   
360  PINK+CREMA+GEL DE BAÑO+MINIATURA DAMA, $ 599.00 , Paid in Full, $ 718.80 , $ 748.75 , $ 778.70 , $ 808.65 , $ 838.60 ,, $ 770.00 ,29%,0, $ -   , $ -   
360  PURPLE 100 ML DAMA, $ 539.00 , Paid in Full, $ 646.80 , $ 673.75 , $ 700.70 , $ 727.65 , $ 754.60 , $ 950.00 , $ 750.00 ,39%,0, $ -   , $ -   
AGATHA RUIZ DE LA PRADA FLOREVER 80 ML EDT + BODY LOTION 100 ML DAMA, $ 319.00 , Paid in Full, $ 382.80 , $ 398.75 , $ 414.70 , $ 430.65 , $ 446.60 , $ 570.00 , $ 450.00 ,41%,0, $ -   , $ -   
AGATHA RUIZ DE LA PRADA FLOR 80 ML DAMA, $ 300.00 , Paid in Full, $ 360.00 , $ 375.00 , $ 390.00 , $ 405.00 , $ 420.00 , $ 570.00 , $ 450.00 ,50%,0, $ -   , $ -   
