Sale Date,Order ID,Customer,Number of Items,Payment Method,Date Shipped,Ship State,Ship Zipcode,Ship Country,Currency,Order Value,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Shipping,Sales Tax,Order Total,Status,Card Processing Fees,Order Net,Adjusted Order Total,Adjusted Card Processing Fees,Adjusted Net Order Amount,Order Type,Payment Type,InPerson Discount,InPerson Location,SKU
12/19/23,3148200501,Customer 1,1,Credit Card,12/20/23,WA,99037,United States,USD,34,,,0,0,5.5,0,43.02,,1.54,37.96,0,0,0,online,online_cc,,,
12/19/23,3155255522,Customer 2,1,Credit Card,12/19/23,VA,23454-1308,United States,USD,14.5,,,0,0,5.5,0,20.87,,0.88,19.12,0,0,0,online,online_cc,,,
12/16/23,3151272382,Customer 3,1,Credit Card,12/16/23,MA,1611,United States,USD,25,,,0,0,5.5,0,32.06,,1.21,29.29,0,0,0,online,online_cc,,,
12/16/23,3143303285,Customer 4,1,Credit Card,12/16/23,WV,25420,United States,USD,32,,,0,0,5.5,0,39.75,,1.44,36.06,0,0,0,online,online_cc,,,
12/15/23,3150017264,Customer 5,1,Credit Card,12/15/23,UT,84054,United States,USD,34,,,0,0,5.5,0,41.97,,1.51,37.99,0,0,0,online,online_cc,,,
12/13/23,3146898416,Customer 6,1,Credit Card,12/14/23,WI,53073,United States,USD,24.5,,,0,0,5.5,0,31.65,,1.2,28.8,0,0,0,online,online_cc,,,
12/13/23,3138845159,Customer 7,2,Credit Card,12/14/23,FL,32317,United States,USD,71,,,0,5.5,0,0,76.33,,2.54,68.46,0,2.07,58.67,online,online_cc,,,
12/12/23,3144117602,Customer 8,2,Credit Card,12/12/23,MI,48317,United States,USD,54,,,0,5.5,0,0,57.24,,1.97,52.03,0,0,0,online,online_cc,,,Go-bdiv-123
12/11/23,3142262900,Customer 9,3,Credit Card,12/11/23,MA,1746,United States,USD,42.25,,,0,5.5,0,0,42.25,,1.52,40.73,0,0,0,online,online_cc,,,
12/10/23,3132760011,Customer 10,1,Credit Card,12/11/23,MI,49203,United States,USD,30,,,0,0,5.5,0,37.3,,1.37,34.13,0,0,0,online,online_cc,,,
12/10/23,3140436784,Customer 11,1,Credit Card,12/11/23,PA,16066,United States,USD,24.5,,,0,0,5.5,0,31.8,,1.2,28.8,0,0,0,online,online_cc,,,
12/9/23,3129530201,Customer 12,1,Credit Card,12/9/23,NJ,7701,United States,USD,12,,,0,0,5.5,0,18.66,,0.81,16.69,0,0,0,online,online_cc,,,
12/8/23,3137015110,Customer 13,1,Credit Card,12/9/23,WI,53217,United States,USD,30,,,0,0,5.5,0,37.45,,1.37,34.13,0,0,0,online,online_cc,,,
12/7/23,3133448052,Customer 14,1,Credit Card,12/7/23,OR,97230,United States,USD,12,,,0,0,5.5,0,17.5,,0.78,16.72,0,0,0,online,online_cc,,,
12/5/23,3130210500,Customer 15,1,Credit Card,12/7/23,,3741 RB,The Netherlands,USD,21.5,GWYN20,% off,4.3,0,16.5,0,40.78,,1.47,32.23,0,0,0,online,online_cc,,,
