Search query,Impressions,Position,Visits,Conversion rate,Orders,Revenue,Listings
goose band,38545,74,403,3.47%,14,$454.21,30
goose the band,8091,88,101,5.94%,6,$215.28,28
goose band hat,3727,84,57,8.77%,5,$151.73,27
goose band sticker,2376,79,35,11.43%,4,$60.00,18
gooseboat,407,35,53,7.55%,4,$97.73,33
goose,5453,159,56,3.57%,2,$70.51,16
goose band kid,91,34,3,66.67%,2,$46.97,14
goose the band baby,56,71,3,66.67%,2,$49.65,11
goose the band shirt,2320,116,39,5.13%,2,$62.31,25
grateful dead ohio state,82,66,12,16.67%,2,$65.47,41
man ohio state shirt,43,203,2,100%,2,$57.30,2
beastie boys shirt,2158,183,24,4.17%,1,$33.33,7
billy strings t shirt,131,418,3,33.33%,1,$64.98,13
black cu buff tshirt,3,118,1,100%,1,$30.21,2
clemson football,44,123,2,50%,1,$36.82,1
clemson man,51,108,1,100%,1,$57.04,1
colorado buff 1990s,2,9,1,100%,1,$28.79,1
colorado buffalo,6042,70,43,2.33%,1,$30.21,4
colorado buffalo 3x tshirt,2,25,1,100%,1,$34.41,2
colorado buffalo jersey,314,26,2,50%,1,$26.75,4
colorado buffalo shoe,18,79,1,100%,1,$33.99,4
colorado buffalo steal your face,3,5,2,50%,1,$27.97,3
colorado buffalo syf,1,3,1,100%,1,$38.76,1
cu buff,1670,54,18,5.56%,1,$24.23,4
cu buffalo prime,6,26,1,100%,1,$22.18,2
dead cu,3,9,1,100%,1,$31.97,3
goose bamd shirt,0,--,1,--,1,$37.24,1
goose band baby,82,24,4,25%,1,$27.38,13
goose band gift,82,61,1,100%,1,$28.65,9
goose band infant,10,10,1,100%,1,$27.58,6
goose band newborn,2,14,1,100%,1,$24.25,2
goose band poster,1327,58,6,16.67%,1,$26.95,19
goose band rick,35,30,4,25%,1,$34.15,9
goose band shirt co,6,81,1,100%,1,$59.68,3
goose band tee shirt,34,93,2,50%,1,$30.94,15
goose band visor,50,138,1,100%,1,$33.62,16
goose band wind,2,3,1,100%,1,$33.33,1
goose band woman tee,8,76,1,100%,1,$24.13,8
goose hat,2147,57,45,2.22%,1,$35.00,12
goose man tshirt,15,64,1,100%,1,$31.75,5
goose merch,375,85,5,20%,1,$24.70,13
goose merchandise,135,85,2,50%,1,$24.70,13
goose rick,87,194,5,20%,1,$26.95,26
goose sticker,1590,90,13,7.69%,1,$15.00,10
goose sticker band,204,67,2,50%,1,$15.00,7
goose the band baby outfit,5,47,2,50%,1,$22.28,4
goose the band hat,935,102,6,16.67%,1,$30.00,24
goose the band ladies,7,147,1,100%,1,$30.18,5
goose the band sticker,644,143,6,16.67%,1,$22.28,14
goose tshirt,496,68,5,20%,1,$26.95,16
gooseboat short,2,2,1,100%,1,$33.65,2
gooseboat sticker,36,41,2,50%,1,$15.00,4
gooseboat tshirt,1,8,1,100%,1,$33.73,1
graetful dead ohio,0,--,1,--,1,$37.26,1
grateful dead cu boulder,7,4,1,100%,1,$29.90,3
grateful dead ducks shirt,1,1,1,100%,1,$48.41,1
grateful dead ohio state shirt,11,12,3,33.33%,1,$26.60,3
grateful dead sticker georgia,1,655,1,100%,1,$41.43,1
grateful dead uga,38,2,3,33.33%,1,$27.64,1
gratefuldead ducks shirt,8,10,1,100%,1,$38.82,8
jerry garcia tiger gitar shirt,0,--,1,--,1,$26.52,1
man cu boulder jacket,2,85,1,100%,1,$52.75,2
michigan football,932,156,7,14.29%,1,$41.22,3
michigan greatful dead shirt,1,21,1,100%,1,$33.99,1
michigan stadium shirt,33,12,4,25%,1,$33.62,2
ohio state buckeye,2340,351,17,5.88%,1,$55.08,2
ohio state shurt,0,--,1,--,1,$33.22,1
oregon,661,134,5,20%,1,$34.08,1
oregon duck toga,1,9,1,100%,1,$37.78,1
oregon ducks,9177,67,71,1.41%,1,$75.17,9
oregon ducks grateful dead,38,50,3,33.33%,1,$34.08,26
penn state grateful dead,134,35,10,10%,1,$21.40,41
steal your face ohio,2,2,1,100%,1,$39.77,2
sticker grateful dead georgia bulldog,3,8,1,100%,1,$32.33,1
streal your face penn state,0,--,1,--,1,$21.40,1
university colorado,40,43,1,100%,1,$28.79,4
university of colorado,1372,74,16,6.25%,1,$34.29,4
university of colorado grateful dead,4,3,2,50%,1,$31.47,2
university of oregon,2224,86,10,10%,1,$32.18,6
university of oregon grateful dead,2,1,2,50%,1,$27.07,1
virginia is for honk,21,18,1,100%,1,$73.01,10
widespread,9,734,1,100%,1,$15.00,5
none - found with filters or categories,13,389,0,0%,0,$0.00,7
& tshirt nyu boho ccm michigan,1,14,0,0%,0,$0.00,1
#1 dad oregon ducks,2,11,0,0%,0,$0.00,1
#2 cu boulder shirt,1,25,0,0%,0,$0.00,1
#8 ohio state buckeye jersey,2,103,0,0%,0,$0.00,2
#gooseeggs,1,10,0,0%,0,$0.00,1
#maggylondon,1,70,0,0%,0,$0.00,1
0u812 van halen tour shirt,2,284,0,0%,0,$0.00,1
1 cu ft ice block,1,15,0,0%,0,$0.00,1
1 grateful dead patch,1,1034,0,0%,0,$0.00,1
1 inch goose holograph,1,19,0,0%,0,$0.00,1
1 ohio state university football helmet,3,332,0,0%,0,$0.00,2
100 % sold on goose band shirt,6,6,0,0%,0,$0.00,2
100 mic,1,150,0,0%,0,$0.00,1
100 percent cotton man oregon ducks hoodie,1,61,0,0%,0,$0.00,1
100% goose,8,122,0,0%,0,$0.00,6
100% sold goose band shirt,4,77,0,0%,0,$0.00,4
100% sold on goose,5,36,0,0%,0,$0.00,4
1000 michigan,2,227,0,0%,0,$0.00,1
1000 michigan wings,1,58,0,0%,0,$0.00,1
100th goose show,2,136,0,0%,0,$0.00,2
101422,2,4,0,0%,0,$0.00,2
1030 oregon webfoot vintage,1,73,0,0%,0,$0.00,1
10cc t shirt,1,37,0,0%,0,$0.00,1
10lb goose,2,24,0,0%,0,$0.00,1
115 richardson michigan wolverine,2,9,0,0%,0,$0.00,1
1182679477,1,3,0,0%,0,$0.00,1
11x17 goose poster,1,63,0,0%,0,$0.00,1
11x17 oregon ducks,2,102,1,0%,0,$0.00,1
12 month old goose shirt,3,47,0,0%,0,$0.00,3
12 skeleton osu,2,75,0,0%,0,$0.00,1
120 cu inch urn,2,185,0,0%,0,$0.00,1
13 bolt hat,1,918,0,0%,0,$0.00,1
13 point bolt,2,1725,0,0%,0,$0.00,2
13 point bolt ring,3,740,0,0%,0,$0.00,1
13 pro max case michigan,1,16,0,0%,0,$0.00,1
143 245,1,55,0,0%,0,$0.00,1
14x20 premium goose insert,1,7,0,0%,0,$0.00,1
