Rental Unit Number,Tenant Name,Unit Type (Size),Rental Start Date,Rental End Data,Weekly Rent,Renewal Option,Repair Request
449C,Tenant 1,Classic (125 sqft),2022-08-01,2023-08-01,$233,Yes,None
326A,Tenant 2,Signature (150 sqft),2022-05-10,2023-09-10,$267,Yes,Undergoing
424A,Tenant 3,Premium (180 sqft),2023-09-15,2024-09-14,$282,Pending,Inquiry
496B,Tenant 4,Classic (125 sqft),2022-11-01,2023-11-01,$234,Yes,None
233B,Tenant 5,Classic (125 sqft),2023-05-01,2024-04-30,$228,Pending,None
152B,Tenant 6,Classic (125 sqft),2022-08-01,2023-08-01,$245,Pending,None
174B,Tenant 7,Signature (150 sqft),2022-09-10,2023-09-10,$261,No,None
496C,Tenant 8,Classic (125 sqft),2022-01-15,2024-01-15,$244,Yes,Undergoing
267C,Tenant 9,Classic (125 sqft),2022-02-15,2024-02-15,$230,Yes,None
378C,Tenant 10,Premium (180 sqft),2022-01-15,2024-01-15,$294,Yes,None
432B,Tenant 11,Signature (150 sqft),2022-04-15,2024-04-15,$259,Yes,None
135C,Tenant 12,Signature (150 sqft),2022-08-01,2023-08-01,$252,Pending,Undergoing
442A,Tenant 13,Classic (125 sqft),2022-06-10,2024-06-10,$235,Yes,None
284C,Tenant 14,Signature (150 sqft),2023-09-01,2024-08-31,$257,Pending,None
412A,Tenant 15,Signature (150 sqft),2022-05-01,2024-05-01,$264,Pending,None
275D,Tenant 16,Classic (125 sqft),2022-11-01,2023-11-01,$230,Yes,Undergoing
320D,Tenant 17,Classic (125 sqft),2023-06-15,2024-06-14,$245,Pending,None
462D,Tenant 18,Premium (180 sqft),2023-10-10,2024-10-09,$284,Pending,None
458D,Tenant 19,Classic (125 sqft),2022-05-15,2024-05-15,$235,Pending,None
413B,Tenant 20,Signature (150 sqft),2022-05-01,2024-05-01,$275,Pending,None
267B,Tenant 21,Signature (150 sqft),2022-05-01,2024-05-01,$253,No,None
455C,Tenant 22,Premium (180 sqft),2022-07-15,2023-07-15,$300,Yes,None
490A,Tenant 23,Classic (125 sqft),2023-08-01,2024-07-31,$250,Pending,Inquiry
477D,Tenant 24,Classic (125 sqft),2022-07-01,2023-07-01,$234,Yes,Inquiry
309A,Tenant 25,Classic (125 sqft),2022-01-10,20244-01-10,$229,Yes,None
175C,Tenant 26,Classic (125 sqft),2023-08-10,2024-08-09,$240,Pending,None
131B,Tenant 27,Signature (150 sqft),2022-07-01,2023-07-01,$259,Pending,Undergoing
322B,Tenant 28,Premium (180 sqft),2023-09-15,2024-09-14,$286,Pending,None
183C,Tenant 29,Signature (150 sqft),2023-01-15,2024-01-15,$254,Yes,None
469C,Tenant 30,Classic (125 sqft),2022-01-10,2024-01-10,$233,Yes,None
282D,Tenant 31,Signature (150 sqft),2023-02-15,2024-02-15,$270,No,Inquiry
308A,Tenant 32,Classic (125 sqft),2022-09-15,2023-09-15,$238,Pending,None
499C,Tenant 33,Classic (125 sqft),2022-11-15,2023-11-15,$241,Pending,None
108C,Tenant 34,Classic (125 sqft),2023-05-15,2024-05-14,$235,Yes,None
449B,Tenant 35,Signature (150 sqft),2022-10-10,2023-10-10,$252,No,None
331A,Tenant 36,Premium (180 sqft),2023-09-15,2024-09-14,$281,Pending,None
405C,Tenant 37,Classic (125 sqft),2023-10-01,2024-09-30,$249,Pending,None
224A,Tenant 38,Classic (125 sqft),2023-08-15,2024-08-14,$232,Pending,Undergoing
345B,Tenant 39,Signature (150 sqft),2023-03-10,2024-03-09,$268,Pending,None
288A,Tenant 40,Classic (125 sqft),2023-07-10,2024-07-09,$234,Pending,None
399C,Tenant 41,Signature (150 sqft),2022-06-01,2024-06-01,$263,Pending,None
117C,Tenant 42,Premium (180 sqft),2022-01-15,2024-01-15,$287,Yes,Inquiry
406B,Tenant 43,Premium (180 sqft),2022-11-10,2023-11-10,$286,Pending,None
171A,Tenant 44,Classic (125 sqft),2023-12-15,2024-12-14,$235,Pending,None
157A,Tenant 45,Classic (125 sqft),2022-02-15,2024-02-15,$248,Yes,None
264B,Tenant 46,Signature (150 sqft),2022-11-15,2023-11-15,$252,Yes,None
368A,Tenant 47,Classic (125 sqft),2023-03-15,2024-03-14,$238,Yes,Undergoing
186B,Tenant 48,Signature (150 sqft),2022-05-10,2024-05-10,$264,Yes,Inquiry
180B,Tenant 49,Classic (125 sqft),2022-04-10,2024-04-10,$244,Pending,None
