JAZ Ceramics - Price details,,,,,,,,,,,
Product ID,Category,Description,Height (cm),"
Width (cm)",Clay,Material cost,Retail price,Wholesaler's price,Minimum wholesale quantity,Retail profit per unit,Wholesale profit per unit
D-001,Decoration,Halloween pumpkin,15,18,Low temperature,"$1,350.00","$4,000.00","$3,200.00",5,"$2,650.00","$1,850.00"
D-002,Decoration,Halloween ghost,12,8,Low temperature,"$1,250.00","$3,500.00","$2,800.00",5,"$2,250.00","$1,550.00"
D-003,Decoration,Halloween Bats,5,8,Low temperature,$900.00,"$2,000.00","$1,600.00",8,"$1,100.00",$700.00
D-004,Decoration,Christmas tree,20,10,Low temperature,"$1,300.00","$4,000.00","$3,200.00",5,"$2,700.00","$1,900.00"
D-005,Decoration,Christmas reindeer,10,8,Low temperature,$800.00,"$1,500.00","$1,200.00",8,$700.00,$400.00
D-006,Decoration,Christmas ball,7,5,Low temperature,$850.00,"$1,700.00","$1,300.00",8,$850.00,$450.00
D-007,Decoration,Bubble candlestick,10,5,Low temperature,$950.00,"$2,300.00","$1,800.00",5,"$1,350.00",$850.00
D-008,Decoration,Candlestick with handle,13,5,Low temperature,$950.00,"$2,400.00","$1,950.00",5,"$1,450.00","$1,000.00"
D-009,Decoration,Candle holder,12,8,Low temperature,$920.00,"$2,200.00","$1,800.00",8,"$1,280.00",$880.00
D-010,Decoration,Spiral holder,8,15,Low temperature,$970.00,"$2,300.00","$1,800.00",8,"$1,330.00",$830.00
D-011,Decoration,Spiral holder with legs,10,15,Low temperature,$990.00,"$2,500.00","$2,000.00",8,"$1,510.00","$1,010.00"
D-012,Decoration,Big potter's wheel vessel,30,20,Low temperature,"$1,450.00","$6,000.00","$4,900.00",5,"$4,550.00","$3,450.00"
D-013,Decoration,Small potter's wheel vessel,20,10,Low temperature,"$1,250.00","$5,000.00","$4,100.00",5,"$3,750.00","$2,850.00"
D-014,Decoration,Large mold vessel,18,13,Low temperature,"$1,350.00","$4,500.00","$3,600.00",5,"$3,150.00","$2,250.00"
D-015,Decoration,Medium mold vessel,15,10,Low temperature,"$1,200.00","$4,000.00","$3,200.00",5,"$2,800.00","$2,000.00"
D-016,Decoration,Small mold vessel,12,8,Low temperature,"$1,150.00","$3,500.00","$2,800.00",5,"$2,350.00","$1,650.00"
D-017,Decoration,Handle vessel,25,20,Low temperature,"$1,850.00","$8,000.00","$6,500.00",3,"$6,150.00","$4,650.00"
D-018,Decoration,Large pot,20,10,Low temperature,"$1,550.00","$5,000.00","$4,100.00",4,"$3,450.00","$2,550.00"
D-019,Decoration,Small pot,15,10,Low temperature,"$1,350.00","$4,000.00","$3,200.00",5,"$2,650.00","$1,850.00"
D-020,Decoration,Pot with plate,18,10,Low temperature,"$1,400.00","$7,000.00","$4,700.00",5,"$5,600.00","$3,300.00"
D-021,Decoration,"Pot with foot",24,10,Low temperature,"$1,500.00","$5,000.00","$4,100.00",5,"$3,500.00","$2,600.00"
UT-001,Utilities,Simple mate,12,8,High temperature,"$1,100.00","$3,000.00","$2,450.00",5,"$1,900.00","$1,350.00"
UT-002,Utilities,Simple mate with legs,14,8,High temperature,"$1,180.00","$3,600.00","$2,900.00",5,"$2,420.00","$1,720.00"
UT-003,Utilities,Double wall mate,12,10,High temperature,"$1,300.00","$4,000.00","$3,200.00",5,"$2,700.00","$1,900.00"
UT-004,Utilities,Double wall mate with legs,14,10,High temperature,"$1,380.00","$4,700.00","$3,800.00",5,"$3,320.00","$2,420.00"
UT-005,Utilities,Mate with handles,12,12,High temperature,"$1,100.00","$3,500.00","$2,800.00",5,"$2,400.00","$1,700.00"
UT-006,Utilities,Small cup,10,8,High temperature,$970.00,"$2,500.00","$2,000.00",6,"$1,530.00","$1,030.00"
UT-007,Utilities,Big cup,13,10,High temperature,"$1,020.00","$2,600.00","$3,100.00",6,"$1,580.00","$2,080.00"
UT-008,Utilities,Cup with strainer,15,10,High temperature,"$1,070.00","$3,000.00","$2,400.00",6,"$1,930.00","$1,330.00"
UT-009,Utilities,Cup without handle,10,6,High temperature,$950.00,"$2,300.00","$1,800.00",6,"$1,350.00",$850.00
UT-010,Utilities,Small bowl,8,11,High temperature,$900.00,"$1,900.00","$1,500.00",5,"$1,000.00",$600.00
UT-011,Utilities,Medium bowl,9,13,High temperature,$960.00,"$2,600.00","$2,100.00",5,"$1,640.00","$1,140.00"
UT-012,Utilities,Large bowl,10,15,High temperature,"$1,040.00","$3,200.00","$2,600.00",5,"$2,160.00","$1,560.00"
UT-013,Utilities,Small play dish,3,10,High temperature,$920.00,"$2,000.00","$1,600.00",6,"$1,080.00",$680.00
UT-014,Utilities,Large play dish,3,15,High temperature,$980.00,"$2,700.00","$2,200.00",6,"$1,720.00","$1,220.00"
UT-015,Utilities,Sponge holder,2,12,High temperature,$900.00,"$2,000.00","$1,600.00",8,"$1,100.00",$700.00
UT-016,Utilities,soap holder,2,10,High temperature,$900.00,"$2,000.00","$1,600.00",8,"$1,100.00",$700.00
UT-017,Utilities,Dips tray,4,20,High temperature,"$1,380.00","$5,000.00","$4,100.00",4,"$3,620.00","$2,720.00"
UT-018,Utilities,Butter churn,2,10,High temperature,$900.00,"$2,000.00","$1,600.00",8,"$1,100.00",$700.00
UT-019,Utilities,"Sugar bowl",10,10,High temperature,"$1,100.00","$3,000.00","$2,400.00",5,"$1,900.00","$1,300.00"
UT-020,Utilities,"Small jar with lid",12,6,High temperature,"$1,150.00","$3,500.00","$2,800.00",5,"$2,350.00","$1,650.00"
UT-021,Utilities,"Big jar with lid",16,8,High temperature,"$1,350.00","$4,500.00","$3,600.00",5,"$3,150.00","$2,250.00"
UT-022,Utilities,Salt shaker,8,7,High temperature,$880.00,"$2,000.00","$1,600.00",8,"$1,120.00",$720.00
UT-023,Utilities,Pepper pot,8,7,High temperature,$880.00,"$2,000.00","$1,600.00",8,"$1,120.00",$720.00
UT-024,Utilities,Oil pot,12,10,High temperature,"$1,000.00","$5,000.00","$4,100.00",5,"$4,000.00","$3,100.00"
UT-025,Utilities,Teapot with filter,12,12,High temperature,"$1,060.00","$3,000.00","$2,400.00",4,"$1,940.00","$1,340.00"
UT-026,Utilities,Teapot without filter,12,12,High temperature,"$1,060.00","$3,000.00","$2,400.00",4,"$1,940.00","$1,340.00"
UT-027,Utilities,Coffe pot,12,10,High temperature,"$1,000.00","$3,000.00","$2,400.00",4,"$2,000.00","$1,400.00"
UT-028,Utilities,Milk pot,12,10,High temperature,"$1,000.00","$3,000.00","$2,400.00",4,"$2,000.00","$1,400.00"
UT-029,Utilities,Spoon rest,2,7,High temperature,$900.00,"$2,000.00","$1,600.00",10,"$1,100.00",$700.00
UT-030,Utilities,Cake stand,8,15,High temperature,$990.00,"$3,000.00","$2,400.00",4,"$2,010.00","$1,410.00"
UT-031,Utilities,Cake pan,6,15,High temperature,"$1,040.00","$3,000.00","$2,400.00",4,"$1,960.00","$1,360.00"
