Event Date,Person,Total,Date,First Payment,Payment Method,Date,Second Payment,Payment Method,Remaining,Event Type,Number of People,Start Time,End Time,Number of Hours
11/17/2018,LM,"$ 20,000.00",11/14/2018,"$ 10,000.00",Cash,11/17/2018,"$ 10,000.00",Cash,$ 0.00,Baptism,60,,,
12/8/2018,CM,"$ 12,000.00",10/24/2018,"$ 6,000.00",Cash,12/8/2018,"$ 6,000.00",Cash,$ 0.00,Birthday,80,21:00:00,2:00:00,
2/16/2019,DF,"$ 16,000.00",1/12/2019,"$ 12,000.00",Cash,2/15/2019,"$ 4,000.00",Cash,$ 0.00,Marriage,100,21:00:00,2:00:00,
2/22/2019,SB,"$ 19,500.00",1/23/2019,"$ 5,000.00",Cash,2/16/2019,"$ 14,500.00",Cash,$ 0.00,University graduates,100,21:00:00,2:00:00,
3/9/2019,MG,"$ 26,000.00",10/24/2018,"$ 12,200.00",Cash,3/5/2019,"$ 13,800.00",Cash,$ 0.00,Marriage,100,21:00:00,2:00:00,
3/23/2019,LP,"$ 8,250.00",1/4/2019,"$ 8,250.00",Cash,,,,$ 0.00,Birthday,60,12:00:00,17:00:00,5:00:00
3/23/2019,JML,"$ 10,000.00",2/14/2019,"$ 10,000.00",Cash,,,,$ 0.00,Birthday,80,19:00:00,2:00:00,
4/5/2019,APF,"$ 19,500.00",3/4/2019,"$ 19,500.00",Cash,,,,$ 0.00,Marriage,100,21:00:00,2:00:00,
4/26/2019,MG,"$ 30,000.00",2/23/2019,"$ 15,000.00",Transfer,4/8/2019,"$ 15,000.00",Cash,$ 0.00,Marriage,100,12:00:00,17:00:00,5:00:00
5/11/2019,AN,"$ 21,000.00",2/26/2019,"$ 11,000.00",Transfer,4/4/2019,"$ 10,000.00",Cash,$ 0.00,15th birthday party,100,21:00:00,2:00:00,
6/8/2019,CO,"$ 18,000.00",4/9/2019,"$ 18,000.00",Cash,,,,$ 0.00,Birthday,100,21:00:00,2:00:00,
7/19/2019,CA,"$ 5,000.00",7/19/2019,"$ 5,000.00",Cash,,,,$ 0.00,Lunch,60,12:00:00,17:00:00,5:00:00
8/3/2019,JMP,"$ 21,500.00",6/19/2019,"$ 10,750.00",Transfer,7/29/2019,"$ 10,750.00",Transfer,$ 0.00,Birthday,90,21:00:00,2:00:00,
8/16/2019,BP,"$ 27,000.00",4/11/2019,"$ 27,000.00",Cash,,,,$ 0.00,Marriage,100,21:00:00,2:00:00,
8/24/2019,LG,"$ 17,000.00",8/17/2019,"$ 8,600.00",Cash,8/23/2019,"$ 8,400.00",Cash,$ 0.00,Birthday,80,21:00:00,2:00:00,
9/1/2019,AO,"$ 10,000.00",8/15/2019,"$ 5,000.00",Cash,9/1/2019,"$ 5,000.00",Cash,$ 0.00,Baby Shower,80,12:00:00,17:00:00,5:00:00
9/7/2019,TB,"$ 27,500.00",8/20/2019,"$ 13,000.00",Cash,9/7/2019,"$ 14,500.00",Cash,$ 0.00,Marriage,130,21:00:00,2:00:00,
9/15/2019,PS,$ 0.00,,,,,,,$ 0.00,Baptism,80,12:00:00,17:00:00,5:00:00
9/29/2019,SA,"$ 10,000.00",8/24/2019,"$ 10,000.00",Cash,,,,$ 0.00,Birthday,80,12:00:00,17:00:00,5:00:00
10/11/2019,SG,"$ 18,750.00",10/2/2019,"$ 9,375.00",Transfer,10/7/2019,"$ 9,375.00",Cash,$ 0.00,Birthday,80,21:00:00,2:00:00,
10/19/2019,SO,"$ 27,000.00",10/10/2019,"$ 13,500.00",Transfer,10/19/2019,"$ 13,500.00",Transfer,$ 0.00,Marriage,90,12:00:00,17:00:00,5:00:00
10/19/2019,CR,"$ 4,000.00",,,,10/19/2019,"$ 4,000.00",,$ 0.00,Afro party,90,21:00:00,2:00:00,
10/30/2019,PL,"$ 2,500.00",,,,10/30/2019,"$ 2,500.00",,$ 0.00,University graduates,80,21:00:00,2:00:00,
11/2/2019,LS,"$ 7,700.00",3/9/2019,"$ 5,000.00",Transfer,10/30/2019,"$ 2,700.00",Cash,$ 0.00,15th birthday party,100,21:00:00,2:00:00,
11/9/2019,ES,"$ 18,000.00",4/2/2019,"$ 8,000.00",Cash,4/4/2019,"$ 10,000.00",Cash,$ 0.00,Birthday,80,21:00:00,2:00:00,
11/10/2019,TG,$ 0.00,,,,,,,$ 0.00,Birthday,90,12:00:00,17:00:00,5:00:00
11/16/2019,VM,"$ 28,600.00",1/8/2019,"$ 5,000.00",Cash,2/2/2019,"$ 23,600.00",Cash,$ 0.00,Marriage,,21:00:00,2:00:00,
11/22/2019,LD,"$ 3,000.00",11/22/2019,"$ 3,000.00",Cash,,,,$ 0.00,Meeting,20,19:00:00,2:00:00,
11/23/2019,LGA,"$ 35,000.00",5/9/2019,"$ 17,500.00",Cash,7/5/2019,"$ 17,500.00",Cash,$ 0.00,Marriage,100,21:00:00,2:00:00,
11/29/2019,CA,"$ 20,000.00",9/5/2019,"$ 20,000.00",Cash,,,,$ 0.00,Birthday,80,21:00:00,2:00:00,
11/30/2019,MJ,"$ 31,500.00",4/23/2019,"$ 31,500.00",Cash,,,,$ 0.00,Marriage,100,19:00:00,2:00:00,
12/6/2019,JMC,"$ 35,000.00",10/22/2019,"$ 17,500.00",Cash,12/3/2019,"$ 17,500.00",Cash,$ 0.00,Marriage,100,12:00:00,17:00:00,5:00:00
12/7/2019,MA,"$ 15,000.00",9/19/2019,"$ 15,000.00",Cash,,,,$ 0.00,Birthday,80,19:00:00,2:00:00,
