# of Tickets,Ticket Type,Ticket #,Ticket Giveaway,Event attended,Ticket price,Media Space/ Booth,Sponsorship,Sponsorship Cost,Industry,Primary Social Media Platforms,City,State,Zip Code,Country
1,Exhibitor,WS-EX-668443057,N,Y,$295.00,Y,Y,"$1,500.00",Technology,Twitter,Boston,Massachusetts,2139,USA
1,Exhibitor,WS-EX-668443058,N,Y,$295.00,Y,Y,"$2,500.00",Technology,Twitter,Boston,Massachusetts,2140,USA
1,Exhibitor,WS-EX-668443059,N,Y,$295.00,Y,Y,"$2,500.00",Finance,Twitter,New York,New York,10055,USA
1,Exhibitor,WS-EX-668443060,N,Y,$295.00,Y,Y,"$2,500.00",Finance,Linkedin,New York,New York,10055,USA
1,Exhibitor,WS-EX-668443061,N,Y,$295.00,Y,Y,"$2,500.00",Finance,Linkedin,New York,New York,10055,USA
1,Exhibitor,WS-EX-668443038,N,Y,$295.00,Y,Y,"$1,500.00",Retail,Instagram,New York,New York,10069,USA
1,Exhibitor,WS-EX-668443039,N,Y,$295.00,Y,Y,"$1,500.00",Retail,Instagram,New York,New York,10069,USA
1,Exhibitor,WS-EX-668443040,N,Y,$295.00,Y,Y,"$1,500.00",Retail,Instagram,New York,New York,10069,USA
1,Exhibitor,WS-EX-668443050,N,Y,$295.00,Y,Y,"$1,500.00",Technology,Twitter,Columbia,South Carolina,29169,USA
1,Exhibitor,WS-EX-668443051,N,Y,$295.00,Y,Y,"$1,500.00",Technology,Twitter,Columbia,South Carolina,29169,USA
1,Exhibitor,WS-EX-668443068,N,Y,$295.00,Y,Y,"$5,000.00",Professional Services,Twitter,Atlanta,Georgia,30301,USA
1,Exhibitor,WS-EX-668443069,N,Y,$295.00,Y,Y,"$5,000.00",Professional Services,Clubhouse,Atlanta,Georgia,30302,USA
1,Exhibitor,WS-EX-668443066,N,Y,$295.00,Y,Y,"$5,000.00",Professional Services,Twitter,Orlando,Florida,32801,USA
1,Exhibitor,WS-EX-668443067,N,Y,$295.00,Y,Y,"$5,000.00",Professional Services,Facebook,Orlando,Florida,32802,USA
1,Exhibitor,WS-EX-668443054,N,Y,$295.00,Y,Y,"$1,500.00",Entertainment,Tik Tok,Miami,Florida,33142,USA
1,Exhibitor,WS-EX-668443055,N,Y,$295.00,Y,Y,"$1,500.00",Entertainment,Tik Tok,Miami,Florida,33142,USA
1,Exhibitor,WS-EX-668443056,N,Y,$295.00,Y,Y,"$1,500.00",Entertainment,Instagram,Miami,Florida,33142,USA
1,Exhibitor,WS-EX-668443063,N,Y,$295.00,Y,Y,"$2,500.00",Art,Instagram,Miami,Florida,33145,USA
1,Exhibitor,WS-EX-668443042,N,Y,$295.00,Y,Y,"$1,500.00",Logistics,Facebook,Houston,Texas,77002,USA
1,Exhibitor,WS-EX-668443062,N,Y,$295.00,Y,Y,"$2,500.00",Retail,Instagram,Austin,Texas,78701,USA
1,Exhibitor,WS-EX-668443047,N,Y,$295.00,Y,Y,"$1,500.00",Technology,Twitter,Denver,Colorado,80249,USA
1,Exhibitor,WS-EX-668443048,N,Y,$295.00,Y,Y,"$1,500.00",Technology,Discord,Denver,Colorado,80249,USA
1,Exhibitor,WS-EX-668443049,N,Y,$295.00,Y,Y,"$1,500.00",Technology,Discord,Denver,Colorado,80249,USA
1,Exhibitor,WS-EX-668443064,N,Y,$295.00,Y,Y,"$2,500.00",Art,Instagram,Boulder,Colorado,80301,USA
1,Exhibitor,WS-EX-668443065,N,Y,$295.00,Y,Y,"$2,500.00",Art,Instagram,Las Vegas,Nevada,89101,USA
1,Exhibitor,WS-EX-668443052,N,Y,$295.00,Y,Y,"$1,500.00",Entertainment,Instagram,Los Angeles,California,90004,USA
1,Exhibitor,WS-EX-668443053,N,Y,$295.00,Y,Y,"$1,500.00",Entertainment,Instagram,Los Angeles,California,90004,USA
1,Exhibitor,WS-EX-668443043,N,Y,$295.00,Y,Y,"$1,500.00",Finance,Linkedin,Los Angeles,California,90017,USA
1,Exhibitor,WS-EX-668443044,N,Y,$295.00,Y,Y,"$1,500.00",Finance,Linkedin,Los Angeles,California,90017,USA
1,Exhibitor,WS-EX-668443045,N,Y,$295.00,Y,Y,"$1,500.00",Finance,Twitter,Los Angeles,California,90017,USA
1,Exhibitor,WS-EX-668443046,N,Y,$295.00,Y,Y,"$1,500.00",Finance,Twitter,Los Angeles,California,90017,USA
1,Exhibitor,WS-EX-668443041,N,Y,$295.00,Y,Y,"$1,500.00",Finance,Linkedin,Los Angeles,California,90071,USA
1,General Admission,WS-GA-389971909,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Charlotte,North Carolina,28203,USA
1,General Admission,WS-GA-389972106,N,Y,$295.00,N,N,$0.00,Fashion,Instagram,Tallahassee,Florida,32301,USA
1,General Admission,WS-GA-389972150,N,Y,$295.00,N,N,$0.00,Finance,Twitter,Miami,Florida,33101,USA
1,General Admission,WS-GA-389972151,N,Y,$295.00,N,N,$0.00,Professional Services,Instagram,Miami,Florida,33101,USA
1,General Admission,WS-GA-389971908,Y,Y,$295.00,N,N,$0.00,Broadcasting,Twitter,Tampa,Florida,33607,USA
1,General Admission,WS-GA-389971941,Y,Y,$295.00,N,N,$0.00,Broadcasting,Tik Tok,Fort Meyers,Florida,33902,USA
1,General Admission,WS-GA-389971951,Y,Y,$295.00,N,N,$0.00,Broadcasting,Tik Tok,Fort Meyers,Florida,33902,USA
1,General Admission,WS-GA-389972107,N,Y,$295.00,N,N,$0.00,Professional Services,Instagram,Montgomery,Alabama,36101,USA
1,General Admission,WS-GA-389972130,N,Y,$295.00,N,N,$0.00,Healthcare,Twitter,Madison,Wisconsin,53702,USA
1,General Admission,WS-GA-389972120,N,Y,$295.00,N,N,$0.00,Healthcare,Instagram,Houston,Texas,77005,USA
1,General Admission,WS-GA-389971914,Y,Y,$295.00,N,N,$0.00,Healthcare,Linkedin,Houston,Texas,77005,USA
1,General Admission,WS-GA-389972102,N,Y,$295.00,N,N,$0.00,Technology,Twitter,San Francisco,California,94102,USA
1,General Admission,WS-GA-389972104,N,Y,$295.00,N,N,$0.00,Education,Twitter,San Francisco,California,94102,USA
1,General Admission,WS-GA-389971906,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Jersey City,New Jersey,7302,USA
1,General Admission,WS-GA-389972087,Y,Y,$295.00,N,N,$0.00,Healthcare,Instagram,New York,New York,10012,USA
1,General Admission,WS-GA-389972138,N,Y,$295.00,N,N,$0.00,Technology,Twitter,New York,New York,11210,USA
1,General Admission,WS-GA-389972059,Y,Y,$295.00,N,N,$0.00,Healthcare,Instagram,New York,New York,11361,USA
1,General Admission,WS-GA-389972002,Y,Y,$295.00,N,N,$0.00,Finance,Twitter,Philidelphia,Pennsylvania,19103,USA
1,General Admission,WS-GA-389971958,Y,Y,$295.00,N,N,$0.00,Entertainment,Twitter,Philidelphia,Pennsylvania,19111,USA
1,General Admission,WS-GA-389971995,Y,Y,$295.00,N,N,$0.00,Fashion,Twitter,Washington,District of Columbia,20001,USA
1,General Admission,WS-GA-389972045,Y,Y,$295.00,N,N,$0.00,Engineering,Twitter,Washington,District of Columbia,20001,USA
1,General Admission,WS-GA-389972123,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Richmond,Virginia,23220,USA
1,General Admission,WS-GA-389972101,N,Y,$295.00,N,N,$0.00,Education,Tik Tok,Virginia Beach,Virginia,23451,USA
1,General Admission,WS-GA-389972046,Y,Y,$295.00,N,N,$0.00,Broadcasting,Linkedin,Virginia Beach,Virginia,23458,USA
1,General Admission,WS-GA-389971915,Y,Y,$295.00,N,N,$0.00,Manufacturing,Linkedin,Greensboro,North Carolina,27401,USA
1,General Admission,WS-GA-389971984,Y,Y,$295.00,N,N,$0.00,Education,Tik Tok,Atlanta,Georgia,30305,USA
1,General Admission,WS-GA-389972065,Y,Y,$295.00,N,N,$0.00,Education,Twitter,Atlanta,Georgia,30305,USA
1,General Admission,WS-GA-389971982,Y,Y,$295.00,N,N,$0.00,Healthcare,Twitter,Athens,Georgia,30609,USA
1,General Admission,WS-GA-389971992,Y,Y,$295.00,N,N,$0.00,Retail,Twitter,Athens,Georgia,30609,USA
1,General Admission,WS-GA-389972108,N,Y,$295.00,N,N,$0.00,Healthcare,Facebook,Augusta,Georgia,30901,USA
1,General Admission,WS-GA-389971896,N,Y,$295.00,N,N,$0.00,Finance,Twitter,Jacksonville,Florida,32099,USA
1,General Admission,WS-GA-389971931,Y,Y,$295.00,N,N,$0.00,Technology,Twitter,Tallahassee,Florida,32301,USA
1,General Admission,WS-GA-389972030,Y,Y,$295.00,N,N,$0.00,Broadcasting,Instagram,Tallahassee,Florida,32301,USA
1,General Admission,WS-GA-389972082,Y,Y,$295.00,N,N,$0.00,Finance,Instagram,Tallahassee,Florida,32301,USA
1,General Admission,WS-GA-389972149,N,Y,$295.00,N,N,$0.00,Finance,Twitter,Tallahassee,Florida,32305,USA
1,General Admission,WS-GA-389972116,N,Y,$295.00,N,N,$0.00,Technology,Twitter,Orlando,Florida,32802,USA
1,General Admission,WS-GA-389972142,N,Y,$295.00,N,N,$0.00,Education,Tik Tok,Orlando,Florida,32805,USA
1,General Admission,WS-GA-389971934,Y,Y,$295.00,N,N,$0.00,Fashion,Instagram,Orlando,Florida,32805,USA
1,General Admission,WS-GA-389971935,Y,Y,$295.00,N,N,$0.00,Technology,Linkedin,Orlando,Florida,32805,USA
1,General Admission,WS-GA-389971963,Y,Y,$295.00,N,N,$0.00,Healthcare,Linkedin,Orlando,Florida,32805,USA
