Date,ID,Title,Ad views,Ad skips,Credits," Ad, USD "," Token, USD "," Gross, USD "," Net, USD ", Ad rate ,TOTAL EARNED
11/1/2023,7ddbe2ab-a137-4713-86dc-70fe36879a1b,Subaru Wrx,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/1/2023,87133b83-5c15-4920-b707-1e1a325bd956,Mermaid,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,17e43803-ff65-49e7-8d5e-dcd3f816d820,Wolf and Subaru WRX,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/1/2023,ce6ae690-7cf1-4ac6-8426-dfb97e622b27,Rose,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,78462e3c-9ba5-4014-828b-05f5a05ad763,Mushrooms,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/1/2023,ead33401-87a2-406a-86a7-5fb9d44096ec,Skeleton Hippo-Gremlin,0,1,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,a3f4814c-6411-4c91-8a0b-25a54b41f1c1,DNA Skull,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,437a98c3-bf9a-43ed-b3a4-7f81332ac11d,Day of the Dead,0,0,10, $ -   , $ 0.01 , $ 0.01 , $ -   , $ 0.02 ,
11/1/2023,e0af297e-8a44-49d5-a4e3-9d215c410bca,Pumpkin Turtle,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,3799a496-da26-4d98-ba47-ea60cffb14c1,Wolf 3,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,a5aea12f-b22d-483a-bed0-a64e41fa5bf7,Gnome,1,0,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
11/1/2023,5ff2646b-1988-42c9-b286-f6437a21c68a,Cross,9,5,0, $ 0.31 , $ -   , $ 0.31 , $ 0.21 , $ 0.02 ,
11/1/2023,372ce82d-22b2-4ab2-afa3-3f21ffa1d0be,Jellyfish Skull,0,1,0, $ 0.02 , $ -   , $ 0.02 , $ 0.01 , $ 0.02 ,
