Listing Date,Order Date,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Net Earnings,Buyer State,Buyer Zip Code,Sales Tax (Paid by Buyer),Sales Tax (Paid by Seller),Notes,Other Info
12/29/2021,01/03/2022,61d396f5ed2f3ff64e8c19bf,NWT Karen Scott Turbo Cotton Cardigan,Women,Sweaters,Cardigans,Karen Scott,Gray,L,N,Y,Y,$0.00,$16.00,$29.00,$0.00,$0.00,$12.80,FL,34638,$1.64,$0.00,,
01/01/2022,01/02/2022,61d1af147824da8251957012,Nike Dri FIt Golf Polo,Men,Shirts,Polos,Nike,Blue,L,N,Y,N,$0.00,$10.00,$25.00,$0.00,$0.00,$7.05,SC,29412,$1.56,$0.00,,
12/28/2021,01/03/2022,61d2b90db721a1dfbab22136,Drew Comfort Leather Platform Oxfords,Women,Shoes,Flats & Loafers,DREW,"Red,Black",8.5,N,Y,N,$8.30,$24.00,$39.00,$1.50,$0.00,$17.70,IL,60634,$3.06,$0.00,,
12/30/2021,01/01/2022,61c0dcedf9c3826b7a03da78,Jewel by Badgley Mischka Mayra Block Heel Evening Sandal,Women,Shoes,Heels,Badgley Mischka,Pink,6.5,N,N,N,$8.00,$70.00,$70.00,$0.00,$0.00,$56.00,OR,97341,--,,State does not currently impose a sales tax.,
12/08/2021,01/01/2022,61d11b04d6f3b799ce306ff7,Tory Burch Black Super Skinny Jean,Women,Jeans,Skinny,Tory Burch,Black,26,N,Y,N,$16.30,$45.00,$55.00,$0.00,$0.00,$36.00,OH,45371,$3.67,$0.00,,
12/12/2021,12/30/2021,61ce5b2ca2f48cf3aaab62c9,Vintage Pollini Crossbody Logo Bag,Women,Bags,Crossbody Bags,Pollini,"White,Brown",OS,N,Y,N,$7.00,$36.00,$65.00,$1.50,$0.00,$27.30,FL,32092,$2.73,$0.00,,
12/07/2021,01/06/2022,61d6f7055c6ef6fec3024a45,Sam Edelman Bay Leather Slide Sandals - Black,Women,Shoes,Sandals,Sam Edelman,Black,7.5,Y,Y,N,$7.00,$16.45,$39.00,$0.00,$0.00,$13.16,HI,96818,$0.91,$0.00,,
12/08/2021,01/06/2022,61d6f7055c6ef6fec3024a45,Joe's Jeans Skinny Ankle Jeans,Women,Jeans,Ankle & Cropped,Joe's Jeans,Blue,28,Y,Y,N,$7.00,$18.55,$44.00,$0.00,$0.00,$14.84,HI,96818,$1.00,$0.00,,
12/19/2021,01/03/2022,61d3bbac47471af4960c58b4,"Vineyard Vines Gingham 3"" Shorts Size 12",Women,Shorts,,Vineyard Vines,,12,N,Y,N,$8.00,$20.00,$35.00,$0.00,$0.00,$16.00,FL,32958,$1.92,$0.00,,
01/04/2022,01/06/2022,61d722c16afdc32ce44d70ca,Marc Fisher Kabriele Dress Pumps,Women,Shoes,Heels,Marc Fisher,Black,9,N,Y,N,$5.00,$25.00,$34.00,$1.50,$0.00,$18.50,PA,19124,$0.00,$0.00,This sale is exempt from sales tax.,
