Date,Client,Type of Investigation,Travle Distance,Expenses,Fee,Report Type
9/20/2016,DIG,Structure,140,80.51,205,Verbal
10/22/2016,HART,Auto,262,181.44,350,Verbal
10/31/2016,CRAW,Structure,274,153.21,325,Verbal
11/19/2016,XL,Equipment,436,518.26,1725,Written
2/6/2017,EI,Auto,180,96.21,380,Verbal
2/18/2017,DIG,Structure,288,154,525,Verbal
3/11/2017,EI,Auto,296,158.36,412.7,Verbal
3/15/2017,ALL,Auto,121,66.69,495,Verbal
3/17/2017,EIG,Auto,158,87.68,285,Verbal
3/18/2017,DIG,Structure,270,144.45,412.5,Written
4/1/2017,ZU,Structure,284,367.43,1822,Written
4/4/2017,CAB,Structure,250,133,517,Written
5/1/2017,ALL,Auto,146,78.11,450,Written
5/20/2017,EI,Auto,201,107.54,540,Verbal
6/25/2017,EI,Auto,278,152.63,315,Verbal
7/1/2017,ZU,Lab Inspection,274,315,1035,Written
7/16/2017,PNI,Structure,193,103,517.5,Written
10/15/2017,EI,Auto,217,119,540,Verbal
12/24/2017,EI,Structure,396,211.86,555,Verbal
1/24/2018,NW,Structure,270,147.15,720,Written
3/3/2018,CIA,Auto,267,145.52,592.5,Verbal
4/29/2018,XL,Structure,194,105.51,817.5,Verbal
1/3/2019,PNI,Auto,134,67.2,302,Verbal
1/24/2019,EI,Structure,273,153,637,Written
2/24/2019,NW,Structure,174,98,283,Written
3/22/2019,EI,Auto,217,119,414,Verbal
4/16/2019,PNI,Structure,232,132,524,Written
5/1/2019,SF,Equipment,157,88,322,Verbal
6/25/2019,ZU,Auto,278,152.63,315,Verbal
6/29/2019,XL,Structure,203,149,739,Verbal
7/20/2019,PNI,Auto,234,134,327,Verbal
8/1/2019,ALL,Auto,146,78.11,378,Verbal
8/14/2019,SF,Structure,317,175,737,Written
9/5/2019,CAB,Structure,175,88.32,462,Verbal
9/18/2019,DIG,Lab Inspection,270,144.45,412.5,Written
9/20/2019,CIA,Auto,124,68.21,285,Verbal
10/3/2019,ALL,Auto,121,66.69,495,Verbal
10/11/2019,EI,Auto,296,158.36,324,Written
10/18/2019,CRAW,Structure,279,155.45,462,Written
11/6/2019,SF,Auto,180,96.21,380,Verbal
11/19/2019,CAB,Auto,283,157.23,312,Verbal
11/20/2019,DIG,Structure,143,78.23,332,Verbal
12/8/2019,HART,Auto,292,201.12,350,Verbal
12/20/2019,XL,Structure,140,80.51,205,Verbal
1/5/2020,ALL,Structure,146,78.11,378,Verbal
2/14/2020,SF,Auto,231,175,652,Verbal
2/5/2020,CAB,Equipment,175,88.32,462,Verbal
3/18/2020,DIG,Structure,212,123.23,321,Written
3/20/2020,CIA,Structure,234,157,234,Verbal
4/3/2020,ALL,Equipment,231,153.2,345,Verbal
5/11/2020,EI,Lab Inspection,296,158.36,482,Written
