No,Date,Box No.,Account name,Supplier,Bill,Voucher Type,Detail,Net Taxable,VAT,Amount
1,1/7/2021,300,AUTOMOTIVE PREPARATION AND OFFICE,ALE - CAR,300007010,TICKET,VW AMAROK LMM084,"28724,40","7635,6","36.360,00"
2,1/7/2021,300,MACRO BANK,BAN MAC S.A,3289,BUDGET,TRANSF,0,0,"41.250,00"
3,1/7/2021,300,MACRO BANK,BAN MAC S.A,1130307,CHECK,TRANSF,0,0,"85.490,00"
4,1/7/2021,300,AUTOMOTIVE PREPARATION AND OFFICE,CER DEL AUT,300000136,RECEIPT,VW UP! AD601XQ DUPLICATE CODED KEY,0,0,"4.000,01"
5,1/7/2021,300,MANAGEMENT EXPENSES,GES,0,CHECK,PROCEDURES VS.,0,0,"70.940,00"
6,1/7/2021,300,AUTOMOTIVE PREPARATION AND OFFICE,MIP REP S.A,9300000832,INVOICE C,VW AMAROK LMM084,0,0,"16.499,63"
7,1/7/2021,300,AUTOMOTIVE PREPARATION AND OFFICE,NEU JUJ S.A,200031396,TICKET,VW AMAROK LMM084,"77420,00",20580,"98.000,00"
8,1/7/2021,314,MACRO BANK,BAN MAC S.A,186819979,INVOICE B,TRANSFERECIA NINA ELDA M-ETIOS XLS 2018,"697570,00",185430,"883.000,00"
9,2/7/2021,301,MACRO BANK,BAN MAC S.A,82854,PRICE,TRANSF,0,0,"4.200,00"
10,2/7/2021,301,MACRO BANK,BAN MAC S.A,8415,SALE PURCHASE TICKET,TRANSF,"434500,00",115500,"550.000,00"
11,2/7/2021,301,MACRO BANK,BAN MAC S.A,654419,INVOICE A,TRANSF,"38765,30","10304,7","49.070,00"
12,2/7/2021,301,MACRO BANK,BAN MAC S.A,8147,TICKET,TRANSF,"347600,00",92400,"440.000,00"
13,2/7/2021,301,GS.MATENIM.Y CLEANING BS.USO,CAR PAB,400000439,INVOICE A,MONTH SERVICE JUNE/2021,"12384,06","3291,9663","15.676,03"
14,2/7/2021,301,MANAGEMENT EXPENSES,GES,0,PRICE,PROCEDURES VS.,0,0,"3.031,00"
15,2/7/2021,301,USED CARS,MAM WAL FRA,62000,BUDGET,VW MAROK 2,0,0,"1.543.300,00"
16,2/7/2021,301,AUTOMOTIVE PREPARATION AND OFFICE,MIP REP S.A,9300000846,INVOICE C,VW AMAROK LMM084,0,0,"4.500,10"
17,2/7/2021,301,OTHER EXPENSES,PAN,0,INVOICE B,BREAD,"158,00",42,200
18,2/7/2021,301,AUTOMOTIVE PREPARATION AND OFFICE,PER HEM,200009944,INVOICE C,VARIOUS UNITS,0,0,"3.200,00"
19,2/7/2021,308,AUTOMOTIVE PREPARATION AND OFFICE,FAC REP -,600000495,SALE PURCHASE TICKET,RENAULT CLIO LTN858,"1105,99","293,9979","1.399,99"
20,3/7/2021,302,MACRO BANK,BAN MAC S.A,1071,BUDGET,TRANSF,0,0,"6.190,00"
21,3/7/2021,302,MACRO BANK,BAN MAC S.A,7319,VOUCHER,TRANSF,0,0,"14.000,00"
22,3/7/2021,302,AUTOMOTIVE PREPARATION AND OFFICE,VAR SEB,0,BANK DEPOSIT,SHEET AND PAINT UNITS VS,0,0,"52.800,00"
23,5/7/2021,303,MACRO BANK,BAN MAC S.A,1171,TICKET,TRANSF,"158000,00",42000,"200.000,00"
24,5/7/2021,303,VARIOUS ADMINISTRATION EXPENSES,COR ALA,105000,CHECK,BUY ETHYL ALCOHOL AND GEL,0,0,"3.300,00"
25,5/7/2021,303,MANAGEMENT EXPENSES,GES,0,RECEIPT,PROCEDURES VS.,0,0,"7.820,00"
26,5/7/2021,303,VARIOUS ADMINISTRATION EXPENSES,RAP,520004,BANK DEPOSIT,SURVEY AGREEMENT DR,0,0,110
27,6/7/2021,304,AUTOMOTIVE PREPARATION AND OFFICE,ALI Y BAL,200001288,INVOICE B,VW AMAROK LMM084,"14220,00",3780,"18.000,00"
28,6/7/2021,304,MACRO BANK,BAN MAC S.A,210706,SALE PURCHASE TICKET,TRANSF,"39500,00",10500,"50.000,00"
29,6/7/2021,304,MACRO BANK,BAN MAC S.A,111,SALE PURCHASE TICKET,TRANSF,"158000,00",42000,"200.000,00"
30,6/7/2021,304,MACRO BANK,BAN MAC S.A,157072,INVOICE A,TRANSF,"16013,30","4256,7","20.270,00"
31,6/7/2021,304,MACRO BANK,BAN MAC S.A,3242,PRICE,TRANSF,0,0,"51.340,00"
32,6/7/2021,304,MACRO BANK,BAN MAC S.A,3237,TICKET,TRANSF,"21251,00",5649,"26.900,00"
33,6/7/2021,304,SALARIES AND COMMISSIONS,FIG ZEN MAR,74797616,INVOICE A,JUNE MONTH DIFFERENCE/2021,"68453,50","18196,5","86.650,00"
34,6/7/2021,304,EXPENDITURES BY GESTORIA,GES,0,SALE PURCHASE TICKET,VERIFICATION POST 6 VERIFICATIONS,"3792,00",1008,"4.800,00"
35,6/7/2021,304,MANAGEMENT EXPENSES,GES,0,RECEIPT,PROCEDURES VS.,0,0,"11.470,00"
36,6/7/2021,304,OTHER INCOME,GUT JUA CAR,202,TICKET,RETA X EFFECTIVE CHECK 000202 BCO,"15800,00",4200,"20.000,00"
37,6/7/2021,304,SALARIES AND COMMISSIONS,GUT JUA CAR,74797613,INVOICE A,JUNE MONTH DIFFERENCE/2021,"74813,00",19887,"94.700,00"
38,6/7/2021,304,SALARIES AND COMMISSIONS,GUT LEO JOS,74797614,VOUCHER,JUNE MONTH DIFFERENCE/2021,0,0,"42.000,00"
39,6/7/2021,304,FUELS AND LUBRICANTS,LAS LOM S.R,1600006624,THIRD CHECK,CHEVROLET CRUZE LTZ A/T O KM,0,0,"1.000,00"
40,6/7/2021,304,AUTOMOTIVE PREPARATION AND OFFICE,LUB - SAL,2200000514,THIRD CHECK,VW UP! AD601XQ,0,0,"5.850,00"
41,6/7/2021,304,FUELS AND LUBRICANTS,PER HER S.R,300047701,TICKET,RENAULT DUSTER OROCH AD639HT,"790,00",210,"1.000,00"
42,6/7/2021,304,FUELS AND LUBRICANTS,PER HER S.R,300047702,INVOICE A,VW UP! AD601XQ,"790,00",210,"1.000,00"
43,6/7/2021,304,USED CARS,PUS SAL S.A,200100851,CHECK,RENAULT DUSTER OROCH OUTSIDER /2019 AD639HT,0,0,"1.509.364,00"
44,6/7/2021,304,VARIOUS ADMINISTRATION EXPENSES,RAP,0,SALE PURCHASE TICKET,CEC,"94,80","25,2",120
