Date,Time,Visitor State,Device,Visitor Type,Page Views,Product Views,Added to Cart,Completed Purchase,Total Spend ($),Average Time on Site (Minutes)
2023-06-01,04:38,Illinois,Mobile,Returning,10,1,4,0,72.44,18
2023-06-01,15:15,Illinois,Desktop,Returning,6,7,0,3,78.17,15
2023-06-01,22:20,California,Tablet,Returning,4,7,5,2,57.34,6
2023-06-01,07:09,Illinois,Tablet,Returning,7,7,5,2,40.38,25
2023-06-01,03:51,Florida,Tablet,New,1,5,3,1,56.45,21
2023-06-01,07:56,Texas,Desktop,New,8,3,0,0,43.41,13
2023-06-01,16:28,Ohio,Mobile,Returning,5,7,4,3,55.14,18
2023-06-01,20:58,Texas,Tablet,New,3,1,4,0,68.49,22
2023-06-01,19:02,Texas,Mobile,Returning,4,3,5,3,54,15
2023-06-02,12:43,California,Desktop,New,6,4,3,1,64.3,8
2023-06-02,10:30,California,Mobile,New,2,5,2,1,66.55,4
2023-06-02,23:08,New York,Tablet,Returning,5,7,2,2,62.51,23
2023-06-02,04:00,Texas,Mobile,New,3,2,3,3,68.36,13
2023-06-02,06:38,Texas,Mobile,New,3,3,1,3,48.79,28
2023-06-02,04:36,Illinois,Tablet,New,3,5,0,0,40.8,27
2023-06-02,09:37,New York,Tablet,Returning,4,4,2,2,42.07,15
2023-06-02,03:25,New York,Desktop,Returning,5,6,4,0,53.04,4
2023-06-02,15:19,Florida,Mobile,Returning,10,3,5,1,55.15,4
2023-06-03,21:10,Illinois,Desktop,New,7,2,4,0,63.69,22
2023-06-03,02:56,Texas,Tablet,Returning,1,4,5,2,41.03,30
2023-06-03,00:00,New York,Mobile,New,8,3,2,2,58.71,6
2023-06-03,18:52,California,Tablet,Returning,1,7,4,0,42.62,18
2023-06-03,12:30,Florida,Desktop,New,1,3,5,2,62.73,3
2023-06-03,15:01,Ohio,Mobile,New,4,7,5,2,64.05,8
2023-06-03,05:21,California,Mobile,New,7,2,3,3,48.72,30
2023-06-03,05:48,California,Mobile,New,7,6,5,2,56.7,5
2023-06-03,21:47,Florida,Mobile,New,7,4,3,0,62.61,27
2023-06-03,22:33,California,Desktop,New,10,1,4,1,61.19,9
2023-06-04,17:28,Florida,Mobile,New,3,4,2,2,42.61,2
2023-06-04,11:48,Texas,Desktop,New,4,7,4,1,53.74,6
2023-06-04,17:06,California,Mobile,New,9,3,2,3,53.01,24
2023-06-04,14:34,New York,Tablet,New,5,7,4,3,47.06,9
2023-06-04,04:20,Texas,Tablet,New,7,5,1,0,56.96,23
2023-06-04,18:29,Illinois,Mobile,Returning,6,2,0,2,76.81,18
2023-06-04,12:43,New York,Mobile,New,3,4,3,2,48.33,7
2023-06-04,05:26,Texas,Tablet,New,5,6,1,2,52.26,13
2023-06-04,19:57,New York,Tablet,New,7,3,3,1,47.86,1
2023-06-04,18:55,New York,Tablet,New,1,6,1,0,68.99,17
2023-06-05,03:48,Michigan,Desktop,New,4,3,5,0,41.69,8
2023-06-05,09:21,Florida,Tablet,Returning,3,1,3,0,75.89,4
2023-06-05,13:23,New York,Tablet,Returning,5,6,1,2,78.63,23
2023-06-05,06:25,New York,Desktop,Returning,1,7,5,2,72.19,21
2023-06-05,01:46,Michigan,Mobile,Returning,2,3,4,3,44.6,27
