Garden_ID,Installation_Date,Garden_Size_sq_ft,Plant_Species_Count,Water_System_Type,Maintenance_Visits_2023,Client_Satisfaction_Score,Biodiversity_Impact_Score
1,6/2/2023,331,13,Sprinkler,8,78,84
2,3/14/2023,905,26,Sprinkler,9,78,93
3,3/11/2023,342,11,Drip,3,95,94
4,7/26/2023,548,25,Sprinkler,3,73,84
5,7/19/2023,651,14,Sprinkler,2,76,60
6,7/1/2023,978,26,Sprinkler,4,83,86
7,7/16/2023,676,26,Manual,8,72,93
8,3/19/2023,914,16,Manual,10,90,78
9,5/3/2023,948,26,Soaker,4,91,67
10,3/16/2023,445,28,Sprinkler,2,83,85
11,5/9/2023,921,13,Drip,10,98,93
12,8/3/2023,331,23,Manual,5,90,65
13,4/27/2023,847,8,Drip,6,92,92
14,3/23/2023,383,14,Sprinkler,2,75,60
15,7/23/2023,499,7,Drip,4,90,82
16,4/9/2023,791,19,Soaker,2,83,71
17,7/14/2023,969,18,Drip,10,70,95
18,8/11/2023,523,30,Drip,2,90,67
19,8/23/2023,203,23,Manual,2,90,86
20,3/9/2023,741,8,Manual,8,85,85
21,5/17/2023,579,11,Drip,7,85,93
22,8/14/2023,237,12,Manual,6,87,72
23,3/10/2023,281,21,Soaker,5,92,86
24,5/26/2023,627,29,Manual,2,91,70
25,6/13/2023,244,15,Sprinkler,7,95,76
26,6/26/2023,824,28,Drip,2,74,85
27,8/25/2023,818,9,Sprinkler,6,73,62
28,6/23/2023,980,27,Sprinkler,1,76,75
29,6/9/2023,216,15,Manual,6,73,81
30,4/17/2023,505,24,Soaker,7,82,63
31,4/22/2023,365,13,Drip,1,79,95
32,4/19/2023,555,20,Sprinkler,10,86,89
33,5/23/2023,812,14,Sprinkler,10,86,92
34,8/23/2023,405,22,Sprinkler,3,96,86
35,8/28/2023,892,22,Drip,6,90,65
36,3/1/2023,751,13,Drip,2,87,63
37,6/25/2023,536,9,Soaker,1,90,73
38,7/2/2023,871,10,Drip,8,85,81
39,7/15/2023,855,9,Soaker,10,85,94
40,3/7/2023,295,13,Drip,7,84,65
41,6/23/2023,381,6,Sprinkler,4,91,65
42,5/3/2023,409,20,Drip,1,100,67
43,7/4/2023,878,22,Manual,3,92,92
44,3/11/2023,204,5,Sprinkler,5,97,91
45,7/5/2023,455,30,Soaker,9,77,79
46,7/24/2023,228,7,Soaker,3,73,64
47,7/23/2023,569,12,Sprinkler,2,93,67
48,3/9/2023,912,7,Manual,10,72,80
49,8/23/2023,659,12,Manual,10,98,81
