Client,Order,Payment Status,Total,Remaining Balance,Currency,Delivered,Receipt Number,Order Date,Latest Delivery Date,Payment Method,Warehouse
AN,7097,Payment Pending,$429.20,$24.49,MXN,Yes,A3988,3/31/2020,4/1/2020,Online Transfer,Finished Product
AL,7096,Finalized,$295.00,$0.00,MXN,Yes,A3987,3/31/2020,4/1/2020,Credit Card,Finished Product
VA,7095,Payment Pending,$600.00,$32.12,MXN,Yes,A3986,3/31/2020,,Online Transfer,Finished Product
RI,7094,Finalized,$911.73,$0.00,MXN,Yes,A3985,3/31/2020,4/2/2020,Credit Card,Finished Product
ED,7093,Finalized,$428.99,$0.00,MXN,Yes,A3984,3/31/2020,4/1/2020,Credit Card,Finished Product
ED,7092,Finalized,$359.14,$0.00,MXN,Yes,A3983,3/31/2020,4/1/2020,Credit Card,Finished Product
LU,7091,Payment Pending,$429.20,$24.49,MXN,Yes,A3982,3/31/2020,4/1/2020,Online Transfer,Finished Product
JO,7090,Delivery Pending,$432.00,$24.43,MXN,No,A3981,3/31/2020,4/2/2020,Online Transfer,Finished Product
VE,7089,Finalized,$799.06,$0.00,MXN,Yes,A3980,3/31/2020,4/1/2020,Credit Card,Finished Product
CA,7085,Delivery Pending,$432.00,$24.43,MXN,No,A3976,3/30/2020,,Online Transfer,Finished Product
BI,7083,Finalized,"$105,878.30",$0.00,MXN,Yes,A3977,3/30/2020,3/31/2020,Online Transfer,Finished Product
JE,7081,Delivery Pending,$768.00,$0.00,MXN,No,A3974,3/30/2020,,Online Transfer,Finished Product
JE,7080,Finalized,"$1,171.68",$0.00,MXN,Yes,A3972,3/30/2020,,Online Transfer,Finished Product
JO,7058,Finalized,$504.00,$0.00,MXN,Yes,A3962,3/24/2020,3/31/2020,Credit Card,Finished Product
FA,7057,Payment Pending,"$20,310.50","$20,310.50",MXN,Yes,A3973,3/24/2020,3/31/2020,To be determined,Finished Product
CO,7055,Payment Pending,$668.16,$668.16,MXN,Yes,A3965,3/24/2020,3/29/2020,To be determined,Finished Product
GE,7053,Delivery Pending,$295.00,$572.81,MXN,No,A3961,3/23/2020,,Online Transfer,Finished Product
CO,7051,Payment Pending,"$2,352.00","$2,352.00",MXN,Yes,A3970,3/23/2020,3/27/2020,To be determined,Finished Product
CO,7050,Payment Pending,$336.00,$336.00,MXN,Yes,A3966,3/23/2020,3/27/2020,To be determined,Finished Product
CO,7049,Payment Pending,"$2,802.24","$2,802.24",MXN,Yes,A3967,3/23/2020,3/30/2020,To be determined,Finished Product
CO,7048,Payment Pending,"$6,245.28","$6,245.28",MXN,Yes,A3968,3/23/2020,3/27/2020,To be determined,Finished Product
RE,7047,Delivery Pending,$429.20,$0.00,MXN,No,A3958,3/23/2020,,Credit Card,Finished Product
TI,7045,Payment Pending,"$10,743.32","$10,743.32",MXN,Yes,A3969,3/23/2020,3/30/2020,To be determined,Finished Product
JO,7043,Finalized,$295.00,$0.00,MXN,Yes,A3956,3/23/2020,3/26/2020,Online Transfer,Finished Product
JO,7042,Finalized,$504.00,$0.00,MXN,Yes,A3955,3/23/2020,,Online Transfer,Finished Product
DE,7041,Payment Pending,$429.20,$24.49,MXN,Yes,A3954,3/23/2020,3/26/2020,Online Transfer,Finished Product
AN,7040,Finalized,$429.20,$0.00,MXN,Yes,A3953,3/23/2020,3/26/2020,Online Transfer,Finished Product
SO,7039,Finalized,$429.20,$0.00,MXN,Yes,A3952,3/23/2020,3/26/2020,Online Transfer,Finished Product
AL,7038,Finalized,$295.00,$0.00,MXN,Yes,A3951,3/23/2020,3/26/2020,Online Transfer,Finished Product
RI,7037,Payment Pending,$718.27,$37.79,MXN,Yes,A3950,3/20/2020,,Online Transfer,Finished Product
JE,7036,Finalized,$782.49,$0.00,MXN,Yes,A3949,3/20/2020,,Online Transfer,Finished Product
CI,7035,Finalized,$432.00,$0.00,MXN,Yes,A3948,3/20/2020,,Credit Card,Finished Product
LA,7034,Payment Pending,$429.20,$24.49,MXN,Yes,A3944,3/20/2020,,Online Transfer,Finished Product
WA,7033,Payment Pending,"$7,581.60","$7,581.60",MXN,Yes,A3942,3/19/2020,3/24/2020,To be determined,Finished Product
