No.,DATE,CODE,TRIP TYPE,VOLUME (M3),UNIT PRICE,PRICE,VAT,PRICE WITH VAT,TRUCK TYPE,REVIEW
1,14-Mar-17,100387,SAND,8.5, $ 235.00 ," $ 1,997.50 ", $ 319.60 ," $ 2,317.10 ",SMALL TRUCK,RECONCILED
2,14-Mar-17,100387,GRAVEL,8.5, $ 245.00 ," $ 2,082.50 ", $ 333.20 ," $ 2,415.70 ",SMALL TRUCK,RECONCILED
3,15-Mar-17,,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
4,15-Mar-17,100866,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
5,15-Mar-17,100869,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
6,16-Mar-17,100788,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
7,17-Mar-17,100785,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
8,17-Mar-17,100787,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
9,18-Mar-17,100387,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
10,18-Mar-17,,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
11,22-Mar-17,100815,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
12,12-May-17,A112274,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
13,13-May-17,A101004,TEPETATE,17, $ 156.50 ," $ 2,660.50 ", $ 425.68 ," $ 3,086.18 ",SMALL TRUCK,RECONCILED
14,15-May-17,A112761,GRAVEL,17, $ 245.00 ," $ 4,165.00 ", $ 666.40 ," $ 4,831.40 ",SMALL TRUCK,RECONCILED
15,19-May-17,A113811,TEPETATE,37, $ 156.50 ," $ 5,790.50 ", $ 926.48 ," $ 6,716.98 ",LARGE TRUCK,RECONCILED
16,19-May-17,A113805,TEZONTLE,32, $ 208.50 ," $ 6,672.00 "," $ 1,067.52 "," $ 7,739.52 ",LARGE TRUCK,RECONCILED
17,19-May-17,A113808,TEZONTLE,37, $ 208.50 ," $ 7,714.50 "," $ 1,234.32 "," $ 8,948.82 ",LARGE TRUCK,RECONCILED
18,19-May-17,A113810,TEZONTLE,37, $ 208.50 ," $ 7,714.50 "," $ 1,234.32 "," $ 8,948.82 ",LARGE TRUCK,RECONCILED
19,23-May-17,A114755,SAND,17, $ 235.00 ," $ 3,995.00 ", $ 639.20 ," $ 4,634.20 ",SMALL TRUCK,RECONCILED
20,24-May-17,A113826,TEZONTLE,32, $ 208.50 ," $ 6,672.00 "," $ 1,067.52 "," $ 7,739.52 ",LARGE TRUCK,RECONCILED
21,25-May-17,A113791,TEPETATE,32, $ 156.50 ," $ 5,008.00 ", $ 801.28 ," $ 5,809.28 ",LARGE TRUCK,RECONCILED
