Date,Active Works,Bank Entrance,Bank Output,Cash Entry,Cash Output,Total in Bank,Total Cash,Final
Oct-15,3,"$ 172,074.24","$ 108,494.92","$ 220,919.59","$ 197,172.57","$ 61,402.06","$ 56,826.19","$ 119,007.53"
Nov-15,5,"$ 160,983.51","$ 130,270.67","$ 161,695.62","$ 202,467.24","$ 90,367.38","$ 16,054.57","$ 107,201.23"
Dec-15,5,"$ 140,512.13","$ 155,764.28","$ 187,489.90","$ 176,919.06","$ 73,337.57","$ 26,625.41","$ 100,742.27"
Jan-16,5,"$ 373,944.13","$ 356,120.82","$ 155,416.14","$ 164,640.81","$ 86,780.49","$ 17,400.75","$ 104,960.52"
Feb-16,8,"$ 1,402,014.25","$ 251,794.48","$ 101,728.98","$ 89,792.30","$ 1,227,077.41","$ 29,337.42","$ 1,257,194.11"
Mar-16,3,"$ 100,393.07","$ 1,187,922.17","$ 138,441.55","$ 103,930.54","$ 131,818.42","$ 63,848.43","$ 196,446.13"
Apr-16,4,"$ 798,044.31","$ 198,617.36","$ 83,488.16","$ 88,729.65","$ 691,581.39","$ 74,145.74","$ 766,506.41"
May-16,2,"$ 45,667.61","$ 98,100.57","$ 65,611.97","$ 105,547.07","$ 133,015.74","$ 32,947.12","$ 166,742.15"
Jun-16,5,"$ 262,745.88","$ 249,989.80","$ 52,003.02","$ 128,275.39","$ 273,494.36","$ 67,695.15","$ 341,968.79"
Jul-16,5,"$ 829,692.64","$ 856,857.88","$ 20,038.46","$ 98,924.05","$ 295,766.66","$ 27,789.24","$ 324,335.18"
Aug-16,5,"$ 669,198.58","$ 284,511.97","$ 102,933.10","$ 93,545.73","$ 608,043.96","$ 44,717.70","$ 653,540.94"
Sep-16,4,"$ 114,446.46","$ 320,868.83","$ 120,098.39","$ 132,130.35","$ 229,188.38","$ 67,341.35","$ 297,309.01"
