PAYMENT RELEASE DATE,MERCADO PAGO OPERATION ID,ID,REGISTRATION TYPE,DESCRIPTION,NET AMOUNT,NET AMOUNT DEBITED,GROSS AMOUNT,MERCADO PAGO O MERCADO LIBRE FEE (INCLUDES VAT),SHIPPING COST,TAXES COLLECTED THROUGH IIBB WITHHOLDINGS,MEDIO DE PAGO,TAX DETAILS,CASH REGISTER ID,CASH REGISTER NAME,BRANCH ID,BRANCH NAME,CURRENCY,BROKEN DOWN TAXES,EXTRA DATA,REFUND ID,SALES CHANNEL,BALANCE
2023-11-01T00:00:00.000-03:00,,,Available money from the previous period,,44195.95,0.00,44195.95,0.00,0.00,0.00,,,,,,,,,,,,44195.95
2023-11-01T10:58:56.000-03:00,66118672738,In person sale,Settled money,Payment,31186.66,0.00,33700.72,-1300.85,0.00,-1213.21,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-168.50,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-168.50,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-202.20,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-674.01,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,75382.61
2023-11-02T09:51:40.000-03:00,66276804242,c1d2cd5f-e265-4542-b038-ba7d75f79c7f-1698929500200,Settled money,Consumption pending confirmation,0.00,26770.28,-26770.28,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,48612.33
2023-11-02T09:51:40.000-03:00,66276804242,c1d2cd5f-e265-4542-b038-ba7d75f79c7f-1698929500200,Settled money,Consumption pending confirmation,26770.28,0.00,26770.28,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,75382.61
2023-11-02T09:51:40.000-03:00,66276804242,c1d2cd5f-e265-4542-b038-ba7d75f79c7f-1698929500200,Settled money,Payment,0.00,26770.28,-26610.62,0.00,0.00,-159.66,Available money,debits_credits,,,,,ARS,"[{""amount"":-159.66,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,,48612.33
2023-11-02T15:49:50.000-03:00,66186708726,In person sale,Settled money,Payment,15269.10,0.00,16500.00,-636.90,0.00,-594.00,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-82.50,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-82.50,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-99.00,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-330.00,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,63881.43
2023-11-03T17:46:55.000-03:00,66186682929,6d82f3c1-31ed-48bd-b360-5a49c12ec3f3-1699044414657,Settled money,Consumption pending confirmation,0.00,6036.00,-6036.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,57845.43
2023-11-03T17:46:55.000-03:00,66186682929,6d82f3c1-31ed-48bd-b360-5a49c12ec3f3-1699044414657,Settled money,Consumption pending confirmation,6036.00,0.00,6036.00,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,63881.43
2023-11-03T17:46:55.000-03:00,66186682929,6d82f3c1-31ed-48bd-b360-5a49c12ec3f3-1699044414657,Settled money,Payment,0.00,6036.00,-6000.00,0.00,0.00,-36.00,Available money,debits_credits,,,,,ARS,"[{""amount"":-36.00,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,,57845.43
2023-11-05T21:31:43.000-03:00,66307573677,c8c9ad1c-347a-4083-a008-3f04132cbc4a-1699230703197,Settled money,Consumption pending confirmation,0.00,12687.57,-12687.57,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,45157.86
2023-11-05T21:31:43.000-03:00,66307573677,c8c9ad1c-347a-4083-a008-3f04132cbc4a-1699230703197,Settled money,Consumption pending confirmation,12687.57,0.00,12687.57,0.00,0.00,0.00,Available money,,,,,,ARS,[],{},,,57845.43
2023-11-05T21:31:43.000-03:00,66307573677,c8c9ad1c-347a-4083-a008-3f04132cbc4a-1699230703197,Settled money,Payment,0.00,12687.57,-12611.90,0.00,0.00,-75.67,Available money,debits_credits,,,,,ARS,"[{""amount"":-75.67,""detail"":""tax_withholding_payer"",""financial_entity"":""debitos_creditos""}]",{},,,45157.86
2023-11-09T13:42:25.000-03:00,66703216142,QR #T33YZ9Q,Settled money,Payment,24811.80,0.00,26000.00,-252.20,0.00,-936.00,Available money,earnings retention,5013275,QR #T33YZ9Q,30717956,Tu sucursal,ARS,"[{""amount"":-130.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-130.00,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-156.00,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-520.00,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]",{},,Mercado Pago,69969.66
2023-11-10T08:51:29.000-03:00,66445869945,In person sale,Settled money,Payment,44630.72,0.00,48228.56,-1861.62,0.00,-1736.22,Debit card Cabal,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-241.14,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-241.14,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-289.37,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-964.57,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,114600.38
2023-11-10T09:10:58.000-03:00,66446771997,In person sale,Settled money,Payment,165444.01,0.00,178781.09,-6900.95,0.00,-6436.13,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-893.91,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-893.91,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-1072.69,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-3575.62,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,280044.39
2023-11-11T07:45:31.000-03:00,66684632192,In person sale,Settled money,Payment,27932.69,0.00,30184.45,-1165.12,0.00,-1086.64,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-150.92,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-150.92,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-181.11,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-603.69,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,307977.08
2023-11-11T08:40:37.000-03:00,66509646615,In person sale,Settled money,Payment,27932.69,0.00,30184.45,-1165.12,0.00,-1086.64,Debit card Visa,earnings retention,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-150.92,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-150.92,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-181.11,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-603.69,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,335909.77
2023-11-12T12:35:17.000-03:00,65867972718,In person sale,Settled money,Payment,59668.62,0.00,66818.15,-2739.54,0.00,-4409.99,Mastercard,debits_credits,330899,QR #1,30717956,Tu sucursal,ARS,"[{""amount"":-400.91,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-668.18,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-1336.36,""detail"":""tax_withholding_sirtac"",""financial_entity"":""mendoza""},{""amount"":-2004.54,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""}]","{""integration"":""none"",""is_fallback"":false,""pin_validation"":""pin_not_validated"",""was_pin"":false}",,Mercado Pago,395578.39
