Cost Code,Concept,Group,Stage,Quantity,Unit,Unit Cost,Total,Markup %
01110,LP - Concrete paving and sidewalk,1,15,Lot,1,"$1,770.00","$1,770.00",15
01120,LP - Head wall,1,2,Lot,1,$600.00,$600.00,15
01150,LP - Culvert Installation ,1,2,Lot,1,"$2,000.00","$2,000.00",15
01200,LP - Lot clearing - Cut trees,1,1,Lot,1,$460.00,$460.00,15
01210,LP - Lot clearing - Debris Haul off,1,1,Lot,1,$540.00,$540.00,15
01220,LP - Lot clearing - Slab demolition,1,1,Lot,1,$800.00,$800.00,15
01230,LP - Fill dirt,1,2,Lot,1,$450.00,$450.00,15
02000,Survey - Lot survey ,2,4,Lot,1,$0.00,$0.00,0
02100,Survey - Lot staking-pins,2,4,Lot,1,$150.00,$150.00,0
02110,Survey - Form staking-pins (Envelope),2,4,Lot,1,$300.00,$300.00,0
02120,Survey - Form Survey,2,4,Lot,1,$350.00,$350.00,0
03000,P - Site work - Sewer Tap,3,3,Lot,1,"$3,000.00","$3,000.00",15
03010,P - Site work - Water Tap,3,3,Lot,1,"$1,800.00","$1,800.00",15
03020,P - Site work - Storm Water,3,3,Lot,1,$0.00,$0.00,15
03100,P - Plumbing - Underground,3,3,Lot,1,"$3,400.00","$3,400.00",15
03110,P - Plumbing - Rough,3,9,Lot,1,"$3,400.00","$3,400.00",15
03120,P - Plumbing - Trim,3,12,Lot,1,"$1,700.00","$1,700.00",15
03130,P - Plumbing - Temp Gas Permit,3,15,Lot,1,$200.00,$200.00,15
03200,P - Fixtures - Bathroom Sink Faucet ,3,15,Lot,1,$472.44,$472.44,15
03210,P - Fixtures - Shower trim,3,15,Lot,1,$103.18,$103.18,15
03220,P - Fixtures - Tub/shower trim,3,15,Lot,1,$145.62,$145.62,15
03230,P - Fixtures - standing tub faucet,3,15,Lot,1,$94.80,$94.80,15
03240,P - Fixtures - tub spout,3,15,Lot,1,$88.73,$88.73,15
