object created,tracking number,rate__shipment__address_to__city,rate__shipment__address_to__state,rate__shipment__address_to__zip,parcel__weight,parcel__mass_unit,rate__amount,rate__currency,tracking_status
2023-01-01T08:00:51.414041+00:00,392893356477,Denver,CO,80216,22.4,lb,15.25,USD,DELIVERED
2023-01-01T17:35:16.788429+00:00,392895737730,BRECKENRIDGE,CO,80424,12.5,lb,15.02,USD,DELIVERED
2023-01-01T17:35:21.667058+00:00,392895738975,BRECKENRIDGE,CO,80424,46.94,lb,26.21,USD,DELIVERED
2023-01-02T00:16:34.812339+00:00,392899556194,Carbondale,CO,81623,41.5,lb,28.04,USD,DELIVERED
2023-01-02T00:36:33.722216+00:00,392899757266,Northglenn,CO,80233,28.5,lb,15.99,USD,DELIVERED
2023-01-02T00:50:37.169192+00:00,392899842141,Westminster,CO,80003,48.9,lb,22.9,USD,DELIVERED
2023-01-02T00:50:39.326616+00:00,392899842391,Westminster,CO,80003,43.75,lb,21.71,USD,DELIVERED
2023-01-02T02:01:33.635631+00:00,392900359129,Boulder,CO,80304,18.5,lb,12.78,USD,DELIVERED
2023-01-02T07:06:48.556032+00:00,392902699970,Peyton,CO,80831,34.6,lb,21.17,USD,DELIVERED
2023-01-02T07:08:27.100874+00:00,392902710783,Evergreen,CO,80439,22.4,lb,18.22,USD,DELIVERED
2023-01-02T07:09:27.253463+00:00,392902719699,Denver,CO,80203,24.4,lb,15.25,USD,DELIVERED
2023-01-02T07:15:08.821958+00:00,392902763490,Littleton,CO,80129,22.4,lb,15.25,USD,DELIVERED
2023-01-02T08:00:51.519580+00:00,392903131130,Golden,CO,80401,24.4,lb,15.25,USD,DELIVERED
2023-01-02T13:11:35.906902+00:00,392906255770,Littleton,CO,80123,24.4,lb,15.25,USD,DELIVERED
2023-01-03T02:25:12.913336+00:00,392927324256,COLORADO SPRINGS,CO,80920,1.36,lb,11.75,USD,DELIVERED
2023-01-03T07:07:05.976121+00:00,392930892363,Aurora,CO,80012,21.4,lb,15.25,USD,DELIVERED
2023-01-03T07:11:51.435809+00:00,392930941663,Denver,CO,80204,24.3,lb,15.25,USD,DELIVERED
2023-01-03T14:05:23.425773+00:00,392940821041,MONUMENT,CO,80132,24.4,lb,15.25,USD,DELIVERED
2023-01-03T16:34:16.512043+00:00,392952881202,Highlands Ranch,CO,80129,4.3,lb,10.19,USD,DELIVERED
2023-01-03T18:51:59.309440+00:00,392965012715,Westminster,CO,80021,35.25,lb,18.57,USD,DELIVERED
2023-01-03T23:36:36.283609+00:00,392984492010,Superior,CO,80027,41.5,lb,20.47,USD,DELIVERED
2023-01-03T23:36:39.491686+00:00,392984494620,Superior,CO,80027,41.5,lb,20.47,USD,DELIVERED
2023-01-04T04:37:57.490918+00:00,392991414750,Calhan,CO,80808,19.75,lb,17.18,USD,PRE_TRANSIT
2023-01-04T07:05:58.365616+00:00,392993126254,Aurora,CO,80013,29.91,lb,16.51,USD,DELIVERED
2023-01-04T07:10:37.234386+00:00,392993183147,Boulder,CO,80301,13.34,lb,11.21,USD,DELIVERED
2023-01-04T07:10:52.080848+00:00,392993185827,Fort Collins,CO,80528,6.3,lb,10.26,USD,DELIVERED
2023-01-04T07:12:45.425301+00:00,392993208843,Colorado Springs,CO,80904,24.75,lb,15.25,USD,DELIVERED
2023-01-04T08:00:58.066555+00:00,392993805303,Larkspur,CO,80118,23.2,lb,18.37,USD,DELIVERED
2023-01-04T12:16:24.718198+00:00,392997246574,Denver,CO,80212,49.9,lb,22.92,USD,DELIVERED
2023-01-04T12:16:32.799480+00:00,392997250030,Denver,CO,80212,24.4,lb,15.25,USD,DELIVERED
2023-01-04T16:54:55.539217+00:00,393012866520,Boulder,CO,80304,47.34,lb,22.9,USD,DELIVERED
2023-01-04T16:54:58.340164+00:00,393012870773,Boulder,CO,80304,12.5,lb,11.01,USD,DELIVERED
2023-01-04T18:58:00.820092+00:00,393021668382,Highlands Ranch,CO,80129,2.65,lb,10.19,USD,DELIVERED
2023-01-04T19:33:53.914496+00:00,393024195495,Denver,CO,80207,25.13,lb,15.05,USD,DELIVERED
2023-01-04T20:12:21.520711+00:00,393026889826,Arvada,CO,80007,18.08,lb,12.78,USD,DELIVERED
2023-01-04T20:50:01.930202+00:00,393029372837,Arvada,CO,80007,18.08,lb,12.78,USD,DELIVERED
2023-01-04T21:00:03.835001+00:00,393029977857,Gunnison,CO,81230,14.84,lb,16.34,USD,DELIVERED
2023-01-04T23:21:04.786111+00:00,393037038290,Colorado Springs,CO,80922,3.2,lb,10.19,USD,DELIVERED
2023-01-04T23:52:14.980927+00:00,393038138613,Castle Pines,CO,80108,47.8,lb,22.9,USD,DELIVERED
2023-01-05T00:33:42.234271+00:00,393039299533,Longmont,CO,80504,2.33,lb,10.19,USD,DELIVERED
2023-01-05T07:15:19.067418+00:00,393045734866,Boulder,CO,80304,24.4,lb,15.25,USD,DELIVERED
2023-01-05T13:18:08.124232+00:00,393051622589,Poncha Springs,CO,81201,14.64,lb,14.47,USD,DELIVERED
2023-01-05T15:41:27.536356+00:00,393059214250,Lone Tree,CO,80124,6.46,lb,10.74,USD,DELIVERED
2023-01-05T16:02:51.363417+00:00,393060594855,Broomfield,CO,80020,42.65,lb,21.37,USD,DELIVERED
2023-01-05T16:02:56.714129+00:00,393060601276,Broomfield,CO,80020,40,lb,19.81,USD,DELIVERED
2023-01-05T16:03:03.043084+00:00,393060608925,Broomfield,CO,80020,27,lb,15.25,USD,DELIVERED
2023-01-05T16:44:17.854265+00:00,393063367190,Arvada,CO,80004,16.9,lb,11.91,USD,DELIVERED
2023-01-05T18:20:08.308304+00:00,393069558063,Parker,CO,80134,33.33,lb,17.83,USD,DELIVERED
2023-01-05T18:30:59.971026+00:00,393070245139,Denver,CO,80222,21.5,lb,13.57,USD,DELIVERED
2023-01-05T19:02:56.886422+00:00,393072337905,Woodland Park,CO,80863,3.65,lb,13.16,USD,DELIVERED
2023-01-05T19:59:08.738942+00:00,393075909278,Boulder,CO,80303,25.72,lb,15.25,USD,DELIVERED
2023-01-05T23:51:39.094126+00:00,393087068493,Boulder,CO,80304,19.51,lb,13.17,USD,DELIVERED
2023-01-06T02:24:59.558955+00:00,393091290953,Denver,CO,80211,35.55,lb,18.57,USD,DELIVERED
2023-01-06T04:16:37.097498+00:00,393092990742,Denver,CO,80207,40.3,lb,20.42,USD,DELIVERED
2023-01-06T04:44:37.122694+00:00,393093293727,Superior,CO,80027,43.8,lb,21.71,USD,DELIVERED
2023-01-06T07:15:32.250425+00:00,393094979762,Boulder,CO,80304,24.4,lb,15.25,USD,DELIVERED
2023-01-06T08:00:59.139469+00:00,393095449100,DENVER,CO,80238,22.4,lb,15.25,USD,DELIVERED
2023-01-06T15:41:57.166048+00:00,393107140032,Boulder,CO,80304,22.7,lb,13.79,USD,DELIVERED
