Type of board ,SUBTYPE,SPECIFICATIONS,THICKNESS,BROAD,AVAILABLE,LONG,UNIT,Packaging,Currency,Price,TAX included,CODE REFERENCE,Final price for wholesalers,Order delivery delay
PHENOLIC,FILM,PLAST. ,18MM,"1,22",X,"2,44",MTS,50,$,"53,029.38",64165.5498,1.00,"51,332.44",5
PHENOLIC,FILM,PLAST.,18MM,"1,22",X,"2,44",MTS,40,$,"41,149.72",49791.1612,2.00,"39,832.93",5
PHENOLIC,GRANDIS,PLAST. ,9MM,"1,22",X,"2,44",MTS,66,$,"10,766.84",13027.8764,3.00,"10,422.30",5
PHENOLIC,GRANDIS,V,12MM,"1,22",X,"2,44",MTS,50,$,"13,070.09",15814.8089,4.00,"12,651.85",5
PHENOLIC,GRANDIS,V,14MM,"1,22",X,"2,44",MTS,42,$,"15,640.49",18924.9929,5.00,"15,139.99",5
PHENOLIC,GRANDIS,V,18MM,"1,22",X,"2,44",MTS,33,$,"14,102.26",17063.7346,6.00,"13,650.99",5
PHENOLIC,GRANDIS,V,24MM,"1,22",X,"2,44",MTS,25,$,"19,657.69",23785.8049,7.00,"19,028.64",5
PHENOLIC,GRANDIS,IV,9MM,"1,22",X,"2,44",MTS,66,$,"14,460.28",17496.9388,8.00,"13,997.55",5
PHENOLIC,GRANDIS,IV,12MM,"1,22",X,"2,44",MTS,50,$,"17,545.35",21229.8735,9.00,"16,983.90",5
PHENOLIC,GRANDIS,IV,14MM,"1,22",X,"2,44",MTS,42,$,"20,996.55",25405.8255,10.00,"20,324.66",5
PHENOLIC,GRANDIS,IV,18MM,"1,22",X,"2,44",MTS,33,$,"18,887.43",22853.7903,11.00,"18,283.03",5
PHENOLIC,GRANDIS,IV,24MM,"1,22",X,"2,44",MTS,25,$,"32,213.67",38978.5407,12.00,"31,182.83",5
PHENOLIC,GRANDIS,III,9MM,"1,22",X,"2,44",MTS,66,$,"15,913.24",19255.0204,13.00,"15,404.02",5
PHENOLIC,GRANDIS,III,12MM,"1,22",X,"2,44",MTS,50,$,"19,116.27",23130.6867,14.00,"18,504.55",5
PHENOLIC,GRANDIS,III,15MM,"1,22",X,"2,44",MTS,42,$,"22,876.60",27680.686,15.00,"22,144.55",5
