Code,Name of the Brand and Size,Price/Unit,Wholesale price,Category,STOCK JULY 2022
bste001,HODDIES samu (6-8),10200,8500,HODDIES,18
bste002,HODDIES samu (9-12),12000,10000,HODDIES,1
bute001,HODDIES urbano t/E,9000,7000,HODDIES,20
CUTE001,JACKET UTOPIA (6-7),10000,8300,JACKET,6
CUTE002,JACKET UTOPIA (8-9),10600,8900,JACKET,6
CSTE001,JACKET SAMU (6-8),10900,9000,JACKET,3
CSTE002,JACKET SAMU(9-12),12700,10500,JACKET,3
RETE001,SHIRT ECONOMICA T/E,2900,2200,SHIRT,23
RRTE001,SHIRTS EL CLUB DE LA SHIRT,3500,3000,SHIRT,15
RUTE001,SHIRT URBANO,3000,2500,SHIRT,44
RTTE001,SHIRT TAKUARA ,3000,2500,SHIRT,26
RUTO001,SHIRT UTOPIA,4200,3500,SHIRT,16
RSTE002,SHIRT SAMU (9-12),6500,5500,SHIRT,5
RSTE003,SHIRT SAMU (14-16),7500,6200,SHIRT,5
RSTE001,SHIRT SAMU (6-8),3600,3000,SHIRT,2
ROTE002,SHIRT OSH(9-12),6500,5500,SHIRT,3
ROTE001,SHIRT OSH (6-8),5500,4500,SHIRT,3
RCTE001,SHIRT CRIBET ,3500,3000,SHIRT,4
JUTE001,JOGGERS URBANO T/E,5500,4500,JOGGERS,11
JSTE001,JOGGERS samu (6-8),8500,7000,JOGGERS,4
JSTE002,JOGGERS SAMU (9-12),9700,8000,JOGGERS,4
JETE001,JEANS E-21(50-56),6200,5200,JEANS,6
jcte001,JEANS CHASTA,7500,6200,JEANS,2
REMLTC01,SHIRTS MANGA LARGA ECONOMICA TC,2400,1900,SHIRT,16
RPTC001,SHIRT economicas t/c,3000,2500,SHIRT,65
RCTC001,SHIRT CALL JEANS ,3500,3000,SHIRT,21
RMTC001,SHIRT MARECIA ,4200,3500,SHIRT,25
RETC001,SHIRT EIKEL,4200,3500,SHIRT,5
RITE001,SHIRT IGS t/C,3500,3000,SHIRT,1
RSTC001,SHIRT SODIO ,3500,3000,SHIRT,7
BVTC001,HODDIES VERSACE,4500,3900,HODDIES,18
BCTC001,HODDIES CUELLO REDOPNDO T/C,5200,4200,HODDIES,14
BUTC001,HODDIES URBANO T/c,7700,6500,HODDIES,10
BVTC001,HODDIES VANS ,8500,7000,HODDIES,13
CUTC001,JACKET UTOPIA T/C,9300,7800,JACKET,5
CETC001,JACKET ECONOMICA,7800,6500,JACKET,6
JUTC001,JOGGERS URBANO T/C,5500,4500,JOGGERS,25
JTC001,JEANS T/C ,5000,4200,JEANS,32
rdtc001,SHIRT dickson ,3500,3000,SHIRT,6
jftc001,JEANSs famar (40-48),6200,5100,JEANS,1000
jotc001,joguers famar (38-48),6200,5100,JOGGERS,25
jctcoo1,jogoguers cargo (40-48),6200,5100,JOGGERS,21
jmtc001,JEANS maty,4800,3900,JEANS,13
gorro001,gorros de lana ,1200,1000,HAT,13
cuellos001,cuellos de lana ,750,600,SCARF,5
SNBTC001,Sneaker Anation Blanco,12500,10200,SNEAKERS,10
SNATC002,Sneaker Anation Azul,11500,9800,SNEAKERS,5
SNNTC003,Sneaker Anation Negro,11500,9800,SNEAKERS,10
SNRTC004,Sneaker Anation Rojo,11500,9800,SNEAKERS,5
SNVTC005,Sneaker Anation Violeta,11500,9800,SNEAKERS,5
