Cat. Page,Item No.,Description,Case Pack,Weight (lbs) per case,Cubic Feet Per Case,Universal Product Code,Dangerous Goods Class," Indvl Width""    L to R",Indvl Lengt'' F to B,"Indvl Height""  T to B ",Indvl Cubic Ft.,Indvl.  Wt. lbs.,Case Dim. Length,"Case Dim. Width""","Case Dim. Height""",Cu.Ft.Per Case,Country of Origin
20,504D,Camp Stove Toaster   ,6,3.3,0.24,0 5638900504 4,,8.865,9.456,0.591,0.040,0.54,9.26,4.33,10.24,0.238,China
25,511A,Egg Holder - 12 Count,12,4.5,0.82,0 5638900511 2,,7.500,1.500,14.750,0.068,0.36,15.00,11.38,8.25,0.815,CANADA
76,512,"Stretch Cords 20"" - 2 Pack",12,4.2,0.23,0 5638900512 9,,4.000,1.500,8.000,0.019,0.34,10.50,4.63,8.25,0.232,China
76,513,"Stretch Cord 33""",12,2.8,0.19,0 5638900513 6,,4.000,1.750,9.250,0.015,0.22,10.25,5.00,6.25,0.185,China
76,514,"Stretch Cord 40""",12,2.8,0.21,0 5638900514 3,,4.000,1.500,8.000,0.018,0.23,9.00,4.75,8.50,0.210,China
76,515,"Stretch Cord 50""",12,3.2,0.26,0 5638900515 0,,4.000,1.500,7.625,0.021,0.26,10.88,4.63,8.75,0.255,China
76,516,"Mini Stretch Cords 10"" - 4 Pack",6,0.9,0.09,0 5638900516 7,,4.000,1.000,7.625,0.015,0.15,9.63,4.88,3.25,0.088,China
29,527,Tablecloth Clamps - 6 Pack,12,2.4,0.12,0 5638900527 3,,4.250,0.500,9.250,0.010,0.19,7.00,6.25,4.63,0.117,CANADA
31,529,Waterproof Matches - 10 Pack,120,27.7,1.62,0 5638900529 7,,3.000,2.000,3.375,0.013,0.23,15.00,12.63,14.75,1.616,INDIA
32,546,Match Holder  ,12,1.2,0.09,0 5638900546 4,,3.000,0.750,6.000,0.008,0.09,7.50,6.88,3.13,0.093,CHINA
92,650,Camping Mirror  ,12,4.9,0.31,0 5638900650 8,,6.250,0.125,10.625,0.026,0.40,11.00,7.25,6.75,0.312,CHINA
27,655,Collapsible Tumblers - 2  Pack,12,2.7,0.21,0 5638900655 3,,2.500,1.500,6.250,0.018,0.22,10.25,9.25,3.88,0.213,CHINA
91,657,Toothbrush Holders - 2 Pack ,6,1.1,0.12,0 5638900657 7,,2.350,1.150,9.000,0.020,0.17,9.38,4.00,5.50,0.119,USA
92,658,Soap Holder  ,12,1.5,0.19,0 5638900658 4,,2.500,1.375,5.875,0.016,0.12,10.00,5.50,6.00,0.191,CANADA
74,701,White Poly Cord 50',6,1.2,0.09,0 5638900701 7,,3.250,0.875,6.625,0.015,0.19,6.63,6.38,3.63,0.089,China
24,702,Can Opener - 2 Pack,12,0.7,0.04,0 5638900702 4,,3.750,0.125,5.625,0.004,0.06,7.50,2.25,4.50,0.044,TAIWAN
87,703,Tent Repair Kit  ,12,1.6,0.12,0 5638900703 1,,5.250,1.000,6.625,0.010,0.13,7.63,4.75,5.88,0.123,USA
60,704,Wire Saw,12,0.7,0.06,0 5638900704 8,,4.500,0.375,6.125,0.005,0.05,6.50,3.00,5.25,0.059,USA
76,705,Guy Line Adapters - 4 Pack,12,3.6,0.17,0 5638900705 5,,4.000,1.500,9.875,0.014,0.29,10.00,4.75,6.00,0.165,CHINA
89,706,Snap N' Tap Grommets - 8 Pack,12,1.1,0.15,0 5638900706 2,,5.000,1.000,8.000,0.013,0.09,8.25,5.50,5.88,0.154,CHINA
74,707,Orange Poly Cord 50',12,2.2,0.16,0 5638900707 9,,3.250,1.000,6.250,0.013,0.18,12.00,6.63,3.50,0.161,CHINA
88,711,Nylon Repair Tape,12,0.8,0.04,0 5638900711 6,,3.250,0.125,10.375,0.003,0.07,11.00,3.88,1.63,0.040,TAIWAN
92,714,Stainless Steel Mirror   ,12,1.8,0.04,0 5638900714 7,,4.000,0.375,7.000,0.004,0.14,7.38,2.25,4.63,0.044,CANADA
24,720,Cutlery Kit - Bulk Set,36,5.7,0.12,0 5638900720 8,,2.125,0.625,7.500,0.003,0.15,12.50,7.63,2.13,0.117,CHINA
24,721BP,Cutlery Kit,12,2.1,0.09,0 5638900721 5,,2.375,0.125,9.000,0.008,0.17,9.13,2.88,6.13,0.093,CHINA
31,725,Piezo Lighter  ,12,2.9,0.24,0 5638900725 3,,4.250,1.000,13.000,0.020,0.24,13.25,5.00,6.13,0.235,CHINA
25,812A,Egg Holder - 6 Count,12,2.5,0.39,0 5638900812 0,,5.500,1.500,11.500,0.033,0.20,12.00,6.25,9.00,0.391,CHINA
88,860BP,Vinyl Repair Kit,12,1.3,0.17,0 5638900860 1,,3.750,1.250,7.500,0.014,0.11,10.25,6.63,4.25,0.167,CHINA
24,936BP,Salt & Pepper Shaker  ,4,0.5,0.07,0 5638900936 3,,3.500,1.750,5.250,0.018,0.12,7.00,4.00,4.38,0.071,TAIWAN
31,940BP,Waterproof Matches - 4 Pack,12,1.5,0.12,0 5638900940 0,,5.250,0.750,6.500,0.010,0.12,6.63,5.50,5.63,0.119,INDIA
62,7600,Folding Scissors   ,12,1.0,0.03,0 5638907600 6,,3.000,0.375,6.125,0.003,0.08,6.38,3.13,3.00,0.035,CHINA
77,7604,Utility Strap 4',12,1.0,0.15,0 5638907604 4,,3.500,1.125,6.875,0.013,0.08,9.25,7.38,3.88,0.153,CHINA
25,7605A,Squeeze Tubes - 2 Pack,12,1.9,0.48,0 5638907605 1,,5.250,2.000,11.250,0.040,0.16,11.00,9.38,8.00,0.477,CHINA
77,7606,Utility Strap 6',12,1.3,0.15,0 5638907606 8,,3.500,1.125,6.875,0.013,0.11,9.38,7.25,3.88,0.152,CHINA
77,7608,Utility Strap 8',12,1.6,0.15,0 5638907608 2,,3.500,1.125,6.875,0.013,0.13,9.38,7.25,3.88,0.152,CHINA
77,7610,Utility Strap 10',12,1.8,0.15,0 5638907610 5,,3.500,1.125,6.875,0.013,0.14,9.25,7.38,3.88,0.153,CHINA
56,7615BP,Candles - 5 Pack,12,4.6,0.15,0 5638907615 0,,3.875,0.875,6.000,0.013,0.38,10.63,5.88,4.25,0.154,CANADA
56,7615,Candles - Bulk,448,29.6,0.78,No UPC,,0.750,0.750,5.000,0.002,0.06,20.50,10.50,6.25,0.779,CANADA
45,7620,Drinking Water Germicidal Tablets,12,1.4,0.10,0 5638907620 4,,3.000,1.000,5.000,0.009,0.11,6.63,6.50,4.13,0.103,USA
