,Date,Type_Invoice,POS,Numbers_from,Numbers_to,TYPE_ID,Number_ID,Name,Amount_Exchange,Currency_ Exchange,Net Taxable,No Taxable,Exempt,VAT,Total
0,1/11/2023,1 - Invoice A,3,1680,,CUIT,20236707963,K S A,1,$,125000,0,0,26250,151250
1,1/11/2023,1 - Invoice A,69,357743,,CUIT,30678191805,T R D L P S A,"365,5",USD,50,0,0,"10,5","65,45"
2,1/11/2023,1 - Invoice A,69,357492,,CUIT,30678191805,T R D L P S A,"365,5",USD,"1116,52",0,0,"234,47","1459,02"
3,1/11/2023,1 - Invoice A,4,32433,,CUIT,30570999989,A M I S D R L,1,$,8355,0,0,"1754,55","10610,85"
4,1/11/2023,1 - Invoice A,2,5400,,CUIT,20252263978,I R,1,$,"152119,46",0,0,"31945,09","184064,55"
5,1/11/2023,11 - Invoice C,2,1138,,CUIT,23236392449,G D R,1,$,0,0,0,0,4200
6,1/11/2023,19 - Invoice  E,9,59,,CUIT,30709752118,F S S,352,USD,0,"55468,8",0,0,"55468,8"
7,2/11/2023,1 - Invoice A,1,232,,CUIT,30715814451,M S,1,$,885500,0,0,185955,1071455
8,2/11/2023,1 - Invoice A,3,1336,,CUIT,30715395351,O S,1,$,"263274,05",0,0,"55287,55","318561,6"
9,2/11/2023,1 - Invoice A,3,1402,,CUIT,30649821867,N Y S,1,$,"131650,62",0,0,"27646,63","159297,27"
10,2/11/2023,11 - Invoice C,3,487,,CUIT,20269655764,S D A,1,$,0,0,0,0,9000
11,3/11/2023,1 - Invoice A,2,34035,,CUIT,30710763409,D M H S,1,$,"415542,5",0,0,"87263,93","506546,31"
12,3/11/2023,1 - Invoice A,2,2310,,CUIT,20162466500,B R F,1,$,"25896,71",0,18665,"5438,31","50000,01"
13,3/11/2023,1 - Invoice A,3,33239,,CUIT,30709709239,A S,1,$,222008,0,0,"46621,68","268629,68"
14,3/11/2023,1 - Invoice A,1,6677,,CUIT,30716925893,C I S,"365,5",USD,55,0,0,"11,55","66,55"
15,3/11/2023,1 - Invoice A,711,4950827,,CUIT,30677237119,A D S S A,1,$,"2396,71",0,"71,9","503,29","3115,7"
16,3/11/2023,1 - Invoice A,5007,346706,,CUIT,30574876474,A U S A,1,$,"137,12",0,0,"28,8","179,63"
17,3/11/2023,1 - Invoice A,3,10427,,CUIT,30711166927,F W L S,1,$,92352,0,0,"19393,92","111745,92"
18,6/11/2023,1 - Invoice A,3,417,,CUIT,20956903123,B Q J D,1,$,"1150528,48",0,0,"241610,98","1392139,48"
19,6/11/2023,1 - Invoice A,3,1403,,CUIT,30649821867,N Y S,1,$,"65825,33",0,0,"13823,32","79648,64"
20,6/11/2023,1 - Invoice A,1,56,,CUIT,33716483539,N K S,1,$,80000,0,0,16800,96800
21,6/11/2023,1 - Invoice A,3,10440,,CUIT,30711166927,F W L S,1,$,9240,0,0,"1940,4","11180,4"
22,6/11/2023,11 - Invoice C,2,21757,,CUIT,30543897317,C A D L I D J,1,$,0,0,0,0,30000
23,7/11/2023,3 - Credit Memo A,3,22,,CUIT,20956903123,B Q J D,1,$,123890,0,0,0,123890
24,7/11/2023,11 - Invoice C,2,147,,CUIT,27179088970,L R M E,1,$,0,0,0,0,156000
25,8/11/2023,11 - Invoice C,2,282,,CUIT,20257475884,B G A,1,$,0,0,0,0,20000
26,8/11/2023,1 - Invoice A,3,10449,,CUIT,30711166927,F W L S,1,$,"92876,33",0,0,"19504,03","112380,35"
27,8/11/2023,1 - Invoice A,3,10448,,CUIT,30711166927,F W L S,1,$,"154523,62",0,0,"32449,96","186973,58"
28,8/11/2023,11 - Invoice C,2,64,,CUIT,20254330214,M G A,1,$,0,0,0,0,3500
29,9/11/2023,1 - Invoice A,2,34179,,CUIT,30710763409,D M H S,1,$,47100,0,0,9891,"57414,9"
30,9/11/2023,1 - Invoice A,3,10457,,CUIT,30711166927,F W L S,1,$,10980,0,0,"2305,8","13285,8"
31,9/11/2023,1 - Invoice A,15,1367,,CUIT,23077040129,S D P S F,1,$,"2841232,24",0,0,"596658,77",3437891
32,9/11/2023,1 - Invoice A,700,1272643,,CUIT,30715804812,C V S A,1,$,"165,29",0,0,"34,71",200
33,9/11/2023,1 - Invoice A,3,10458,,CUIT,30711166927,F W L S,1,$,10980,0,0,"2305,8","13285,8"
34,9/11/2023,6 - Invoice B,3,7943,,CUIT,20925133990,C H,1,$,0,0,0,0,24830
35,9/11/2023,6 - Invoice B,3,7942,,CUIT,20925133990,C H,1,$,0,0,0,0,24830
36,10/11/2023,1 - Invoice A,2,12387,,CUIT,33713951809,P W L Y D M S S,1,$,"304628,54",0,0,"63971,99","368600,53"
37,10/11/2023,1 - Invoice A,2,12376,,CUIT,33713951809,P W L Y D M S S,1,$,"541616,3",0,0,"113739,42","655355,72"
38,10/11/2023,1 - Invoice A,1000,149258,,CUIT,30715123483,I S,1,$,"48115,37",0,0,"10104,23","61539,56"
39,11/11/2023,1 - Invoice A,6,5016,,CUIT,27182842341,Q A A,1,$,"34610,74",0,0,"7268,26",41879
40,11/11/2023,81 - Ticket Invoice A,16,20252,,CUIT,30712063692,S L R S D R,1,$,"10453,52",0,0,"2195,24","14067,36"
41,12/11/2023,1 - Invoice A,949,3401331,,CUIT,30639453975,T D A S,1,$,"18528,3",0,0,"4849,34","25045,19"
42,13/11/2023,3 - Credit Memo A,15,27,,CUIT,23077040129,S D P S F,1,$,"2957190,1",0,0,"621009,92",3578200
43,13/11/2023,1 - Invoice A,2,12405,,CUIT,33713951809,P W L Y D M S S,1,$,"8406,5",0,0,"1765,37","10171,87"
44,13/11/2023,1 - Invoice A,2,1385,,CUIT,20124534381,M A,1,$,733584,0,0,"154052,64","887636,64"
45,13/11/2023,1 - Invoice A,3,33300,,CUIT,30709709239,A S,1,$,108529,0,0,"22791,09","131320,09"
46,13/11/2023,1 - Invoice A,2,12398,,CUIT,33713951809,P W L Y D M S S,1,$,"8406,5",0,0,"1765,37","10171,87"
47,13/11/2023,1 - Invoice A,3,120,,CUIT,20283612784,C C A,1,$,725846,0,0,"152427,66","878273,66"
48,13/11/2023,3 - Credit Memo A,15,29,,CUIT,23077040129,S D P S F,1,$,"4132231,43",0,0,"867768,6","5000000,01"
49,13/11/2023,3 - Credit Memo A,15,28,,CUIT,23077040129,S D P S F,1,$,"1256198,33",0,0,"263801,65",1520000
50,13/11/2023,3 - Credit Memo A,15,26,,CUIT,23077040129,S D P S F,1,$,"2024793,38",0,0,"425206,61",2450000
51,13/11/2023,3 - Credit Memo A,15,25,,CUIT,23077040129,S D P S F,1,$,3719009,0,0,"780991,89","4500000,89"
52,13/11/2023,3 - Credit Memo A,15,24,,CUIT,23077040129,S D P S F,1,$,"2076033,05",0,0,"435966,94",2512000
53,13/11/2023,3 - Credit Memo A,15,31,,CUIT,23077040129,S D P S F,1,$,"5331578,52",0,0,"1119631,49",6451210
54,13/11/2023,3 - Credit Memo A,15,30,,CUIT,23077040129,S D P S F,1,$,"5331570,24",0,0,"1119629,75",6451200
55,14/11/2023,1 - Invoice A,5,12560,,CUIT,20325657988,P L E,1,$,"175528,76",0,0,"36861,04","212389,8"
56,14/11/2023,1 - Invoice A,8,12155,,CUIT,30711747822,T F C S,1,$,1022670,0,0,"214760,7","1237430,7"
57,14/11/2023,1 - Invoice A,2,1387,,CUIT,20124534381,M A,1,$,817585,0,0,"171692,85","989277,85"
58,14/11/2023,1 - Invoice A,2,1386,,CUIT,20124534381,M A,1,$,987452,0,0,"207364,92","1194816,92"
59,14/11/2023,1 - Invoice A,7,707,,CUIT,20224311037,F H L,1,$,492815,0,0,"103491,15","596306,15"
60,14/11/2023,1 - Invoice A,3,122,,CUIT,20283612784,C C A,1,$,584250,0,0,"122692,5","706942,5"
61,14/11/2023,1 - Invoice A,3,121,,CUIT,20283612784,C C A,1,$,553960,0,0,"116331,6","670291,6"
62,14/11/2023,1 - Invoice A,8,12153,,CUIT,30711747822,T F C S,1,$,"3448802,08",0,0,"724248,44","4173050,52"
63,14/11/2023,1 - Invoice A,8,12154,,CUIT,30711747822,T F C S,1,$,1197640,0,0,"251504,4","1449144,4"
64,14/11/2023,3 - Credit Memo A,15,32,,CUIT,23077040129,S D P S F,1,$,"6456198,33",0,0,"1355801,65",7812000
65,14/11/2023,51 - Invoice M,3,1,,CUIT,20175270990,C S A,1,$,2761270,0,0,"579866,7","3341136,7"
66,15/11/2023,1 - Invoice A,7,16577,,CUIT,20376600654,F M N,1,$,"29752,07",0,0,"6247,93",36000
67,15/11/2023,1 - Invoice A,3,10471,,CUIT,30711166927,F W L S,1,$,44014,0,0,"9242,94","53256,94"
68,15/11/2023,1 - Invoice A,3,10472,,CUIT,30711166927,F W L S,1,$,"192497,86",0,0,"40424,55","232922,4"
69,15/11/2023,1 - Invoice A,3,123,,CUIT,20283612784,C C A,1,$,689000,0,0,144690,833690
70,15/11/2023,1 - Invoice A,3,3648,,CUIT,30710751079,E S,1,$,6985000,0,0,1466850,8451850
71,15/11/2023,1 - Invoice A,4264,2944146,,CUIT,30639453738,T A S A,1,$,"25320,4",0,0,"5317,28","32916,51"
72,16/11/2023,1 - Invoice A,6,11054,,CUIT,30709747157,B 3 S,1,$,1570231,0,0,"329748,51","1899979,51"
73,16/11/2023,1 - Invoice A,4,20804,,CUIT,30712124454,P S,1,$,192300,0,0,40383,232683
74,17/11/2023,1 - Invoice A,5007,350719,,CUIT,30574876474,A U S A,1,$,"193,92",0,0,"40,72","254,03"
75,17/11/2023,1 - Invoice A,3,419,,CUIT,20956903123,B Q J D,1,$,1117821,0,0,"234742,41","1352563,41"
76,17/11/2023,1 - Invoice A,2091,95431,,CUIT,30548083156,C C I D C S A,1,$,"35436,83",0,0,"7441,73","46087,38"
77,17/11/2023,1 - Invoice A,6364,7925346,,CUIT,30639453738,T A S A,1,$,"51889,97",0,0,"10956,57","67644,03"
78,17/11/2023,1 - Invoice A,711,5008801,,CUIT,30677237119,A D S S A,1,$,"1384,31",0,0,"290,69","1758,06"
79,17/11/2023,3 - Credit Memo A,2091,2773,,CUIT,30548083156,C C I D C S A,1,$,"35436,82",0,0,"7441,73","46081,51"
80,17/11/2023,11 - Invoice C,1,283,,CUIT,27389850611,R C M,1,$,0,0,0,0,81000
81,18/11/2023,1 - Invoice A,2,491,,CUIT,30712164340,N H S,1,$,50490,0,0,"10602,9","61092,9"
82,21/11/2023,1 - Invoice A,6,2946,,CUIT,30602334240,M Y C S D H,1,$,"10454,62",0,0,"2195,47","12650,07"
83,21/11/2023,1 - Invoice A,2091,95731,,CUIT,30548083156,C C I D C S A,1,$,"25451,79",0,0,"5344,88","33013,93"
84,21/11/2023,1 - Invoice A,103,656956,,CUIT,30701307115,D C A S,1,$,"161811,86","617766,95",0,"33980,49",1299186
85,22/11/2023,1 - Invoice A,3,10491,,CUIT,30711166927,F W L S,1,$,"20291,19",0,0,"4261,15","24552,35"
86,22/11/2023,1 - Invoice A,3,10492,,CUIT,30711166927,F W L S,1,$,"79089,95",0,0,"16608,89","95698,84"
87,22/11/2023,1 - Invoice A,77,238278,,CUIT,30546741253,O O D S D E,1,$,"206530,31",0,0,"21685,69","242776,39"
88,22/11/2023,1 - Invoice A,2,1618,,CUIT,20410056179,M F,1,$,"104132,24",0,0,"21867,77",126000
89,22/11/2023,1 - Invoice A,2,9610,,CUIT,30715003771,T C S,1,$,86400,0,2646000,18144,2750544
90,22/11/2023,1 - Invoice A,2,9609,,CUIT,30715003771,T C S,910,USD,850,0,0,"178,5","1028,5"
91,22/11/2023,1 - Invoice A,2,1944,,CUIT,30708531851,D S,1,$,194000,0,0,40740,234740
92,22/11/2023,1 - Invoice A,2,12421,,CUIT,33713951809,P W L Y D M S S,1,$,"8544,5",0,0,"1794,35","10338,85"
93,22/11/2023,1 - Invoice A,17,33125,,CUIT,30709250538,M S F S,1,$,1641660,0,0,"344748,6","2001183,54"
94,22/11/2023,11 - Invoice C,2,2606,,CUIT,27207325517,K M E,1,$,0,0,0,0,1400
95,23/11/2023,1 - Invoice A,3,5255,,CUIT,30714589608,D Y C D B B S,1,$,"13636,36",0,0,"2863,64",16500
96,23/11/2023,1 - Invoice A,2014,70030,,CUIT,30516186670,D S A I C F I,1,$,"10585,27",0,0,"2222,91","15129,86"
97,23/11/2023,1 - Invoice A,700,1304783,,CUIT,30715804812,C V S A,1,$,"247,93",0,0,"52,07",300
98,23/11/2023,1 - Invoice A,40,9296,,CUIT,30640727485,K S R L,1,$,"2602760,18",0,0,"273289,82",2876050
99,23/11/2023,1 - Invoice A,3,1408,,CUIT,30649821867,N Y S,1,$,"112736,48",0,0,"23674,66","136411,13"
100,23/11/2023,11 - Invoice C,2,6,,CUIT,27301250229,J M S,1,$,0,0,0,0,300000
101,24/11/2023,1 - Invoice A,16,93828,,CUIT,30711050767,D S S,1,$,"18801,8",0,0,"1974,19","20775,99"
102,24/11/2023,1 - Invoice A,3,33418,,CUIT,30709709239,A S,1,$,657190,0,0,"138009,9","795199,9"
103,27/11/2023,1 - Invoice A,9,7374,,CUIT,20207044262,G H F,1,$,"2264,46",0,0,"475,54",2740
104,27/11/2023,1 - Invoice A,2091,96186,,CUIT,30548083156,C C I D C S A,1,$,"8852,94",0,0,"1859,12","11588,51"
105,27/11/2023,1 - Invoice A,2,2038,,CUIT,30714172081,M L S,750,USD,200,450,0,42,692
106,27/11/2023,1 - Invoice A,7,9694,,CUIT,30605003938,C A S,1,$,"5950,44",0,0,"1249,59","7200,03"
107,27/11/2023,1 - Invoice A,14,442875,,CUIT,30678196165,T 4 S A,1,$,"380273,52",0,0,"79857,44","481817,16"
108,28/11/2023,1 - Invoice A,14,811,,CUIT,20220225918,C A A,1,$,"850071,96",0,0,"178515,11","1028587,07"
109,28/11/2023,1 - Invoice A,69,363574,,CUIT,30678191805,T R D L P S A,"374,5",USD,"1118,52",0,0,"234,89","1461,5"
110,29/11/2023,1 - Invoice A,3,9093,,CUIT,27123537810,C M O,1,$,"125619,84",0,0,"26380,16",152000
111,29/11/2023,1 - Invoice A,1,2446645,,CUIT,30715686054,M L S 1,1,$,"3143294,69",0,0,"660091,88","4031702,58"
112,29/11/2023,1 - Invoice A,13,20422,,CUIT,20206184729,T D G,1,$,"19923,97",0,0,"4184,03",24108
113,29/11/2023,1 - Invoice A,11,1441,,CUIT,33710271149,C 3 S,1,$,"7438,02",0,0,"1561,98",9000
114,29/11/2023,1 - Invoice A,2,9627,,CUIT,30715003771,T C S,950,USD,850,0,0,"178,5","1028,5"
115,29/11/2023,1 - Invoice A,69,364134,,CUIT,30678191805,T R D L P S A,375,USD,50,0,0,"10,5","65,45"
116,29/11/2023,1 - Invoice A,6,1822,,CUIT,30709859141,D S 1,1,$,"473323,64",0,0,"99397,97","572721,61"
117,29/11/2023,1 - Invoice A,11,3346847,,CUIT,30703088534,M S 1,1,$,"12925666,33",0,0,"2714389,93","22496365,35"
118,29/11/2023,1 - Invoice A,2,9628,,CUIT,30715003771,T C S,930,USD,0,0,2300,0,2300
119,29/11/2023,1 - Invoice A,2,2039,,CUIT,30714172081,M L S,750,USD,50,0,0,"10,5","60,5"
120,29/11/2023,2 - Debit Memo A,11,231412,,CUIT,30703088534,M S 1,1,$,"11710,74",0,0,"2459,26",14170
121,29/11/2023,3 - Credit Memo A,11,1473096,,CUIT,30703088534,M S 1,1,$,"102671,2",0,0,"21560,95","135017,58"
122,29/11/2023,3 - Credit Memo A,11,1475840,,CUIT,30703088534,M S 1,1,$,"202066,09",0,0,"42433,88","244499,97"
123,29/11/2023,3 - Credit Memo A,1,834786,,CUIT,30715686054,M L S 1,1,$,"26638,29",0,0,"5594,04","33431,05"
124,30/11/2023,3 - Credit Memo A,1,843796,,CUIT,30715686054,M L S 1,1,$,"53147,79",0,0,"11161,03","66700,47"
125,30/11/2023,1 - Invoice A,1,2453009,,CUIT,30715686054,M L S 1,1,$,"3806632,95",0,0,"799392,92","4882524,17"
126,30/11/2023,1 - Invoice A,3,10508,,CUIT,30711166927,F W L S,1,$,"102464,38",0,0,"21517,52","123981,89"
127,30/11/2023,1 - Invoice A,5,595576,,CUIT,30693184947,M S C S A,1,$,58680,0,0,"12322,8","74523,6"
