Date,,,7/17/2012,,,,,,,,,,
ITEM,BRAND,CODE,COMPONENT,QUANTITY,UNIT,MACHINE,REQUEST DATE,REQUIRED DATE,DELIVERY TERM,DELIVERY DATE,ZEN SUPPLIER,PURCHASE ORDER,STATUS
1,SIEMENS,3LD2504-0TK53,Sectioning key,1,UN,409,6/1/2010,6/3/2010,20 DAYS,6/23/2010,SHVINT,,RECEIVED
2,SIEMENS,3LD9250-0BA/BQO,Fourth pole,1,UN,409,6/1/2010,6/3/2010,20 DAYS,6/23/2010,SHVINT,,RECEIVED
3,SIEMENS,5SX1640-7,Tetrapolar thermomagnetic,1,UN,409,6/1/2010,6/3/2010,20 DAYS,6/23/2010,SHVINT,,RECEIVED
4,SIEMENS,5SX1210-7,Bipolar thermomagnetic,4,UN,409,6/1/2010,6/3/2010,20 DAYS,6/23/2010,SHVINT,,RECEIVED
5,ALLEN BRADLEY,800F-X10,NO contacts,3,UN,409,6/1/2010,6/3/2010,3 DAYS,6/15/2010,RACK LATINA,,RECEIVED
6,ALLEN BRADLEY,800FX10,NO contacts,1,UN,409,6/1/2010,6/3/2010,3 DAYS,6/15/2010,RACK LATINA,,RECEIVED
7,ALLEN BRADLEY,800FMP7,Pilot Light White,1,UN,409,6/1/2010,6/3/2010,3 DAYS,6/15/2010,RACK LATINA,,RECEIVED
8,ALLEN BRADLEY,800FN3Y,Yellow LED,1,UN,409,6/1/2010,6/3/2010,3 DAYS,6/15/2010,RACK LATINA,,RECEIVED
9,ALLEN BRADLEY,800FMP4,Pilot Light Red,1,UN,409,6/1/2010,6/3/2010,3 DAYS,6/15/2010,RACK LATINA,,RECEIVED
10,SIEMENS, 6ES7 221-1BF22-0XA0,Modular expansion of 8 digital inputs em 221,1,UN,409,6/1/2010,6/4/2010,3 DAYS,6/15/2010,SCHVINTT,,RECEIVED
11,PYSEL,93-TSEG-B 15574B (220/24VCC),Clutch transform,1,UN,409,,When they are ready,,,,,RECEIVED
12,SASSIN,-,Beacon light 3 Colors Complete,1,UN,409,,When they are ready,,7/2/2010,ELECTRO ARES,,RECEIVED
13,SASSIN,-,Beacon light 3 Colors Complete,1,UN,416,,When they are ready,,7/2/2010,ELECTRO ARES,,RECEIVED
14,ALLEN BRADLEY,800FM-LF7,"Button with flush lighting, metallic, transparent.",2,UN,408,5/28/2010,6/4/2010,15 DAYS,6/15/2010,,,RECEIVED
15,ALLEN BRADLEY,800F-N3W,"Integrated LED indicator module, 24VCA/24VCC, White",2,UN,408,5/28/2010,6/4/2010,15 DAYS,6/15/2010,,,RECEIVED
16,INTERELEC,TL2004B 20W,Fluorescent tube 220v 50Hz,1,UN,409,5/28/2010,6/4/2010,15 DAYS,6/15/2010,,,RECEIVED
17,INTERELEC,TL2004B 20W,Fluorescent tube 220v 50Hz,1,UN,416,5/28/2010,6/4/2010,15 DAYS,6/15/2010,,,RECEIVED
18,INTERELEC,TL2004B 20W,Fluorescent tube 220v 50Hz,1,UN,419,5/28/2010,6/4/2010,15 DAYS,6/15/2010,,,RECEIVED
19,INTERELEC,TL2004B 20W,Fluorescent tube 220v 50Hz,1,UN,420,5/28/2010,6/4/2010,15 DAYS,6/15/2010,,,RECEIVED
20,ALLEN BRADLEY,800FM-KM23,"2 -position selector switch without lighting lighting, metallic",1,UN,409,5/28/2010,6/4/2010,,6/15/2010,,,RECEIVED
21,SIEMENS,6ES7221-1BH22-0XA0,EM 221 16 Digital entries x 24 V C.C.,1,UN,408,6/3/2010,When they are ready,,,,,VOID
22,SIEMENS,6ES7 290-6AA20-0XA0,"Expansion module cable, 0.8mts",2,UN,408,6/3/2010,When they are ready,,6/18/2010,,,RECEIVED
23,MOELLER,216773,M22-l-g,1,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
24,MOELLER,216771,M22-l-w,1,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
25,MOELLER,216558,M22-LED-R,1,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
26,MOELLER,216559,M22-LED-G,1,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
27,MOELLER,216557,M22-led-w,1,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
28,MOELLER,216374,M22-A,20,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
29,MOELLER,216376,M22-K10,18,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
30,MOELLER,216378,M22-K01,4,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
31,MOELLER,216539,M22-I4,3,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
32,OMRON,G2R-2-SN(S),"Relay, 24V, AC/DC; 2 contacts",3,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
33,OMRON,P2RF-08-E,"Relay, 2 contacts",3,UN,463,4/16/2011,5/31/2011,20 DAYS,6/5/2011,,,RECEIVED
34,MOELLER,216771,M22-l-w,1,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
35,MOELLER,216558,M22-LED-R,1,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
36,MOELLER,216559,M22-LED-G,1,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
37,MOELLER,216557,M22-led-w,1,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
38,MOELLER,216374,M22-A,20,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
39,MOELLER,216376,M22-K10,15,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
40,MOELLER,216539,M22-I4,3,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
41,MOELLER,216378,M22-K01,4,UN,460,4/16/2011,5/31/2011,20 DAYS,6/15/2011,,,RECEIVED
42,SIEMENS,3LD2103-0TK53,Sectioning key,1,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
43,SIEMENS,5SX1210-7,Bipolar thermomagnetic,2,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
44,SIEMENS,3RT1026-1BB40,"Contactor AC-3 11 kW/400 V, DC 24 V, 3 Poles, Tam. S0, screw connection",1,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
45,GENERIC BRAND,,Cooler filter (with plastic support),6,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
46,GENERIC BRAND,,Cooler,2,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
47,GENERIC BRAND,,Cooler metal grid,2,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
48,GENERIC BRAND,NS-35/P,DIN 35 mm Symetric Perforated,3,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
49,ZOLODA,"BP-2,5",Gray terminals 2.5 mm,100,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
50,ZOLODA,"BP-2,5-AV",Green and yellow terminals 2.5 mm,20,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
51,ZOLODA,CK-030-70,30x70mm slotted channel cable,2,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
52,ZOLODA,CK-040-70,40x70mm slotted channel cable,2,UN,460,4/16/2011,5/31/2011,IMMEDIATE DELIVERY,6/15/2011,,,RECEIVED
53,ZOLODA,U-JSSB-05/BTN,FIXED BRIDGE UNION,1,BOX,460,7/4/2011,8/18/2011,IMMEDIATE DELIVERY,,,,TO BUY
54,ZOLODA,U-JSSB-05/BPN,FIXED BRIDGE UNION,1,BOX,463,7/4/2011,8/8/2011,IMMEDIATE DELIVERY,,,,TO BUY
55,ZOLODA,U-JSSB-05/BTN,FIXED BRIDGE UNION,1,BOX,463,7/4/2011,8/8/2011,IMMEDIATE DELIVERY,,,,TO BUY
56,ZOLODA,U-JSSB-05/BPN,FIXED BRIDGE UNION,1,BOX,464,7/4/2011,8/8/2011,IMMEDIATE DELIVERY,,,,TO BUY
57,ZOLODA,U-JSSB-05/BTN,FIXED BRIDGE UNION,1,BOX,464,7/4/2011,8/8/2011,IMMEDIATE DELIVERY,,,,TO BUY
58,TELEMECANIQUE,,"Black terminals with tongue, 1.5 mm2",3,BAG,451,7/4/2011,8/8/2011,IMMEDIATE DELIVERY,,,,TO BUY
59,TELEMECANIQUE,,"Black terminals with tongue, 1.5 mm2",3,BAG,459,7/4/2011,8/8/2011,IMMEDIATE DELIVERY,,,,TO BUY
60,TELEMECANIQUE,,"Black terminals with tongue, 1.5 mm2",3,BAG,460,7/4/2011,8/8/2011,IMMEDIATE DELIVERY,,,,TO BUY
61,WAKE,W0459,Electronic sign,2,UN,451,7/31/2011,9/4/2011,IMMEDIATE DELIVERY,,,,TO BUY
62,OMRON,G3NA-225B,Solid state relays (SSR) G3NA,1,UN,449,7/31/2011,8/25/2011,IMMEDIATE DELIVERY,,,,TO BUY
63,TABLEPLAST,1012CH,Beige Cabinet,1,UN,460,7/31/2011,9/14/2011,IMMEDIATE DELIVERY,,,,TO BUY
64,ARGENPLAS,,"3x1mm2 cable, melted.",20,MTS,460,7/31/2011,9/14/2011,IMMEDIATE DELIVERY,,,,TO BUY
65,ARGENPLAS,,"3x1mm2 cable, melted.",20,MTS,459,7/31/2011,8/15/2011,IMMEDIATE DELIVERY,,,,TO BUY
66,ARGENPLAS,,"3x1mm2 cable, melted.",10,MTS,449,7/31/2011,8/15/2011,IMMEDIATE DELIVERY,,,,TO BUY
67,ARGENPLAS,,"3x1mm2 cable, melted.",50,MTS,467,7/31/2011,8/15/2011,IMMEDIATE DELIVERY,,,,TO BUY
68,TELEMECANIQUE,,"Gray terminals with tongue, 2.5 mm2",2,BAG,464,7/31/2011,8/20/2011,15 DAYS,,,,TO BUY
69,TELEMECANIQUE,,"Gray terminals with tongue, 2.5 mm2",1,BAG,459,7/31/2011,8/20/2011,15 DAYS,,,,TO BUY
70,TELEMECANIQUE,,"Gray terminals with tongue, 2.5 mm2",1,BAG,460,7/31/2011,9/14/2011,15 DAYS,,,,TO BUY
71,SIEMENS,3RT1015-1BB41,"Contactor AC-3 3 kW/400 V, 1st, DC 24 V, 3 poles, tam. S00, screw connection",1,UN,460,7/31/2011,9/14/2011,,,,,TO BUY
72,ARGEMPLAS,,"Unipolar cable, 0.5 mm2, black",3,BOX,467,8/7/2011,9/26/2011,,,,,TO BUY
